"NetC","ARPA Puglia","","","","","","","","","",""
"Stat","Foggia Via Rosati","","","","","","","","","",""
,SO2,NO2,NOx,CO,PM10,
02/06/2011 23.00,"4,98203994","14,82948538","14,62079441","0,85814133",,"0,61161973"
03/06/2011 0.00,"5,56178791","9,38686075","9,01332478","0,83100732",,"0,55370565"
03/06/2011 1.00,"5,5455332","7,33297697","7,47705955","0,81896122",,"0,47393624"
03/06/2011 2.00,"6,44495579","6,16359586","5,98813162","0,79700097",,"0,53102452"
03/06/2011 3.00,,"3,52047765","3,45708529","0,77063702",,"0,5649913"
03/06/2011 4.00,"6,50094368","3,40172333","3,74047428",,,"0,45444848"
03/06/2011 5.00,"6,56144602",,,"0,7571102",,"0,41293963"
03/06/2011 6.00,"6,53435518","5,30245782","4,86170932","0,77160513",,"0,38871672"
03/06/2011 7.00,"6,55241608","12,997537","13,51771763","0,81252343",,"0,41310438"
03/06/2011 8.00,"6,71767146","27,23647824","31,44385336","0,90616962",,"0,47173443"
03/06/2011 9.00,"6,68425894","19,90156824","22,17113136","0,89813229",,"0,59070004"
03/06/2011 10.00,"6,78720477","16,20263216","17,74974608","0,91831475",,"0,71786877"
03/06/2011 11.00,"6,26796118","13,85477838","15,23815435","0,88790242",,"0,76009258"
03/06/2011 12.00,"6,74385921","13,19935625","14,62274082","0,88906742",,"0,69810541"
03/06/2011 13.00,"6,72489623","11,79051434","12,50737477","0,88977807",,"0,66353351"
03/06/2011 14.00,"6,99038815","11,58675442","12,39713267","0,87194658",,"0,64222838"
03/06/2011 15.00,"8,3070116","9,79828491","11,55734021","0,83383128",,"0,53014379"
03/06/2011 16.00,,"7,56464827","8,06912756","0,99165965",,"0,61635387"
03/06/2011 17.00,,"14,2765847","15,13310142","1,02485749",,"0,82852142"
03/06/2011 18.00,,"28,66803088","29,28826456","1,10633876",,
03/06/2011 19.00,,"41,68894208","42,76319928","1,29347271",,"0,50911427"
03/06/2011 20.00,,"45,9959324","46,7105424","1,29523069",,"0,67625008"
03/06/2011 21.00,,"46,79866648","47,05420528","1,29264439",,"0,66848732"
03/06/2011 22.00,,"41,64286288","41,60238584","1,25202084",,"1,10366772"
03/06/2011 23.00,,"35,70445856","36,18167464","1,13157615",,"1,72288445"
04/06/2011 0.00,,"29,45845168","29,79473424","1,03091899",,
04/06/2011 1.00,,"26,25399704","26,56008912","0,99240991",,
04/06/2011 2.00,,"22,54597896","22,45580904","1,00680698",,"1,66348453"
04/06/2011 3.00,,"19,28766328","19,0376406","1,00374653",,"1,90438945"
04/06/2011 4.00,,"17,05338421","16,97156208","0,99406887",,"1,82335388"
04/06/2011 5.00,,"17,07999542","16,83732438","0,99543192",,"1,66645722"
04/06/2011 6.00,,"16,49724842","16,54809997","0,98919102",,"2,00249029"
04/06/2011 7.00,,"21,55114624","21,76712576","1,01132951",,"1,90967378"
04/06/2011 8.00,,"26,63490568","27,19885008","1,0577967",,"1,90405893"
04/06/2011 9.00,,"25,72056816","26,65477136","1,10542889",,"1,84697065"
04/06/2011 10.00,,"27,13523784","28,13462112","1,06769105",,"1,92448232"
04/06/2011 11.00,,"26,111228","26,84153552","1,07402981",,"1,8049116"
04/06/2011 12.00,,,,"0,77259189",,"0,12964614"
04/06/2011 13.00,,,,"0,78615948",,
04/06/2011 14.00,,,,"0,21454524",,
04/06/2011 15.00,,,,"0,00169857",,
04/06/2011 16.00,,,,"0,30160569",,
04/06/2011 17.00,,,,,,
04/06/2011 18.00,,"24,36905184","97,97541144","1,00749783",,"0,15166623"
04/06/2011 19.00,,"35,64669704","35,49559168","1,32552419",,"0,59455346"
04/06/2011 20.00,,"36,841372","36,80034048","1,35504762",,"0,6501559"
04/06/2011 21.00,,"34,90495576","34,6862612","1,30715796",,"0,50404961"
04/06/2011 22.00,,"30,47467968","30,22988632","1,26489642",,"0,31335194"
04/06/2011 23.00,,"27,54796216","27,17030392","1,24465455",,"0,27371538"
05/06/2011 0.00,,"21,81722016","21,44742024","1,14721628",,"0,95172691"
05/06/2011 1.00,,"20,22861584","20,26781184","0,99385218",,"1,5297653"
05/06/2011 2.00,,"24,80751168","24,53486048","0,95086019",,"1,50620344"
05/06/2011 3.00,,"21,886664","22,52131416","0,90123235",,"1,56565828"
05/06/2011 4.00,,"20,25393072","20,40853504",,,"1,6166354"
05/06/2011 5.00,,,,"0,85587075",,"1,70152541"
05/06/2011 6.00,,"55,31335696","55,49170832","0,8893645",,"1,89409436"
05/06/2011 7.00,,"33,50519968","33,38606296","0,9002456",,"2,00320626"
05/06/2011 8.00,,"30,51100768","32,1876596","0,90044248",,"1,83678641"
05/06/2011 9.00,,"31,28714584","32,50996544","0,92173169",,"1,72090333"
05/06/2011 10.00,,"23,21242568","23,409094","0,90500462",,"1,73752823"
05/06/2011 11.00,,"21,88601392","21,81899832","0,92641266",,"1,58189875"
05/06/2011 12.00,,"22,6945796","23,00571936","0,9093093",,"1,49001789"
05/06/2011 13.00,,"25,39415152","25,78190512","0,92607598",,"1,54220626"
05/06/2011 14.00,,"31,25533016","32,56573848","0,97680823",,"1,5605387"
05/06/2011 15.00,,"23,82956192","25,8305464","0,93251377",,"1,76411871"
05/06/2011 16.00,,"27,34550048","32,4152832","0,9069793",,"1,63414204"
05/06/2011 17.00,,"32,90299616","47,59767216","0,90992209",,"1,4592994"
05/06/2011 18.00,,"19,80875976","20,43253064","0,89868566",,"1,44674759"
05/06/2011 19.00,,"27,59211024","28,40048472","0,94827272",,"1,3474355"
05/06/2011 20.00,,"35,07108944","37,5033064","1,00745822",,"1,56351139"
05/06/2011 21.00,,"36,73106872","39,41178832","1,04877145",,"1,87152306"
05/06/2011 22.00,,"44,78760576","47,71049928","1,07975695",,"2,52767926"
05/06/2011 23.00,"58,91214546","33,27159152","33,99107712","1,00546374",,"2,62539567"
06/06/2011 0.00,"57,92330619","34,2728868","35,61296936","0,98506459",,"2,33153149"
06/06/2011 1.00,"55,74429216","26,60765968","27,11064952","0,91687364",,"2,16946135"
06/06/2011 2.00,,"20,43952856","20,96104568","0,87453288",,"1,97606558"
06/06/2011 3.00,,"15,48296492","15,49690149","0,83888738",,"1,76059481"
06/06/2011 4.00,,"20,15464056","20,66210448","0,8463527",,"1,74099722"
06/06/2011 5.00,,"13,73926681","13,82315581","0,83675426",,"1,89695722"
06/06/2011 6.00,,"12,93847914","12,65328522","0,83434504",,"2,07796593"
06/06/2011 7.00,,"23,92430152","25,94337352","0,92477234",,"2,06888208"
06/06/2011 8.00,,"32,08404832","35,92164264","0,9759007",,"2,01625335"
06/06/2011 9.00,,"25,58039944","27,65342808","0,96999531",,"1,99203044"
06/06/2011 10.00,,"23,17089704","25,17297136","0,969167",,"1,81041662"
06/06/2011 11.00,,"18,44470837","19,97535232","0,92420033",,"1,8435576"
06/06/2011 12.00,,"18,49077801","20,11152496","0,97272141",,"0,95888354"
06/06/2011 13.00,,,,"0,30517059",,
06/06/2011 14.00,,,,,,
06/06/2011 15.00,,,,"0,05312284",,
06/06/2011 16.00,,,,"0,35365206",,"0,18497196"
06/06/2011 17.00,,"17,12630598","71,82173704","0,84977896",,"0,42238858"
06/06/2011 18.00,,,,"0,8769223",,"0,68654416"
06/06/2011 19.00,,"33,59800816","34,18432296","0,80588875",,"0,59086581"
06/06/2011 20.00,,"31,4655928","32,14680016","0,82314706",,"0,70933614"
06/06/2011 21.00,,"28,73942496","28,8233044","0,77004403",,"0,87839816"
06/06/2011 22.00,,"21,87821296","21,75934392","0,70449997",,"0,79950947"
06/06/2011 23.00,,"18,81459815","18,90275665","0,72274736",,"0,66683571"
07/06/2011 0.00,,"17,98915334","17,81459538","0,69537569",,"0,71841897"
07/06/2011 1.00,,"25,32017624","25,2974808","0,72563074",,"0,68191986"
07/06/2011 2.00,,"20,34997048","20,0116612","0,71863957",,"0,66914837"
07/06/2011 3.00,,"10,29471659","10,40043872","0,68153316",,"0,62229925"
07/06/2011 4.00,,"9,65162686","9,25845466",,,"0,51313345"
07/06/2011 5.00,,,,"0,63840253",,"0,4476773"
07/06/2011 6.00,,"6,12855272","5,90901688","0,6380472",,"0,47112932"
07/06/2011 7.00,,"17,44275345","22,18409472","0,70807535",,"0,46144036"
07/06/2011 8.00,,"32,87898144","53,58968896","0,82472797",,"0,71252851"
07/06/2011 9.00,,"24,59919928","31,91139472","0,74354261",,"0,83044864"
07/06/2011 10.00,,"18,23250505","21,80213448","0,74012567",,"0,80391409"
07/06/2011 11.00,,"17,14813528","20,42344864","0,75300241",,"0,83419222"
07/06/2011 12.00,,"21,23058032","24,95507984","0,76113761",,"0,84911059"
07/06/2011 13.00,,"15,30515083","18,00395413","0,75679332",,"0,82510837"
07/06/2011 14.00,,"21,95608872","25,5516812","0,79897681",,"0,78321509"
07/06/2011 15.00,,"8,45632477","9,83291314","0,72473718",,"0,76738752"
07/06/2011 16.00,,,,"0,81593921",,"0,47834087"
07/06/2011 17.00,,"16,27855386","17,45079532","0,87352516",,"0,53774078"
07/06/2011 18.00,"3,65638552","24,09823616","25,60680416","0,898448",,"0,62235518"
07/06/2011 19.00,"3,85866479","23,70302576","24,41813288","0,89351073",,"0,73708194"
07/06/2011 20.00,"3,07302517","27,76017504","28,56520352","0,8987043",,"0,79796871"
07/06/2011 21.00,"3,35025734","39,75380688","39,89363144","0,93713532",,"0,84492665"
07/06/2011 22.00,"2,79308473","28,91982216","28,92576848","0,83985433",,"1,09689654"
07/06/2011 23.00,"2,67478729","14,22337565","14,35232093","0,74575378",,"0,86826884"
08/06/2011 0.00,"1,88463219","10,63865671","10,63000491","0,74842047",,"0,59389342"
08/06/2011 1.00,"1,5080676","4,61393515","4,15810097","0,72531502",,"0,52441808"
08/06/2011 2.00,"1,55954001","2,20313833","2,10304513","0,71591464",,"0,3758354"
08/06/2011 3.00,"1,15768975","0,601563","0,23410337","0,69729211",,"0,27905463"
08/06/2011 4.00,"1,26695724","1,13953097","0,89361526","0,68299407",,"0,16498893"
08/06/2011 5.00,"1,26063557",,,"0,68490933",,"0,15744686"
08/06/2011 6.00,"1,2922419","0,80078766","0,27820174","0,68293465",,"0,14049041"
08/06/2011 7.00,"1,87921463","3,91762682","4,3455133","0,71030633",,"0,12397535"
08/06/2011 8.00,"1,35093907","5,41926573","5,91225963","0,70833165",,"0,16152096"
08/06/2011 9.00,"1,10712044","8,85927494","9,68710402","0,75631917",,"0,18023783"
08/06/2011 10.00,"1,3626783","8,58218026","9,54767907","0,75102657",,"0,26898023"
08/06/2011 11.00,"2,20791819","7,9079364","9,13329514","0,75029612",,"0,28538546"
08/06/2011 12.00,"1,32384822","10,83139205","11,51519017","0,77101215",,"0,30966328"
08/06/2011 13.00,"2,05530615","7,82811614","8,32203736","0,76259968",,"0,34495115"
08/06/2011 14.00,"3,58504602","8,70612566","9,5924237","0,7596965",,"0,28279821"
08/06/2011 15.00,"3,2111897","6,20447824","6,82273491","0,7656613",,"0,27525614"
08/06/2011 16.00,"3,35567489","5,12075473","5,42978364","0,76204631",,"0,27878004"
08/06/2011 17.00,"3,5724037","6,01044466","5,7183618","0,77549507",,"0,24128935"
08/06/2011 18.00,"3,29065707","8,5309138","10,0074558","0,78167656",,"0,27112712"
08/06/2011 19.00,"2,9420854","8,72559364","9,52368538","0,76876137",,"0,23837158"
08/06/2011 20.00,"2,99717019","10,73858548","11,35112145","0,76544345",,"0,24035371"
08/06/2011 21.00,"1,33739365","15,87621934","15,88729174","0,77636416",,"0,24828123"
08/06/2011 22.00,"1,13782367","12,10070575","11,98599149","0,74820378",,"0,33245425"
08/06/2011 23.00,"1,34642359","10,0779761","9,462727","0,71773204",,"0,30768115"
09/06/2011 0.00,"0,9328341","7,44719029","7,25657345","0,68573997",,"0,28582582"
09/06/2011 1.00,"2,17631288","2,79886208","2,80081614","0,65029135",,"0,24629909"
09/06/2011 2.00,"1,882826","0,52693573","0,17444323","0,618615",,"0,13724313"
09/06/2011 3.00,"2,30273717","1,26153186","0,23799429","0,62469747",,"0,10845085"
09/06/2011 4.00,"1,71215306","0,92797964","0,5706689",,,"0,10933157"
09/06/2011 5.00,"1,2723748",,,"0,64887005",,"0,12942545"
09/06/2011 6.00,"1,36719378","3,34915862","3,36889238","0,65042999",,"0,12089282"
09/06/2011 7.00,"1,25702319","5,3576152","5,64962158","0,64578746",,"0,11979141"
09/06/2011 8.00,"1,32204203","23,25720472","26,6443892","0,74377911",,"0,14484012"
09/06/2011 9.00,"1,12698652","22,66603344","26,04648768","0,77434987",,"0,4591277"
09/06/2011 10.00,"1,61733408","12,41997916","13,69216086","0,71816658",,"0,62411663"
09/06/2011 11.00,"1,25792628","8,27393526","9,02694396","0,6981612",,"0,43545601"
09/06/2011 12.00,"2,74793298","7,87873442","8,49453609","0,71026672",,"0,39168941"
09/06/2011 13.00,"3,26627449","8,27717993","8,96404107","0,73416203",,"0,38420328"
09/06/2011 14.00,"3,11637073","8,68016834","9,33238022","0,73848651",,"0,30146117"
09/06/2011 15.00,"3,69882798","5,76125561","6,04519908","0,7166649",,"0,27646738"
09/06/2011 16.00,"3,00981353","7,50948898","7,37459738","0,74903209",,"0,19823974"
09/06/2011 17.00,"2,96466179","7,98775284","7,81167867","0,738843",,"0,23958283"
09/06/2011 18.00,"3,56698512","8,38944492","8,80645786","0,74281216",,"0,20176263"
09/06/2011 19.00,"3,25814765","9,44331638","9,95039025","0,74200248",,"0,21260792"
09/06/2011 20.00,"2,24855547","14,45958604","14,8827843","0,742338",,"0,18409124"
09/06/2011 21.00,"1,54418839","17,75618952","18,04091691","0,75896605",,"0,29094641"
09/06/2011 22.00,"1,51438826","14,97938618","15,15579686","0,73708502",,"0,35722735"
09/06/2011 23.00,"0,66643908","10,73404639","10,49965814","0,71078048",,"0,33933629"
10/06/2011 0.00,"1,4900067","5,79759508","5,4006027","0,67527361",,"0,3524383"
10/06/2011 1.00,"1,94513556","7,78074442","7,70273291","0,6983977",,"0,20132227"
10/06/2011 2.00,"1,69318906","5,38681909","5,23523764","0,69328335",,"0,20060732"
10/06/2011 3.00,"1,3807392","3,54967962","2,95710302","0,69454737",,"0,20148804"
10/06/2011 4.00,"1,40331559","0,7592552","0,30608634","0,67426472",,"0,15766653"
10/06/2011 5.00,"1,18026613","0,65477587","0,41373577","0,66794693",,"0,14087586"
10/06/2011 6.00,"1,52070993","2,99484017","2,57449462","0,67570699",,"0,16862165"
10/06/2011 7.00,"1,35093907","7,26029611","7,3590337","0,69747036",,"0,39119414"
10/06/2011 8.00,"1,5423822","19,22342008","20,56807232","0,79230136",,"0,53399721"
10/06/2011 9.00,"0,94457333","18,05793754","20,29633888","0,77968208",,"0,63380559"
10/06/2011 10.00,"1,52793368","13,68605776","15,10651315","0,77928714",,"0,6284104"
10/06/2011 11.00,"1,96951813","18,36489002","20,61411328","0,75999241",,"0,60484855"
10/06/2011 12.00,"6,71676836","11,42581373","12,57741133","0,77974149",,"0,57583659"
10/06/2011 13.00,"9,02853649","12,52836088","13,47816026","0,86588276",,"0,61684915"
10/06/2011 14.00,"3,38637812","11,1584473","11,8601838","0,81489304",,"0,53873236"
10/06/2011 15.00,"6,0647778","7,94427587","8,74031222","0,77784487",,"0,48010231"
10/06/2011 16.00,"6,1740453","5,61459374","5,45118466","0,78608026",,"0,39394715"
10/06/2011 17.00,"6,2074568","11,58414836","11,83683828","0,83501608",,"0,30410334"
10/06/2011 18.00,"4,21717051","12,7515907","13,53522773","0,81086447",,"0,4035812"
10/06/2011 19.00,"4,5756742","15,99822024","17,44041698","0,87563963",,"0,40220418"
10/06/2011 20.00,"4,48717689","18,43042764","18,98965514","0,84119757",,"0,51605123"
10/06/2011 21.00,"4,79691746","20,68223784","21,00643656","0,87230074",,"0,61189534"
10/06/2011 22.00,"3,69702179","22,2013792","22,68538288","0,85472555",,"0,65588059"
10/06/2011 23.00,"3,81261096","12,85802027","12,8569094","0,79850265",,"0,66435932"
11/06/2011 0.00,"4,2334242","10,4731712","10,13391166","0,77991857",,"0,48891055"
11/06/2011 1.00,"3,50196729","8,70612566","8,50426243","0,77979974",,"0,4692021"
11/06/2011 2.00,"3,59407597","7,793073","7,36746371","0,77784487",,"0,34060245"
11/06/2011 3.00,"3,40624522","8,49976541","8,07237031","0,78195266",,"0,49375452"
11/06/2011 4.00,"3,42430612","6,78008393","7,09315481",,,"0,51687601"
11/06/2011 5.00,"3,12540169",,,"0,78321669",,"0,51115132"
11/06/2011 6.00,"3,55976137","18,99305276","18,94620494","0,79453233",,"0,38469856"
11/06/2011 7.00,"3,25092288","19,69778728","19,7451284","0,81777641",,"0,34109773"
11/06/2011 8.00,"3,76023444","24,04955664","26,30846992","0,85614802",,"0,38855197"
11/06/2011 9.00,"2,97640102","17,97876735","18,64336134","0,87789041",,"0,47404709"
11/06/2011 10.00,"3,19945047","16,74125021","17,07077958","0,88393327",,"0,57352393"
11/06/2011 11.00,"3,79093767","14,73668646","15,35877287","0,86244717",,"0,55651359"
11/06/2011 12.00,"2,73348446","15,24998772","15,94111454","0,85879373",,"0,57330426"
11/06/2011 13.00,"2,83823648","14,03129039","14,12210848","0,82377966",,"0,50349941"
11/06/2011 14.00,"3,28885088","59,63072944","77,26596584","1,00019211",,"0,4596779"
11/06/2011 15.00,"3,74217354","17,70427107","19,6822236","0,85466614",,"0,81063036"
11/06/2011 16.00,"2,71632666","7,96633844","8,03346111","0,80440687",,"0,5355939"
11/06/2011 17.00,"1,33197507","9,68601992","10,47436811","0,81505031",,"0,39488279"
11/06/2011 18.00,"3,33039024","14,51929398","14,9865428","0,85849666",,"0,34616239"
11/06/2011 19.00,"3,60852449","20,55308224","21,54921512","0,89548541",,"0,48037792"
11/06/2011 20.00,"3,25995384","16,66078369","17,05002865","0,88298496",,"0,66144155"
11/06/2011 21.00,"2,62963554","19,35838816","20,27559368","0,88260983",,"0,62670388"
11/06/2011 22.00,"2,75425466","22,00086776","22,30342264","0,8866384",,"0,56466077"
11/06/2011 23.00,"2,11039094","20,75231264","21,22174688","0,88336009",,"0,89441794"
12/06/2011 0.00,"1,93159013","15,22143582","15,45215686","0,84149348",,"0,6950778"
12/06/2011 1.00,"2,49869578","15,27724902","15,14996144","0,84119757",,"0,56367022"
12/06/2011 2.00,"3,23376609","9,81191365","9,96206301","0,81084466",,"0,639035"
12/06/2011 3.00,"3,08657059","8,44849895","8,38299574","0,81430005",,"0,98123414"
12/06/2011 4.00,"3,03780748","6,65029737","6,30329614","0,80971927",,"0,96526928"
12/06/2011 5.00,"3,57601608","3,2829671","2,90198006","0,79324967",,"0,93339446"
12/06/2011 6.00,"2,38220453","2,52630839","2,23144549","0,7985411",,"0,79037172"
12/06/2011 7.00,"1,92707465","4,75799862","4,88051575","0,8182296",,"0,67101965"
12/06/2011 8.00,"1,54509149","13,08708934","16,92162829","0,8427377",,"0,83573399"
12/06/2011 9.00,"3,20848042","5,25054129","5,27025592","0,83146167",,"0,67696605"
12/06/2011 10.00,"3,19674119","5,7132319","5,6016342","0,83608322",,"0,60611471"
12/06/2011 11.00,"2,57093837","6,35178637","6,33701808","0,83756394",,"0,53245645"
12/06/2011 12.00,"2,73258137","5,28558442","5,58801502","0,84103913",,"0,4496035"
12/06/2011 13.00,"2,88248513","6,56982894","6,34609626","0,85519971",,"0,46628433"
12/06/2011 14.00,"2,80663016","6,06300936","6,26503702","0,8521777",,"0,43974978"
12/06/2011 15.00,"3,06851071","2,52890298","2,33520208","0,82638693",,"0,37930337"
12/06/2011 16.00,"3,58685222","1,48736201","1,3293983","0,820047",,"0,33658327"
12/06/2011 17.00,"4,13047838","2,45103295","2,45711885","0,82879615",,"0,25769458"
12/06/2011 18.00,"5,29810218","2,88581984","2,82156899","0,8389666",,"0,29755183"
12/06/2011 19.00,"4,42667353","6,00330716","5,97970161","0,863731",,"0,27767863"
12/06/2011 20.00,"3,70966514","7,93713838","7,74358853","0,88345911",,"0,32122454"
12/06/2011 21.00,"4,17111465","10,02476322","9,9166683","0,87869892",,"0,40627828"
12/06/2011 22.00,"4,51246256","17,84898462","17,46051975","0,93150604",,"0,49248835"
12/06/2011 23.00,"3,47126406","20,12997576","20,0174928","0,90662397",,"0,57710275"
13/06/2011 0.00,"3,71779198","11,28499493","11,09172806","0,89193099",,"0,61167465"
13/06/2011 1.00,"3,18500195","8,40112724","8,26302539","0,87307081",,"0,57468026"
13/06/2011 2.00,"3,86859884","7,34855212","7,06462012","0,8619136",,"0,57765295"
13/06/2011 3.00,"3,45500935","4,8709156","4,87403025","0,85472555",,"0,87658179"
13/06/2011 4.00,"3,984187","3,23170064","3,2061219",,,"0,95937881"
13/06/2011 5.00,"3,74488283",,,"0,82133083",,"0,72139166"
13/06/2011 6.00,"4,11783605","13,36548228","13,45481474","0,82869712",,"0,78800414"
13/06/2011 7.00,"3,99863552","19,90609968","20,44356288","0,87814671",,"1,16196725"
13/06/2011 8.00,"4,39055274","30,87960304","33,11694896","0,94355331",,"1,67069607"
13/06/2011 9.00,"3,77829535","23,25397344","24,89477536","0,92236312",,"1,4560511"
13/06/2011 10.00,"3,56698512","17,69129242","19,01235058","0,89892216",,"1,15007648"
13/06/2011 11.00,"3,97696325","17,30646991","18,40342064","0,90443144",,"0,8934823"
13/06/2011 12.00,"3,92097434","16,68154418","17,57335834","0,87696191",,"0,93185269"
13/06/2011 13.00,"6,63639791","15,98523967","16,4456378","0,87577594",,"0,87509494"
13/06/2011 14.00,"4,38242487","16,29737367","17,19399269","0,8690236",,"0,78591218"
13/06/2011 15.00,"5,26649585","12,59908576","12,98984885","0,89503106",,"0,72893373"
13/06/2011 16.00,"5,10575595","7,30507324","7,31947634","0,82490621",,"0,58244302"
13/06/2011 17.00,"6,05665095","10,5004325","10,62351941","0,87522373",,"0,46144036"
13/06/2011 18.00,"5,17438616","13,21687208","13,41396104","0,9005019",,"0,48191867"
13/06/2011 19.00,"6,18217214","20,49598992","21,72043472","0,93047968",,"0,48902038"
13/06/2011 20.00,"6,0656809","22,3519492","22,807292","0,96069512",,"0,67602939"
13/06/2011 21.00,"5,08498576","23,47006768","23,9803996","0,90986267",,"0,79317864"
13/06/2011 22.00,"4,8438754","25,82568992","26,35776128","0,94738499",,"0,7734702"
13/06/2011 23.00,"5,01996692","21,28769176","21,66336152","0,91655676",,"0,83325658"
14/06/2011 0.00,"5,54192081","17,7853915","17,85999009","0,91219267",,"0,7734702"
14/06/2011 1.00,"5,13645918","11,50108726","11,0430906","0,86979366",,"0,67536936"
14/06/2011 2.00,"4,92334277","9,33040322","9,27855742","0,85610724",,"0,55238457"
14/06/2011 3.00,"5,59610352","7,75867994","7,52764151","0,84872231",,"0,5342179"
14/06/2011 4.00,"5,26107728","6,36606136","6,19045946","0,84694452",,"0,53531829"
14/06/2011 5.00,"5,83540769","7,35244686","7,02441458","0,84589718",,"0,49397521"
14/06/2011 6.00,"5,6520914","8,54454062","8,56846357","0,85845705",,"0,45626485"
14/06/2011 7.00,"5,74058871","16,30905982","16,32761386","0,89643372",,"0,45620993"
14/06/2011 8.00,"5,0064215","23,19101128","25,43367256","0,92680643",,"0,52216136"
14/06/2011 9.00,"6,28421487","29,1359164","32,43667848","0,9812131",,"0,72497048"
14/06/2011 10.00,"4,98294303","20,78670952","22,81572392","0,95506584",,"0,90185018"
14/06/2011 11.00,"4,60818362","20,4044816","21,92274344","0,94762149",,"0,95277238"
14/06/2011 12.00,"4,97300999","14,40507492","15,88404898","0,91471956",,"0,85109272"
14/06/2011 13.00,"6,79172025","13,8061065","14,73687384","0,91714975",,"0,79064631"
14/06/2011 14.00,"4,91973038","11,39660984","11,85434838","0,90798586",,"0,71346415"
14/06/2011 15.00,"6,18488143","8,0532962","8,30582551","0,88114892",,"0,63297978"
14/06/2011 16.00,"7,04366674","7,71649931","7,46862954","0,91243033",,"0,52260172"
14/06/2011 17.00,"6,5144891","9,08380684","9,44716332","0,90693969",,"0,54616358"
14/06/2011 18.00,"6,19029899","11,10069151","11,5080565","0,92722117",,"0,52876779"
14/06/2011 19.00,"7,45906243","12,46540637","12,64355697","0,94007695",,"0,54709922"
14/06/2011 20.00,"6,51990767","19,25261632","19,48702752","0,97769713",,"0,60716019"
14/06/2011 21.00,"6,90098774","19,70686928","19,69973752","0,98370154",,"0,75728566"
14/06/2011 22.00,"6,694193","23,27603792","23,80596784","1,00032842",,"0,85511191"
14/06/2011 23.00,"5,86972229","14,44855954","14,60458256","0,94973363",,"0,86969975"
15/06/2011 0.00,"5,19605843","11,79765566","11,78755457","0,92882072",,"0,67256142"
15/06/2011 1.00,"5,581655","8,87290177","8,99387018","0,89516969",,"0,62653912"
15/06/2011 2.00,"6,11534813","6,48027659","6,42391466","0,87996411",,"0,57341409"
15/06/2011 3.00,"5,56178791","4,77681843","4,54265388","0,87064295",,"0,45208091"
15/06/2011 4.00,"6,20294234","4,24144696","3,91686393",,,"0,43176735"
15/06/2011 5.00,"6,14876064",,,"0,84062556",,"0,37209182"
15/06/2011 6.00,"5,78212808","13,53615505","13,36208083","0,8630588",,"0,36520979"
15/06/2011 7.00,"5,91848642","18,11634149","18,13754174","0,90844137",,"0,41376543"
15/06/2011 8.00,"6,37451837","28,16121704","31,08588872","0,93164468",,"0,51775775"
15/06/2011 9.00,"5,75413413","20,34867032","21,97073464","0,96274785",,"0,65131223"
15/06/2011 10.00,"5,26378657","18,91972374","20,28467568","0,92098143",,"0,67861766"
15/06/2011 11.00,"6,76192011","16,2564932","17,47997626","0,91033683",,"0,73548525"
15/06/2011 12.00,"6,94343021","14,4628307","15,57666439","0,91983624",,"0,75128434"
15/06/2011 13.00,"5,83811596","17,11179198","17,96050393","0,91503644",,"0,79461058"
15/06/2011 14.00,"7,6252209","12,60493266","13,8555795","0,92066455",,
15/06/2011 15.00,"9,38704018","9,21424348","9,7720561","0,94501538",,
15/06/2011 16.00,"3,52322259","6,65302197","7,23816471","0,83708862",,
15/06/2011 17.00,,"6,99877466","6,93038434","0,82259485",,"0,32227001"
15/06/2011 18.00,"3,32226339","10,8651312","11,120909","0,7997061",,"0,50515102"
15/06/2011 19.00,"2,06975467","11,85865802","12,08002174","0,74759099",,"0,53091468"
15/06/2011 20.00,"4,27767286","15,4206624","15,799095","0,81064661",,"0,58932404"
15/06/2011 21.00,"5,35318697","21,89379576","22,78069608","0,89846781",,"0,6771308"
15/06/2011 22.00,"2,76599389","20,35905248","20,41243552","0,86704776",,"0,92755892"
15/06/2011 23.00,"3,49113014","14,50176858","14,55529885","0,85897081",,"0,93807368"
16/06/2011 0.00,"2,94931017","10,43812806","10,18189903","0,81757953",,"0,72574137"
16/06/2011 1.00,"3,22654132","7,14284004","6,72416558","0,79613188",,"0,64762357"
16/06/2011 2.00,"2,81746629","5,48740367","4,9940006","0,79733649",,"0,52695041"
16/06/2011 3.00,"3,12088621","4,70803041","4,07379706","0,78837065",,"0,46408253"
16/06/2011 4.00,"3,18229267","3,53280814","3,26189112","0,77800331",,"0,41794937"
16/06/2011 5.00,"2,79489092","3,44390396","3,19250273","0,75983397",,"0,35491571"
16/06/2011 6.00,"3,05767355","4,79628642","4,39868984","0,77914851",,"0,44162106"
16/06/2011 7.00,"3,12901407","12,50693883","12,43733821","0,7959548",,"0,35805316"
16/06/2011 8.00,"2,28377317","31,9555428","34,42559824","0,87056256",,"0,46964246"
16/06/2011 9.00,"1,71124997","30,2838812","33,220044","0,86882555",,"0,65940449"
16/06/2011 10.00,"2,23049457","16,62833322","17,54158282","0,79255766",,"0,86518631"
16/06/2011 11.00,"0,66553599","10,22463223","10,93544118","0,738843",,"0,78095735"
16/06/2011 12.00,"1,62275266","7,63018972","7,47446497","0,70677055",,"0,67151595"
16/06/2011 13.00,"2,57184147","9,26875269","9,92120739","0,71544048",,"0,54908135"
16/06/2011 14.00,"3,16784415","12,54328213","13,13705564","0,77928714",,"0,53080484"
