STATTE,,,,
,,,,,,,,,
,SO2,NO2,PM10,O3
03/01/2011 5.00,"3,55","0,21","17,90","65,87"
03/01/2011 6.00,"3,90","0,78","17,90","56,31"
03/01/2011 7.00,"3,88","1,89","17,90","49,83"
03/01/2011 8.00,"3,95","2,66","17,90","47,26"
03/01/2011 9.00,"3,77","1,57","17,90","49,45"
03/01/2011 10.00,"3,28","0,43","17,90","56,20"
03/01/2011 11.00,"3,51","0,03","17,90","59,71"
03/01/2011 12.00,"3,31","0,01","17,90","64,29"
03/01/2011 13.00,"3,44","1,91","17,90","67,35"
03/01/2011 14.00,"3,60","3,46","17,90","65,25"
03/01/2011 15.00,"3,77","9,31","17,90","61,08"
03/01/2011 16.00,"3,78","4,88","17,90","68,85"
03/01/2011 17.00,"3,62","3,65","17,90","66,70"
03/01/2011 18.00,"3,73","0,70","17,90","60,23"
03/01/2011 19.00,"4,06","1,13","17,90","64,62"
03/01/2011 20.00,"3,92","1,74","17,90","62,81"
03/01/2011 21.00,"3,90","1,12","17,90","56,94"
03/01/2011 22.00,"4,04","1,40","17,90","57,25"
03/01/2011 23.00,"3,75","0,78","17,90","42,47"
04/01/2011 0.00,"3,38",,"17,90","47,89"
04/01/2011 1.00,,,"25,10","53,00"
04/01/2011 2.00,"3,62",,"25,10","61,28"
04/01/2011 3.00,"3,43",,"25,10","61,16"
04/01/2011 4.00,"3,53",,"25,10","63,88"
04/01/2011 5.00,"3,59",,"25,10","59,04"
04/01/2011 6.00,"3,60",,"25,10","63,39"
04/01/2011 7.00,"3,41",,"25,10","70,39"
04/01/2011 8.00,"3,19",,"25,10","64,64"
04/01/2011 9.00,"3,41",,"25,10","63,58"
04/01/2011 10.00,"3,73",,"25,10","71,37"
04/01/2011 11.00,"4,44",,"25,10","69,86"
04/01/2011 12.00,"3,68",,"25,10","74,20"
04/01/2011 13.00,"3,96",,"25,10","76,78"
04/01/2011 14.00,"3,85","2,37","25,10","77,56"
04/01/2011 15.00,"3,91","3,07","25,10","78,71"
04/01/2011 16.00,"3,84","6,73","25,10","77,96"
04/01/2011 17.00,"3,86","19,27","25,10","62,72"
04/01/2011 18.00,"3,98","41,69","25,10","42,66"
04/01/2011 19.00,"3,72","24,77","25,10","46,92"
04/01/2011 20.00,"3,87","26,26","25,10","49,23"
04/01/2011 21.00,"3,77","64,58","25,10","34,91"
04/01/2011 22.00,"3,81","44,08","25,10","34,08"
04/01/2011 23.00,"3,94","23,17","25,10","37,45"
05/01/2011 0.00,"3,89","32,09","25,10","34,48"
05/01/2011 1.00,"3,68","15,44","24,70","45,87"
05/01/2011 2.00,"3,68","1,50","24,70","59,58"
05/01/2011 3.00,"3,69",,"24,70","70,19"
05/01/2011 4.00,"3,64",,"24,70","72,15"
05/01/2011 5.00,"3,31",,"24,70","70,77"
05/01/2011 6.00,"3,39",,"24,70","66,75"
05/01/2011 7.00,"3,67","0,54","24,70","66,86"
05/01/2011 8.00,"3,46","12,20","24,70","55,45"
05/01/2011 9.00,"3,80","19,61","24,70","53,09"
05/01/2011 10.00,"3,66","15,57","24,70","56,69"
05/01/2011 11.00,"3,89","11,65","24,70","59,48"
05/01/2011 12.00,"3,83","21,54","24,70","56,52"
05/01/2011 13.00,"4,03","38,07","24,70","54,82"
05/01/2011 14.00,"3,79","25,06","24,70","63,74"
05/01/2011 15.00,"3,91","27,64","24,70","56,54"
05/01/2011 16.00,"4,03","38,22","24,70","46,00"
05/01/2011 17.00,"3,86","45,79","24,70","43,02"
05/01/2011 18.00,"4,07","32,40","24,70","52,34"
05/01/2011 19.00,"3,85","27,54","24,70","52,45"
05/01/2011 20.00,"3,84","22,72","24,70","52,77"
05/01/2011 21.00,"3,84","21,58","24,70","54,72"
05/01/2011 22.00,"3,81","22,69","24,70","51,72"
05/01/2011 23.00,"3,80","23,14","24,70","45,68"
06/01/2011 0.00,"3,60","15,84","24,70","48,84"
06/01/2011 1.00,,"15,34","43,90","48,08"
06/01/2011 2.00,"3,60","13,89","43,90","42,97"
06/01/2011 3.00,"3,51","13,82","43,90","38,19"
06/01/2011 4.00,"3,46","3,89","43,90","40,24"
06/01/2011 5.00,"3,42","0,36","43,90","38,60"
06/01/2011 6.00,"3,39","1,99","43,90","38,75"
06/01/2011 7.00,"3,63","1,32","43,90","45,11"
06/01/2011 8.00,"3,75","10,68","43,90","42,54"
06/01/2011 9.00,"3,61","14,74","43,90","48,44"
06/01/2011 10.00,"3,71","15,12","43,90","41,67"
06/01/2011 11.00,"3,67","11,64","43,90","49,23"
06/01/2011 12.00,"3,86","20,89","43,90","52,82"
06/01/2011 13.00,"3,68","12,27","43,90","65,82"
06/01/2011 14.00,"3,72","17,12","43,90","66,91"
06/01/2011 15.00,"4,06","36,09","43,90","59,54"
06/01/2011 16.00,"5,16","30,98","43,90","61,48"
06/01/2011 17.00,"4,22","21,61","43,90","52,94"
06/01/2011 18.00,"4,04","63,79","43,90","33,61"
06/01/2011 19.00,"4,34","87,66","43,90","18,37"
06/01/2011 20.00,"4,34","81,82","43,90","17,66"
06/01/2011 21.00,"4,37","86,81","43,90","16,36"
06/01/2011 22.00,"4,26","82,58","43,90","16,49"
06/01/2011 23.00,"3,99","65,52","43,90","18,06"
07/01/2011 0.00,"3,96","45,08","43,90","23,94"
07/01/2011 1.00,"3,73","21,43","33,80","37,32"
07/01/2011 2.00,"3,54","7,26","33,80","49,55"
07/01/2011 3.00,"3,63","5,20","33,80","57,72"
07/01/2011 4.00,"3,54","3,67","33,80","62,29"
07/01/2011 5.00,"3,54","4,29","33,80","58,53"
07/01/2011 6.00,"3,66","9,66","33,80","54,50"
07/01/2011 7.00,"3,41","35,19","33,80","39,27"
07/01/2011 8.00,"3,47","60,95","33,80","29,59"
07/01/2011 9.00,"3,65","70,74","33,80","26,55"
07/01/2011 10.00,"3,86","68,35","33,80","24,89"
07/01/2011 11.00,"3,87","57,68","33,80","31,66"
07/01/2011 12.00,"3,96","52,93","33,80","35,24"
07/01/2011 13.00,"4,02","53,35","33,80","43,89"
07/01/2011 14.00,"3,91","36,11","33,80","57,77"
07/01/2011 15.00,"3,80","31,66","33,80","62,64"
07/01/2011 16.00,"3,67","29,11","33,80","62,06"
07/01/2011 17.00,"3,54","29,88","33,80","53,13"
07/01/2011 18.00,"3,59","53,60","33,80","36,74"
07/01/2011 19.00,"3,78","55,39","33,80","38,21"
07/01/2011 20.00,"3,57","60,71","33,80","40,44"
07/01/2011 21.00,"3,58","58,10","33,80","38,81"
07/01/2011 22.00,"3,46","46,01","33,80","44,30"
07/01/2011 23.00,"3,36","30,84","33,80","49,85"
08/01/2011 0.00,"3,29","12,38","33,80","63,88"
08/01/2011 1.00,,"10,60","25,10","68,61"
08/01/2011 2.00,"3,38","9,00","25,10","67,39"
08/01/2011 3.00,"3,42","7,97","25,10","66,04"
08/01/2011 4.00,"3,23","7,16","25,10","67,85"
08/01/2011 5.00,"3,16","6,85","25,10","62,90"
08/01/2011 6.00,"3,39","8,40","25,10","58,44"
08/01/2011 7.00,"3,25","14,51","25,10","49,57"
08/01/2011 8.00,"3,37","20,39","25,10","47,34"
08/01/2011 9.00,"3,17","22,90","25,10","51,60"
08/01/2011 10.00,"3,34","20,24","25,10","59,44"
08/01/2011 11.00,"3,31","37,03","25,10","49,12"
08/01/2011 12.00,"3,28","38,26","25,10","54,97"
08/01/2011 13.00,"3,52","27,26","25,10","63,41"
08/01/2011 14.00,"3,42","20,22","25,10","68,76"
08/01/2011 15.00,"3,29","16,51","25,10","69,66"
08/01/2011 16.00,"3,21","16,84","25,10","67,91"
08/01/2011 17.00,"3,33","19,07","25,10","63,56"
08/01/2011 18.00,"3,45","24,81","25,10","57,91"
08/01/2011 19.00,"3,38","26,30","25,10","58,89"
08/01/2011 20.00,"3,33","34,68","25,10","47,99"
08/01/2011 21.00,"3,57","45,02","25,10","43,89"
08/01/2011 22.00,"3,60","46,01","25,10","40,67"
08/01/2011 23.00,"3,50","41,03","25,10","38,50"
09/01/2011 0.00,"3,21","33,37","25,10","39,73"
09/01/2011 1.00,"3,33","29,82","54,30","47,58"
09/01/2011 2.00,"3,41","24,91","54,30","45,51"
09/01/2011 3.00,"3,42","22,53","54,30","48,51"
09/01/2011 4.00,"3,40","27,10","54,30","42,10"
09/01/2011 5.00,"3,10","41,03","54,30","31,72"
09/01/2011 6.00,"3,60","91,29","54,30","6,57"
09/01/2011 7.00,"3,70","82,36","54,30","5,97"
09/01/2011 8.00,"3,85","84,57","54,30","6,41"
09/01/2011 9.00,"4,07","87,37","54,30","7,36"
09/01/2011 10.00,"4,14","87,13","54,30","8,05"
09/01/2011 11.00,"3,70","82,60","54,30","18,39"
09/01/2011 12.00,"3,55","51,76","54,30","35,89"
09/01/2011 13.00,"3,57","59,58","54,30","29,50"
09/01/2011 14.00,"3,83","89,28","54,30","20,59"
09/01/2011 15.00,"4,12","99,19","54,30","13,96"
09/01/2011 16.00,"4,04","75,47","54,30","17,62"
09/01/2011 17.00,"3,70","37,35","54,30","36,29"
09/01/2011 18.00,"3,56","65,45","54,30","18,17"
09/01/2011 19.00,"3,63","82,41","54,30","9,00"
09/01/2011 20.00,"3,34","80,51","54,30","9,32"
09/01/2011 21.00,"3,23","41,52","54,30","24,07"
09/01/2011 22.00,"3,11","33,17","54,30","25,65"
09/01/2011 23.00,"3,04","35,89","54,30","26,37"
10/01/2011 0.00,"3,01","46,10","54,30","20,99"
10/01/2011 1.00,,"46,84","39,10","14,95"
10/01/2011 2.00,"3,18","51,68","39,10","14,41"
10/01/2011 3.00,"3,23","64,44","39,10","7,36"
10/01/2011 4.00,"3,19","54,89","39,10","16,67"
10/01/2011 5.00,"3,26","39,03","39,10","21,74"
10/01/2011 6.00,"3,18","49,72","39,10","22,46"
10/01/2011 7.00,"3,10","25,12","39,10","42,06"
10/01/2011 8.00,"3,15","32,63","39,10","26,49"
10/01/2011 9.00,"3,52","49,19","39,10","18,80"
10/01/2011 10.00,"3,51","55,09","39,10","19,97"
10/01/2011 11.00,"3,69","50,10","39,10","35,60"
10/01/2011 12.00,"3,68","47,16","39,10","43,02"
10/01/2011 13.00,"3,66","36,89","39,10","54,84"
10/01/2011 14.00,"3,58","31,63","39,10","58,83"
10/01/2011 15.00,"3,61","25,08","39,10","62,18"
10/01/2011 16.00,"3,66","22,05","39,10","59,86"
10/01/2011 17.00,"3,68","26,46","39,10","63,25"
10/01/2011 18.00,"3,56","31,65","39,10","60,52"
10/01/2011 19.00,"3,46","32,69","39,10","58,69"
10/01/2011 20.00,"3,45","29,46","39,10","57,79"
10/01/2011 21.00,"3,44","26,74","39,10","57,78"
10/01/2011 22.00,"3,44","22,98","39,10","56,56"
10/01/2011 23.00,"3,41","16,93","39,10","54,40"
11/01/2011 0.00,"3,32","15,41","39,10","64,75"
11/01/2011 1.00,"3,29","10,73","31,80","60,87"
11/01/2011 2.00,"3,40","8,23","31,80","65,32"
11/01/2011 3.00,"3,41","7,36","31,80","62,16"
11/01/2011 4.00,"3,21","6,80","31,80","62,73"
11/01/2011 5.00,"3,36","6,51","31,80","49,26"
11/01/2011 6.00,"3,35","15,02","31,80","46,95"
11/01/2011 7.00,"3,40","21,14","31,80","46,21"
11/01/2011 8.00,"3,42","30,71","31,80","39,82"
11/01/2011 9.00,"3,59","25,26","31,80","46,75"
11/01/2011 10.00,"3,32","20,47","31,80","53,07"
11/01/2011 11.00,"3,43","24,36","31,80","52,00"
11/01/2011 12.00,"3,51","21,53","31,80","62,74"
11/01/2011 13.00,"3,42","38,59","31,80","39,34"
11/01/2011 14.00,"3,51","49,37","31,80","36,35"
11/01/2011 15.00,"3,58","55,58","31,80","36,34"
11/01/2011 16.00,"3,46","36,52","31,80","43,09"
11/01/2011 17.00,"3,37","47,66","31,80","30,98"
11/01/2011 18.00,"3,36","25,70","31,80","33,81"
11/01/2011 19.00,"3,49","47,08","31,80","34,39"
11/01/2011 20.00,"3,42","61,65","31,80","17,15"
11/01/2011 21.00,"3,42","60,20","31,80","20,16"
11/01/2011 22.00,"3,32","26,86","31,80","36,52"
11/01/2011 23.00,"3,07","18,68","31,80","38,34"
12/01/2011 0.00,"3,21","20,75","31,80","42,22"
12/01/2011 1.00,,"16,68","15,20","39,11"
12/01/2011 2.00,"3,29","8,70","15,20","50,51"
12/01/2011 3.00,"3,36","6,16","15,20","59,44"
12/01/2011 4.00,"3,18","5,31","15,20","65,41"
12/01/2011 5.00,"3,26","5,71","15,20","67,26"
12/01/2011 6.00,"3,17","2,54","15,20","70,42"
12/01/2011 7.00,"3,22","2,31","15,20","66,38"
12/01/2011 8.00,"3,07","19,90","15,20","47,36"
12/01/2011 9.00,"3,05","56,12","15,20","25,89"
12/01/2011 10.00,"3,01","14,72","15,20","50,07"
12/01/2011 11.00,"2,96","12,73","15,20","68,82"
12/01/2011 12.00,"3,21","12,29","15,20","75,72"
12/01/2011 13.00,"3,19","11,00","15,20","82,67"
12/01/2011 14.00,"3,50","14,91","15,20","79,61"
12/01/2011 15.00,"3,59","11,23","15,20","81,56"
12/01/2011 16.00,"3,59","10,50","15,20","80,49"
12/01/2011 17.00,"3,37","15,25","15,20","77,15"
12/01/2011 18.00,"3,31","15,39","15,20","78,06"
12/01/2011 19.00,"3,44","9,20","15,20","82,23"
12/01/2011 20.00,"3,10","7,80","15,20","75,01"
12/01/2011 21.00,"3,07","6,59","15,20","68,63"
12/01/2011 22.00,"3,12","4,55","15,20","64,75"
12/01/2011 23.00,"3,10","4,48","15,20","58,98"
13/01/2011 0.00,"3,45","3,81","15,20","63,36"
13/01/2011 1.00,"3,42","5,64","27,40","57,95"
13/01/2011 2.00,"3,42","6,19","27,40","56,18"
13/01/2011 3.00,"3,39","7,65","27,40","54,62"
13/01/2011 4.00,"3,19","7,72","27,40","51,76"
13/01/2011 5.00,"3,01","8,11","27,40","51,00"
13/01/2011 6.00,"2,92","7,85","27,40","48,77"
13/01/2011 7.00,"3,07","5,68","27,40","50,18"
13/01/2011 8.00,"3,05","6,82","27,40","48,43"
13/01/2011 9.00,"2,96","9,06","27,40","49,63"
13/01/2011 10.00,"3,14","10,41","27,40","54,60"
13/01/2011 11.00,"3,00","14,62","27,40","55,68"
13/01/2011 12.00,"3,34","12,65","27,40","62,59"
13/01/2011 13.00,"3,30","12,91","27,40","66,80"
13/01/2011 14.00,"3,33","16,52","27,40","69,09"
13/01/2011 15.00,"3,58","13,61","27,40","73,98"
13/01/2011 16.00,"3,61","15,58","27,40","69,76"
13/01/2011 17.00,"3,68","24,21","27,40","67,49"
13/01/2011 18.00,"3,72","38,00","27,40","56,71"
13/01/2011 19.00,"3,84","38,57","27,40","55,30"
13/01/2011 20.00,"3,53","35,87","27,40","46,69"
13/01/2011 21.00,"3,59","50,94","27,40","33,10"
13/01/2011 22.00,"3,90","72,56","27,40","22,26"
13/01/2011 23.00,"3,57","31,69","27,40","40,88"
14/01/2011 0.00,"3,56","11,45","27,40","51,62"
14/01/2011 1.00,,"6,15","29,20","55,51"
14/01/2011 2.00,"3,44","3,95","29,20","62,16"
14/01/2011 3.00,"3,43","3,26","29,20","58,62"
14/01/2011 4.00,"3,48","3,72","29,20","49,94"
14/01/2011 5.00,"3,32","6,74","29,20","67,63"
14/01/2011 6.00,"3,28","5,19","29,20","69,95"
14/01/2011 7.00,"3,38","7,95","29,20","66,19"
14/01/2011 8.00,"3,54","11,49","29,20","55,65"
14/01/2011 9.00,"3,46","16,19","29,20","46,67"
14/01/2011 10.00,"3,44","6,67","29,20","58,55"
14/01/2011 11.00,"4,04","24,61","29,20","51,93"
14/01/2011 12.00,"4,01","30,91","29,20","60,64"
14/01/2011 13.00,"3,93","13,04","29,20","86,80"
14/01/2011 14.00,"3,75","16,58","29,20","83,65"
14/01/2011 15.00,"3,98","14,93","29,20","79,27"
14/01/2011 16.00,"3,89","42,58","29,20","55,81"
14/01/2011 17.00,"4,02","34,19","29,20","68,29"
14/01/2011 18.00,"4,09","33,71","29,20","59,54"
14/01/2011 19.00,"4,63","38,45","29,20","53,92"
14/01/2011 20.00,"4,33","35,99","29,20","58,75"
14/01/2011 21.00,"5,41","62,91","29,20","55,85"
14/01/2011 22.00,"5,68","90,30","29,20","35,54"
14/01/2011 23.00,"4,99","50,41","29,20","50,61"
15/01/2011 0.00,"4,52","42,99","29,20","49,96"
15/01/2011 1.00,"3,97","22,78","31,70","60,00"
15/01/2011 2.00,"3,98","18,05","31,70","62,47"
15/01/2011 3.00,"3,65","11,16","31,70","71,72"
15/01/2011 4.00,"3,79","12,27","31,70","70,72"
15/01/2011 5.00,"3,70","14,01","31,70","62,62"
15/01/2011 6.00,"3,78","19,02","31,70","54,23"
15/01/2011 7.00,"3,90","45,10","31,70","36,31"
15/01/2011 8.00,"4,73","94,98","31,70","16,08"
15/01/2011 9.00,"4,87","73,16","31,70","35,85"
15/01/2011 10.00,"4,25","31,95","31,70","46,30"
15/01/2011 11.00,"4,33","38,04","31,70","42,60"
15/01/2011 12.00,"4,31","21,51","31,70","63,97"
15/01/2011 13.00,"4,41","17,87","31,70","86,40"
15/01/2011 14.00,"4,14","13,45","31,70","79,10"
15/01/2011 15.00,"4,26","12,27","31,70","78,86"
15/01/2011 16.00,"4,09","11,48","31,70","81,31"
15/01/2011 17.00,"4,12","11,83","31,70","73,76"
15/01/2011 18.00,"4,16","14,48","31,70","65,82"
15/01/2011 19.00,"4,18","13,92","31,70","61,80"
15/01/2011 20.00,"4,00","14,68","31,70","61,20"
15/01/2011 21.00,"4,09","15,53","31,70","58,89"
15/01/2011 22.00,"3,91","15,04","31,70","59,54"
15/01/2011 23.00,"3,66","15,52","31,70","55,31"
16/01/2011 0.00,"3,73","15,53","31,70","50,62"
16/01/2011 1.00,,"19,31","27,20","44,54"
16/01/2011 2.00,"3,78","18,41","27,20","44,36"
16/01/2011 3.00,"3,71","18,07","27,20","43,33"
16/01/2011 4.00,"3,66","18,06","27,20","41,62"
16/01/2011 5.00,"3,67","16,91","27,20","40,58"
16/01/2011 6.00,"3,73","14,90","27,20","41,32"
16/01/2011 7.00,"3,65","14,09","27,20","41,52"
16/01/2011 8.00,"3,79","15,38","27,20","41,29"
16/01/2011 9.00,"3,76","15,79","27,20","42,19"
16/01/2011 10.00,"3,85","14,68","27,20","46,61"
16/01/2011 11.00,"3,90","13,92","27,20","55,19"
16/01/2011 12.00,"3,95","14,41","27,20","58,38"
16/01/2011 13.00,"3,96","13,58","27,20","62,65"
16/01/2011 14.00,"3,80","13,38","27,20","66,23"
16/01/2011 15.00,"3,83","11,92","27,20","68,79"
16/01/2011 16.00,"3,94","11,31","27,20","70,38"
16/01/2011 17.00,"4,05","12,74","27,20","67,96"
16/01/2011 18.00,"4,01","15,85","27,20","62,73"
16/01/2011 19.00,"3,96","18,42","27,20","57,99"
16/01/2011 20.00,"4,14","21,93","27,20","53,22"
16/01/2011 21.00,"3,85","18,83","27,20","53,54"
16/01/2011 22.00,"3,82","15,54","27,20","54,54"
16/01/2011 23.00,"3,86","13,34","27,20","54,81"
17/01/2011 0.00,"3,81","14,72","27,20","50,72"
17/01/2011 1.00,"3,77","12,81","41,20","51,33"
17/01/2011 2.00,"3,60","10,33","41,20","48,49"
17/01/2011 3.00,"3,45","10,29","41,20","48,38"
17/01/2011 4.00,"3,58","9,42","41,20","43,60"
17/01/2011 5.00,"3,57","9,61","41,20","51,66"
17/01/2011 6.00,"3,65","9,00","41,20","45,44"
17/01/2011 7.00,"3,62","10,59","41,20","47,62"
17/01/2011 8.00,"3,68","22,92","41,20","42,96"
17/01/2011 9.00,"3,93","29,63","41,20","36,86"
17/01/2011 10.00,"3,68","27,41","41,20","37,87"
17/01/2011 11.00,"3,69","18,47","41,20","44,37"
17/01/2011 12.00,"3,67","16,80","41,20","46,73"
17/01/2011 13.00,"3,81","28,54","41,20","49,31"
17/01/2011 14.00,"3,58","25,11","41,20","52,61"
17/01/2011 15.00,"3,83","30,97","41,20","50,51"
17/01/2011 16.00,"3,88","44,52","41,20","44,70"
17/01/2011 17.00,"3,74","28,80","41,20","47,64"
17/01/2011 18.00,"4,46","56,26","41,20","36,12"
17/01/2011 19.00,"4,56","73,55","41,20","20,62"
17/01/2011 20.00,"5,29","97,66","41,20","13,65"
17/01/2011 21.00,"6,19","108,12","41,20","13,46"
17/01/2011 22.00,"6,72","84,43","41,20","18,54"
17/01/2011 23.00,"4,71","60,23","41,20","27,27"
18/01/2011 0.00,"4,26","37,36","41,20","42,39"
18/01/2011 1.00,,"23,09","42,90","49,74"
18/01/2011 2.00,"3,48","17,13","42,90","47,98"
18/01/2011 3.00,"3,30","10,20","42,90","59,23"
18/01/2011 4.00,"3,24","6,94","42,90","62,95"
18/01/2011 5.00,"3,32","10,49","42,90","59,22"
18/01/2011 6.00,"3,35","16,61","42,90","52,36"
18/01/2011 7.00,"3,29","31,72","42,90","45,93"
18/01/2011 8.00,"4,22","83,77","42,90","22,04"
18/01/2011 9.00,"4,93","108,46","42,90","17,98"
18/01/2011 10.00,"4,11","41,56","42,90","37,18"
18/01/2011 11.00,"4,05","31,13","42,90","41,32"
18/01/2011 12.00,"4,62","76,04","42,90","30,15"
18/01/2011 13.00,"5,04","83,25","42,90","33,74"
18/01/2011 14.00,"5,02","61,78","42,90",
18/01/2011 15.00,,"34,36","42,90",
18/01/2011 16.00,"4,70","29,11","42,90","61,87"
18/01/2011 17.00,"4,74","22,82","42,90","62,21"
18/01/2011 18.00,"4,94","27,55","42,90","49,79"
18/01/2011 19.00,"4,64","21,37","42,90","56,14"
18/01/2011 20.00,"4,63","25,73","42,90","42,96"
18/01/2011 21.00,"5,10","36,22","42,90","30,82"
18/01/2011 22.00,"5,31","47,06","42,90","22,73"
18/01/2011 23.00,"5,19","36,17","42,90","33,37"
19/01/2011 0.00,"4,95","35,06","42,90","29,36"
19/01/2011 1.00,"4,78","22,60","50,60","37,35"
19/01/2011 2.00,"4,67","18,43","50,60","47,01"
19/01/2011 3.00,"4,55","15,64","50,60","53,32"
19/01/2011 4.00,"4,59","16,03","50,60","35,31"
19/01/2011 5.00,"4,68","18,83","50,60","28,84"
19/01/2011 6.00,"4,57","23,08","50,60","40,66"
19/01/2011 7.00,"4,72","37,50","50,60","30,87"
19/01/2011 8.00,"4,87","54,83","50,60","15,72"
19/01/2011 9.00,"5,18","38,57","50,60","28,83"
19/01/2011 10.00,"4,93","33,34","50,60","33,52"
19/01/2011 11.00,"4,68","28,20","50,60","41,74"
19/01/2011 12.00,"4,93","29,54","50,60","43,67"
19/01/2011 13.00,"5,07","37,52","50,60","40,16"
19/01/2011 14.00,"4,92","29,26","50,60","48,17"
19/01/2011 15.00,"4,96","25,30","50,60","51,28"
19/01/2011 16.00,"5,00","27,18","50,60","48,20"
19/01/2011 17.00,"4,90","31,39","50,60","42,15"
19/01/2011 18.00,"5,06","29,73","50,60","36,81"
19/01/2011 19.00,"4,95","43,00","50,60","30,22"
19/01/2011 20.00,"4,99","36,72","50,60","34,94"
19/01/2011 21.00,"5,02","51,47","50,60","32,59"
19/01/2011 22.00,"4,99","41,35","50,60","41,11"
19/01/2011 23.00,"4,87","25,68","50,60","51,95"
20/01/2011 0.00,"4,72","17,99","50,60","61,42"
20/01/2011 1.00,,"12,04","29,70","66,84"
20/01/2011 2.00,"4,52","10,37","29,70","69,38"
20/01/2011 3.00,"4,64","8,03","29,70","73,90"
20/01/2011 4.00,"4,52","6,79","29,70","76,28"
20/01/2011 5.00,"4,70","6,74","29,70","64,22"
20/01/2011 6.00,"4,49","11,00","29,70","60,57"
20/01/2011 7.00,"4,64","15,72","29,70","53,85"
20/01/2011 8.00,"4,58","31,29","29,70","39,30"
20/01/2011 9.00,"4,74","30,10","29,70","43,45"
20/01/2011 10.00,"4,77","22,85","29,70","47,34"
20/01/2011 11.00,"4,80","27,96","29,70","44,30"
20/01/2011 12.00,"4,63","20,95","29,70","59,02"
20/01/2011 13.00,"4,70","15,75","29,70","63,26"
20/01/2011 14.00,"4,47","10,01","29,70","70,23"
20/01/2011 15.00,"4,61","15,71","29,70","69,54"
20/01/2011 16.00,"4,60","17,08","29,70","68,47"
20/01/2011 17.00,"4,88","27,10","29,70","55,85"
20/01/2011 18.00,"4,79","29,09","29,70","50,66"
20/01/2011 19.00,"4,86","27,80","29,70","52,17"
20/01/2011 20.00,"4,73","24,00","29,70","54,31"
20/01/2011 21.00,"4,76","25,04","29,70","50,34"
20/01/2011 22.00,"4,82","29,17","29,70","41,77"
20/01/2011 23.00,"5,15","36,03","29,70","29,80"
21/01/2011 0.00,"4,78","29,47","29,70","33,12"
21/01/2011 1.00,"4,52","11,46","17,90","46,29"
