Stat,TA-Talsano,,,,,
Parm,SO2,NOX,NO2,PM10,O3,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K,ng/m3
06/06/2014 2.00,"0,4","10,1","9,6","17,6","59,1","1,0"
06/06/2014 3.00,"0,2","8,3","7,9","17,6","63,5","1,1"
06/06/2014 4.00,"0,3","8,0","7,7","17,6","64,3","1,0"
06/06/2014 5.00,"0,3","8,4","7,8","17,6","71,1","1,1"
06/06/2014 6.00,"0,6","18,6","16,5","17,6","57,1","4,2"
06/06/2014 7.00,"0,6","15,9","13,9","17,6","73,1","4,2"
06/06/2014 8.00,"0,8","13,9","12,0","17,6","89,3","3,0"
06/06/2014 9.00,"2,5","15,2","12,9","17,6","99,5","2,0"
06/06/2014 10.00,"4,0","14,6","12,8","17,6","110,3","2,3"
06/06/2014 11.00,"2,2","9,4","8,0","17,6","121,4","1,8"
06/06/2014 12.00,"0,9","3,4","2,7","17,6","124,2","1,3"
06/06/2014 13.00,"0,7","2,9","1,9","17,6","126,0","1,3"
06/06/2014 14.00,"0,7","2,5","1,7","17,6","126,0","1,2"
06/06/2014 15.00,"0,7","2,3","1,6","17,6","125,4","1,1"
06/06/2014 16.00,"0,7","2,5","2,0","17,6","126,1","1,2"
06/06/2014 17.00,"0,8","3,9","3,2","17,6","126,3","1,6"
06/06/2014 18.00,"0,7","3,5","2,6","17,6","125,0","1,5"
06/06/2014 19.00,"0,7","4,4","3,6","17,6","122,5","1,7"
06/06/2014 20.00,"1,1","9,8","8,9","17,6","111,9","2,7"
06/06/2014 21.00,"1,2","25,0","24,2","17,6","89,6","2,8"
06/06/2014 22.00,"1,2","13,8","13,2","17,6","104,1","1,9"
06/06/2014 23.00,"2,2","32,5","31,6","17,6","83,3","1,4"
07/06/2014 0.00,"2,4","23,5","22,8","17,6","91,1","1,0"
07/06/2014 1.00,,"15,1","14,6","17,0","99,4","1,3"
07/06/2014 2.00,"0,7",,,"17,0","103,6","1,2"
07/06/2014 3.00,"0,6","6,1","5,3","17,0",,"1,3"
07/06/2014 4.00,"0,5","5,7","5,1","17,0","92,5","1,1"
07/06/2014 5.00,"0,4","7,3","6,6","17,0","78,7","1,5"
07/06/2014 6.00,"0,7","10,0","9,0","17,0","75,6","3,0"
07/06/2014 7.00,"0,7","8,1","7,1","17,0","92,9","2,3"
07/06/2014 8.00,"1,7","10,1","8,7","17,0","105,4","1,9"
07/06/2014 9.00,"4,0","11,5","9,9","17,0","122,4","1,6"
07/06/2014 10.00,"2,0","5,7","4,8","17,0","133,2","1,4"
07/06/2014 11.00,"1,4","4,9","4,0","17,0","127,1","1,3"
07/06/2014 12.00,"1,8","3,0","2,1","17,0","130,0","1,2"
07/06/2014 13.00,"2,6","3,3","2,4","17,0","127,6","1,3"
07/06/2014 14.00,"2,6","2,8","2,3","17,0","127,4","1,1"
07/06/2014 15.00,"3,0","2,4","2,0","17,0","126,3","1,1"
07/06/2014 16.00,"3,1","2,7","1,9","17,0","127,0","1,3"
07/06/2014 17.00,"3,1","2,5","1,8","17,0","126,5","1,2"
07/06/2014 18.00,"3,6","3,3","2,8","17,0","122,7","1,4"
07/06/2014 19.00,"3,6","4,9","4,3","17,0","122,5","1,7"
07/06/2014 20.00,"2,2","5,7","5,4","17,0","122,3","1,7"
07/06/2014 21.00,"0,8","11,8","11,0","17,0","105,4","1,6"
07/06/2014 22.00,"0,7","9,8","9,0","17,0","102,4","1,3"
07/06/2014 23.00,"0,7","6,3","5,9","17,0","104,2","1,2"
08/06/2014 0.00,"0,6","5,3","4,9","17,0","127,3","1,1"
08/06/2014 1.00,"3,1","21,7","21,0","16,6","110,2","1,1"
08/06/2014 2.00,"5,4","14,7","13,8","16,6","116,1","1,0"
08/06/2014 3.00,"1,6","3,8","3,4","16,6","117,0","1,0"
08/06/2014 4.00,"0,7","3,7","2,9","16,6","101,2","1,2"
08/06/2014 5.00,"1,3","7,4","6,7","16,6","102,0","1,2"
08/06/2014 6.00,"2,3","4,7","3,8","16,6","120,5","1,1"
08/06/2014 7.00,"2,2","4,8","3,8","16,6","119,7","1,5"
08/06/2014 8.00,"2,1","4,2","3,3","16,6","121,0","1,4"
08/06/2014 9.00,"2,6","3,4","2,7","16,6","122,8","1,2"
08/06/2014 10.00,"2,6","4,0","3,2","16,6","125,4","1,4"
08/06/2014 11.00,"2,6","3,2","2,3","16,6","125,1","1,2"
08/06/2014 12.00,"2,6","2,7","1,7","16,6","123,9","1,2"
08/06/2014 13.00,"2,6","2,5","1,8","16,6","128,7","1,1"
08/06/2014 14.00,"2,1","1,9","1,3","16,6","127,3","1,1"
08/06/2014 15.00,"1,6","1,9","1,3","16,6","125,2","0,9"
08/06/2014 16.00,"2,5","1,9","1,2","16,6","125,5","0,9"
08/06/2014 17.00,"2,6","2,3","1,5","16,6","128,5","1,2"
08/06/2014 18.00,"2,5","3,7","2,9","16,6","127,8","1,5"
08/06/2014 19.00,"2,4","5,2","4,3","16,6","121,6","2,0"
08/06/2014 20.00,"2,1","5,4","4,6","16,6","119,1","1,5"
08/06/2014 21.00,"2,5","8,7","8,3","16,6","115,2","1,3"
08/06/2014 22.00,"2,3","5,7","5,1","16,6","114,0","1,1"
08/06/2014 23.00,"2,4","2,2","1,8","16,6","127,0","0,9"
09/06/2014 0.00,"2,6","2,7","1,8","16,6","125,4","1,0"
09/06/2014 1.00,,"2,0","1,3","21,4","122,5","1,1"
09/06/2014 2.00,"1,7",,,"21,4","115,5","1,0"
09/06/2014 3.00,"0,7","4,3","3,9","21,4",,"0,9"
09/06/2014 4.00,"1,0","5,5","4,8","21,4","103,9","1,0"
09/06/2014 5.00,"0,8","7,6","7,2","21,4","89,7","1,5"
09/06/2014 6.00,"1,0","12,5","11,6","21,4","73,8","3,2"
09/06/2014 7.00,"2,4","14,4","12,8","21,4","84,8","3,3"
09/06/2014 8.00,"2,5","10,2","8,9","21,4","92,5","2,3"
09/06/2014 9.00,"2,2","7,8","6,7","21,4","106,6","1,8"
09/06/2014 10.00,"2,6","19,3","16,8","21,4","101,7","2,8"
09/06/2014 11.00,"2,8","12,9","11,2","21,4","120,8","1,9"
09/06/2014 12.00,"2,6","5,9","5,1","21,4","125,1","1,5"
09/06/2014 13.00,"2,6","6,9","5,4","21,4","131,3","1,8"
09/06/2014 14.00,"4,8","12,4","11,1","21,4","130,4","1,5"
09/06/2014 15.00,"2,6","2,7","2,1","21,4","130,2","1,4"
09/06/2014 16.00,"2,8","3,1","2,2","21,4","133,2","1,9"
09/06/2014 17.00,"2,6","2,7","1,9","21,4","131,2","1,4"
09/06/2014 18.00,"2,7","2,0","1,5","21,4","123,6","1,8"
09/06/2014 19.00,"2,6","3,6","2,8","21,4","112,8","1,8"
09/06/2014 20.00,"2,6","6,0","5,6","21,4","103,1","1,6"
09/06/2014 21.00,"2,6","9,6","9,2","21,4","93,1","1,4"
09/06/2014 22.00,"2,1","5,3","4,7","21,4","104,1","1,2"
09/06/2014 23.00,"0,7","4,0","3,8","21,4","104,3","1,2"
10/06/2014 0.00,"0,7","8,6","8,0","21,4","86,2","1,5"
10/06/2014 1.00,"1,1","34,1","33,3","26,1","63,2","1,2"
10/06/2014 2.00,"3,3","51,9","51,0","26,1","47,9","1,4"
10/06/2014 3.00,"4,1","41,9","41,1","26,1","55,1","1,1"
10/06/2014 4.00,"3,0","10,5","10,0","26,1","76,9","1,4"
10/06/2014 5.00,"2,6","6,8","6,2","26,1","86,4","1,5"
10/06/2014 6.00,"2,8","8,9","8,0","26,1","76,3","2,3"
10/06/2014 7.00,"3,4","9,1","8,2","26,1","87,5","2,8"
10/06/2014 8.00,"3,0","16,9","13,7","26,1","87,7","3,6"
10/06/2014 9.00,"3,1","18,7","15,4","26,1","96,1","2,9"
10/06/2014 10.00,"3,7","10,0","8,7","26,1","114,8","1,8"
10/06/2014 11.00,"3,9","10,5","9,5","26,1","121,6","2,3"
10/06/2014 12.00,"3,9","8,3","7,4","26,1","136,9","1,9"
10/06/2014 13.00,"3,5","6,8","5,7","26,1","141,1","1,9"
10/06/2014 14.00,"2,9","20,6","15,5","26,1","136,4","1,7"
10/06/2014 15.00,"2,6","8,7","7,5","26,1","144,3","1,6"
10/06/2014 16.00,"2,6","4,6","3,9","26,1","141,9","1,9"
10/06/2014 17.00,"2,6","5,3","4,5","26,1","136,7","2,2"
10/06/2014 18.00,"9,9","12,2","10,5","26,1","124,8","2,9"
10/06/2014 19.00,"5,1","11,7","11,2","26,1","123,5","3,2"
10/06/2014 20.00,"4,5","19,9","19,1","26,1","104,2","2,3"
10/06/2014 21.00,"3,7","35,0","34,1","26,1","90,7","1,6"
10/06/2014 22.00,"4,6","35,5","34,6","26,1","83,1","1,1"
10/06/2014 23.00,"3,0","27,5","26,6","26,1","63,0","1,4"
11/06/2014 0.00,"2,6","15,9","15,0","26,1","58,2","1,2"
11/06/2014 1.00,,"8,8","7,9","31,4","72,2","1,1"
11/06/2014 2.00,"2,6",,,"31,4","74,7","1,1"
11/06/2014 3.00,"2,6","16,5","15,7","31,4",,"1,1"
11/06/2014 4.00,"2,1","14,4","13,7","31,4","64,8","1,4"
11/06/2014 5.00,"1,7","11,8","11,1","31,4","66,4","2,0"
11/06/2014 6.00,"2,4","16,3","15,0","31,4","54,3","7,9"
11/06/2014 7.00,"2,6","10,3","9,1","31,4","77,1","3,1"
11/06/2014 8.00,"2,6","12,7","10,6","31,4","87,9","2,6"
11/06/2014 9.00,"5,5","12,4","10,8","31,4","105,0","2,4"
11/06/2014 10.00,"6,9","16,2","14,1","31,4","111,7","2,6"
11/06/2014 11.00,"7,0","15,9","14,1","31,4","126,0","2,5"
11/06/2014 12.00,"3,1","9,0","7,7","31,4","134,4","2,0"
11/06/2014 13.00,"3,8","6,9","5,9","31,4","137,7","1,7"
11/06/2014 14.00,"2,7","4,5","3,6","31,4","142,4","1,3"
11/06/2014 15.00,"2,8","6,2","5,4","31,4","133,7","1,9"
11/06/2014 16.00,"2,9","4,3","3,5","31,4","142,5","1,7"
11/06/2014 17.00,"2,8","5,2","4,6","31,4","133,7","2,1"
11/06/2014 18.00,"2,6","6,2","5,4","31,4","119,1","2,6"
11/06/2014 19.00,"2,4","7,4","6,8","31,4","103,2","2,6"
11/06/2014 20.00,"2,5","8,3","7,4","31,4","96,6","2,1"
11/06/2014 21.00,"2,5","11,9","10,9","31,4","92,3","2,0"
11/06/2014 22.00,"2,4","9,5","9,0","31,4","94,2","1,2"
11/06/2014 23.00,"2,5","12,3","11,5","31,4","90,9","1,4"
12/06/2014 0.00,"2,1","6,2","5,6","31,4","103,0","1,3"
12/06/2014 1.00,"2,3","6,0","5,5","29,1","94,3","1,2"
12/06/2014 2.00,"1,9","5,7","5,4","29,1","90,3","1,0"
12/06/2014 3.00,"2,1","11,1","10,4","29,1","79,2","1,1"
12/06/2014 4.00,"3,8","18,8","18,2","29,1","79,7","4,9"
12/06/2014 5.00,"3,3","17,6","16,8","29,1","79,9","7,3"
12/06/2014 6.00,"3,8","16,3","15,4","29,1","84,9","5,9"
12/06/2014 7.00,"5,5","8,7","7,8","29,1","96,1","4,0"
12/06/2014 8.00,"4,9","10,7","9,2","29,1","96,7","3,0"
12/06/2014 9.00,"5,5","11,3","9,7","29,1","112,0","2,6"
12/06/2014 10.00,"4,8","4,7","3,6","29,1","124,2","1,5"
12/06/2014 11.00,"4,1","6,0","4,1","29,1","125,5","2,8"
12/06/2014 12.00,"3,1","1,9","1,2","29,1","128,7","1,2"
12/06/2014 13.00,"2,9","1,9","1,0","29,1","131,9","1,0"
12/06/2014 14.00,"2,7","1,9","1,0","29,1","132,5","1,0"
12/06/2014 15.00,"2,7","1,9","1,1","29,1","132,6","1,0"
12/06/2014 16.00,"2,9","2,1","1,6","29,1","133,1","1,5"
12/06/2014 17.00,"2,7","2,3","1,5","29,1","132,9","1,4"
12/06/2014 18.00,"2,7","5,7","4,9","29,1","132,4","2,5"
12/06/2014 19.00,"2,6","8,6","7,9","29,1","125,5","3,8"
12/06/2014 20.00,"2,6","10,6","10,3","29,1","131,3","2,3"
12/06/2014 21.00,"2,6","16,0","15,3","29,1","102,9","2,2"
12/06/2014 22.00,"2,6","11,9","11,2","29,1","85,2","2,0"
12/06/2014 23.00,"2,6","9,3","8,5","29,1","86,6","1,2"
13/06/2014 0.00,"2,6","6,6","6,1","29,1","99,7","1,2"
13/06/2014 1.00,,"6,9","5,9","24,8","98,1","1,2"
13/06/2014 2.00,"2,8",,,"24,8","93,3","1,2"
13/06/2014 3.00,"2,6","7,3","6,7","24,8",,"1,1"
13/06/2014 4.00,"2,6","7,9","7,1","24,8","56,6","1,6"
13/06/2014 5.00,"2,6","7,6","6,8","24,8","43,0","1,9"
13/06/2014 6.00,"2,6","9,5","8,4","24,8","52,2","2,2"
13/06/2014 7.00,"3,0","20,0","16,9","24,8","59,3","4,8"
13/06/2014 8.00,"4,9","19,8","17,4","24,8","94,2","4,0"
13/06/2014 9.00,"3,9","15,9","14,0","24,8","98,5","4,2"
13/06/2014 10.00,"3,7","10,0","9,1","24,8","104,2","2,4"
13/06/2014 11.00,"3,7","8,8","7,9","24,8","115,9","2,1"
13/06/2014 12.00,"3,5","9,8","8,7","24,8","111,9","3,3"
13/06/2014 13.00,"3,2","6,7","5,6","24,8","120,5","2,2"
13/06/2014 14.00,"3,0","4,1","3,3","24,8","119,4","1,5"
13/06/2014 15.00,"2,7","3,3","2,5","24,8","121,7","1,9"
13/06/2014 16.00,"3,3","3,9","3,0","24,8","123,6","1,9"
13/06/2014 17.00,"3,6","5,3","4,4","24,8","123,8","2,2"
13/06/2014 18.00,"3,3","6,2","5,5","24,8","120,4","2,7"
13/06/2014 19.00,"3,2","7,6","7,0","24,8","112,3","3,8"
13/06/2014 20.00,"2,6","8,1","7,8","24,8","106,8","3,3"
13/06/2014 21.00,"2,6","10,0","9,4","24,8","99,3","2,6"
13/06/2014 22.00,"2,6","15,2","14,5","24,8","85,8","3,0"
13/06/2014 23.00,"2,6","8,3","7,8","24,8","98,3","1,4"
14/06/2014 0.00,"2,6","9,0","8,4","24,8","78,2","2,1"
14/06/2014 1.00,"2,6","7,8","7,4","25,0","61,9","2,5"
14/06/2014 2.00,"2,6","5,5","5,1","25,0","49,4","2,1"
14/06/2014 3.00,"2,6","7,6","6,8","25,0","51,3","1,5"
14/06/2014 4.00,"2,6","7,5","6,9","25,0","39,9","1,7"
14/06/2014 5.00,"2,6","7,4","6,7","25,0","44,0","1,7"
14/06/2014 6.00,"2,7","16,8","12,1","25,0","41,3","4,2"
14/06/2014 7.00,"3,2","26,3","16,9","25,0","49,6","7,4"
14/06/2014 8.00,"3,7","12,0","10,1","25,0","96,1","4,3"
14/06/2014 9.00,"4,2","8,1","7,2","25,0","119,0","1,7"
14/06/2014 10.00,"3,9","9,0","8,1","25,0","118,8","2,0"
14/06/2014 11.00,"3,5","6,3","5,3","25,0","116,7","2,1"
14/06/2014 12.00,"3,5","6,6","5,7","25,0","118,2","2,1"
14/06/2014 13.00,"3,7","6,7","5,3","25,0","117,6","2,0"
14/06/2014 14.00,"3,4","4,1","3,2","25,0","115,5","1,5"
14/06/2014 15.00,"3,8","3,6","2,7","25,0","118,3","1,4"
14/06/2014 16.00,"3,8","3,6","3,1","25,0","121,8","1,1"
14/06/2014 17.00,"10,2","15,7","13,8","25,0","118,8","1,4"
14/06/2014 18.00,"5,8","9,5","8,5","25,0","122,8","2,3"
14/06/2014 19.00,"5,1","12,6","11,7","25,0","109,3","2,5"
14/06/2014 20.00,"3,3","11,2","10,4","25,0","104,1","2,6"
14/06/2014 21.00,"2,6","13,7","13,0","25,0","97,9","2,1"
14/06/2014 22.00,"2,6","8,8","8,4","25,0","102,8","1,7"
14/06/2014 23.00,"3,2","12,2","11,5","25,0","83,9","1,8"
15/06/2014 0.00,"3,1","13,7","12,9","25,0","73,7","2,0"
15/06/2014 1.00,,"14,8","14,2","17,7","76,0","1,3"
15/06/2014 2.00,"2,8",,,"17,7","70,3","2,0"
15/06/2014 3.00,"2,6","7,9","7,1","17,7",,"1,6"
15/06/2014 4.00,"2,6","8,9","8,1","17,7","42,8","2,1"
15/06/2014 5.00,"2,6","8,1","7,7","17,7","55,5","1,9"
15/06/2014 6.00,"2,7","10,2","9,2","17,7","42,8","3,0"
15/06/2014 7.00,"2,8","11,5","10,2","17,7","52,2","2,6"
15/06/2014 8.00,"3,4","6,6","5,6","17,7","92,0","1,5"
15/06/2014 9.00,"3,9","4,9","4,2","17,7","113,0","1,3"
15/06/2014 10.00,"3,7","4,8","3,9","17,7","117,2","1,2"
15/06/2014 11.00,"3,4","4,4","3,5","17,7","118,6","1,5"
15/06/2014 12.00,"3,9","5,0","4,2","17,7","114,3","1,8"
15/06/2014 13.00,"3,7","4,2","3,5","17,7","116,1","1,5"
15/06/2014 14.00,"4,0","3,5","2,8","17,7","125,6","1,1"
15/06/2014 15.00,"3,8","2,8","1,9","17,7","125,9","1,0"
15/06/2014 16.00,"3,9","4,4","3,6","17,7","121,3","1,6"
15/06/2014 17.00,"3,8","7,0","6,3","17,7","116,1","2,7"
15/06/2014 18.00,"3,6","4,6","3,9","17,7","111,9","1,8"
15/06/2014 19.00,"3,1","4,7","4,0","17,7","112,0","2,2"
15/06/2014 20.00,"2,8","4,8","3,9","17,7","99,3","2,0"
15/06/2014 21.00,"2,6","6,3","6,0","17,7","72,8","3,2"
15/06/2014 22.00,"2,6","6,2","6,0","17,7","65,0","2,1"
15/06/2014 23.00,"2,6","5,8","5,3","17,7","59,4","1,4"
16/06/2014 0.00,"2,6","7,0","6,5","17,7","49,4","1,7"
16/06/2014 1.00,"2,6","6,7","6,3","20,2","42,0","1,6"
16/06/2014 2.00,"2,2","6,5","5,9","20,2","36,1","1,6"
16/06/2014 3.00,"2,5","5,0","4,4","20,2","27,6","2,5"
16/06/2014 4.00,"2,4","4,5","3,7","20,2","28,6","1,4"
16/06/2014 5.00,"2,2","5,0","4,4","20,2","30,9","2,1"
16/06/2014 6.00,"2,6","19,2","11,0","20,2","18,8","10,1"
16/06/2014 7.00,"2,6","9,2","7,4","20,2","47,0","4,6"
16/06/2014 8.00,"2,3","8,3","6,7","20,2","78,3","4,1"
16/06/2014 9.00,"2,5","4,5","3,6","20,2","85,1","2,0"
16/06/2014 10.00,"2,0","4,3","3,5","20,2","87,8","1,7"
16/06/2014 11.00,"1,3","5,2","4,3","20,2","91,9","2,1"
16/06/2014 12.00,"1,3","7,2","6,1","20,2","89,7","3,3"
16/06/2014 13.00,"1,3","5,6","4,3","20,2","91,5","3,1"
16/06/2014 14.00,"0,6","2,9","2,1","20,2","92,4","1,5"
16/06/2014 15.00,"1,2","2,0","1,3","20,2","103,2","1,5"
16/06/2014 16.00,"1,1","3,6","2,7","20,2","99,5","2,5"
16/06/2014 17.00,"1,3","5,1","4,0","20,2","94,4","2,9"
16/06/2014 18.00,"1,3","5,2","4,3","20,2","105,2","3,2"
16/06/2014 19.00,"1,3","5,2","4,3","20,2","92,9","3,1"
16/06/2014 20.00,"1,3","5,6","4,7","20,2","85,0","3,4"
16/06/2014 21.00,"1,3","4,2","3,5","20,2","89,2","2,4"
16/06/2014 22.00,"0,9","2,4","1,9","20,2","97,8","1,4"
16/06/2014 23.00,"1,3","1,9","1,3","20,2","87,4","1,4"
17/06/2014 0.00,"1,3","2,0","1,6","20,2","56,3","1,3"
17/06/2014 1.00,,"1,9","1,4","19,9","58,5","1,3"
17/06/2014 2.00,"1,7",,,"19,9","78,2","1,0"
17/06/2014 3.00,"1,3","2,1","1,6","19,9",,"1,2"
17/06/2014 4.00,"1,1","1,9","1,5","19,9","51,2","1,2"
17/06/2014 5.00,"1,2","3,8","3,3","19,9","53,9","2,0"
17/06/2014 6.00,"1,2","12,3","8,3","19,9","23,6","5,4"
17/06/2014 7.00,"1,3","8,2","6,7","19,9","66,0","3,5"
17/06/2014 8.00,"1,1","7,4","6,2","19,9","91,7","3,2"
17/06/2014 9.00,"1,2","5,1","4,1","19,9","93,3","2,0"
17/06/2014 10.00,"1,1","5,3","4,1","19,9","90,8","2,3"
17/06/2014 11.00,"1,3","5,2","4,0","19,9","88,0","2,1"
17/06/2014 12.00,"1,2","4,0","3,2","19,9","94,7","2,3"
17/06/2014 13.00,"1,3","3,5","2,7","19,9","98,2","2,0"
17/06/2014 14.00,"1,3","2,2","1,3","19,9","96,3","2,0"
17/06/2014 15.00,"1,3","2,4","1,6","19,9","99,7","1,8"
17/06/2014 16.00,"1,3","2,8","1,9","19,9","99,7","2,1"
17/06/2014 17.00,"0,6","3,4","2,8","19,9","101,6","2,9"
17/06/2014 18.00,"1,3","4,3","3,4","19,9","99,8","3,6"
17/06/2014 19.00,"1,3","4,3","3,5","19,9","95,5","3,2"
17/06/2014 20.00,"1,3","4,5","3,7","19,9","96,0","3,0"
17/06/2014 21.00,"1,3","3,0","2,4","19,9","92,9","2,4"
17/06/2014 22.00,"1,3","2,0","1,6","19,9","89,0","1,9"
17/06/2014 23.00,"1,1","2,5","1,9","19,9","85,0","2,0"
18/06/2014 0.00,"1,3","2,4","1,7","19,9","72,8","1,8"
18/06/2014 1.00,"1,3","2,1","1,7","14,6","38,6","1,7"
18/06/2014 2.00,"1,2","1,8","1,3","14,6","57,6","1,1"
18/06/2014 3.00,"0,5","1,6","1,0","14,6","57,3","1,0"
18/06/2014 4.00,,"2,0","1,2","14,6","51,7","1,0"
18/06/2014 5.00,"0,3","2,2","1,6","14,6","56,2","1,1"
18/06/2014 6.00,"0,6","4,7","3,8","14,6","53,3","2,4"
18/06/2014 7.00,"0,5","5,2","4,2","14,6","58,8","2,3"
18/06/2014 8.00,"0,5","5,7","4,7","14,6","75,5","2,1"
18/06/2014 9.00,"1,2","4,5","3,6","14,6","92,5","1,6"
18/06/2014 10.00,"1,3","4,7","3,8","14,6","90,1","1,5"
18/06/2014 11.00,"1,3","4,5","3,7","14,6","94,8","1,7"
18/06/2014 12.00,"1,2","5,4","4,3","14,6","89,3","5,5"
18/06/2014 13.00,"0,9","4,3","3,2","14,6","95,4","2,4"
18/06/2014 14.00,"0,9","5,5","4,3","14,6","101,2","2,6"
18/06/2014 15.00,"1,2","4,6","3,3","14,6","98,2","1,5"
18/06/2014 16.00,"1,2","7,9","7,0","14,6","94,9","1,7"
18/06/2014 17.00,"0,4","5,5","4,6","14,6","78,1","1,6"
18/06/2014 18.00,"0,1","7,5","6,6","14,6","79,4","2,3"
18/06/2014 19.00,"0,6","9,1","8,2","14,6","64,5","2,3"
18/06/2014 20.00,"0,8","12,6","11,8","14,6","56,9","2,1"
18/06/2014 21.00,"0,6","36,9","35,6","14,6","21,5","9,1"
18/06/2014 22.00,"0,2","33,2","32,3","14,6","22,8","3,2"
18/06/2014 23.00,"0,9","20,2","19,5","14,6","37,5","1,5"
19/06/2014 0.00,"0,1","8,5","7,9","14,6","43,6","1,2"
19/06/2014 1.00,,"12,3","11,1","8,4","32,5","1,3"
19/06/2014 2.00,"1,0",,,"8,4","25,0","1,7"
19/06/2014 3.00,"1,1","12,2","10,9","8,4",,"1,6"
19/06/2014 4.00,"1,0","10,3","9,5","8,4","12,7","1,4"
19/06/2014 5.00,"0,5","9,0","8,3","8,4","9,6","2,0"
19/06/2014 6.00,"0,9","12,2","8,2","8,4","9,4","3,9"
19/06/2014 7.00,"0,8","15,3","10,6","8,4","20,5","3,9"
19/06/2014 8.00,"1,2","21,6","15,6","8,4","7,0","3,2"
19/06/2014 9.00,"1,1","5,4","4,3","8,4",,"1,5"
19/06/2014 10.00,"1,3","5,3","4,4","8,4",,"1,3"
19/06/2014 11.00,"0,8","4,8","3,9","8,4",,"1,4"
19/06/2014 12.00,"1,3","8,2","7,3","8,4",,"2,9"
19/06/2014 13.00,"0,9","6,2","5,3","8,4",,"2,9"
19/06/2014 14.00,"0,8","4,7","3,9","8,4",,"1,8"
19/06/2014 15.00,"1,1","4,0","2,9","8,4",,"1,7"
19/06/2014 16.00,"1,0","10,5","9,2","8,4","79,1","2,4"
19/06/2014 17.00,"1,8","5,2","4,5","8,4","86,7","1,9"
19/06/2014 18.00,"2,2","6,0","5,1","8,4","83,8","2,3"
19/06/2014 19.00,"2,1","5,4","4,5","8,4","83,3","2,1"
19/06/2014 20.00,"2,4","6,6","5,7","8,4","83,2","1,5"
19/06/2014 21.00,"2,3","9,1","8,3","8,4","74,7","1,4"
19/06/2014 22.00,"2,3","6,5","5,8","8,4","69,3","1,3"
19/06/2014 23.00,"1,9","4,4","3,8","8,4","72,0","1,2"
20/06/2014 0.00,"2,5","4,5","4,0","8,4","70,1","1,2"
20/06/2014 1.00,"1,9","3,7","3,4","16,5","71,0","1,2"
20/06/2014 2.00,"2,1","2,9","2,3","16,5","73,9","1,0"
20/06/2014 3.00,"1,3","2,7","2,3","16,5","78,9","1,0"
20/06/2014 4.00,"1,5","2,6","1,9","16,5","79,1","1,2"
20/06/2014 5.00,"1,9","4,9","4,5","16,5","75,9","1,2"
20/06/2014 6.00,"2,0","5,7","5,0","16,5","80,8","2,0"
20/06/2014 7.00,"2,2","6,8","5,8","16,5","83,9","2,6"
20/06/2014 8.00,"1,8","8,0","6,7","16,5","85,5","2,0"
20/06/2014 9.00,"3,7","10,9","9,1","16,5","90,0","1,9"
20/06/2014 10.00,"5,6","10,8","9,0","16,5","109,1","1,3"
20/06/2014 11.00,"6,0","8,1","6,9","16,5","116,0","1,4"
20/06/2014 12.00,"4,7","5,7","4,8","16,5","115,7","1,2"
20/06/2014 13.00,"3,7","5,3","4,4","16,5","119,7","1,3"
20/06/2014 14.00,"5,4","8,3","7,1","16,5","123,0","1,3"
20/06/2014 15.00,"2,9","4,5","3,6","16,5","124,8","1,3"
20/06/2014 16.00,"2,6","3,3","2,4","16,5","126,4","1,2"
20/06/2014 17.00,"3,3","5,3","4,4","16,5","126,5","1,5"
20/06/2014 18.00,"2,6","3,9","3,0","16,5","122,5","1,7"
20/06/2014 19.00,"2,6","4,2","3,6","16,5","119,6","2,4"
20/06/2014 20.00,"2,6","9,5","8,8","16,5","99,1","2,8"
20/06/2014 21.00,"2,6","15,2","14,3","16,5","88,8","2,7"
20/06/2014 22.00,"2,6","9,5","8,6","16,5","93,2","2,3"
20/06/2014 23.00,"2,5","10,8","10,3","16,5","71,2","2,2"
21/06/2014 0.00,"1,9","10,7","9,8","16,5","59,9","2,0"
21/06/2014 1.00,,"9,9","9,1","18,5","54,6","1,2"
21/06/2014 2.00,"1,9",,,"18,5","52,0","1,1"
21/06/2014 3.00,"1,3","7,5","6,8","18,5",,"1,1"
21/06/2014 4.00,"1,7","7,4","6,5","18,5","47,4","1,2"
21/06/2014 5.00,"0,7","7,4","6,6","18,5","50,5","1,2"
21/06/2014 6.00,"1,1","10,7","9,2","18,5","40,4","3,1"
21/06/2014 7.00,"2,6","22,4","16,7","18,5","36,5","5,8"
21/06/2014 8.00,"5,0","34,5","26,6","18,5","60,6","6,0"
21/06/2014 9.00,"5,1","11,3","9,8","18,5","118,8","1,8"
21/06/2014 10.00,"3,5","9,2","7,3","18,5","119,2","3,3"
21/06/2014 11.00,"2,7","5,9","5,0","18,5","122,2","1,5"
21/06/2014 12.00,"2,6","6,3","5,4","18,5","122,9","1,8"
21/06/2014 13.00,"2,6","7,8","6,6","18,5","118,2","2,3"
21/06/2014 14.00,"2,6","4,2","3,4","18,5","124,7","1,4"
21/06/2014 15.00,"2,1","4,6","3,7","18,5","126,1","1,2"
21/06/2014 16.00,"2,5","4,7","3,8","18,5","127,0","1,4"
21/06/2014 17.00,"2,6","5,2","4,3","18,5","125,5","1,6"
21/06/2014 18.00,"2,6","9,7","8,9","18,5","114,0","3,5"
21/06/2014 19.00,"2,5","5,6","4,9","18,5","121,6","2,1"
