Stat,BR-SISRI,,,,,,,  ,
,,,,,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,IPA TOT,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ng/m3,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,
07/07/2014 6.00,,"37,6","74,3","0,3","17,3","1,1","28,6",,
07/07/2014 7.00,,"13,9","19,9","0,2",,"0,5","6,4",,
07/07/2014 8.00,,"6,5","11,3","0,2","24,4","0,4","3,7",,
07/07/2014 9.00,,"14,6","20,3","0,2",,"1,0","3,9",,
07/07/2014 10.00,,"9,9","14,7","0,2","19,0","2,6","3,8",,
07/07/2014 11.00,,"6,3","10,3","0,2",,"0,3","3,4",,
07/07/2014 12.00,,"2,5","5,6","0,2","18,3","2,6","3,5",,
07/07/2014 13.00,,"6,3","11,1","0,2",,"0,8","3,4",,
07/07/2014 14.00,,"2,0","5,5","0,2","10,7","0,3","3,3",,
07/07/2014 15.00,,"2,9","6,5","0,2",,"0,3","3,4",,
07/07/2014 16.00,,,,"0,2","12,0","0,3","3,7",,
07/07/2014 17.00,,,,"0,2",,"0,3","3,3",,
07/07/2014 18.00,,"3,2","6,2","0,2","15,4","0,2","3,4",,
07/07/2014 19.00,,"3,2","5,6","0,2",,"0,3","3,0",,
07/07/2014 20.00,,"1,7","4,4","0,2","15,4","0,3","3,1",,
07/07/2014 21.00,,"9,9","12,8","0,2",,"0,6","4,2",,
07/07/2014 22.00,,"15,7","18,8","0,3","21,0","0,9","7,3",,
07/07/2014 23.00,,"17,5","20,3","0,3",,"1,1","5,2",,
08/07/2014 0.00,,"15,7","18,9","0,3","36,4","0,8","4,1",,
08/07/2014 1.00,,"18,7","21,9","0,3",,"1,0","5,8",,
08/07/2014 2.00,,"16,9","19,5","0,2","36,6","1,0","3,8",,
08/07/2014 3.00,,"10,9","13,7","0,2",,"0,8","3,0",,
08/07/2014 4.00,,"8,7","11,6","0,2","33,0","0,8","2,8",,
08/07/2014 5.00,,"12,9","16,2","0,2",,"0,8","4,3",,
08/07/2014 6.00,,"12,2","15,9","0,2","27,4","0,7","5,9",,
08/07/2014 7.00,,"10,8","14,9","0,2",,"0,6","6,2",,
08/07/2014 8.00,,"9,3","13,2","0,2","23,4","1,1","5,3",,
08/07/2014 9.00,"4,5","10,5","14,6","0,3",,"1,0","13,8",,
08/07/2014 10.00,"7,2","14,6","19,7","0,4","28,8","1,7","33,4",,
08/07/2014 11.00,"7,9","13,0","17,7","0,3",,"1,8","25,8",,
08/07/2014 12.00,"2,4","2,1","5,0","0,2","47,4","0,8","3,7",,
08/07/2014 13.00,"1,9","1,0","3,9","0,2",,"0,5","3,7",,
08/07/2014 14.00,"2,3","2,7","6,8","0,2","53,0","0,4","3,4",,
08/07/2014 15.00,"2,0","0,8","3,8","0,2",,"0,4","3,2",,
08/07/2014 16.00,"2,5","1,2","4,2","0,2","41,0","0,6","3,8",,
08/07/2014 17.00,"2,7","3,4","6,7","0,2",,"1,1","5,5",,
08/07/2014 18.00,"2,2","1,6","4,5","0,2","36,9","1,2","4,5",,
08/07/2014 19.00,"1,3","2,6","5,5","0,1",,"0,4","4,3",,
08/07/2014 20.00,"1,1","5,1","8,3","0,2","37,4","0,6","4,7",,
08/07/2014 21.00,"0,6","7,2","10,0","0,2",,"0,5","4,6",,
08/07/2014 22.00,,"12,1","15,3","0,2","39,1","0,6","4,5",,
08/07/2014 23.00,"0,4","8,6","11,8","0,2",,"0,6","3,4",,
09/07/2014 0.00,"0,5","5,2","8,1","0,1","39,6","0,4","3,0",,
09/07/2014 1.00,,"1,5","4,3","0,1",,"0,3","3,0",,
09/07/2014 2.00,"1,9",,,"0,1","24,4","0,3","3,1",,
09/07/2014 3.00,"1,3","2,6","5,5",,,"0,4","4,6",,
09/07/2014 4.00,"1,2","12,4","15,4","0,3","17,3","1,2","7,9",,
09/07/2014 5.00,"1,2","24,1","29,5","0,4",,"1,8","17,0",,
09/07/2014 6.00,"1,3","28,2","40,2","0,3","23,9","1,2","17,3",,
09/07/2014 7.00,"1,5","9,9","15,6","0,2",,"1,4","5,3",,
09/07/2014 8.00,"1,3","12,5","20,4","0,2","37,4","0,4","5,6",,
09/07/2014 9.00,"2,1","5,3","9,8","0,1",,"0,4","4,3",,
09/07/2014 10.00,"1,3","5,1","10,7","0,1","22,7","0,5","3,5",,
09/07/2014 11.00,"1,2","1,4","4,9","0,1",,"0,3","3,3",,
09/07/2014 12.00,"0,9",,,"0,1","25,2","0,3","3,5",,
09/07/2014 13.00,"0,9","1,6","4,5","0,1",,"0,2","4,0",,
09/07/2014 14.00,"1,4","5,5","10,1","0,1","15,9","1,0","6,4",,
09/07/2014 15.00,"2,3","3,9","7,6","0,1",,"0,6","4,2",,
09/07/2014 16.00,"1,6","4,0","10,1","0,1","28,8","0,3","3,1",,
09/07/2014 17.00,"1,3",,,"0,1",,"0,2","3,0",,
09/07/2014 18.00,"1,2",,,"0,1","17,3","0,2","2,9",,
09/07/2014 19.00,"0,8",,,"0,1",,"0,2","3,1",,
09/07/2014 20.00,"1,1","2,8","5,9","0,2","23,4","0,5","4,5",,
09/07/2014 21.00,"1,0","5,0","8,3","0,2",,"0,5","4,5",,
09/07/2014 22.00,"0,8","5,1","8,1","0,1","14,9","0,5","4,0",,
09/07/2014 23.00,"0,9","2,4","5,4","0,1",,"0,5","3,2",,
10/07/2014 0.00,"0,3","4,9","7,9","0,1","20,3","0,5","3,4",,
10/07/2014 1.00,"0,1","4,9","7,9","0,1",,"0,5","3,5",,
10/07/2014 2.00,"0,3","5,5","8,4","0,1","16,6","0,4","5,7",,
10/07/2014 3.00,"0,4","5,5","8,3","0,1",,"0,6","4,8",,
10/07/2014 4.00,"0,2","7,8","11,0","0,1","17,6","0,4","3,5",,
10/07/2014 5.00,"0,6","12,3","15,8","0,1",,"0,3","5,9",,
10/07/2014 6.00,"0,9","16,7","22,7","0,2","18,8","0,6","9,5",,
10/07/2014 7.00,"1,1","5,0","8,6","0,2",,"0,9","5,1",,
10/07/2014 8.00,"1,3","1,2","4,2","0,1","17,3","2,3","3,7",,
10/07/2014 9.00,"1,2","0,9","3,9","0,1",,"0,4","3,2",,
10/07/2014 10.00,"1,1","0,5","3,4","0,1","15,4","0,8","3,5",,
10/07/2014 11.00,"0,7","0,4","3,4","0,1",,"0,2","3,4",,
10/07/2014 12.00,"0,7","0,1","2,5","0,1","11,0","0,3","3,8",,
10/07/2014 13.00,"1,2","0,7","3,8","0,2",,"0,4","3,4",,
10/07/2014 14.00,"1,2","0,6","3,6","0,1","8,8","0,5","3,4",,
10/07/2014 15.00,"1,2","0,2","3,0","0,1",,"0,4","3,4",,
10/07/2014 16.00,"1,3","0,4","3,6","0,1","10,7","0,3","3,7",,
10/07/2014 17.00,"1,1","0,6","3,2","0,1",,"0,3","3,4",,
10/07/2014 18.00,"1,3","3,1","6,0","0,1","12,7","0,2","3,4",,
10/07/2014 19.00,"1,1","7,6","10,8","0,1",,"0,9","4,4",,
10/07/2014 20.00,"0,9","2,5","5,5","0,1","22,0","0,3","2,9",,
10/07/2014 21.00,"0,8","8,4","11,2","0,1",,"0,3","3,1",,
10/07/2014 22.00,"1,0","4,6","7,3","0,1","22,2","0,3","3,3",,
10/07/2014 23.00,"0,8","1,8","4,8","0,1",,"0,2","3,0",,
11/07/2014 0.00,"0,8","7,0","10,0","0,1","21,2","0,3","3,4",,
11/07/2014 1.00,,"3,3","6,0","0,1",,"0,2","2,9",,
11/07/2014 2.00,"1,9",,,"0,1","14,2","0,4","3,0",,
11/07/2014 3.00,"1,3","2,1","5,2",,,"0,4","3,2",,
11/07/2014 4.00,"1,1","7,2","10,0","0,1","11,5","0,3","3,6",,
11/07/2014 5.00,"0,8","15,7","19,5","0,1",,"0,5","5,6",,
11/07/2014 6.00,"0,5","13,6","18,2","0,1","12,0","0,5","7,4",,
11/07/2014 7.00,"1,2","9,4","14,7","0,1",,"0,6","6,3",,
11/07/2014 8.00,"1,0","5,5","9,7","0,1","7,6","0,4","9,0",,
11/07/2014 9.00,"0,5","5,2","10,0","0,1",,"0,4","3,4",,
11/07/2014 10.00,"0,8","7,9","14,5","0,1","13,2","0,4","3,8",,
11/07/2014 11.00,"1,2","8,6","15,6","0,1",,"0,4","3,8",,
11/07/2014 12.00,"1,0","3,9","7,9","0,1","18,1","0,4","3,5",,
11/07/2014 13.00,"1,0","5,6","10,8","0,1",,"0,3","4,0",,
11/07/2014 14.00,"1,1","6,3","12,8","0,1","10,5","0,3","3,3",,
11/07/2014 15.00,"0,7","2,9","6,5","0,1",,"0,3","3,4",,
11/07/2014 16.00,"1,3","4,1","7,9","0,1","13,4","0,3","3,7",,
11/07/2014 17.00,"0,8","1,8","5,0","0,1",,"0,3","3,5",,
11/07/2014 18.00,"1,3","3,9","7,3","0,1","11,2","0,3","3,3",,
11/07/2014 19.00,"1,1","1,3","4,0","0,1",,"0,3","3,0",,
11/07/2014 20.00,"0,8","0,8","3,7","0,1","6,8","0,3","3,4",,
11/07/2014 21.00,"0,1","3,4","6,2","0,1",,"0,3","2,9",,
11/07/2014 22.00,"0,3","8,7","11,6","0,1","13,9","0,3","3,6",,
11/07/2014 23.00,"0,1","8,8","11,8","0,2",,"0,4","4,2",,
12/07/2014 0.00,"0,3","13,8","16,7","0,2","12,9","0,8","5,5",,
12/07/2014 1.00,"0,3","10,7","13,6","0,1",,"0,5","3,5",,
12/07/2014 2.00,"0,1","8,6","11,7","0,2","13,2","0,5","3,9",,
12/07/2014 3.00,"0,1","6,4","9,3","0,2",,"0,5","3,7",,
12/07/2014 4.00,"0,1","8,5","11,5","0,2","12,9","0,6","3,8",,
12/07/2014 5.00,"0,3","17,4","21,2","0,2",,"0,7","7,8",,
12/07/2014 6.00,"0,4","17,6","23,7","0,2","15,4","1,0","8,5",,
12/07/2014 7.00,"0,4","16,4","22,9","0,2",,"1,2","7,5",,
12/07/2014 8.00,"0,8","8,7","13,6","0,2","9,8","0,5","4,0",,
12/07/2014 9.00,"0,8","6,4","10,4","0,2",,"0,4","3,4",,
12/07/2014 10.00,"0,2","3,6","7,0","0,2","10,3","0,4","3,1",,
12/07/2014 11.00,"0,6","1,4","4,7","0,2",,"0,4","2,9",,
12/07/2014 12.00,"1,0","2,2","5,4","0,2","15,1","0,3","3,2",,
12/07/2014 13.00,"0,3","3,4","6,4","0,2",,"0,5","4,9",,
12/07/2014 14.00,"0,4","3,1","6,3","0,1","10,7","1,3","4,2",,
12/07/2014 15.00,"1,6","5,9","9,3","0,1",,"1,6","3,1",,
12/07/2014 16.00,"1,7","1,8","4,7","0,1","11,0","0,3","2,9",,
12/07/2014 17.00,"0,6","0,3","2,8","0,1",,"0,2","2,8",,
12/07/2014 18.00,"0,7",,,"0,1","6,6","0,3","3,0",,
12/07/2014 19.00,"0,6","0,2","2,5","0,1",,"0,2","3,0",,
12/07/2014 20.00,"0,3","5,4","8,1","0,2","5,4","0,4","3,2",,
12/07/2014 21.00,"0,4","7,0","10,2","0,2",,"0,4","3,4",,
12/07/2014 22.00,"0,1","6,4","9,4","0,2","14,9","0,5","3,1",,
12/07/2014 23.00,,"5,9","8,3","0,2",,"0,4","3,1",,
13/07/2014 0.00,,"6,7","9,3","0,2","17,1","0,4","2,9",,
13/07/2014 1.00,,"4,1","7,0","0,2",,"0,4","3,4",,
13/07/2014 2.00,"1,4",,,"0,2","14,7","0,4","3,6",,
13/07/2014 3.00,"0,7","3,2","6,5",,,"0,4","3,5",,
13/07/2014 4.00,"0,2","3,4","6,6","0,2","20,8","0,4","3,2",,
13/07/2014 5.00,,"8,2","13,2","0,2",,"0,5","3,7",,
13/07/2014 6.00,"0,2","9,2","13,2","0,2","19,3","0,6","6,4",,
13/07/2014 7.00,"0,5","3,7","7,3","0,2",,"0,6","4,0",,
13/07/2014 8.00,"0,2","1,6","4,8","0,2","17,3","0,7","3,5",,
13/07/2014 9.00,"0,7","0,6","3,5","0,1",,"0,4","3,3",,
13/07/2014 10.00,"0,2",,,"0,1","18,6","0,3","3,0",,
13/07/2014 11.00,"0,6","0,1","2,3","0,1",,"0,3","3,2",,
13/07/2014 12.00,"1,0","0,1","2,6","0,1","10,3","0,2","3,0",,
13/07/2014 13.00,"1,2","3,4","7,9","0,1",,"0,4","4,3",,
13/07/2014 14.00,"1,3","1,9","4,9","0,2","5,6","0,3","3,1",,
13/07/2014 15.00,"0,2","0,8","3,5","0,2",,"0,3","3,4",,
13/07/2014 16.00,"0,1","1,7","4,4","0,2","4,4","0,4","3,4",,
13/07/2014 17.00,"0,2","3,2","6,2","0,1",,"0,2","2,9",,
13/07/2014 18.00,"0,1","2,5","5,0","0,1","25,6","0,4","3,2",,
13/07/2014 19.00,"0,4","3,0","5,5","0,1",,"0,3","3,3",,
13/07/2014 20.00,"0,1","11,1","14,0","0,2","28,3","0,3","3,5",,
13/07/2014 21.00,,"17,9","21,1","0,2",,"0,4","4,9",,
13/07/2014 22.00,"0,1","18,2","21,2","0,2","14,7","0,5","3,7",,
13/07/2014 23.00,"0,1","15,9","18,7","0,2",,"1,2","12,6",,
14/07/2014 0.00,,"10,2","12,8","0,2","14,9","0,4","2,9",,
14/07/2014 1.00,"0,1","8,7","11,9","0,2",,"0,6","3,0",,
14/07/2014 2.00,"0,3","7,4","10,6","0,2","13,4","0,6","3,3",,
14/07/2014 3.00,"0,2","7,8","10,5","0,2",,"0,5","2,9",,
14/07/2014 4.00,"0,2","18,1","22,3","0,2","20,0","0,7","8,3",,
14/07/2014 5.00,"0,2","22,4","30,3","0,2",,"1,0","10,1",,
14/07/2014 6.00,"0,8","33,6","67,9","0,3","12,0","1,0","19,0",,
14/07/2014 7.00,"0,1","8,7","13,5","0,2",,"0,4","5,0",,
14/07/2014 8.00,,"3,7","7,5","0,2","17,8","0,3","3,7",,
14/07/2014 9.00,"0,3","5,0","10,1","0,2",,"0,3","3,9",,
14/07/2014 10.00,"0,7","4,3","8,9","0,1","15,4","0,3","3,7",,
14/07/2014 11.00,"0,4","2,3","5,8","0,1",,"0,3","3,4",,
14/07/2014 12.00,"0,8","2,6","5,9","0,1","21,5","0,4","3,6",,
14/07/2014 13.00,"1,0","5,0","9,0","0,1",,"0,9","4,7",,
14/07/2014 14.00,"0,7","2,6","6,0","0,2","11,5","3,1","4,0",,
14/07/2014 15.00,"1,0","0,9","4,2","0,2",,"0,3","3,0",,
14/07/2014 16.00,"0,6","1,0","4,0","0,2","7,8","0,3","3,3",,
14/07/2014 17.00,"0,7","2,1","4,9","0,2",,"0,2","3,6",,
14/07/2014 18.00,"0,1","5,0","7,6","0,2","12,2","0,3","4,0",,
14/07/2014 19.00,"0,5","4,1","6,9","0,2",,"0,3","3,5",,
14/07/2014 20.00,"0,2","15,0","18,0","0,2","21,0","0,3","6,1",,
14/07/2014 21.00,"0,1","7,0","10,3","0,2",,"1,0","4,3",,
14/07/2014 22.00,"0,2","6,8","9,8","0,2","29,3","0,4","4,2",,
14/07/2014 23.00,"0,1","6,3","9,4","0,2",,"1,1","3,6",,
15/07/2014 0.00,,"6,8","9,4","0,2","25,2","0,3","3,6",,
15/07/2014 1.00,,"5,8","8,6","0,2",,"0,2","3,2",,
15/07/2014 2.00,"2,2",,,"0,2","13,9","0,3","3,1",,
15/07/2014 3.00,"1,0","5,7","8,7",,,"0,2","3,0",,
15/07/2014 4.00,"0,9","4,0","6,8","0,2","10,7","0,2","3,0",,
15/07/2014 5.00,"0,2","12,6","16,1","0,2",,"0,3","4,2",,
15/07/2014 6.00,"0,4","8,9","12,2","0,2","21,0","0,4","5,0",,
15/07/2014 7.00,"0,7","16,2","22,0","0,2",,"0,4","7,4",,
15/07/2014 8.00,"0,5","9,8","13,7","0,2","13,7","0,4","5,0",,
15/07/2014 9.00,"0,3","6,9","11,5","0,2",,"0,3","4,8",,
15/07/2014 10.00,,"4,5","8,1","0,2","10,5","0,2","4,2",,
15/07/2014 11.00,"0,3","4,4","8,6","0,2",,"0,3","4,7",,
15/07/2014 12.00,"0,2","4,0","7,8","0,2","10,5","0,3","3,9",,
15/07/2014 13.00,"0,2","3,6","7,3","0,2",,"0,3","3,9",,
15/07/2014 14.00,"0,4","3,4","6,7","0,2","5,9","0,3","4,6",,
15/07/2014 15.00,"0,2","2,6","5,8","0,2",,"0,3","3,9",,
15/07/2014 16.00,"0,2","1,0","4,2","0,2","7,8","0,2","3,5",,
15/07/2014 17.00,"0,6","2,3","5,7","0,2",,"0,3","4,0",,
15/07/2014 18.00,"0,7","3,8","7,0","0,2","11,2","0,3","3,9",,
15/07/2014 19.00,"0,9","5,0","7,9","0,2",,"0,3","3,6",,
15/07/2014 20.00,"0,8","1,5","4,2","0,2","15,4","0,3","3,0",,
15/07/2014 21.00,"0,4","1,8","4,1","0,2",,"0,3","3,3",,
15/07/2014 22.00,"0,4","1,3","3,9","0,2","21,2","0,3","3,4",,
15/07/2014 23.00,"0,3","1,6","4,0","0,2",,"0,3","3,1",,
16/07/2014 0.00,"0,5","1,5","3,8","0,2","18,3","0,3","3,0",,
16/07/2014 1.00,"1,7","1,0","3,7","0,4",,"0,3","3,1",,
16/07/2014 2.00,"0,2","1,8","4,3","0,2","23,4","0,3","2,9",,
16/07/2014 3.00,"0,7","1,4","4,6","0,2",,"0,3","3,1",,
16/07/2014 4.00,"0,6","1,2","4,4","0,2","17,6","0,3","3,0",,
16/07/2014 5.00,"0,2","1,8","4,3","0,2",,"0,3","3,2",,
16/07/2014 6.00,"0,3","3,6","6,9","0,2","18,6","0,3","4,0",,
16/07/2014 7.00,"0,4","5,7","9,7","0,2",,"0,4","4,6",,
16/07/2014 8.00,,"5,0","9,0","0,2","17,1","0,4","4,2",,
16/07/2014 9.00,"0,4","7,4","12,6","0,2",,"0,3","4,3",,
16/07/2014 10.00,"0,8","4,7","8,7","0,2","18,6","0,3","3,9",,
16/07/2014 11.00,"1,0","4,7","8,7","0,2",,"0,5","3,6",,
16/07/2014 12.00,"0,7","3,2","6,7","0,2","10,5","0,3","4,0",,
16/07/2014 13.00,"0,8","4,3","8,3","0,2",,"0,3","4,0",,
16/07/2014 14.00,"1,2","4,1","7,9","0,2","6,6","0,3","3,7",,
16/07/2014 15.00,"1,3","3,1","6,4","0,2",,"0,3","3,6",,
16/07/2014 16.00,"1,4","3,3","7,0","0,2","11,5","0,3","3,5",,
16/07/2014 17.00,"1,8","3,0","6,4","0,2",,"0,4","3,9",,
16/07/2014 18.00,"1,2","0,8","4,1","0,2","19,3","0,4","3,9",,
16/07/2014 19.00,"1,0","1,1","3,8","0,2",,"0,3","3,3",,
16/07/2014 20.00,"0,7","1,3","4,1","0,2","25,4","0,3","3,1",,
16/07/2014 21.00,"0,5","1,4","4,5","0,2",,"0,3","3,3",,
16/07/2014 22.00,"0,1","2,3","5,2","0,2","26,9","0,3","2,9",,
16/07/2014 23.00,"0,5","2,5","5,2","0,2",,"0,3","2,9",,
17/07/2014 0.00,"0,2","2,1","4,9","0,2","25,9","0,3","3,0",,
17/07/2014 1.00,,"1,7","4,4","0,2",,"0,3","2,7",,
17/07/2014 2.00,"1,7",,,"0,2","23,7","0,2","3,1",,
17/07/2014 3.00,"1,1","2,5","5,6",,,"0,2","3,0",,
17/07/2014 4.00,"0,8","2,0","5,2","0,2","15,4","0,2","3,1",,
17/07/2014 5.00,"0,5","2,6","5,4","0,2",,"0,3","3,4",,
17/07/2014 6.00,"1,0","5,6","8,6","0,2","19,8","0,4","3,8",,
17/07/2014 7.00,"1,0","5,7","9,0","0,2",,"0,4","4,1",,
17/07/2014 8.00,"0,7","5,0","8,5","0,2","19,5","0,4","4,4",,
17/07/2014 9.00,"0,4","5,6","9,3","0,2",,"0,4","4,2",,
17/07/2014 10.00,"0,7","4,6","8,1","0,2","19,0","1,1","4,0",,
17/07/2014 11.00,"0,5","3,7","7,0","0,2",,"1,6","3,9",,
17/07/2014 12.00,"0,1","5,4","9,3","0,2","17,3","0,8","4,3",,
17/07/2014 13.00,"1,2","5,3","8,7","0,2",,"0,4","4,5",,
17/07/2014 14.00,"1,3","4,0","7,4","0,2","16,8","0,4","4,2",,
17/07/2014 15.00,"1,2","2,5","5,8","0,2",,"0,4","3,8",,
17/07/2014 16.00,"1,2","4,0","7,3","0,2","21,2","0,4","4,4",,
17/07/2014 17.00,"0,8","5,6","9,0","0,2",,"1,1","4,5",,
17/07/2014 18.00,"0,2","8,2","11,5","0,2","15,4","0,4","5,0",,
17/07/2014 19.00,,"3,9","7,0","0,2",,"1,1","3,5",,
17/07/2014 20.00,,"3,2","6,3","0,2","32,5","0,5","3,2",,
17/07/2014 21.00,,"4,4","7,3","0,2",,"0,4","3,5",,
17/07/2014 22.00,"0,1","4,5","7,5","0,2","33,7","0,4","3,4",,
17/07/2014 23.00,,"3,1","6,1","0,2",,"0,4","3,1",,
18/07/2014 0.00,"0,3","2,5","5,2","0,2","30,8","0,4","3,0",,
18/07/2014 1.00,"0,4","2,4","5,2","0,2",,"0,3","2,8",,
18/07/2014 2.00,"0,3","1,5","4,4","0,2","15,9","0,3","2,9",,
18/07/2014 3.00,,"2,9","5,6","0,2",,"0,3","2,5",,
18/07/2014 4.00,"0,2","2,8","5,4","0,2","27,4","0,4","2,9",,
18/07/2014 5.00,"0,3","2,0","4,9","0,2",,"0,4","3,5",,
18/07/2014 6.00,"0,4","5,0","8,0","0,2","25,2","0,5","3,9",,
18/07/2014 7.00,"0,4","6,0","9,4","0,2",,"0,4","4,4",,
18/07/2014 8.00,"0,5","7,7","11,9","0,2","18,3","0,9","4,4",,
18/07/2014 9.00,"0,6","6,5","10,8","0,2",,"0,6","4,2",,
18/07/2014 10.00,"0,5","5,4","9,2","0,2","25,4","0,6","4,2",,
18/07/2014 11.00,"0,3","4,2","7,4","0,2",,"0,7","3,7",,
18/07/2014 12.00,"0,6","4,4","7,6","0,2","25,9","0,7","3,6",,
18/07/2014 13.00,"1,2","7,8","12,2","0,2",,"0,5","3,6",,
18/07/2014 14.00,"1,2","6,7","10,8","0,2","14,2","0,4","4,1",,
18/07/2014 15.00,"1,0","8,2","13,0","0,2",,"0,6","3,9",,
18/07/2014 16.00,"1,2","11,4","16,6","0,2","15,9","0,4","4,0",,
18/07/2014 17.00,"1,4","3,5","6,7","0,2",,"0,9","3,5",,
18/07/2014 18.00,"0,7","3,9","6,8","0,2","18,6","1,1","3,4",,
18/07/2014 19.00,,"1,9","4,6","0,2",,"0,5","3,4",,
18/07/2014 20.00,"0,2","2,3","4,7","0,2","14,9","0,3","3,2",,
18/07/2014 21.00,"0,2","3,4","6,4","0,2",,"0,4","3,3",,
18/07/2014 22.00,"0,1","3,2","6,1","0,2","29,8","0,3","3,1",,
18/07/2014 23.00,"0,1","1,8","4,5","0,2",,"0,3","2,7",,
19/07/2014 0.00,"0,3","2,2","4,9","0,2","30,8","0,3","3,0",,
19/07/2014 1.00,,"1,6","4,0","0,2",,"0,4","3,1",,
19/07/2014 2.00,"1,6",,,"0,2","26,9","0,3","2,9",,
19/07/2014 3.00,"0,7","2,7","5,2",,,"0,4","2,7",,
19/07/2014 4.00,"0,8","2,3","4,9","0,2","22,0","0,4","2,8",,
19/07/2014 5.00,"0,7","3,2","6,0","0,2",,"0,4","3,1",,
19/07/2014 6.00,"0,5","4,0","7,0","0,2","17,8","0,4","3,4",,
19/07/2014 7.00,"0,3","4,3","7,5","0,2",,"0,4","4,0",,
19/07/2014 8.00,"0,3","4,4","7,6","0,2","20,3","0,4","3,8",,
19/07/2014 9.00,"0,4","5,0","8,5","0,2",,"0,4","3,9",,
19/07/2014 10.00,"0,5","2,9","6,1","0,2","19,5","0,4","3,8",,
19/07/2014 11.00,"0,7","1,8","5,0","0,2",,"0,4","3,3",,
19/07/2014 12.00,"0,3","4,6","8,3","0,2","29,5","0,4","4,2",,
19/07/2014 13.00,"0,5","8,1","13,1","0,2",,"0,3","3,6",,
19/07/2014 14.00,"0,3","2,8","6,1","0,2","27,1","0,3","2,9",,
19/07/2014 15.00,"1,0","2,4","5,5","0,2",,"0,5","3,1",,
19/07/2014 16.00,"1,2","3,8","7,1","0,2","24,2","0,6","3,1",,
19/07/2014 17.00,"0,4","6,0","9,9","0,2",,"0,4","3,3",,
19/07/2014 18.00,,"3,0","6,0","0,2","22,5","0,3","3,4",,
19/07/2014 19.00,"0,4","2,6","5,5","0,2",,"0,3","3,2",,
19/07/2014 20.00,"0,1","2,6","5,5","0,2","25,2","0,3","3,6",,
19/07/2014 21.00,"0,3","3,0","6,0","0,2",,"0,4","3,4",,
19/07/2014 22.00,"0,1","2,2","4,7","0,2","24,2","0,3","3,2",,
19/07/2014 23.00,,"2,3","5,3","0,2",,"0,3","3,1",,
20/07/2014 0.00,,"2,3","4,8","0,2","26,9","0,3","3,1",,
20/07/2014 1.00,"0,2","3,7","6,3","0,2",,"0,4","2,7",,
20/07/2014 2.00,"0,1","3,2","5,8","0,2","22,7","0,3","3,1",,
20/07/2014 3.00,"0,1","3,2","6,3","0,2",,"0,4","3,0",,
20/07/2014 4.00,"0,1","1,6","4,5","0,2","22,7","0,3","2,8",,
20/07/2014 5.00,,"2,6","5,8","0,2",,"0,3","3,2",,
20/07/2014 6.00,"0,1","2,6","5,3","0,2","12,2","0,3","3,6",,
20/07/2014 7.00,"0,2","3,1","6,1","0,2",,"0,4","3,6",,
20/07/2014 8.00,"0,2","4,2","7,6","0,2","11,0","0,4","3,7",,
20/07/2014 9.00,"0,5","4,1","7,1","0,2",,"0,4","3,8",,
20/07/2014 10.00,"0,2","4,0","7,6","0,2","13,4","0,4","3,7",,
20/07/2014 11.00,"0,1","5,5","9,2","0,2",,"0,4","4,1",,
20/07/2014 12.00,"0,1","5,3","9,2","0,2","14,4","0,4","3,7",,
20/07/2014 13.00,"0,3","5,9","9,5","0,2",,"0,4","3,5",,
20/07/2014 14.00,"1,1","4,8","8,4","0,2","13,4","0,3","3,0",,
20/07/2014 15.00,"1,3","2,1","5,6","0,2",,"0,4","2,8",,
20/07/2014 16.00,"1,0","3,9","7,4","0,2","21,5","0,3","3,3",,
20/07/2014 17.00,"0,9","12,2","17,1","0,2",,"0,3","3,9",,
20/07/2014 18.00,"1,1","11,4","14,7","0,2","14,2","0,3","3,6",,
20/07/2014 19.00,"1,0","11,2","14,2","0,2",,"0,4","3,4",,
20/07/2014 20.00,"1,3","13,8","16,7","0,2","25,9","0,4","3,2",,
20/07/2014 21.00,"1,2","17,7","21,2","0,3",,"0,5","3,5",,
20/07/2014 22.00,"1,0","26,2","29,4","0,3","28,6","0,7","4,3",,
20/07/2014 23.00,"0,3","34,4","37,8","0,3",,"0,7","4,6",,
21/07/2014 0.00,"0,1","30,4","33,6","0,3","33,7","0,8","10,1",,
21/07/2014 1.00,,"27,7","30,9","0,3",,"0,9","5,3",,
21/07/2014 2.00,"1,0",,,"0,3","27,8","0,9","4,9",,
21/07/2014 3.00,"0,8","21,2","24,4","0,2",,"0,9","6,4",,
21/07/2014 4.00,"0,4","18,9","21,9","0,2","21,0","0,9","5,7",,
21/07/2014 5.00,"11,9","24,0","29,0","0,5",,"1,0","15,4",,
21/07/2014 6.00,"1,3","35,9","57,9","0,3","22,2","1,2","26,0",,
21/07/2014 7.00,"0,7","23,9","31,6","0,3",,"1,0","10,8",,
21/07/2014 8.00,"1,9","10,8","15,0","0,3","21,5","0,7","5,6",,
21/07/2014 9.00,"2,5","9,1","13,5","0,2",,"2,3","4,5",,
21/07/2014 10.00,"9,4","8,8","14,7","0,4","26,4","0,6","4,5",,
21/07/2014 11.00,"3,3","15,5","21,1","0,3",,"0,6","6,0",,
