,Provincia di TARANTO,,,,,
02/01/2008 15.00,"4,578288","51,211025","15,085532","28,100223",,
02/01/2008 16.00,"4,135856","57,797062","17,160491","31,50714",,
02/01/2008 17.00,"1,811672","82,037513","21,452527","49,178953",,
02/01/2008 18.00,"1,59187","87,802557","19,36995","58,143364",,
02/01/2008 19.00,"1,748845","79,290545","15,965253","54,84935",,
02/01/2008 20.00,"1,901042","75,243949","14,260791","53,415218",,
02/01/2008 21.00,"2,128276","91,277159","20,107575","60,597647",,
02/01/2008 22.00,"2,374445","126,998461","32,902456","76,602999",,
02/01/2008 23.00,"2,532481","95,44564","15,781695","71,297291",,
03/01/2008 0.00,"2,367012","87,620995","10,850184","71,03382",,
03/01/2008 1.00,"2,455499","90,728549","13,22966","70,492606",,
03/01/2008 2.00,"1,971832","110,586539","23,769403","74,192846",,
03/01/2008 3.00,"2,328432","38,926063","2,453918","36,45333",,
03/01/2008 4.00,"1,844234","20,834586","0,091355","22,867195",,
03/01/2008 5.00,"1,18678","29,250655","0,864496","29,285167",,
03/01/2008 6.00,"0,299084","48,845346","3,403003","44,702597",,
03/01/2008 7.00,"0,216261","81,464258","15,999932","56,971383",,
03/01/2008 8.00,"0,923444","186,384299","76,411481","69,272618",,
03/01/2008 9.00,"0,682938","226,237591","98,528886","75,218151",,
03/01/2008 10.00,"0,671081","157,221821","58,14625","68,114925",,
03/01/2008 11.00,"2,370729","89,151417","22,269648","55,044029",,
03/01/2008 12.00,"3,460881","62,362405","13,613698","41,517606",,
03/01/2008 13.00,"3,111891","78,013002","19,485834","48,169206",,
03/01/2008 14.00,"0,78806","87,508168","22,75265","52,658544",,
03/01/2008 15.00,"0,369696","67,372645","16,506626","42,092564",,
03/01/2008 16.00,"0,068666","64,926549","14,776787","42,298925",,
03/01/2008 17.00,"0,083177","92,094251","20,897625","60,094064",,
03/01/2008 18.00,"0,154144","103,781312","22,195214","69,798245",,
03/01/2008 19.00,"0,189007","88,781787","16,928723","62,868909",,
03/01/2008 20.00,"0,307578","85,549744","16,948176","59,604762",,
03/01/2008 21.00,"0,238383","83,868845","17,469236","57,123234",,
03/01/2008 22.00,"0,293244","58,423511","8,257547","45,794099",,
03/01/2008 23.00,"0,442962","50,93738","7,299157","39,77327",,
04/01/2008 0.00,"0,527202","43,653559","5,333317","35,500678",,
04/01/2008 1.00,"41,271017","5,175134","33,3592",,,
04/01/2008 2.00,"2,0958",,,,,
04/01/2008 3.00,"1,030347","22,471371","4,406223","15,726315",,
04/01/2008 4.00,"1,439071","17,777632","4,006965","11,641904",,
04/01/2008 5.00,"1,028198","16,872343","3,715135","11,183754",,
04/01/2008 6.00,"0,677505","26,658001","4,463745","19,827574",,
04/01/2008 7.00,"0,650042","32,814718","5,988878","23,648514",,
04/01/2008 8.00,"1,904871","56,229011","11,778965","38,195066",,
04/01/2008 9.00,"1,489579","94,056592","25,763169","54,592378",,
04/01/2008 10.00,"1,264979","87,425166","22,06579","53,629361",,
04/01/2008 11.00,"1,805526","94,345823","26,247018","54,139424",,
04/01/2008 12.00,"1,998246","78,381349","21,149694","45,984899",,
04/01/2008 13.00,"1,42737","93,066982","28,744909","49,02712",,
04/01/2008 14.00,"1,155126","118,741911","36,954245","62,123937",,
04/01/2008 15.00,"0,775656","66,104205","20,352024","34,923137",,
04/01/2008 16.00,"0,173973","60,191289","20,020435","29,514893",,
04/01/2008 17.00,"0,313916","81,819643","25,215873","43,186685",,
04/01/2008 18.00,"0,324543","79,374846","23,062243","44,044581",,
04/01/2008 19.00,"0,185914","64,37532","17,871031","36,999723",,
04/01/2008 20.00,"0,145435","50,648152","14,737021","28,071659",,
04/01/2008 21.00,"0,109733","51,952901","15,034779","28,920471",,
04/01/2008 22.00,"0,059703","38,610927","12,808398","18,98527",,
04/01/2008 23.00,"0,737088","35,69662","13,216966","15,442074",,
05/01/2008 0.00,"0,292662","39,469531","14,550931","17,170849",,
05/01/2008 1.00,"0,291826","38,046734","15,520324","14,270105",,
05/01/2008 2.00,"0,037852","39,627728","17,086905","13,438161",,
05/01/2008 3.00,"0,043345","37,888515","17,903179","10,445269",,
05/01/2008 4.00,"0,098032","35,70182","18,55198","7,261594",,
05/01/2008 5.00,"0,075225","36,448856","19,377569","6,742446",,
05/01/2008 6.00,"0,091226","33,218092","16,842443","7,39917",,
05/01/2008 7.00,"0,144122","35,035161","15,856141","10,730801",,
05/01/2008 8.00,"0,376604","40,704241","15,926348","16,296081",,
05/01/2008 9.00,"0,261856","48,838866","19,403782","19,100782",,
05/01/2008 10.00,"0,458874","47,07887","15,269939","23,68226",,
05/01/2008 11.00,"0,76491","47,97248","14,708265","25,438279",,
05/01/2008 12.00,"0,406813","50,238297","16,726559","24,608931",,
05/01/2008 13.00,"0,347827","55,164219","17,316989","28,632351",,
05/01/2008 14.00,"0,175048","46,347356","14,391066","24,298748",,
05/01/2008 15.00,"0,156302","37,665423","13,41237","17,112443",,
05/01/2008 16.00,"0,249796","38,431925","13,913976","17,10985",,
05/01/2008 17.00,"0,297319","45,177501","15,052549","22,113139",,
05/01/2008 18.00,"0,383052","49,888112","14,832616","27,164452",,
05/01/2008 19.00,"0,356186","48,963355","15,193809","25,68487",,
05/01/2008 20.00,"0,239408","56,974789","16,875439","31,12166",,
05/01/2008 21.00,"0,427471","60,721753","17,531834","33,864063",,
05/01/2008 22.00,"0,671296","42,858512","10,499985","26,777693",,
05/01/2008 23.00,"0,424247","39,431903","13,403068","18,894416",,
06/01/2008 0.00,"0,219825","39,137492","15,536385","15,326573",,
06/01/2008 1.00,"41,057005","15,892516","16,701012",,,
06/01/2008 2.00,"0,39812",,,,,
06/01/2008 3.00,"0,523034","36,622657","16,604752","11,170785",,
06/01/2008 4.00,"0,669167","25,052362","10,419626","9,09419",,
06/01/2008 5.00,"0,819495","27,53865","12,262818","8,742467",,
06/01/2008 6.00,"0,768667","34,788744","13,760033","13,700328",,
06/01/2008 7.00,"0,708967","41,007714","13,931745","19,660158",,
06/01/2008 8.00,"0,842992","45,395371","14,029011","23,901606",,
06/01/2008 9.00,"0,783292","41,675671","14,112761","20,050818",,
06/01/2008 10.00,"0,619777","46,259175","15,295315","22,823066",,
06/01/2008 11.00,"0,37726","59,699712","18,379408","31,540866",,
06/01/2008 12.00,"0,446311","63,803363","20,506826","32,383197",,
06/01/2008 13.00,"0,445951","64,520575","20,900169","32,497402",,
06/01/2008 14.00,"0,433364","58,440374","18,571433","29,986029",,
06/01/2008 15.00,"0,433484","46,135966","17,340669","19,561518",,
06/01/2008 16.00,"0,543774","48,205937","18,745689","19,477161",,
06/01/2008 17.00,"0,525551","51,581972","17,464172","24,821794",,
06/01/2008 18.00,"0,310967","62,176941","17,289916","35,691474",,
06/01/2008 19.00,"0,330388","75,00403","19,150864","45,672116",,
06/01/2008 20.00,"0,18869","63,425936","17,248467","37,004924",,
06/01/2008 21.00,"0,210029","73,119527","18,44202","44,873912",,
06/01/2008 22.00,"0,463694","106,716349","23,607006","70,569182",,
06/01/2008 23.00,"0,413464","67,750058","16,652961","42,245736",,
07/01/2008 0.00,"0,472924","51,200643","13,592549","30,380589",,
07/01/2008 1.00,"0,560796","56,558468","13,546024","35,813479",,
07/01/2008 2.00,"0,847068","47,50557","11,899082","29,281285",,
07/01/2008 3.00,"0,873921","41,191898","9,730235","26,290975",,
07/01/2008 4.00,"0,922952","40,207504","8,814985","26,7102",,
07/01/2008 5.00,"0,885909","48,151464","8,769308","34,729737",,
07/01/2008 6.00,"0,878956","59,119994","11,463453","41,572137",,
07/01/2008 7.00,"1,732258","231,469582","108,363101","65,364718",,
07/01/2008 8.00,"3,197544","479,107607","260,769014","79,335015",,
07/01/2008 9.00,"6,567236","643,40671","350,501524","106,095844",,
07/01/2008 10.00,"5,576193","528,583085","271,624285","112,186734",,
07/01/2008 11.00,"4,215441","330,10316","146,845845","105,021183",,
07/01/2008 12.00,"2,683382","178,586895","65,225466","78,632872",,
07/01/2008 13.00,"1,407505","120,298277","35,384286","66,09023",,
07/01/2008 14.00,"2,074274","123,084179","37,263003","65,995492",,
07/01/2008 15.00,"1,911118","62,458405","15,210731","39,163265",,
07/01/2008 16.00,"1,300332","49,141037","11,714683","31,200837",,
07/01/2008 17.00,"0,958916","75,652505","16,005008","51,147833",,
07/01/2008 18.00,"1,076757","149,866708","40,679535","87,554432",,
07/01/2008 19.00,"1,240872","179,523333","57,253836","91,801066",,
07/01/2008 20.00,"1,715356","219,806006","81,907212","94,285213",,
07/01/2008 21.00,"1,895773","237,238462","96,170535","89,845187",,
07/01/2008 22.00,"1,800349","192,528075","73,153971","80,418735",,
07/01/2008 23.00,"1,515396","129,214987","35,851211","74,296687",,
08/01/2008 0.00,"0,96455","106,392092","26,966013","65,090862",,
08/01/2008 1.00,"73,548827","19,15256","44,213296",,,
08/01/2008 2.00,"0,183465",,,,,
08/01/2008 3.00,"0,105477","42,85461","13,019029","22,908723",,
08/01/2008 4.00,"0,15307","45,132109","17,448946","18,390839",,
08/01/2008 5.00,"0,07932","55,964429","19,921473","25,436979",,
08/01/2008 6.00,"0,072054","59,510367","20,645543","27,874379",,
08/01/2008 7.00,"0,108142","104,345487","37,817045","46,393722",,
08/01/2008 8.00,"0,280344","178,494834","75,591805","62,635284",,
08/01/2008 9.00,"0,615304","271,482577","124,471332","80,725041",,
08/01/2008 10.00,"0,757717","242,776773","102,8209","85,183214",,
08/01/2008 11.00,"0,407862","150,320653","58,200384","61,125875",,
08/01/2008 12.00,"0,397932","161,001242","64,91757","61,50743",,
08/01/2008 13.00,"0,217373","108,962699","38,65786","49,724062",,
08/01/2008 14.00,"0,260968","120,086847","43,710355","53,103715",,
08/01/2008 15.00,"0,309529","89,952966","28,294054","46,602686",,
08/01/2008 16.00,"0,430749","82,801434","23,515652","46,777899",,
08/01/2008 17.00,"0,460782","101,86568","30,185468","55,621588",,
08/01/2008 18.00,"0,26218","129,441938","43,914203","62,152485",,
08/01/2008 19.00,"0,303596","99,943564","27,844898","57,28937",,
08/01/2008 20.00,"0,421424","93,19541","22,152918","59,269916",,
08/01/2008 21.00,"0,555966","115,837982","26,252928","75,637378",,
08/01/2008 22.00,"0,419124","140,144569","39,282121","79,969683",,
08/01/2008 23.00,"0,298025","111,045671","27,580123","68,805383",,
09/01/2008 0.00,"0,355062","129,899764","36,664955","73,739893",,
09/01/2008 1.00,"0,400353","178,857958","61,821618","84,126757",,
09/01/2008 2.00,"0,228514","98,825563","25,291156","60,088882",,
09/01/2008 3.00,"0,157065","57,715362","13,949515","36,35209",,
09/01/2008 4.00,"0,462357","38,91312","11,793346","20,84512",,
09/01/2008 5.00,"0,8087","33,49952","10,534671","17,359039",,
09/01/2008 6.00,"0,577401","47,301941","11,877932","29,10995",,
09/01/2008 7.00,"0,439105","148,516527","51,580472","69,47768",,
09/01/2008 8.00,"1,444471","208,181232","90,399069","69,699605",,
09/01/2008 9.00,"1,423883","234,571797","102,69488","77,166269",,
09/01/2008 10.00,"1,736682","172,341955","62,817239","76,078647",,
09/01/2008 11.00,"1,14693","131,685728","44,151046","64,034391",,
09/01/2008 12.00,"0,790535","100,413074","34,567999","47,481344",,
09/01/2008 13.00,"0,609734","107,415413","35,604206","52,861025",,
09/01/2008 14.00,"1,491094","115,976738","37,229995","58,933764",,
09/01/2008 15.00,"1,274084","69,179331","19,339498","39,553926",,
09/01/2008 16.00,"1,453189","74,752412","16,449102","49,565731",,
09/01/2008 17.00,"1,746613","127,347348","37,504921","69,898184",,
09/01/2008 18.00,"2,280781","247,10344","100,84747","92,540873",,
09/01/2008 19.00,"1,78161","175,042258","57,574424","86,825048",,
09/01/2008 20.00,"1,750488","207,159268","77,512819","88,3721",,
09/01/2008 21.00,"2,748103","334,322187","156,557483","94,3423",,
09/01/2008 22.00,"2,848009","329,186167","157,533633","87,704989",,
09/01/2008 23.00,"3,167953","351,686009","179,436059","76,614676",,
10/01/2008 0.00,"2,753068","259,98362","125,296812","67,916339",,
10/01/2008 1.00,"204,050357","92,739639","61,898095",,,
10/01/2008 2.00,"0,735713",,,,,
10/01/2008 3.00,"0,474503","61,480472","15,962723","37,030889",,
10/01/2008 4.00,"0,535148","54,529991","14,509481","32,305322",,
10/01/2008 5.00,"0,524577","53,690851","15,012795","30,693374",,
10/01/2008 6.00,"0,772699","60,729535","16,408499","35,595434",,
10/01/2008 7.00,"0,572435","126,711818","40,50528","64,650891",,
10/01/2008 8.00,"0,965387","164,190471","61,747187","69,563337",,
10/01/2008 9.00,"1,718292","304,551576","138,368363","92,459118",,
10/01/2008 10.00,"1,4864","232,378931","91,806635","91,67778",,
10/01/2008 11.00,"0,726609","140,490888","42,85768","74,830097",,
10/01/2008 12.00,"0,640357","119,508428","31,124395","71,835923",,
10/01/2008 13.00,"0,565576","82,722333","19,818272","52,371723",,
10/01/2008 14.00,"1,0219","71,504804","14,319164","49,583896",,
10/01/2008 15.00,"1,321504","41,688654","4,440905","34,955583",,
10/01/2008 16.00,"1,731498","53,044939","4,749653","46,019945",,
10/01/2008 17.00,"1,594305","96,66091","19,196543","67,340086",,
10/01/2008 18.00,"1,105816","98,00845","18,562979","69,594503",,
10/01/2008 19.00,"0,942867","136,76337","36,806214","80,384987",,
10/01/2008 20.00,"0,939063","204,768889","72,190512","94,146341",,
10/01/2008 21.00,"1,285477","211,877315","80,869298","87,943814",,
10/01/2008 22.00,"1,145647","227,656479","91,947877","86,735488",,
10/01/2008 23.00,"0,448627","133,624686","43,643515","66,753446",,
11/01/2008 0.00,"0,661531","145,462187","54,146896","62,483451",,
11/01/2008 1.00,"0,579651","103,952495","34,054546","51,773403",,
11/01/2008 2.00,"0,494119","89,89199","26,651345","49,062148",,
11/01/2008 3.00,"0,786506","99,824239","35,090755","46,052373",,
11/01/2008 4.00,"0,621579","67,556811","17,116508","41,341109",,
11/01/2008 5.00,"0,929808","74,432058","17,765298","47,225652",,
11/01/2008 6.00,"1,337707","93,151283","28,529215","49,442427",,
11/01/2008 7.00,"1,447617","128,823272","48,015907","55,240011",,
11/01/2008 8.00,"1,744916","153,024851","59,876925","61,259561",,
11/01/2008 9.00,"1,09201","157,792524","57,610801","69,507526",,
11/01/2008 10.00,"0,695402","139,684161","46,260696","68,801503",,
11/01/2008 11.00,"0,479564","129,641683","42,498185","64,524987",,
11/01/2008 12.00,"0,327126","139,772342","45,485859","70,078601",,
11/01/2008 13.00,"0,260821","68,65145","17,655337","41,609765",,
11/01/2008 14.00,"0,111947","71,913339","17,787294","44,671449",,
11/01/2008 15.00,"0,08137","52,041081","13,288032","31,688837",,
11/01/2008 16.00,"0,074632","54,370471","14,172828","32,662236",,
11/01/2008 17.00,"0,097601","76,409964","20,023827","45,739608",,
11/01/2008 18.00,"0,113145","117,426776","26,971089","76,125378",,
11/01/2008 19.00,"0,083556","126,842784","27,579276","84,614757",,
11/01/2008 20.00,"0,09275","152,47492","39,885245","91,383158",,
11/01/2008 21.00,"0,171665","160,896155","44,920807","92,084003",,
11/01/2008 22.00,"0,277443","178,78276","56,443484","92,303346",,
11/01/2008 23.00,"0,171515","130,025594","36,135428","74,671765",,
12/01/2008 0.00,"0,081729","109,978259","27,525142","67,821601",,
12/01/2008 1.00,"90,400427","21,980358","56,737758",,,
12/01/2008 2.00,"0,372659",,,,,
12/01/2008 3.00,"0,270035","45,359081","15,320692","21,883413",,
12/01/2008 4.00,"0,139218","39,057072","15,041551","16,005348",,
12/01/2008 5.00,"0,111897","36,294539","15,294467","12,852821",,
12/01/2008 6.00,"0,132808","33,565696","12,624852","14,218188",,
12/01/2008 7.00,"0,659933","93,755683","28,179008","50,584558",,
12/01/2008 8.00,"0,238482","83,121788","21,123481","50,768856",,
12/01/2008 9.00,"0,121295","84,251458","22,684139","49,504719",,
12/01/2008 10.00,"0,083767","74,40351","20,972059","42,27688",,
12/01/2008 11.00,"0,103682","45,73261","13,481741","25,078767",,
12/01/2008 12.00,"0,089307","43,688587","14,148287","22,010599",,
12/01/2008 13.00,"0,016928","53,793316","15,719095","29,712173",,
12/01/2008 14.00,"0,565773","58,493527","16,86444","32,658337",,
12/01/2008 15.00,"1,383595","32,95351","12,054728","14,480358",,
12/01/2008 16.00,"1,885453","31,936691","11,751901","13,927466",,
12/01/2008 17.00,"2,08062","37,957233","11,570876","20,229915",,
12/01/2008 18.00,"1,685307","49,050274","16,623358","23,578438",,
12/01/2008 19.00,"1,655186","53,365315","17,388043","26,723181",,
12/01/2008 20.00,"1,850726","56,062992","17,863424","28,693345",,
12/01/2008 21.00,"1,977435","54,277089","18,10028","26,542766",,
12/01/2008 22.00,"1,905804","40,526559","14,82754","17,804208",,
12/01/2008 23.00,"1,473151","39,420218","16,893184","13,527713",,
13/01/2008 0.00,"1,39293","40,540822","17,810988","13,240888",,
13/01/2008 1.00,"1,388947","45,670336","17,074211","19,512189",,
13/01/2008 2.00,"1,335364","39,232176","17,075907","13,059187",,
13/01/2008 3.00,"1,195709","36,823704","17,537758","9,940404",,
13/01/2008 4.00,"1,280162","42,136101","17,657881","15,072185",,
13/01/2008 5.00,"1,412472","44,995935","17,734011","17,817188",,
13/01/2008 6.00,"1,107461","51,319971","18,452158","23,04371",,
13/01/2008 7.00,"1,218736","78,822333","21,998114","45,124403",,
13/01/2008 8.00,"1,652261","77,123273","23,319398","41,39692",,
13/01/2008 9.00,"1,977062","65,838306","21,321405","33,169699",,
13/01/2008 10.00,"1,680266","65,196314","22,534412","30,666107",,
13/01/2008 11.00,"1,440229","57,401488","22,177445","23,413606",,
13/01/2008 12.00,"1,465123","66,27797","23,008109","31,021722",,
13/01/2008 13.00,"1,571294","47,209862","16,858517","21,375948",,
13/01/2008 14.00,"1,404132","49,185167","15,655661","25,200771",,
13/01/2008 15.00,"1,348495","36,518911","12,245896","17,754887",,
13/01/2008 16.00,"1,44527","42,819582","13,810786","21,679633",,
13/01/2008 17.00,"1,136462","50,17346","14,890127","27,361732",,
13/01/2008 18.00,"1,083127","64,494645","18,377724","36,341707",,
13/01/2008 19.00,"1,174612","78,745815","23,163749","43,259363",,
13/01/2008 20.00,"1,58791","71,708429","19,495149","41,845994",,
13/01/2008 21.00,"1,624816","124,272221","33,978419","72,223985",,
13/01/2008 22.00,"2,000089","96,330191","23,791401","59,892882",,
13/01/2008 23.00,"2,565923","87,94393","22,060715","54,156291",,
14/01/2008 0.00,"2,679315","61,531047","13,023257","41,5916",,
14/01/2008 1.00,"30,379021","9,555983","15,737992",,,
14/01/2008 2.00,"0,971363",,,,,
14/01/2008 3.00,"0,957776","27,351885","6,511635","17,379797",,
14/01/2008 4.00,"1,381685","15,174603","4,531415","8,232405",,
14/01/2008 5.00,"1,230546","27,940724","3,952829","21,895096",,
14/01/2008 6.00,"1,842945","29,440019","4,322481","22,828246",,
14/01/2008 7.00,"1,979719","66,399899","9,979772","51,133552",,
14/01/2008 8.00,"2,438405","118,325572","31,170909","70,580867",,
14/01/2008 9.00,"3,104556","217,454429","87,536588","83,364916",,
14/01/2008 10.00,"2,919178","172,421077","63,899972","74,496549",,
14/01/2008 11.00,"3,0025","123,063436","36,850197","66,60809",,
14/01/2008 12.00,"2,105419","57,488389","14,079777","35,925084",,
14/01/2008 13.00,"1,373724","71,026191","22,132616","37,116528",,
14/01/2008 14.00,"1,170987","80,765193","27,044685","39,325517",,
14/01/2008 15.00,"0,649511","52,305664","18,373498","24,16636",,
14/01/2008 16.00,"0,491668","80,470783","21,358628","47,755201",,
14/01/2008 17.00,"0,58277","146,392105","43,677361","79,477782",,
14/01/2008 18.00,"0,920485","206,519509","72,734414","95,063932",,
14/01/2008 19.00,"0,795323","126,454992","29,346337","81,515437",,
14/01/2008 20.00,"1,011886","126,608073","31,506726","78,353837",,
14/01/2008 21.00,"1,535099","136,040958","40,231214","74,407004",,
14/01/2008 22.00,"1,721315","97,20952","19,407173","67,499716",,
14/01/2008 23.00,"1,437292","73,692783","9,160108","59,68914",,
15/01/2008 0.00,"1,475422","57,384625","6,391521","47,617612",,
15/01/2008 1.00,"1,884067","43,565378","2,925923","39,106173",,
15/01/2008 2.00,"1,831153","28,458207","1,140256","26,728363",,
15/01/2008 3.00,"1,718262","25,504989","0,330742","25,05282",,
15/01/2008 4.00,"2,213402","14,113678","0,038911","15,076082",,
15/01/2008 5.00,"1,922435","13,469082",0,"15,225332",,
15/01/2008 6.00,"2,175571","25,565963",0,"27,526566",,
15/01/2008 7.00,"1,89544","61,422101","7,001405","50,954455",,
15/01/2008 8.00,"2,65006","109,801854","27,333978","67,938403",,
15/01/2008 9.00,"3,497819","239,143781","105,786578","76,997537",,
15/01/2008 10.00,"2,734699","108,211761","30,023045","62,221279",,
15/01/2008 11.00,"2,125112","40,874123","5,505876","32,454573",,
15/01/2008 12.00,"0,874694","57,201761","12,183301","38,566264",,
15/01/2008 13.00,"0,103852","60,196449","16,251166","35,303398",,
15/01/2008 14.00,"0,00826","72,415276","21,163235","40,000396",,
15/01/2008 15.00,"0,015144","48,541855","15,135437","25,352622",,
15/01/2008 16.00,"0,005507","60,737317","17,087753","34,561023",,
15/01/2008 17.00,"0,045731","97,711458","25,779231","58,225122",,
15/01/2008 18.00,"0,157125","168,54182","50,627151","90,979518",,
15/01/2008 19.00,"0,392784","232,712195","86,319347","100,43063",,
15/01/2008 20.00,"0,405413","175,812677","53,124219","94,424063",,
15/01/2008 21.00,"0,519561","155,150556","45,490097","85,460965",,
15/01/2008 22.00,"0,867391","152,00153","49,342257","76,399213",,
15/01/2008 23.00,"0,875771","119,224382","32,839857","68,919603",,
16/01/2008 0.00,"0,728044","73,774501","15,505098","50,035565",,
16/01/2008 1.00,"63,144508","14,821618","40,446869",,,
16/01/2008 2.00,"1,416718",,,,,
16/01/2008 3.00,"1,164793","36,817184","10,872176","20,161122",,
16/01/2008 4.00,"2,653477","35,770556","10,611647","19,513489",,
16/01/2008 5.00,"3,192713","32,971675","9,87319","17,845741",,
16/01/2008 6.00,"2,937405","45,260518","12,141013","26,66737",,
16/01/2008 7.00,"0,929055","118,071372","39,8624","56,990849",,
16/01/2008 8.00,"0,968741","215,342815","92,917272","72,926127",,
16/01/2008 9.00,"2,086168","261,589139","113,660901","87,376619",,
16/01/2008 10.00,"1,19817","187,226036","70,639145","78,971621",,
16/01/2008 11.00,"0,423013","83,12957","23,747419","46,750636",,
16/01/2008 12.00,"0,255581","87,071064","27,991233","44,239261",,
16/01/2008 13.00,"0,055506","69,432233","20,063569","38,696048",,
16/01/2008 14.00,"0,018928","73,937917","21,217369","41,505943",,
16/01/2008 15.00,"0,036303","49,334301","13,460592","28,71541",,
16/01/2008 16.00,"0,071325","53,112395","12,864238","33,411109",,
16/01/2008 17.00,"0,138536","66,970572","14,709961","44,446906",,
16/01/2008 18.00,"0,517473","83,503117","20,465377","52,160162",,
16/01/2008 19.00,"0,079921","101,278143","22,54879","66,750842",,
16/01/2008 20.00,"0,137255","143,861687","35,496789","89,49735",,
16/01/2008 21.00,"0,165054","160,427943","46,363883","89,401314",,
16/01/2008 22.00,"0,728339","146,472525","40,377547","84,621256",,
16/01/2008 23.00,"0,531829","127,094402","38,011603","68,859896",,
17/01/2008 0.00,"0,428042","77,054537","18,645868","48,498874",,
17/01/2008 1.00,"0,876384","65,214475","18,095204","37,495505",,
17/01/2008 2.00,"1,400532","53,426268","17,311065","26,902278",,
17/01/2008 3.00,"0,600228","43,049177","16,389047","17,932689",,
17/01/2008 4.00,"0,730533","38,760083","16,831445","12,961844",,
17/01/2008 5.00,"0,299474","35,853555","17,813519","8,546489",,
17/01/2008 6.00,"0,207392","38,613527","18,167954","10,764543",,
17/01/2008 7.00,"0,169808","50,816753","18,608656","22,300018",,
17/01/2008 8.00,"0,309442","76,612291","22,907453","41,517606",,
17/01/2008 9.00,"0,861388","103,85783","30,286113","57,460684",,
17/01/2008 10.00,"0,877847","96,422274","28,670475","52,498911",,
17/01/2008 11.00,"1,316406","108,960117","34,458887","56,164101",,
17/01/2008 12.00,"1,34649","69,816144","20,477224","38,445557",,
17/01/2008 13.00,"0,911224","50,045051","16,684262","24,480445",,
17/01/2008 14.00,"0,806248","54,922983","16,142889","30,192372",,
17/01/2008 15.00,"0,921375","38,223136","11,532815","20,554401",,
17/01/2008 16.00,"0,827737","48,759747","14,302242","26,849069",,
17/01/2008 17.00,"0,998643","65,052336","18,282142","37,04645",,
17/01/2008 18.00,"0,562188","75,308804","18,853953","46,43267",,
17/01/2008 19.00,"0,658935","96,06559","25,080536","57,650164",,
17/01/2008 20.00,"1,156655","113,394483","31,030498","65,861799",,
17/01/2008 21.00,"1,852989","131,39258","42,176755","66,770309",,
17/01/2008 22.00,"1,078015","66,842181","19,386859","37,14249",,
17/01/2008 23.00,"1,102155","58,008474","18,324428","29,932798",,
18/01/2008 0.00,"0,641469","45,653492","15,620133","21,718579",,
18/01/2008 1.00,"33,691505","13,03595","13,713309",,,
18/01/2008 2.00,"0,571833",,,,,
18/01/2008 3.00,"0,253303","36,561704","16,959175","10,565968",,
18/01/2008 4.00,"0,104879","35,076651","17,824517","7,752188",,
