"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
06/06/2011 7.00,29,"15,6","1,1","0,2","48,2"
06/06/2011 8.00,"16,6","11,3","1,7","0,2","75,3"
06/06/2011 9.00,"14,3","8,2","1,4","0,2","93,5"
06/06/2011 10.00,"10,9","5,6","1,5","0,2","106,6"
06/06/2011 11.00,"10,7","5,6","1,4","0,2","110,3"
06/06/2011 12.00,"11,1","6,5","1,2","0,2","107,7"
06/06/2011 13.00,10,"5,3","1,2","0,2","105,3"
06/06/2011 14.00,"11,7","5,9","1,1","0,2","103,5"
06/06/2011 15.00,"8,7","4,5","1,3","0,2","101,8"
06/06/2011 16.00,9,"4,8","1,2","0,2","96,7"
06/06/2011 17.00,"13,3","7,3","0,8","0,2","82,3"
06/06/2011 18.00,"16,3","8,8","0,7","0,3","67,3"
06/06/2011 19.00,26,"12,4","0,8","0,3","55,3"
06/06/2011 20.00,"21,7","13,4","0,9","0,3","49,3"
06/06/2011 21.00,"24,4","12,9","0,7","0,3","42,1"
06/06/2011 22.00,"11,7","6,9","0,6","0,2","45,7"
06/06/2011 23.00,"10,3","5,9","0,6","0,2","47,4"
07/06/2011 0.00,"8,5","4,5","0,7","0,2","45,6"
07/06/2011 1.00,7,"2,9","0,8","0,2","50,8"
07/06/2011 2.00,,,"0,9","0,2","55,3"
07/06/2011 3.00,,,"0,8","0,2",50
07/06/2011 4.00,"13,3","8,8",,"0,2","45,2"
07/06/2011 5.00,"13,1",8,"0,2","0,2",
07/06/2011 6.00,"15,3","10,3","0,2","0,2","38,1"
07/06/2011 7.00,"15,1","10,5","0,5","0,2","63,3"
07/06/2011 8.00,"14,5",10,"0,6","0,2",90
07/06/2011 9.00,"17,2","10,2","0,6","0,2","88,1"
07/06/2011 10.00,"13,9","7,5","0,6","0,2","86,6"
07/06/2011 11.00,"11,1","6,1","0,6","0,2","99,4"
07/06/2011 12.00,"13,4",7,"0,9","0,2","105,5"
07/06/2011 13.00,17,"8,8","0,8","0,2","102,3"
07/06/2011 14.00,"11,5","6,2","0,7","0,2","102,1"
07/06/2011 15.00,9,"4,3","0,6","0,2","103,5"
07/06/2011 16.00,"11,9","5,8","0,6","0,2","103,8"
07/06/2011 17.00,"17,8","8,9","0,5","0,2","100,6"
07/06/2011 18.00,"19,9","11,9","0,7","0,3","96,3"
07/06/2011 19.00,"13,3","8,2","0,7","0,2","96,1"
07/06/2011 20.00,19,"11,4","0,4","0,2","90,4"
07/06/2011 21.00,"16,4","9,8","0,6","0,2","87,4"
07/06/2011 22.00,"12,4","6,8","0,6","0,2","93,6"
07/06/2011 23.00,"8,2","3,7","0,6","0,2","94,9"
08/06/2011 0.00,"7,9","4,1","0,4","0,2","91,7"
08/06/2011 1.00,"7,7","3,7","0,1","0,2","88,7"
08/06/2011 2.00,"7,4","3,1",0,"0,2","85,6"
08/06/2011 3.00,"7,3","2,9","0,1",,"87,3"
08/06/2011 4.00,"7,7","3,6",0,"0,2","81,9"
08/06/2011 5.00,"14,4","10,2",0,"0,2","63,8"
08/06/2011 6.00,"18,3","12,3",0,"0,3","53,9"
08/06/2011 7.00,"23,8","14,3","0,1","0,2","75,2"
08/06/2011 8.00,"21,4","12,5","0,1","0,2","81,8"
08/06/2011 9.00,13,"7,4",0,"0,2","85,8"
08/06/2011 10.00,"17,6","9,6","0,1","0,2","88,9"
08/06/2011 11.00,"13,2","7,8",0,"0,2","92,9"
08/06/2011 12.00,"14,9","9,1","0,1","0,2",99
08/06/2011 13.00,"13,3","7,4",0,"0,2",106
08/06/2011 14.00,12,"6,1","0,1","0,2","102,9"
08/06/2011 15.00,"8,7","4,1",0,"0,2","101,4"
08/06/2011 16.00,"13,2","8,3","0,1","0,2","93,9"
08/06/2011 17.00,34,"24,5","2,9","0,2","74,6"
08/06/2011 18.00,"20,7",14,"2,1","0,2","84,6"
08/06/2011 19.00,"20,1","14,2",1,"0,3","88,2"
08/06/2011 20.00,"31,1","21,9","0,5","0,4","73,6"
08/06/2011 21.00,"23,6","17,8","0,4","0,3","82,4"
08/06/2011 22.00,"17,8","13,3","0,1","0,2","75,8"
08/06/2011 23.00,15,"9,8","0,1","0,2","68,7"
09/06/2011 0.00,9,5,0,"0,2","63,1"
09/06/2011 1.00,"9,2","4,8","0,1","0,2","52,8"
09/06/2011 2.00,,,"0,1","0,2","48,4"
09/06/2011 3.00,,,"0,1","0,2","42,7"
09/06/2011 4.00,"18,5","13,7",,"0,2",35
09/06/2011 5.00,19,"13,7","0,1","0,3",
09/06/2011 6.00,"18,7","13,2","0,3","0,2",26
09/06/2011 7.00,"33,2","15,7","0,4","0,2","46,5"
09/06/2011 8.00,"16,1","9,5","0,5","0,2","74,2"
09/06/2011 9.00,,,,,
09/06/2011 10.00,,,,,
09/06/2011 11.00,,,,,
09/06/2011 12.00,"28,5","26,4",,"0,2",
09/06/2011 13.00,24,"21,1","2,9","0,2",
09/06/2011 14.00,"29,3","18,6",1,"0,4",
09/06/2011 15.00,"15,6","13,7","1,2","0,2","47,9"
09/06/2011 16.00,"17,3","15,7","1,6","0,3","48,1"
09/06/2011 17.00,"17,9","16,4","1,4","0,2","44,3"
09/06/2011 18.00,"21,8","19,5","0,9","0,2","35,8"
09/06/2011 19.00,"20,2","18,9","0,6","0,2","32,6"
09/06/2011 20.00,"20,2","18,2","0,4","0,2","28,9"
09/06/2011 21.00,"22,2",20,"0,3","0,2","26,4"
09/06/2011 22.00,"26,4","25,2","0,7","0,2",23
09/06/2011 23.00,"21,6","20,4","0,8","0,2","23,7"
10/06/2011 0.00,"26,8",22,"0,3","0,2","13,2"
10/06/2011 1.00,"21,7","20,2","0,3","0,2","19,6"
10/06/2011 2.00,"14,2",13,"0,1","0,2",27
10/06/2011 3.00,"13,4","11,9","0,2","0,2","31,2"
10/06/2011 4.00,"14,9","13,5","0,1","0,2","26,2"
10/06/2011 5.00,"15,9","14,2","0,1","0,2","25,2"
10/06/2011 6.00,"18,9","16,6","0,2","0,2","25,8"
10/06/2011 7.00,18,"15,2","0,2","0,2","32,8"
10/06/2011 8.00,"15,7","13,2","0,2","0,2","43,8"
10/06/2011 9.00,"15,6","12,9","0,4","0,3","50,8"
10/06/2011 10.00,"15,7","13,1","0,5","0,2","54,7"
10/06/2011 11.00,"17,2","13,2","0,5","0,3","58,6"
10/06/2011 12.00,"14,5","12,3","0,6","0,2","62,8"
10/06/2011 13.00,"12,4","11,1","0,5","0,2","64,9"
10/06/2011 14.00,"10,5","9,2","0,5","0,3","67,1"
10/06/2011 15.00,11,"9,7","0,6","0,2","68,8"
10/06/2011 16.00,"11,6",10,"0,4","0,3","71,1"
10/06/2011 17.00,"13,9","12,7","0,4","0,3","69,5"
10/06/2011 18.00,"14,6","13,6","0,5","0,3","68,1"
10/06/2011 19.00,"19,2","17,2","0,6","0,3","66,1"
10/06/2011 20.00,"22,5","19,8","0,7","0,3","58,2"
10/06/2011 21.00,"18,2","17,2","0,4","0,2","54,9"
10/06/2011 22.00,"14,4","13,6","0,6","0,2","56,3"
10/06/2011 23.00,"15,5",14,"0,4","0,2","54,3"
11/06/2011 0.00,"13,8",14,"0,4","0,2","49,1"
11/06/2011 1.00,"12,4","11,9","0,2","0,2","47,4"
11/06/2011 2.00,,,"0,1","0,2",49
11/06/2011 3.00,,,"0,1",,"49,9"
11/06/2011 4.00,"18,5","18,5",,"0,2","47,5"
11/06/2011 5.00,"18,5","17,6","0,7","0,2",
11/06/2011 6.00,25,"21,5","0,8","0,2","36,5"
11/06/2011 7.00,"25,7","21,7","0,8","0,3","37,1"
11/06/2011 8.00,"20,3","15,7",1,"0,2","47,3"
11/06/2011 9.00,"17,4","15,3","1,3","0,3","60,5"
11/06/2011 10.00,"16,7","13,8","1,2","0,3","64,2"
11/06/2011 11.00,15,"12,9","1,1","0,3","68,8"
11/06/2011 12.00,"14,2","11,7",1,"0,3","70,8"
11/06/2011 13.00,"11,9","10,5","1,1","0,2","73,5"
11/06/2011 14.00,"11,4","9,8","1,1","0,2","73,6"
11/06/2011 15.00,"10,8","9,9","1,1","0,2",73
11/06/2011 16.00,"18,5","13,4","0,9","0,3","72,9"
11/06/2011 17.00,"20,1","16,3",1,"0,3","63,1"
11/06/2011 18.00,"19,6","16,7","1,1","0,3","55,3"
11/06/2011 19.00,"23,3","20,2",1,"0,3","54,8"
11/06/2011 20.00,"28,7","24,3","0,7","0,3","43,6"
11/06/2011 21.00,"34,7","30,4","0,9","0,3","35,5"
11/06/2011 22.00,"28,3","26,1","0,8","0,3","33,6"
11/06/2011 23.00,"27,4","26,2","0,7","0,3","30,9"
12/06/2011 0.00,"22,6","21,2","0,7","0,3","28,1"
12/06/2011 1.00,"21,4","18,9","1,1","0,2","27,1"
12/06/2011 2.00,"20,7","15,8","1,3","0,3","28,8"
12/06/2011 3.00,"17,5","17,5","1,3","0,2","30,4"
12/06/2011 4.00,"16,4","15,8","1,4","0,2","32,6"
12/06/2011 5.00,"14,2","13,3","1,3","0,2","35,4"
12/06/2011 6.00,"14,3","13,1","1,5","0,2","39,1"
12/06/2011 7.00,"12,8","11,5","1,6","0,2","46,9"
12/06/2011 8.00,"10,8","10,1","1,6","0,2",61
12/06/2011 9.00,"10,7","10,4","1,6","0,3","68,5"
12/06/2011 10.00,"11,9","10,7","1,7","0,3",72
12/06/2011 11.00,11,"10,2",2,"0,3","76,9"
12/06/2011 12.00,"11,5","10,3","2,3","0,3",80
12/06/2011 13.00,"10,5","9,5","2,7","0,3",81
12/06/2011 14.00,"7,7","7,7","2,5","0,2","84,7"
12/06/2011 15.00,"8,8",8,"2,2","0,2","86,8"
12/06/2011 16.00,9,"8,8","1,9","0,2",88
12/06/2011 17.00,"10,4","9,5","1,8","0,3","89,7"
12/06/2011 18.00,"13,4","11,8","1,9","0,2","90,2"
12/06/2011 19.00,"12,5","11,3","1,7","0,3","91,4"
12/06/2011 20.00,"19,7","17,9","1,7","0,3","84,4"
12/06/2011 21.00,"20,6","18,9","1,8","0,3","75,4"
12/06/2011 22.00,"16,1","15,1","1,7","0,2","71,1"
12/06/2011 23.00,"13,2","12,4","1,5","0,2","68,2"
13/06/2011 0.00,"14,1","13,5","1,8","0,2","62,4"
13/06/2011 1.00,"10,1","10,5","1,3","0,2","60,1"
13/06/2011 2.00,,,"1,3","0,2","59,9"
13/06/2011 3.00,,,"1,4","0,2","60,9"
13/06/2011 4.00,"19,7","19,4","1,3","0,2","56,7"
13/06/2011 5.00,"19,8","19,5","1,3","0,2",
13/06/2011 6.00,"25,7","23,1","1,4","0,2","51,2"
13/06/2011 7.00,"28,3","23,8","1,5","0,3","49,2"
13/06/2011 8.00,"18,9","16,2","1,5","0,3","67,2"
13/06/2011 9.00,"18,2","16,2","1,8","0,3","76,8"
13/06/2011 10.00,"17,7","15,1","1,8","0,3","79,4"
13/06/2011 11.00,"16,1","13,7","1,9","0,3","80,9"
13/06/2011 12.00,"17,1","13,7","1,9","0,3","80,4"
13/06/2011 13.00,"12,8",12,2,"0,3","82,7"
13/06/2011 14.00,"13,2","11,2","1,9","0,3","84,8"
13/06/2011 15.00,"12,9","11,8","1,7","0,3","85,8"
13/06/2011 16.00,"15,1","13,6","1,6","0,3","82,6"
13/06/2011 17.00,20,"18,1","1,8","0,3","81,5"
13/06/2011 18.00,"17,3","15,7","1,9","0,3","74,7"
13/06/2011 19.00,"17,5","16,6","1,4","0,2","71,5"
13/06/2011 20.00,"24,1","21,7","1,7","0,3","65,5"
13/06/2011 21.00,"23,3","21,6","1,8","0,3","58,4"
13/06/2011 22.00,20,"18,8","1,8","0,3","57,5"
13/06/2011 23.00,"15,7","15,7","1,4","0,2","60,2"
14/06/2011 0.00,"15,3","14,3","1,5","0,2","59,2"
14/06/2011 1.00,"10,6","10,2","1,6","0,2","67,4"
14/06/2011 2.00,"10,4",10,"1,4","0,2","66,6"
14/06/2011 3.00,"9,5","9,4","1,5",,"63,3"
14/06/2011 4.00,"10,1","9,9","1,7","0,2","61,5"
14/06/2011 5.00,"13,8","12,2","1,5","0,2","59,3"
14/06/2011 6.00,17,"15,7","1,6","0,3","56,8"
14/06/2011 7.00,"18,5","16,6","1,7","0,3","56,5"
14/06/2011 8.00,"21,2","18,2","2,2","0,3",62
14/06/2011 9.00,"25,6","20,1","2,5","0,3","65,5"
14/06/2011 10.00,"17,6","14,9","2,2","0,3","75,8"
14/06/2011 11.00,18,"15,4","2,2","0,3","79,5"
14/06/2011 12.00,"17,5","14,1","2,2","0,3","83,3"
14/06/2011 13.00,"13,6","11,9",2,"0,3","84,6"
14/06/2011 14.00,10,"9,6",2,"0,3","89,7"
14/06/2011 15.00,"11,4","10,2","2,2","0,3","93,7"
14/06/2011 16.00,"11,5","10,2","2,1","0,3","93,3"
14/06/2011 17.00,"14,1","11,9",2,"0,3","88,4"
14/06/2011 18.00,"16,2","14,4","1,9","0,3","83,6"
14/06/2011 19.00,"13,9","13,1","1,8","0,3","81,8"
14/06/2011 20.00,"16,6","15,1","1,7","0,3","79,1"
14/06/2011 21.00,"14,5","14,5","1,5","0,3","73,8"
14/06/2011 22.00,"14,2","14,1","1,6","0,2","71,8"
14/06/2011 23.00,"12,4","12,3","1,5","0,2","67,5"
15/06/2011 0.00,"11,4","10,9","1,5","0,2","66,3"
15/06/2011 1.00,"9,5","9,4",1,"0,2","65,2"
15/06/2011 2.00,,,"0,8","0,2","63,3"
15/06/2011 3.00,,,"0,9","0,2",64
15/06/2011 4.00,"16,4","16,5",,"0,2",65
15/06/2011 5.00,"14,1","13,6","0,5","0,2",
15/06/2011 6.00,"15,4","14,7","0,4","0,3","65,3"
15/06/2011 7.00,"19,5","17,3","0,6","0,3","58,2"
15/06/2011 8.00,"20,4","17,3","0,5","0,3","64,6"
15/06/2011 9.00,"18,2","15,6","0,5","0,3","71,7"
15/06/2011 10.00,"18,4","14,7","0,7","0,3","75,9"
15/06/2011 11.00,"16,7","13,9","0,6","0,3","79,3"
15/06/2011 12.00,"17,9","14,8","1,2","0,3","81,4"
15/06/2011 13.00,"25,7","20,5","2,3","0,3","80,6"
15/06/2011 14.00,"11,4","10,6","1,6","0,3","82,4"
15/06/2011 15.00,"10,8","9,7","1,2","0,3","88,3"
15/06/2011 16.00,19,"16,5","2,2","0,3",91
15/06/2011 17.00,"45,6",39,"8,2","0,3","73,9"
15/06/2011 18.00,"24,8","22,2","4,4","0,3","78,8"
15/06/2011 19.00,"21,3","20,4","1,8","0,3","84,4"
15/06/2011 20.00,"25,2","24,5","0,7","0,3","71,8"
15/06/2011 21.00,"21,7","21,5","0,7","0,3",63
15/06/2011 22.00,"17,9","17,5","0,7","0,2","61,3"
15/06/2011 23.00,"15,6","14,8","0,7","0,2","60,8"
16/06/2011 0.00,"11,1","11,3","0,5","0,2","61,6"
16/06/2011 1.00,"10,2",10,"0,5","0,2","62,6"
16/06/2011 2.00,"9,9",10,"0,6","0,2","59,1"
16/06/2011 3.00,"9,1",9,"0,6","0,2","55,4"
16/06/2011 4.00,9,"8,6","0,6","0,2","54,4"
16/06/2011 5.00,"10,7","10,3","0,7","0,2",55
16/06/2011 6.00,"13,8","12,4","0,8","0,2","55,3"
16/06/2011 7.00,"18,4","15,5","0,7","0,3","56,3"
16/06/2011 8.00,"21,3","17,2",1,"0,3","62,9"
16/06/2011 9.00,"17,8",15,"1,3","0,3","72,2"
16/06/2011 10.00,"17,2","14,4","1,1","0,3","77,2"
16/06/2011 11.00,"15,6","13,5","1,2","0,3","80,4"
16/06/2011 12.00,"14,1","12,4","1,3","0,3","84,6"
16/06/2011 13.00,"17,7","14,7","1,3","0,3","88,1"
16/06/2011 14.00,"26,5",22,3,"0,2","83,6"
16/06/2011 15.00,29,24,"3,3","0,2","77,9"
16/06/2011 16.00,"20,3","17,8","3,7","0,2","77,5"
16/06/2011 17.00,"19,5","17,2","3,2","0,2","80,9"
16/06/2011 18.00,"15,9","14,9","1,7","0,2","87,6"
16/06/2011 19.00,"13,6","13,4","1,5","0,2","85,9"
16/06/2011 20.00,"12,2",12,1,"0,2",78
16/06/2011 21.00,"13,6","13,3","0,9","0,2","69,9"
16/06/2011 22.00,"14,3","14,3","0,5","0,2","52,9"
16/06/2011 23.00,"18,2","17,3","0,7","0,2","38,6"
17/06/2011 0.00,"11,1","10,8","0,5","0,2","32,7"
17/06/2011 1.00,"11,8","11,6","0,7","0,2","41,2"
17/06/2011 2.00,,,"1,3","0,2","43,7"
17/06/2011 3.00,,,1,,"34,7"
17/06/2011 4.00,19,"18,7",,"0,2",35
17/06/2011 5.00,"17,7","16,9","0,5","0,2",
17/06/2011 6.00,"19,1","16,8","0,5","0,2","23,8"
17/06/2011 7.00,"22,2","18,3",1,"0,3","37,1"
17/06/2011 8.00,"19,3","16,5","1,6","0,3","54,1"
17/06/2011 9.00,"15,9","13,5","3,4","0,3","75,5"
17/06/2011 10.00,"16,7","14,2","3,6","0,3","87,4"
17/06/2011 11.00,"13,9","13,2",3,"0,3","96,2"
17/06/2011 12.00,"11,5","11,6","3,1","0,3","104,8"
17/06/2011 13.00,"12,6","11,5",3,"0,3","108,3"
17/06/2011 14.00,"9,9","10,1","2,5","0,3","108,9"
17/06/2011 15.00,"12,4","11,8","2,5","0,3",108
17/06/2011 16.00,13,"11,8","2,2","0,3","106,5"
17/06/2011 17.00,"16,3","15,4","2,4","0,3","104,7"
17/06/2011 18.00,"11,8","11,8",2,"0,3",101
17/06/2011 19.00,"21,3",19,"1,7","0,3","90,7"
17/06/2011 20.00,"25,9","21,7","1,5","0,3","75,8"
17/06/2011 21.00,"17,6","16,4","1,1","0,2","62,6"
17/06/2011 22.00,12,"11,7","0,8","0,2","58,1"
17/06/2011 23.00,"11,5","11,2","0,9","0,2","49,1"
18/06/2011 0.00,"11,5","11,4","0,6","0,2","45,2"
18/06/2011 1.00,"10,7","10,8","0,5","0,2","39,7"
18/06/2011 2.00,"11,3","10,8","0,3","0,2","39,1"
18/06/2011 3.00,"11,4","11,2","0,5","0,2","39,8"
18/06/2011 4.00,"13,3","12,6","0,4","0,2","39,5"
18/06/2011 5.00,"16,8","15,6","0,8","0,2","37,2"
18/06/2011 6.00,"18,3","16,4","0,7","0,3","36,5"
18/06/2011 7.00,"18,7","15,4","0,8","0,3","45,8"
18/06/2011 8.00,"17,9","14,8","1,2","0,4","56,5"
18/06/2011 9.00,"15,9",14,"2,3","0,3","76,9"
18/06/2011 10.00,"17,2","13,6","3,1","0,3","88,5"
18/06/2011 11.00,"15,6","13,3","3,1","0,3","96,5"
18/06/2011 12.00,"16,6","13,1",3,"0,3","99,2"
18/06/2011 13.00,"12,2","10,5","2,6","0,3","104,1"
18/06/2011 14.00,"10,6","9,4","2,7","0,3","101,6"
18/06/2011 15.00,"9,6","8,3","2,4","0,3","101,8"
18/06/2011 16.00,"11,3","9,3","2,3","0,3","101,7"
18/06/2011 17.00,"13,6","11,8",2,"0,3","101,4"
18/06/2011 18.00,"15,5",13,"1,5","0,3","96,4"
18/06/2011 19.00,"18,6","15,9","1,7","0,3","83,2"
18/06/2011 20.00,"23,6","19,3","1,8","0,3","73,2"
18/06/2011 21.00,"24,2","21,1","1,3","0,3","64,7"
18/06/2011 22.00,"21,5","18,9","1,3","0,3",59
18/06/2011 23.00,"15,6","14,9","1,1","0,3",57
19/06/2011 0.00,"11,2","11,1","1,1","0,2","55,6"
19/06/2011 1.00,"11,8","11,6","0,8","0,2","52,2"
19/06/2011 2.00,,,"0,4","0,2","48,7"
19/06/2011 3.00,,,"0,2","0,2","46,9"
19/06/2011 4.00,"20,1","19,7",,"0,2","45,1"
19/06/2011 5.00,"16,9","16,9","0,5","0,2",
19/06/2011 6.00,"12,6","12,7","0,5","0,2",
19/06/2011 7.00,"10,2","9,6","0,4","0,3",
19/06/2011 8.00,"10,2","9,2","0,7","0,3",
19/06/2011 9.00,"11,4","9,9","0,9","0,3",
19/06/2011 10.00,"11,7","10,1","1,5","0,3",
19/06/2011 11.00,"11,9","9,7","1,8","0,3",
19/06/2011 12.00,"9,9","8,6","2,3","0,3",
19/06/2011 13.00,"9,1","8,5","2,5","0,3",
19/06/2011 14.00,"7,8","7,6","2,3","0,3",
19/06/2011 15.00,"8,5","7,6","2,1","0,3",
19/06/2011 16.00,"8,6","8,2","1,9","0,3",
19/06/2011 17.00,"8,9",8,"1,5","0,3",
19/06/2011 18.00,"11,4","10,2","1,5","0,3",
19/06/2011 19.00,"15,3","12,5","1,5","0,3",
19/06/2011 20.00,"22,1","19,9","1,5","0,3",
19/06/2011 21.00,"19,7","19,1",1,"0,3",
19/06/2011 22.00,"15,2","14,1",1,"0,2",
19/06/2011 23.00,"11,9","11,8","0,9","0,2",
20/06/2011 0.00,"13,9","13,2","0,6","0,2",
20/06/2011 1.00,"13,2","12,7","0,3","0,2",
20/06/2011 2.00,"12,5","11,9","0,3","0,2",
20/06/2011 3.00,"14,3","13,6","0,2",,
20/06/2011 4.00,"13,9","13,5","0,1","0,2",
20/06/2011 5.00,13,12,"0,2","0,2",
20/06/2011 6.00,13,"11,8","0,3","0,2",
20/06/2011 7.00,"15,8","12,5","0,3","0,3",
20/06/2011 8.00,"15,1","13,1","0,3","0,3",
20/06/2011 9.00,"18,2","12,9","0,2","0,3",
20/06/2011 10.00,"14,5","12,4","0,2","0,3",
20/06/2011 11.00,"14,3","12,1","0,3","0,3",
20/06/2011 12.00,"12,9","10,9","0,5","0,3",
20/06/2011 13.00,"11,3","9,6","0,5","0,3",
20/06/2011 14.00,"9,4","8,8","0,4","0,3",
20/06/2011 15.00,"9,8","8,7","0,2","0,3",
20/06/2011 16.00,"10,3","8,9","0,3","0,3",
20/06/2011 17.00,"11,8","10,3","0,3","0,2",
20/06/2011 18.00,"16,8","14,5","0,5","0,3",
20/06/2011 19.00,"15,1","14,2","0,4","0,2",
20/06/2011 20.00,"16,4",15,"0,2","0,2",
20/06/2011 21.00,"20,1","18,2","0,3","0,3",
20/06/2011 22.00,"17,2","16,5","0,2","0,2",
20/06/2011 23.00,"16,5","16,7","0,1","0,3",
21/06/2011 0.00,"15,1",15,0,"0,3",
21/06/2011 1.00,"12,4","12,1","0,3","0,2",
21/06/2011 2.00,,,"0,5","0,2",
21/06/2011 3.00,,,"0,4","0,2",
21/06/2011 4.00,"21,1","20,5",,"0,3",
21/06/2011 5.00,"17,9","17,3","0,5","0,3",
21/06/2011 6.00,19,"18,3","0,4","0,3",
21/06/2011 7.00,"19,6",17,"0,6","0,3",
21/06/2011 8.00,"22,5","16,2","0,9","0,3",
21/06/2011 9.00,"16,8","14,3","1,3","0,3",
21/06/2011 10.00,"15,2",13,"1,1","0,3",
21/06/2011 11.00,"13,1","11,5","1,2","0,3",
21/06/2011 12.00,"14,7","12,6","1,6","0,3",
21/06/2011 13.00,"15,8","14,2","2,3","0,4",
21/06/2011 14.00,"16,2",14,"2,4","0,3",
21/06/2011 15.00,"15,7","15,1","3,2","0,4",
21/06/2011 16.00,"11,6","10,2","2,5","0,3",
21/06/2011 17.00,"17,5",15,"2,6","0,3",
21/06/2011 18.00,"16,4","14,8","3,1","0,3",
21/06/2011 19.00,"19,3","17,5","3,2","0,3",
21/06/2011 20.00,"25,3","21,9","2,2","0,3",
21/06/2011 21.00,21,"19,3","0,9","0,3",
21/06/2011 22.00,17,"16,9",1,"0,3",
21/06/2011 23.00,"20,2","20,2","0,6","0,2",
22/06/2011 0.00,"18,3","18,1","0,6","0,3",
22/06/2011 1.00,"12,3","12,2","0,7","0,2",
22/06/2011 2.00,"14,4","14,2","0,6","0,2",
22/06/2011 3.00,"11,6","11,6","0,8","0,2",
22/06/2011 4.00,"12,4",11,"0,8","0,2",
22/06/2011 5.00,"15,7","14,2","1,2","0,2",
22/06/2011 6.00,"20,4","18,3","1,7","0,3",
22/06/2011 7.00,"25,8","21,3","2,3","0,3",
22/06/2011 8.00,"26,8","21,3","2,5","0,3",
22/06/2011 9.00,"21,4","17,7","2,4","0,3",
22/06/2011 10.00,"18,3","15,2","2,5","0,3",
22/06/2011 11.00,"17,7","14,2","2,8","0,4",
22/06/2011 12.00,"17,7","14,7","2,8","0,3",
22/06/2011 13.00,"20,2",18,"3,5","0,4",
22/06/2011 14.00,"13,8","12,8","3,5","0,3",
22/06/2011 15.00,"11,4","11,1","4,1","0,3",
22/06/2011 16.00,"13,5","11,6","4,8","0,3",
22/06/2011 17.00,"10,8","10,4","2,7","0,3",
22/06/2011 18.00,"11,5","10,8","2,5","0,3",
22/06/2011 19.00,"14,6","14,1","1,8","0,3",
22/06/2011 20.00,"16,4","15,9","1,6","0,3",
22/06/2011 21.00,25,"24,4","1,6","0,3",
22/06/2011 22.00,"21,4","21,5","1,3","0,3",
22/06/2011 23.00,"18,6","18,3","0,8","0,3",
23/06/2011 0.00,"19,2","19,5","0,9","0,3",
23/06/2011 1.00,"18,3","18,1","0,6","0,3",
23/06/2011 2.00,,,"0,5","0,3",
23/06/2011 3.00,,,"0,4",,
23/06/2011 4.00,"24,4","23,5",,"0,3",
23/06/2011 5.00,"29,3",26,"0,4","0,3",
23/06/2011 6.00,"41,6","31,6",1,"0,4",
23/06/2011 7.00,"26,8","22,9","2,2","0,3",
23/06/2011 8.00,"14,7","13,1","2,4","0,3",
23/06/2011 9.00,"16,8","14,7","2,8","0,3",
23/06/2011 10.00,"14,2","12,8","4,1","0,3",
23/06/2011 11.00,"15,5","13,3","3,9","0,3",
23/06/2011 12.00,"13,4","12,4","2,9","0,3",
23/06/2011 13.00,"12,8","10,9","2,4","0,3",
23/06/2011 14.00,"11,6","10,5","2,2","0,3",
23/06/2011 15.00,"12,8","11,7","2,6","0,3",
23/06/2011 16.00,"9,7","9,2","1,8","0,3",
23/06/2011 17.00,"11,6","10,6","1,6","0,3",
23/06/2011 18.00,"13,4","11,5","1,7","0,3",
23/06/2011 19.00,"15,4","15,1","1,8","0,3",
23/06/2011 20.00,"21,7",21,"1,6","0,3",
23/06/2011 21.00,"26,1","23,5","1,7","0,3",
23/06/2011 22.00,"15,5","15,2","1,2","0,3",
23/06/2011 23.00,"13,9","12,6","1,2","0,3",
24/06/2011 0.00,"11,1","10,9",1,"0,3",
24/06/2011 1.00,"10,3",10,1,"0,2",
24/06/2011 2.00,"10,8","10,4",1,"0,3",
24/06/2011 3.00,"9,3","9,2","0,6","0,3",
24/06/2011 4.00,"9,6","9,5","0,9","0,3",
24/06/2011 5.00,"13,6","12,9",1,"0,3",
24/06/2011 6.00,17,"15,2","1,1","0,3",
24/06/2011 7.00,"40,3","31,2","1,4","0,5",
24/06/2011 8.00,"37,2",29,"4,5","0,4",
24/06/2011 9.00,"25,1","22,4","5,4","0,4",
24/06/2011 10.00,"21,1",19,"3,8","0,5",
24/06/2011 11.00,"32,5","23,3","3,9","0,5",
24/06/2011 12.00,"20,5","20,1","5,3","0,4",
24/06/2011 13.00,"17,8","16,8","5,6","0,4",
24/06/2011 14.00,16,"14,9","6,1","0,3",
24/06/2011 15.00,"14,3","13,1","4,9","0,3",
24/06/2011 16.00,"14,7","14,4","4,2","0,3",
24/06/2011 17.00,"16,9",16,"3,6","0,3",
24/06/2011 18.00,15,"14,2","2,4","0,3",
24/06/2011 19.00,"14,3","13,7","2,2","0,3",
24/06/2011 20.00,"19,1","18,5","2,3","0,4",
24/06/2011 21.00,"32,3","32,4","2,9","0,4",
24/06/2011 22.00,"31,3","30,5","1,9","0,3",
24/06/2011 23.00,"22,2","22,3","1,6","0,3",
25/06/2011 0.00,"22,1",21,"1,8","0,3",
25/06/2011 1.00,"18,6","18,7","1,5","0,3",
25/06/2011 2.00,,,"0,8","0,3",
25/06/2011 3.00,,,"0,7","0,2",
25/06/2011 4.00,"18,6","18,9",,"0,2",
