Stat,STATTE - SS7 Wind,,,,,
Parm,SO2,NOX,NO2,PM10,CO,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
04/08/2014 0.00,,"11,9","9,6","19,5","0,2","0,4"
04/08/2014 1.00,,"8,9","6,6",,"0,1","0,4"
04/08/2014 2.00,"2,8",,,"16,8","0,1","0,2"
04/08/2014 3.00,"1,3","11,8","9,2",,,"0,3"
04/08/2014 4.00,"1,2","32,0","25,4","18,3","0,2","0,3"
04/08/2014 5.00,"0,8","7,3","4,6",,"0,2",
04/08/2014 6.00,"1,0","68,8","47,4","17,6","0,2","0,4"
04/08/2014 7.00,"0,3","41,9","28,8",,"0,2","0,4"
04/08/2014 8.00,"0,1","20,6","14,3","10,7","0,2","0,3"
04/08/2014 9.00,"0,1","6,9","4,0",,"0,2","0,2"
04/08/2014 10.00,,"5,7","3,1","8,8","0,2","0,2"
04/08/2014 11.00,,"7,5","4,6",,"0,2","0,2"
04/08/2014 12.00,"0,2","9,3","6,3","9,0","0,2","0,3"
04/08/2014 13.00,,"4,6","2,0",,"0,1","0,1"
04/08/2014 14.00,"0,1","4,4","2,0","9,8","0,1","0,1"
04/08/2014 15.00,,"5,5","2,6",,"0,1","0,1"
04/08/2014 16.00,,"4,6","2,1","9,3","0,1","0,1"
04/08/2014 17.00,"0,1","3,8","1,0",,"0,1","0,1"
04/08/2014 18.00,,"3,9","1,5","13,2","0,1","0,1"
04/08/2014 19.00,"0,6","4,7","2,2",,"0,1",
04/08/2014 20.00,"0,6","6,4","3,9","13,7","0,1","0,1"
04/08/2014 21.00,,"20,1","17,0",,"0,1","0,1"
04/08/2014 22.00,,"17,0","14,3","14,2","0,1","0,2"
04/08/2014 23.00,,"16,9","13,9",,"0,2","0,2"
05/08/2014 0.00,,"19,2","16,2","14,7","0,2","0,3"
05/08/2014 1.00,,"15,5","12,7",,"0,2","0,3"
05/08/2014 2.00,,"8,9","6,6","23,0","0,1","0,2"
05/08/2014 3.00,,"12,9","9,9",,"0,1","0,2"
05/08/2014 4.00,,"35,3","27,9","26,6","0,1","0,2"
05/08/2014 5.00,,"48,7","38,5",,"0,1","0,2"
05/08/2014 6.00,"1,2","119,3","62,3","25,4","0,2","0,3"
05/08/2014 7.00,"1,0","76,0","46,0",,"0,2","0,4"
05/08/2014 8.00,,"35,1","24,1","13,9","0,2","0,4"
05/08/2014 9.00,,"5,1","2,7",,"0,1","0,2"
05/08/2014 10.00,,"6,7","3,7","8,5","0,1","0,1"
05/08/2014 11.00,"1,9","11,2","7,5",,"0,2","0,1"
05/08/2014 12.00,"1,4","15,6","10,8","9,0","0,2","0,2"
05/08/2014 13.00,"0,6","28,0","20,6",,"0,2","0,2"
05/08/2014 14.00,"1,1","15,1","11,0","9,3","0,2","0,2"
05/08/2014 15.00,"0,3","13,0","9,1",,"0,2","0,2"
05/08/2014 16.00,"1,1","15,9","11,7","20,8","0,2","0,2"
05/08/2014 17.00,"0,7","28,9","24,1",,"0,2","0,2"
05/08/2014 18.00,"1,3","26,9","22,4","83,5","0,2","0,2"
05/08/2014 19.00,"0,4","34,6","31,3",,"0,2","0,3"
05/08/2014 20.00,,"12,9","10,6","45,4","0,2","0,3"
05/08/2014 21.00,,"7,0","4,7",,"0,2","0,2"
05/08/2014 22.00,,"13,3","10,6","35,4","0,2","0,1"
05/08/2014 23.00,"0,1","17,1","14,1",,"0,2","0,2"
06/08/2014 0.00,"0,4","17,4","15,0","41,8","0,2","0,3"
06/08/2014 1.00,,"13,4","10,9",,"0,2","0,2"
06/08/2014 2.00,"2,6",,,"24,2","0,2","0,2"
06/08/2014 3.00,"1,3","15,5","12,3",,,"0,2"
06/08/2014 4.00,"0,9","21,8","17,6","19,5","0,2","0,2"
06/08/2014 5.00,"1,2","34,8","25,6",,"0,2",
06/08/2014 6.00,"1,2","73,0","46,2","40,5","0,2","0,3"
06/08/2014 7.00,"1,3","72,9","44,7",,"0,2","0,5"
06/08/2014 8.00,"0,9","38,4","25,2","21,2","0,2","0,3"
06/08/2014 9.00,,"13,9","9,8",,"0,2","0,4"
06/08/2014 10.00,"0,1","7,7","4,7","10,7","0,1","0,5"
06/08/2014 11.00,"0,9","7,2","4,1",,"0,1","0,3"
06/08/2014 12.00,"0,4","9,9","6,3","5,4","0,1","0,2"
06/08/2014 13.00,"0,4","7,9","4,6",,"0,1","0,2"
06/08/2014 14.00,"1,0","7,1","4,1","2,9","0,1","0,2"
06/08/2014 15.00,"0,1","5,1","2,6",,"0,1","0,1"
06/08/2014 16.00,"0,8","6,2","3,3","1,7","0,1","0,1"
06/08/2014 17.00,"0,1","5,6","2,7",,"0,1","0,1"
06/08/2014 18.00,"1,2","5,4","2,4","1,0","0,1","0,1"
06/08/2014 19.00,,"5,3","2,9",,"0,1","0,2"
06/08/2014 20.00,"0,2","5,7","3,3","1,0","0,1","0,2"
06/08/2014 21.00,,"5,6","3,2",,"0,1","0,2"
06/08/2014 22.00,,"7,1","4,7","3,2","0,1","0,2"
06/08/2014 23.00,,"8,7","6,3",,"0,1","0,2"
07/08/2014 0.00,"0,1","7,6","5,3","16,1","0,1","0,2"
07/08/2014 1.00,"0,1","14,7","11,8",,"0,1","0,2"
07/08/2014 2.00,"0,2","22,7","17,9","15,9","0,1","0,3"
07/08/2014 3.00,"0,1","16,8","12,5",,"0,1","0,2"
07/08/2014 4.00,"0,6","44,1","25,7","25,2","0,2","0,2"
07/08/2014 5.00,"1,5","61,6","39,2",,"0,2","0,3"
07/08/2014 6.00,"1,0","39,4","29,7","22,2","0,2","0,3"
07/08/2014 7.00,"1,0","38,5","27,4",,"0,2","0,3"
07/08/2014 8.00,"0,2","22,6","15,7","11,2","0,2","0,3"
07/08/2014 9.00,,"9,6","6,4",,"0,1","0,3"
07/08/2014 10.00,,"6,1","3,4","5,6","0,1","0,2"
07/08/2014 11.00,"0,3","8,0","4,7",,"0,1","0,2"
07/08/2014 12.00,"0,7","6,2","3,3","2,9","0,1","0,2"
07/08/2014 13.00,,"4,9","2,5",,"0,1","0,2"
07/08/2014 14.00,"0,1","5,4","2,6","1,7","0,1","0,2"
07/08/2014 15.00,"0,2","5,9","3,1",,"0,1","0,2"
07/08/2014 16.00,"0,9","4,9","2,1","2,4","0,1","0,2"
07/08/2014 17.00,"0,4","5,2","2,5",,"0,1","0,1"
07/08/2014 18.00,"0,7","4,7","2,2","8,3","0,1","0,1"
07/08/2014 19.00,"0,7","6,1","3,6",,"0,1","0,2"
07/08/2014 20.00,"0,6","6,4","3,9","8,3","0,1","0,3"
07/08/2014 21.00,,"9,5","7,0",,"0,1","0,3"
07/08/2014 22.00,,"16,1","13,5","20,3","0,1","0,3"
07/08/2014 23.00,"0,1","19,7","17,3",,"0,1","0,3"
08/08/2014 0.00,,"16,9","14,5","35,7","0,2","0,3"
08/08/2014 1.00,,"28,5","25,1",,"0,2","0,3"
08/08/2014 2.00,"1,8",,,"37,4","0,2","0,3"
08/08/2014 3.00,"0,8","21,7","16,8",,,"0,3"
08/08/2014 4.00,,"20,0","16,2","30,8","0,2","0,3"
08/08/2014 5.00,,"24,1","20,9",,"0,2",
08/08/2014 6.00,"0,5","56,6","40,8","26,4","0,2","0,3"
08/08/2014 7.00,"0,4","42,9","30,9",,"0,2","0,4"
08/08/2014 8.00,,"28,4","20,2","13,4","0,2","0,4"
08/08/2014 9.00,,"12,4","8,4",,"0,2","0,3"
08/08/2014 10.00,"0,1","6,4","3,6","6,8","0,2","0,2"
08/08/2014 11.00,"0,2","6,6","3,7",,"0,2","0,2"
08/08/2014 12.00,"0,1","10,8","7,4","3,7","0,2","0,3"
08/08/2014 13.00,"0,2","7,5","4,3",,"0,2","0,2"
08/08/2014 14.00,"0,5","4,9","2,3","2,9","0,2","0,2"
08/08/2014 15.00,,"12,5","8,7",,"0,2","0,2"
08/08/2014 16.00,"0,1","15,1","10,7","13,7","0,1","0,2"
08/08/2014 17.00,"0,6","15,6","11,0",,"0,2","0,2"
08/08/2014 18.00,"0,4","16,4","12,2","20,8","0,2","0,2"
08/08/2014 19.00,"0,4","22,8","19,1",,"0,2","0,2"
08/08/2014 20.00,"0,1","8,8","6,4","11,7","0,1","0,2"
08/08/2014 21.00,,"9,0","6,7",,"0,1","0,2"
08/08/2014 22.00,,"4,5","2,2","12,2","0,1","0,2"
08/08/2014 23.00,,"6,6","4,3",,"0,1","0,2"
09/08/2014 0.00,,"16,0","11,8","13,9","0,1","0,3"
09/08/2014 1.00,,"12,8","9,7",,"0,1","0,3"
09/08/2014 2.00,,"13,6","10,7","16,1","0,1","0,3"
09/08/2014 3.00,,"10,2","7,8",,"0,1","0,2"
09/08/2014 4.00,,"5,6","3,3","14,2","0,1","0,2"
09/08/2014 5.00,"0,1","18,2","12,0",,"0,1","0,2"
09/08/2014 6.00,"0,6","80,0","52,3","16,8","0,2","0,2"
09/08/2014 7.00,"1,4","108,5","57,1",,"0,2","0,3"
09/08/2014 8.00,"0,2","34,6","25,0","33,9","0,2","0,5"
09/08/2014 9.00,,"22,2","16,4",,"0,1","0,3"
09/08/2014 10.00,"0,6","20,6","14,7","22,2","0,1","0,2"
09/08/2014 11.00,"1,4","21,6","16,0",,"0,2","0,3"
09/08/2014 12.00,"1,7","21,0","15,2","19,5","0,2","0,3"
09/08/2014 13.00,"1,3","19,9","14,0",,"0,1","0,2"
09/08/2014 14.00,"0,3","15,6","10,3","17,8","0,1","0,2"
09/08/2014 15.00,"0,3","13,3","8,9",,"0,1","0,1"
09/08/2014 16.00,"0,9","12,7","8,4","13,2","0,1","0,2"
09/08/2014 17.00,"0,5","14,5","10,6",,"0,2","0,1"
09/08/2014 18.00,"0,5","13,6","9,9","16,1","0,1","0,1"
09/08/2014 19.00,"0,8","28,6","25,2",,"0,1","0,2"
09/08/2014 20.00,"0,4","15,1","12,6","9,3","0,1","0,3"
09/08/2014 21.00,,"7,2","4,9",,"0,1","0,2"
09/08/2014 22.00,,"7,6","5,3","26,1","0,2","0,3"
09/08/2014 23.00,,"7,5","5,1",,"0,2","0,4"
10/08/2014 0.00,,"7,5","5,1","22,2","0,1","0,3"
10/08/2014 1.00,,"8,5","6,2",,"0,1","0,3"
10/08/2014 2.00,"1,6",,,"20,3","0,1","0,4"
10/08/2014 3.00,"1,3","9,0","6,6",,,"0,4"
10/08/2014 4.00,"0,6","5,7","3,3","19,3","0,2","0,3"
10/08/2014 5.00,"0,2","5,8","3,5",,"0,2",
10/08/2014 6.00,"0,1","6,9","4,6","21,2","0,2","0,3"
10/08/2014 7.00,"1,0","12,4","9,4",,"0,3","0,3"
10/08/2014 8.00,,"24,2","18,9","25,4","0,5","0,9"
10/08/2014 9.00,"2,0","38,3","29,6",,"0,5","1,5"
10/08/2014 10.00,"1,1","24,1","18,3","29,1","0,3","0,7"
10/08/2014 11.00,"0,2","24,3","18,6",,"0,3","0,6"
10/08/2014 12.00,,"14,8","10,7","27,8","0,2","0,4"
10/08/2014 13.00,"0,3","13,0","9,2",,"0,2","0,3"
10/08/2014 14.00,,"10,0","6,5","6,8","0,2","0,2"
10/08/2014 15.00,"0,4","8,8","5,4",,"0,2","0,2"
10/08/2014 16.00,"0,1","8,6","5,3","12,7","0,2","0,1"
10/08/2014 17.00,,"11,9","8,5",,"0,2","0,1"
10/08/2014 18.00,,"13,0","9,6","18,8","0,2","0,2"
10/08/2014 19.00,"0,4","11,3","8,7",,"0,2","0,1"
10/08/2014 20.00,,"24,0","21,4","12,0","0,2","0,2"
10/08/2014 21.00,,"7,6","5,3",,"0,2","0,3"
10/08/2014 22.00,,"7,1","4,8","16,1","0,2","0,4"
10/08/2014 23.00,,"5,7","3,4",,"0,2","0,3"
11/08/2014 0.00,,"6,3","3,9","20,3","0,2","0,3"
11/08/2014 1.00,,"5,5","3,2",,"0,2","0,3"
11/08/2014 2.00,,"5,5","3,1","11,5","0,2","0,2"
11/08/2014 3.00,,"4,6","2,2",,"0,2","0,2"
11/08/2014 4.00,,"6,6","4,2","15,4","0,2","0,2"
11/08/2014 5.00,,"15,8","12,2",,"0,2","0,2"
11/08/2014 6.00,"0,3","29,4","18,9","27,4","0,2","0,3"
11/08/2014 7.00,"0,6","27,8","20,2",,"0,3","0,3"
11/08/2014 8.00,"0,5","82,4","55,2","55,9","0,6","2,1"
11/08/2014 9.00,"0,2","37,4","27,4",,"0,3","3,4"
11/08/2014 10.00,,"23,6","16,9","50,1","0,2","0,8"
11/08/2014 11.00,"0,1","21,3","15,0",,"0,2","0,6"
11/08/2014 12.00,"0,3","18,4","12,7","35,9","0,2","0,4"
11/08/2014 13.00,"0,1","19,5","13,7",,"0,2","0,3"
11/08/2014 14.00,,"19,4","13,4","24,7","0,2","0,2"
11/08/2014 15.00,,"19,4","13,6",,"0,2","0,2"
11/08/2014 16.00,,,,"10,7","0,2","0,2"
11/08/2014 17.00,"3,2","16,6","11,9",,"0,2","0,2"
11/08/2014 18.00,"1,0","15,4","11,4","17,1","0,2","0,2"
11/08/2014 19.00,"0,6","20,2","17,4",,"0,2","0,1"
11/08/2014 20.00,"1,4","11,7","9,3","14,2","0,2","0,2"
11/08/2014 21.00,"1,3","10,0","7,4",,"0,2","0,2"
11/08/2014 22.00,"1,1","8,7","6,1","20,0","0,2","0,2"
11/08/2014 23.00,"1,3","9,3","6,9",,"0,2","0,3"
12/08/2014 0.00,"1,3","8,7","6,1","20,0","0,2","0,2"
12/08/2014 1.00,,"7,0","4,5",,"0,2","0,2"
12/08/2014 2.00,"2,5",,,"21,0","0,2","0,2"
12/08/2014 3.00,"1,4","8,5","5,4",,,"0,2"
12/08/2014 4.00,"1,3","34,4","24,8","25,4","0,2","0,2"
12/08/2014 5.00,"1,4","30,6","20,8",,"0,2",
12/08/2014 6.00,"1,3","23,9","16,9","24,4","0,2","0,3"
12/08/2014 7.00,"1,3","19,0","14,2",,"0,2","0,4"
12/08/2014 8.00,"1,2","40,9","31,1","33,2","0,3","0,5"
12/08/2014 9.00,"1,3","43,1","32,1",,"0,3","0,8"
12/08/2014 10.00,"1,3","26,1","18,9","29,3","0,2","0,5"
12/08/2014 11.00,"1,3","19,4","13,8",,"0,2","0,3"
12/08/2014 12.00,"1,4","18,9","12,5","17,3","0,1","0,1"
12/08/2014 13.00,"1,9","19,3","12,5",,"0,1","0,2"
12/08/2014 14.00,"2,0","21,8","14,6","10,3","0,2","0,2"
12/08/2014 15.00,"3,6","17,1","12,1",,"0,3","0,7"
12/08/2014 16.00,"3,5","15,6","11,5","6,6","0,3","0,4"
12/08/2014 17.00,"13,9","26,4","19,8",,"0,3","0,4"
12/08/2014 18.00,,"23,0","15,3","19,8","0,2","0,4"
12/08/2014 19.00,"0,6","23,9","17,8",,"0,2","0,3"
12/08/2014 20.00,"1,7","17,8","14,9","22,7","0,2","0,3"
12/08/2014 21.00,"1,4","13,8","11,2",,"0,2","0,3"
12/08/2014 22.00,"1,3","18,2","15,5","37,9","0,2","0,4"
12/08/2014 23.00,"1,3","13,2","10,8",,"0,2","0,4"
13/08/2014 0.00,"1,2","9,9","7,6","40,5","0,2","0,3"
13/08/2014 1.00,"1,3","11,4","8,8",,"0,2","0,6"
13/08/2014 2.00,"1,3","14,2","11,9","30,0","0,3","0,5"
13/08/2014 3.00,"1,3","9,5","7,1",,"0,2","0,4"
13/08/2014 4.00,"1,3","9,6","7,2","30,3","0,2","0,4"
13/08/2014 5.00,"1,3","10,4","7,6",,"0,3","0,7"
13/08/2014 6.00,"1,4","45,1","28,2","36,9","0,3","0,8"
13/08/2014 7.00,"1,3","29,2","20,8",,"0,3","0,6"
13/08/2014 8.00,"1,0","47,8","34,8","38,6","0,5","0,8"
13/08/2014 9.00,"1,4","51,1","37,0",,"0,6","1,5"
13/08/2014 10.00,"1,3","31,8","23,7","31,7","0,3","1,2"
13/08/2014 11.00,"1,3","24,0","17,7",,"0,2","0,6"
13/08/2014 12.00,"1,5","19,8","13,6","29,8","0,2","0,4"
13/08/2014 13.00,"1,0","17,2","11,4",,"0,1","0,3"
13/08/2014 14.00,"1,3","15,9","10,0","27,4","0,1","0,2"
13/08/2014 15.00,"1,3","17,1","11,1",,"0,1","0,2"
13/08/2014 16.00,"1,4","19,7","13,3","28,8","0,1","0,5"
13/08/2014 17.00,"1,3","27,7","20,6",,"0,1","0,6"
13/08/2014 18.00,"1,3","22,9","16,7","45,4","0,1","0,7"
13/08/2014 19.00,"1,4","23,2","18,2",,"0,1","0,6"
13/08/2014 20.00,"1,3","22,8","19,9","58,1","0,1","0,3"
13/08/2014 21.00,"1,3","10,9","8,5",,"0,2","0,3"
13/08/2014 22.00,"1,3","10,4","8,0","77,2","0,1","0,3"
13/08/2014 23.00,"1,3","7,6","5,3",,"0,1","0,3"
14/08/2014 0.00,"1,3","8,6","6,2","65,0","0,2","0,2"
14/08/2014 1.00,,"6,8","4,5",,"0,1","0,2"
14/08/2014 2.00,"1,8",,,"50,3","0,1","0,1"
14/08/2014 3.00,"1,3","10,0","7,0",,,"0,1"
14/08/2014 4.00,"1,4","11,3","7,6","25,4","0,2","0,1"
14/08/2014 5.00,"1,3","7,7","4,9",,"0,2",
14/08/2014 6.00,"1,3","7,6","4,3","14,9","0,2","0,2"
14/08/2014 7.00,"1,3","8,9","5,6",,"0,2","0,3"
14/08/2014 8.00,"1,0","18,7","13,1","21,0","0,3","0,3"
14/08/2014 9.00,"1,2","51,0","32,4",,"0,8","0,4"
14/08/2014 10.00,"1,3","30,1","20,4","10,7","0,3","0,9"
14/08/2014 11.00,"1,3","17,5","11,0",,"0,2","0,4"
14/08/2014 12.00,"1,3","16,5","10,2","5,4","0,2","0,2"
14/08/2014 13.00,"1,3","14,9","8,5",,"0,2","0,2"
14/08/2014 14.00,"1,3","13,8","7,9","5,4","0,2","0,3"
14/08/2014 15.00,"1,3","12,9","7,4",,"0,2","0,2"
14/08/2014 16.00,"1,3","12,5","7,6","21,2","0,2","0,2"
14/08/2014 17.00,"1,3","13,4","8,6",,"0,2","0,2"
14/08/2014 18.00,"1,4","17,4","12,4","26,9","0,2","0,3"
14/08/2014 19.00,"1,3","14,3","11,2",,"0,2","0,5"
14/08/2014 20.00,"1,4","39,2","30,3","27,8","0,2","0,6"
14/08/2014 21.00,"1,3","38,8","26,0",,"0,2","0,5"
14/08/2014 22.00,"1,2","17,0","13,2","29,1","0,2","0,3"
14/08/2014 23.00,"1,2","10,4","7,5",,"0,1","0,2"
15/08/2014 0.00,"1,3","9,3","6,4","22,0","0,1","0,2"
15/08/2014 1.00,"0,7","7,8","4,8",,"0,1","0,1"
15/08/2014 2.00,"1,3","8,6","5,9","12,0","0,1","0,1"
15/08/2014 3.00,"1,0","7,7","5,4",,"0,1","0,1"
15/08/2014 4.00,"1,3","8,5","5,7","10,5","0,1","0,1"
15/08/2014 5.00,"1,3","9,2","6,7",,"0,1","0,1"
15/08/2014 6.00,"1,1","6,1","3,6","6,1","0,1",
15/08/2014 7.00,"1,3","15,9","11,9",,"0,2","0,1"
15/08/2014 8.00,"1,2","14,6","9,5","4,9","0,2","0,2"
15/08/2014 9.00,"0,7","9,1","5,3",,"0,1","0,2"
15/08/2014 10.00,"0,9","10,9","6,8","10,7","0,1","0,1"
15/08/2014 11.00,"1,3","8,5","5,1",,"0,1","0,1"
15/08/2014 12.00,"1,3","8,1","4,2","12,5","0,1","0,1"
15/08/2014 13.00,"1,3","6,7","3,2",,"0,1",
15/08/2014 14.00,"1,3","5,9","2,8","12,0","0,1",
15/08/2014 15.00,"1,6","6,7","3,0",,"0,1","0,1"
15/08/2014 16.00,"0,1","10,3","6,5","8,1","0,1",
15/08/2014 17.00,"1,3","9,0","5,1",,"0,1","0,1"
15/08/2014 18.00,"1,3","9,3","5,5","15,9","0,1","0,1"
15/08/2014 19.00,"1,2","15,2","11,5",,"0,1","0,1"
15/08/2014 20.00,"1,3","12,9","9,3","13,2","0,1","0,1"
15/08/2014 21.00,"1,0","13,8","10,8",,"0,1","0,1"
15/08/2014 22.00,"0,5","15,5","12,3","20,3","0,1","0,2"
15/08/2014 23.00,"0,7","14,1","11,4",,"0,2","0,2"
16/08/2014 0.00,"1,1","12,7","9,7","14,9","0,2","0,2"
16/08/2014 1.00,,"9,7","6,8",,"0,1","0,2"
16/08/2014 2.00,"1,7",,,"15,6","0,1","0,1"
16/08/2014 3.00,"1,3","13,2","9,7",,,"0,1"
16/08/2014 4.00,"1,3","35,4","26,2","13,9","0,1","0,1"
16/08/2014 5.00,"1,3","38,7","32,4",,"0,1",
16/08/2014 6.00,"1,5","80,6","49,2","17,3","0,2","0,2"
16/08/2014 7.00,"1,4","57,4","32,6",,"0,2","0,2"
16/08/2014 8.00,"1,3","21,3","14,4","18,1","0,2","0,2"
16/08/2014 9.00,"0,3","17,3","11,5",,"0,2","0,2"
16/08/2014 10.00,"1,1","16,0","10,2","17,6","0,1","0,2"
16/08/2014 11.00,"1,3","15,1","9,2",,"0,1","0,1"
16/08/2014 12.00,"1,3","14,1","8,4","14,2","0,1","0,1"
16/08/2014 13.00,"1,3","15,6","10,0",,"0,1","0,1"
16/08/2014 14.00,"1,3","12,3","6,8","11,7","0,1","0,1"
16/08/2014 15.00,"1,3","11,1","6,1",,"0,1","0,1"
16/08/2014 16.00,"1,3","9,7","5,2","15,6","0,1",
16/08/2014 17.00,"1,3","10,6","6,0",,"0,1",
16/08/2014 18.00,"1,0","15,8","11,6","15,9","0,1","0,1"
16/08/2014 19.00,"1,3","12,0","8,6",,"0,2","0,1"
16/08/2014 20.00,"1,2","14,8","11,7","11,2","0,2","0,3"
16/08/2014 21.00,"1,3","14,8","11,9",,"0,2","0,3"
16/08/2014 22.00,"1,2","10,1","7,5","10,3","0,2","0,3"
16/08/2014 23.00,"1,3","13,0","10,0",,"0,2","0,2"
17/08/2014 0.00,"1,1","12,1","8,8","16,1","0,2","0,3"
17/08/2014 1.00,"1,3","11,2","8,1",,"0,2","0,2"
17/08/2014 2.00,"1,3","9,9","6,7","14,9","0,1","0,3"
17/08/2014 3.00,"1,3","7,2","4,4",,"0,1","0,1"
17/08/2014 4.00,"1,3","9,4","5,8","18,3","0,1","0,1"
17/08/2014 5.00,"1,3","10,8","7,4",,"0,1","0,1"
17/08/2014 6.00,"1,3","9,4","6,3","15,1","0,1","0,1"
17/08/2014 7.00,"1,3","4,8","2,4",,"0,1","0,1"
17/08/2014 8.00,"1,1","6,7","4,0","12,0","0,1","0,1"
17/08/2014 9.00,"0,7","8,2","4,8",,"0,2","0,1"
17/08/2014 10.00,"0,5","7,2","4,1","7,3","0,1","0,1"
17/08/2014 11.00,"0,6","6,2","3,2",,"0,1","0,1"
17/08/2014 12.00,"1,2","4,2","1,8","5,9","0,1","0,2"
17/08/2014 13.00,"1,3","5,3","2,5",,"0,1","0,1"
17/08/2014 14.00,"1,3","5,6","2,7","3,9","0,1","0,1"
17/08/2014 15.00,"1,3","4,6","1,8",,"0,1","0,1"
17/08/2014 16.00,"1,3","4,2","1,2","9,0","0,1","0,1"
17/08/2014 17.00,"1,3","4,2","1,4",,"0,1","0,1"
17/08/2014 18.00,"1,3","4,2","1,5","8,8","0,1","0,1"
17/08/2014 19.00,"1,3","4,2","1,7",,"0,1","0,1"
17/08/2014 20.00,"1,1","4,6","2,1","5,6","0,1","0,1"
17/08/2014 21.00,"1,1","6,6","4,2",,"0,1","0,1"
17/08/2014 22.00,"1,1","7,0","4,7","3,7","0,1","0,2"
17/08/2014 23.00,"1,1","12,6","10,0",,"0,1","0,1"
18/08/2014 0.00,"1,3","14,3","11,7","2,7","0,1","0,1"
18/08/2014 1.00,,"20,6","16,9",,"0,2","0,1"
18/08/2014 2.00,"1,4",,,"7,1","0,1","0,1"
18/08/2014 3.00,"1,3","17,2","14,4",,,"0,2"
18/08/2014 4.00,"1,3","13,2","10,7","9,8","0,2","0,2"
18/08/2014 5.00,"1,3","39,6","28,4",,"0,2",
18/08/2014 6.00,"1,4","51,3","32,5","10,5","0,2","0,2"
18/08/2014 7.00,"1,3","58,5","37,4",,"0,3","0,3"
18/08/2014 8.00,"1,3","41,8","27,1","12,7","0,2","0,4"
18/08/2014 9.00,"1,3","20,7","13,9",,"0,2","0,2"
18/08/2014 10.00,"0,7","19,4","12,7","12,5","0,2","0,2"
18/08/2014 11.00,"1,3","20,4","13,1",,"0,2","0,2"
18/08/2014 12.00,"1,2","20,2","13,1","12,7","0,2","0,2"
18/08/2014 13.00,"1,3","19,8","13,2",,"0,2","0,1"
18/08/2014 14.00,"1,3","19,6","12,8","14,9","0,2","0,1"
18/08/2014 15.00,"1,3","20,4","14,2",,"0,2","0,1"
18/08/2014 16.00,"1,3","15,5","9,8","11,5","0,2","0,2"
18/08/2014 17.00,"1,4","15,9","10,5",,"0,2","0,1"
18/08/2014 18.00,"1,3","17,6","12,9","14,7","0,2","0,2"
18/08/2014 19.00,"1,3","21,4","18,3",,"0,2","0,4"
18/08/2014 20.00,"1,3","10,1","7,7","8,3","0,2","0,2"
18/08/2014 21.00,"1,3","16,7","14,1",,"0,4","0,3"
18/08/2014 22.00,"1,3","14,0","11,5","15,1","0,3","0,5"
18/08/2014 23.00,"1,3","8,4","6,0",,"0,2","0,4"
19/08/2014 0.00,"1,3","7,1","4,7","15,9","0,2","0,4"
19/08/2014 1.00,"1,3","6,2","3,9",,"0,2","0,3"
19/08/2014 2.00,"1,3","6,2","3,7","13,2","0,2","0,3"
19/08/2014 3.00,"1,2","8,4","5,8",,"0,2","0,2"
19/08/2014 4.00,"1,3","21,6","16,8","16,8","0,3","0,4"
19/08/2014 5.00,"2,3","39,7","29,0",,"0,5","0,5"
19/08/2014 6.00,"5,0","60,0","46,2","20,5","0,7","0,8"
19/08/2014 7.00,"8,2","48,5","31,8",,"0,5","0,8"
19/08/2014 8.00,"8,5","103,3","54,9","21,7","0,5","0,8"
19/08/2014 9.00,"3,5","49,2","34,4",,"0,3","1,4"
19/08/2014 10.00,"1,6","22,8","15,8","30,3","0,2","0,5"
19/08/2014 11.00,"1,4","18,2","12,0",,"0,2","0,3"
19/08/2014 12.00,"1,4","18,9","12,4","23,2","0,2","0,3"
19/08/2014 13.00,"1,3","21,9","14,8",,"0,2","0,4"
19/08/2014 14.00,"1,7","20,3","13,8","18,1","0,2","0,4"
19/08/2014 15.00,"1,7","25,8","18,8",,"0,2","0,4"
19/08/2014 16.00,"3,6","18,1","13,2","17,3","0,2","0,3"
19/08/2014 17.00,"3,7","28,0","22,6",,"0,2","0,3"
19/08/2014 18.00,"1,6","12,6","9,4","21,2","0,2","0,2"
19/08/2014 19.00,"1,3","10,4","7,9",,"0,2","0,2"
19/08/2014 20.00,"1,2","8,8","6,3","21,0","0,2","0,3"
19/08/2014 21.00,"1,2","9,1","6,6",,"0,2","0,3"
19/08/2014 22.00,"1,3","9,2","6,5","32,5","0,2","0,3"
19/08/2014 23.00,"1,3","8,3","5,9",,"0,2","0,3"
20/08/2014 0.00,"1,3","8,1","5,7","53,0","0,4","0,6"
20/08/2014 1.00,,"6,3","3,9",,"0,5","0,6"
20/08/2014 2.00,"1,4",,,"71,8","0,6","0,5"
20/08/2014 3.00,"1,3","6,0","3,4",,,"0,3"
20/08/2014 4.00,"1,3","10,7","8,0","56,2","0,2","0,1"
20/08/2014 5.00,"1,3","15,7","12,9",,"0,2",
20/08/2014 6.00,"1,3","27,8","18,7","64,0","0,2","0,2"
20/08/2014 7.00,"1,3","13,5","9,9",,"0,2","0,1"
20/08/2014 8.00,"1,0","9,4","6,3","32,0","0,2","0,1"
20/08/2014 9.00,"0,6","24,7","17,6",,"0,6","0,3"
20/08/2014 10.00,"1,1","17,2","12,6","16,1","0,4","0,7"
20/08/2014 11.00,"1,4","25,7","17,4",,"0,3","0,3"
