Stat,MARTINA FRANCA,,,,
07/01/2014 17.00,"130,8","60,6","1,2","11,7",
07/01/2014 18.00,"215,9","69,6","1,8","2,3","18,6"
07/01/2014 19.00,"260,1","66,4","2,0","4,7",
07/01/2014 20.00,"218,9","58,6","2,0","4,6","43,9"
07/01/2014 21.00,"147,1","53,3","1,5","3,8",
07/01/2014 22.00,"127,6","44,7","1,5","5,3","80,1"
07/01/2014 23.00,"112,2","38,1","1,5","2,8",
08/01/2014 0.00,"113,4","38,9","1,3","5,2","75,2"
08/01/2014 1.00,"59,4","30,0","0,9","26,4",
08/01/2014 2.00,,,"0,9","26,2","65,9"
08/01/2014 3.00,"15,5","14,9",,"35,3",
08/01/2014 4.00,"10,1","9,3","0,2",,"53,7"
08/01/2014 5.00,"9,4","9,2","0,2","54,3",
08/01/2014 6.00,"21,4","15,0","0,2","52,1","30,3"
08/01/2014 7.00,"63,7","37,7","0,5","30,5",
08/01/2014 8.00,"174,0","65,6","1,1","13,6","16,1"
08/01/2014 9.00,"75,2","43,7","0,6","26,1",
08/01/2014 10.00,"52,2","33,4","0,4","35,1","19,5"
08/01/2014 11.00,"65,7","35,5","0,4","35,6",
08/01/2014 12.00,"63,2","35,4","0,5","42,9","28,8"
08/01/2014 13.00,"84,0","40,5","0,6","42,4",
08/01/2014 14.00,"82,9","41,2","0,6","45,1","15,1"
08/01/2014 15.00,"47,7","28,0","0,4","54,9",
08/01/2014 16.00,"52,7","31,4","0,5","50,2","15,1"
08/01/2014 17.00,"68,9","39,7","0,5","40,3",
08/01/2014 18.00,"85,0","46,4","0,6","27,5","15,6"
08/01/2014 19.00,"62,4","38,7","0,5","34,1",
08/01/2014 20.00,"59,7","36,7","0,4","35,7","22,9"
08/01/2014 21.00,"46,6","31,9","0,4","38,5",
08/01/2014 22.00,"23,6","18,6","0,3","52,8","27,3"
08/01/2014 23.00,"13,4","11,7","0,3","55,8",
09/01/2014 0.00,"11,3","9,7","0,3","55,1","27,3"
09/01/2014 1.00,"8,7","7,3","0,3","58,0",
09/01/2014 2.00,"5,0","4,6","0,3","60,8","23,4"
09/01/2014 3.00,"5,6","4,5","0,3","61,4",
09/01/2014 4.00,"4,0","3,8","0,3","62,0","18,6"
09/01/2014 5.00,"5,1","4,7","0,3","58,5",
09/01/2014 6.00,"13,1","9,8","0,3","50,3","17,1"
09/01/2014 7.00,"38,5","24,1","0,5","38,4",
09/01/2014 8.00,"101,0","43,8","0,6","25,0","19,0"
09/01/2014 9.00,"99,3","44,8","0,7","27,7",
09/01/2014 10.00,"62,1","33,6","0,6","36,4","18,1"
09/01/2014 11.00,"56,5","31,0","0,5","41,7",
09/01/2014 12.00,"62,4","33,4","0,5","45,1","17,6"
09/01/2014 13.00,"71,0","36,4","0,5","45,2",
09/01/2014 14.00,"82,4","41,3","0,6","45,1","19,0"
09/01/2014 15.00,"53,9","32,2","0,5","50,3",
09/01/2014 16.00,"76,5","41,5","0,6","39,6","14,2"
09/01/2014 17.00,"103,7","51,9","0,8","23,6",
09/01/2014 18.00,"177,3","69,0","1,1","6,3","18,6"
09/01/2014 19.00,"200,9","63,6","1,8","4,5",
09/01/2014 20.00,"152,4","47,7","1,4","4,8","36,1"
09/01/2014 21.00,"94,3","43,4","0,9","6,6",
09/01/2014 22.00,"66,6","42,9","0,8","11,0","71,8"
09/01/2014 23.00,"36,6","28,7","0,5","21,5",
10/01/2014 0.00,"24,5","21,5","0,6","33,0","74,2"
10/01/2014 1.00,"20,2","17,2","0,4","41,5",
10/01/2014 2.00,,,"0,3","52,4","58,6"
10/01/2014 3.00,"10,7","10,6",,"64,0",
10/01/2014 4.00,"10,3","9,7","0,3",,"39,1"
10/01/2014 5.00,"10,1","8,0","0,2","69,4",
10/01/2014 6.00,"41,1","21,0","0,2","54,4","33,2"
10/01/2014 7.00,"46,8","26,4","0,3","48,3",
10/01/2014 8.00,"70,4","39,3","0,6","32,5","17,6"
10/01/2014 9.00,"56,1","32,9","0,4","41,5",
10/01/2014 10.00,"26,1","16,1","0,3","60,7","14,2"
10/01/2014 11.00,"22,7","14,5","0,3","63,2",
10/01/2014 12.00,"28,1","17,3","0,3","59,0","18,1"
10/01/2014 13.00,"49,4","26,6","0,4","51,2",
10/01/2014 14.00,"55,6","26,9","0,4","50,1","15,1"
10/01/2014 15.00,"41,9","25,8","0,3","49,8",
10/01/2014 16.00,"37,5","24,0","0,4","48,5","18,1"
10/01/2014 17.00,"46,0","29,3","0,4","44,1",
10/01/2014 18.00,"90,9","47,3","0,6","28,4","21,0"
10/01/2014 19.00,"101,4","53,9","0,7","18,7",
10/01/2014 20.00,"111,4","57,0","0,8","11,0","27,8"
10/01/2014 21.00,"90,8","50,0","0,7","12,9",
10/01/2014 22.00,"98,3","40,9","0,9","2,1","42,0"
10/01/2014 23.00,"80,8","37,0","0,8","1,4",
11/01/2014 0.00,"148,4","44,4","0,8","0,9","42,5"
11/01/2014 1.00,"146,6","35,1","0,8","0,3",
11/01/2014 2.00,"128,6","32,5","0,6","0,2","51,3"
11/01/2014 3.00,"103,2","29,8","0,6","0,2",
11/01/2014 4.00,"71,2","26,4","0,5","2,5","56,2"
11/01/2014 5.00,"106,5","24,4","0,5","3,0",
11/01/2014 6.00,"267,7","49,8","0,6","2,0","45,9"
11/01/2014 7.00,"309,8","51,2","0,5","0,3",
11/01/2014 8.00,"270,5","52,9","0,8","0,9","33,2"
11/01/2014 9.00,"237,8","50,5","1,1","2,3",
11/01/2014 10.00,"162,4","50,4","0,8","2,2","33,7"
11/01/2014 11.00,"94,3","48,7","0,6","17,7",
11/01/2014 12.00,"82,6","48,6","0,5","29,0","58,1"
11/01/2014 13.00,"70,7","37,6","0,4","43,3",
11/01/2014 14.00,"54,1","30,0","0,4","52,5","42,0"
11/01/2014 15.00,"26,0","18,8","0,2","59,9",
11/01/2014 16.00,"33,6","23,9","0,3","53,4","29,8"
11/01/2014 17.00,"49,6","34,6","0,4","38,2",
11/01/2014 18.00,"138,5","58,1","0,6","9,5","26,4"
11/01/2014 19.00,"64,1","36,9","0,5","26,2",
11/01/2014 20.00,"56,0","34,0","0,5","30,4","35,6"
11/01/2014 21.00,"66,9","40,7","0,4","26,6",
11/01/2014 22.00,"47,2","33,6","0,3","32,8","41,5"
11/01/2014 23.00,"27,8","22,0","0,3","38,2",
12/01/2014 0.00,"22,7","18,3","0,2","47,0","45,9"
12/01/2014 1.00,"14,5","12,1","0,2","54,6",
12/01/2014 2.00,,,"0,2","64,3","39,6"
12/01/2014 3.00,"17,3","16,0",,"55,9",
12/01/2014 4.00,"15,2","14,1","0,2",,"25,4"
12/01/2014 5.00,"12,0","11,2","0,2","49,2",
12/01/2014 6.00,"23,1","15,5","0,2","41,9","28,3"
12/01/2014 7.00,"23,4","17,3","0,3","32,0",
12/01/2014 8.00,"84,9","30,9","0,4","12,8","23,4"
12/01/2014 9.00,"77,7","37,8","0,5","9,8",
12/01/2014 10.00,"54,8","32,5","0,7","25,9","20,5"
12/01/2014 11.00,"48,8","28,9","0,5","45,7",
12/01/2014 12.00,"25,6","17,3","0,3","58,9","20,0"
12/01/2014 13.00,"60,7","34,0","0,4","46,2",
12/01/2014 14.00,"50,5","32,1","0,4","45,6","11,2"
12/01/2014 15.00,"28,7","20,9","0,4","49,4",
12/01/2014 16.00,"32,9","23,3","0,4","46,2","11,2"
12/01/2014 17.00,"36,1","25,2","0,5","37,7",
12/01/2014 18.00,"56,7","35,9","0,6","30,0","29,8"
12/01/2014 19.00,"64,1","39,7","0,6","22,7",
12/01/2014 20.00,"60,0","35,5","0,7","24,6","39,6"
12/01/2014 21.00,"62,4","40,7","0,7","26,3",
12/01/2014 22.00,"54,3","38,9","0,7","24,1","50,3"
12/01/2014 23.00,"39,8","30,9","0,7","25,7",
13/01/2014 0.00,"38,3","29,5","0,6","28,6","67,9"
13/01/2014 1.00,"32,2","25,4","0,6","25,5",
13/01/2014 2.00,"19,1","17,2","0,4","34,1","66,4"
13/01/2014 3.00,"12,6","11,9","0,4","37,7",
13/01/2014 4.00,"9,7","9,1","0,3","44,0","66,9"
13/01/2014 5.00,"12,0","9,7","0,4","44,6",
13/01/2014 6.00,"17,6","12,1","0,4","42,3","61,0"
13/01/2014 7.00,"67,2","34,9","0,8","18,2",
13/01/2014 8.00,"191,8","57,5","1,3","8,0","60,5"
13/01/2014 9.00,"143,4","53,1","1,0","5,3",
13/01/2014 10.00,"115,0","47,2","0,9","11,3","67,9"
13/01/2014 11.00,"94,5","43,2","0,7","20,8",
13/01/2014 12.00,"64,6","35,7","0,4","38,4","45,4"
13/01/2014 13.00,"92,2","44,9","0,5","32,2",
13/01/2014 14.00,"154,3","60,9","0,6","26,8","22,5"
13/01/2014 15.00,"107,0","54,3","0,5","21,2",
13/01/2014 16.00,"98,8","52,1","0,5","20,0","30,8"
13/01/2014 17.00,"86,3","47,4","0,5","23,7",
13/01/2014 18.00,"87,1","46,3","0,5","18,8","35,2"
13/01/2014 19.00,"98,7","51,4","0,6","17,4",
13/01/2014 20.00,"54,8","34,6","0,4","29,5","40,0"
13/01/2014 21.00,"57,8","34,4","0,4","28,7",
13/01/2014 22.00,"33,7","24,2","0,3","33,1","46,9"
13/01/2014 23.00,"18,3","14,6","0,2","43,5",
14/01/2014 0.00,"14,5","11,3","0,2","41,3","39,1"
14/01/2014 1.00,"14,1","11,0","0,2","35,5",
14/01/2014 2.00,,,"0,2","46,9","32,7"
14/01/2014 3.00,"8,1","8,0",,"53,8",
14/01/2014 4.00,"7,2","7,1",,,"23,4"
14/01/2014 5.00,"7,5","6,8",,"61,9",
14/01/2014 6.00,"22,8","15,3",,"56,6","26,9"
14/01/2014 7.00,"37,9","21,9",,"49,0",
14/01/2014 8.00,"37,3","21,9",,"49,0","15,1"
14/01/2014 9.00,"35,3","21,7",,"48,2",
14/01/2014 10.00,"22,5","14,5",,"55,3","21,5"
14/01/2014 11.00,"31,9","19,5",,"60,2",
14/01/2014 12.00,"22,7","14,1",,"66,5","12,2"
14/01/2014 13.00,"38,4","23,0",,"62,0",
14/01/2014 14.00,"33,0","18,9",,"65,9","14,2"
14/01/2014 15.00,"20,2","12,9",,"70,5",
14/01/2014 16.00,"23,5","15,0",,"68,4","17,1"
14/01/2014 17.00,"35,8","22,6",,"59,7",
14/01/2014 18.00,"33,2","19,5",,"61,9","12,2"
14/01/2014 19.00,"31,5","20,0",,"59,1",
14/01/2014 20.00,"27,8","17,7",,"60,7","14,6"
14/01/2014 21.00,"24,5","16,1",,"62,0",
14/01/2014 22.00,"10,7","8,0",,"69,2","13,7"
14/01/2014 23.00,"18,5","12,5",,"64,1",
15/01/2014 0.00,"16,7","12,4",,"62,1","13,7"
15/01/2014 1.00,"6,1","5,7",,"68,7",
15/01/2014 2.00,"14,4","10,9",,"63,1","17,1"
15/01/2014 3.00,"9,7","8,2",,"59,7",
15/01/2014 4.00,"6,7","6,1",,"60,8","17,1"
15/01/2014 5.00,"9,2","7,6",,"59,0",
15/01/2014 6.00,"13,4","9,6",,"58,4","17,6"
15/01/2014 7.00,"26,0","17,8",,"48,6",
15/01/2014 8.00,"51,7","28,0",,"37,2","15,1"
15/01/2014 9.00,"86,4","44,7",,"19,2",
15/01/2014 10.00,"82,9","42,0",,"17,5","14,6"
15/01/2014 11.00,"59,8","32,6",,"32,8",
15/01/2014 12.00,"56,2","33,3",,"36,7","12,2"
15/01/2014 13.00,"76,7","37,2",,"32,6",
15/01/2014 14.00,"97,4","43,6",,"32,5","15,1"
15/01/2014 15.00,"48,1","28,9","0,4","43,8",
15/01/2014 16.00,"87,4","46,0","0,6","28,5","15,1"
15/01/2014 17.00,"127,6","58,8","1,0","15,9",
15/01/2014 18.00,"79,6","44,4","0,6","24,6","20,0"
15/01/2014 19.00,"63,1","40,3","0,5","25,8",
15/01/2014 20.00,"60,0","37,6","0,6","25,2","24,4"
15/01/2014 21.00,"57,4","36,5","0,5","25,6",
15/01/2014 22.00,"36,4","27,5","0,5","28,9","30,3"
15/01/2014 23.00,"22,0","17,3","0,3","41,0",
16/01/2014 0.00,"19,4","15,1","0,3","43,8","33,2"
16/01/2014 1.00,"14,7","11,3","0,3","44,7",
16/01/2014 2.00,,,"0,3","42,2","28,8"
16/01/2014 3.00,"14,2","13,5",,"45,0",
16/01/2014 4.00,"15,0","12,4","0,2",,"24,4"
16/01/2014 5.00,"8,3","8,2","0,2","43,3",
16/01/2014 6.00,"13,9","12,0","0,3","35,8","18,6"
16/01/2014 7.00,"34,9","23,8","0,5","22,4",
16/01/2014 8.00,"107,6","41,7","0,7","8,6","16,6"
16/01/2014 9.00,"88,0","40,7","0,7","10,5",
16/01/2014 10.00,"60,9","33,4","0,6","25,7","24,4"
16/01/2014 11.00,"61,9","31,9","0,6","36,2",
16/01/2014 12.00,"62,1","31,9","0,5","42,2","25,4"
16/01/2014 13.00,"65,0","33,9","0,5","48,4",
16/01/2014 14.00,"90,9","39,2","0,6","45,9","16,1"
16/01/2014 15.00,"54,7","30,6","0,5","53,5",
16/01/2014 16.00,"75,1","41,8","0,6","44,9","16,1"
16/01/2014 17.00,"74,3","46,0","0,6","37,9",
16/01/2014 18.00,"81,7","50,8","0,6","21,6","18,6"
16/01/2014 19.00,"193,9","63,8","0,9","7,7",
16/01/2014 20.00,"71,0","39,0","0,9","24,6","33,2"
16/01/2014 21.00,"62,2","40,0","0,7","30,0",
16/01/2014 22.00,"38,0","29,2","0,5","35,6","48,3"
16/01/2014 23.00,"95,0","50,5","0,5","18,3",
17/01/2014 0.00,"53,6","33,9","0,4","34,0","41,5"
17/01/2014 1.00,"16,3","13,4","0,4","52,8",
17/01/2014 2.00,"17,3","13,3","0,3","55,3","39,1"
17/01/2014 3.00,"19,8","14,9","0,3","53,8",
17/01/2014 4.00,"4,2","4,2","0,3","64,9","35,2"
17/01/2014 5.00,"8,2","6,5","0,3","64,4",
17/01/2014 6.00,"35,8","20,0","0,3","54,7","18,1"
17/01/2014 7.00,"67,4","36,8","0,3","44,8",
17/01/2014 8.00,"55,5","28,2","0,4","46,1","19,5"
17/01/2014 9.00,"40,4","23,0","0,4","46,9",
17/01/2014 10.00,"24,3","14,5","0,4","56,0","19,5"
17/01/2014 11.00,"21,0","13,0","0,3","65,4",
17/01/2014 12.00,"20,0","12,8","0,3","67,2","14,2"
17/01/2014 13.00,"24,2","14,9","0,3","69,8",
17/01/2014 14.00,"22,1","14,0","0,3","71,6","8,8"
17/01/2014 15.00,"16,9","11,3","0,3","79,1",
17/01/2014 16.00,"21,3","13,7","0,3","77,0","17,6"
17/01/2014 17.00,"20,3","13,1","0,3","76,0",
17/01/2014 18.00,"24,2","15,2","0,3","75,2","18,1"
17/01/2014 19.00,"34,7","20,6","0,3","69,8",
17/01/2014 20.00,"17,5","11,7","0,3","77,6","22,5"
17/01/2014 21.00,"17,2","11,7","0,2","78,1",
17/01/2014 22.00,"9,9","7,3","0,2","80,6","27,8"
17/01/2014 23.00,"18,3","13,1","0,2","74,2",
18/01/2014 0.00,"15,2","11,6","0,2","74,7","29,8"
18/01/2014 1.00,"10,9","8,2","0,2","76,8",
18/01/2014 2.00,,,"0,2","73,9","29,8"
18/01/2014 3.00,"19,3","15,7",,"72,6",
18/01/2014 4.00,"7,2","6,8","0,1",,"22,0"
18/01/2014 5.00,"7,3","6,2","0,2","79,7",
18/01/2014 6.00,"18,1","13,3","0,2","72,0","29,8"
18/01/2014 7.00,"21,1","14,8","0,2","64,6",
18/01/2014 8.00,"26,7","18,0","0,2","62,8","38,6"
18/01/2014 9.00,"23,7","15,8","0,2","68,9",
18/01/2014 10.00,"18,0","12,2","0,3","75,1","26,9"
18/01/2014 11.00,"19,5","13,0","0,3","75,9",
18/01/2014 12.00,"20,2","12,6","0,2","76,7","23,4"
18/01/2014 13.00,"34,3","20,0","0,3","70,7",
18/01/2014 14.00,"33,9","19,8","0,2","70,2","18,1"
18/01/2014 15.00,"11,7","8,6","0,2","76,3",
18/01/2014 16.00,"13,0","9,4","0,2","74,9","24,4"
18/01/2014 17.00,"14,5","9,7","0,2","73,2",
18/01/2014 18.00,"16,6","11,2","0,2","72,4","20,5"
18/01/2014 19.00,"22,7","14,3","0,2","68,5",
18/01/2014 20.00,"19,6","12,5","0,2","70,4","29,8"
18/01/2014 21.00,"17,4","11,3","0,2","70,5",
18/01/2014 22.00,"11,5","8,3","0,2","72,5","35,2"
18/01/2014 23.00,"7,8","6,0","0,2","72,4",
19/01/2014 0.00,"10,3","8,5","0,2","63,1","32,2"
19/01/2014 1.00,"8,6","7,0","0,2","66,1",
19/01/2014 2.00,"8,5","6,8","0,2","66,2","36,1"
19/01/2014 3.00,"6,7","5,9","0,2","69,9",
19/01/2014 4.00,"5,0","4,4","0,1","72,6","39,1"
19/01/2014 5.00,"5,5","4,4","0,2","72,6",
19/01/2014 6.00,"5,4","4,5","0,1","74,8","64,9"
19/01/2014 7.00,"6,5","5,4","0,2","73,6",
19/01/2014 8.00,"11,7","9,0","0,2","61,9","46,9"
19/01/2014 9.00,"18,2","13,6","0,2","51,4",
19/01/2014 10.00,"11,3","8,8","0,2","69,4","26,4"
19/01/2014 11.00,"10,1","7,6","0,2","74,9",
19/01/2014 12.00,"12,5","8,4","0,2","77,1","59,6"
19/01/2014 13.00,"16,7","11,1","0,3","74,9",
19/01/2014 14.00,"10,8","8,0","0,2","77,8","57,1"
19/01/2014 15.00,"5,8","5,0","0,2","82,8",
19/01/2014 16.00,"9,6","7,1","0,2","82,5","35,2"
19/01/2014 17.00,"9,7","7,4","0,2","82,4",
19/01/2014 18.00,"8,3","7,0","0,2","81,4","22,9"
19/01/2014 19.00,"9,2","6,8","0,2","77,0",
19/01/2014 20.00,"8,3","6,3","0,2","77,4","25,4"
19/01/2014 21.00,"9,3","6,5","0,2","75,0",
19/01/2014 22.00,"8,1","5,8","0,1","78,1","33,2"
19/01/2014 23.00,"5,6","4,7","0,1","80,2",
20/01/2014 0.00,"5,2","4,2","0,1","80,0","35,6"
20/01/2014 1.00,"4,1","3,7","0,2","79,0",
20/01/2014 2.00,,,"0,2","78,9","54,2"
20/01/2014 3.00,"12,4","12,5",,"66,3",
20/01/2014 4.00,"11,3","10,9","0,2",,"71,8"
20/01/2014 5.00,"13,5","11,0","0,2","57,8",
20/01/2014 6.00,"43,8","25,5","0,2","43,1","57,6"
20/01/2014 7.00,"70,0","37,7","0,3","33,1",
20/01/2014 8.00,"91,9","43,0","0,4","26,7","62,5"
20/01/2014 9.00,"62,5","31,6","0,3","39,0",
20/01/2014 10.00,"36,8","20,9","0,3","44,4","72,3"
20/01/2014 11.00,"26,0","15,3","0,2","43,8",
20/01/2014 12.00,"29,6","16,8","0,2","48,7","45,9"
20/01/2014 13.00,"36,9","20,1","0,2","51,0",
20/01/2014 14.00,"25,5","15,6","0,2","62,1","35,6"
20/01/2014 15.00,"17,2","11,2","0,2","65,8",
20/01/2014 16.00,"26,6","17,0","0,2","62,9","47,4"
20/01/2014 17.00,"44,7","26,7","0,3","45,7",
20/01/2014 18.00,"59,8","34,7","0,5","34,2","50,8"
20/01/2014 19.00,"47,6","28,5","0,3","45,1",
20/01/2014 20.00,"33,0","20,7","0,3","53,7","62,0"
20/01/2014 21.00,"24,0","17,3","0,3","62,8",
20/01/2014 22.00,"11,6","8,7","0,3","67,9","78,1"
20/01/2014 23.00,"23,2","17,3","0,3","56,0",
21/01/2014 0.00,"17,7","13,6","0,3","63,0","52,2"
21/01/2014 1.00,"7,1","6,7","0,3","72,7",
21/01/2014 2.00,"14,8","12,1","0,4","66,3","32,2"
21/01/2014 3.00,"12,0","10,0","0,3","65,6",
21/01/2014 4.00,"8,0","7,8","0,3","69,2","18,6"
21/01/2014 5.00,"9,8","8,2","0,2","69,5",
21/01/2014 6.00,"43,2","22,4","0,2","56,5","21,0"
21/01/2014 7.00,"40,5","22,1","0,2","58,5",
21/01/2014 8.00,"26,1","14,9","0,2","64,6","22,5"
21/01/2014 9.00,"26,0","14,6","0,2","65,3",
21/01/2014 10.00,"28,7","16,6","0,2","62,3","20,0"
21/01/2014 11.00,"18,3","11,1","0,2","66,4",
21/01/2014 12.00,"26,8","15,6","0,3","62,0","21,0"
21/01/2014 13.00,"52,8","28,6","0,3","51,5",
21/01/2014 14.00,"42,2","22,0","0,2","55,0","10,3"
21/01/2014 15.00,"19,2","11,7","0,2","61,6",
21/01/2014 16.00,"16,8","10,1","0,2","65,0","13,2"
21/01/2014 17.00,"29,4","17,3","0,3","55,6",
21/01/2014 18.00,"31,0","19,5","0,3","52,2","7,8"
21/01/2014 19.00,"35,2","20,5","0,3","53,3",
21/01/2014 20.00,"20,3","12,5","0,3","56,8","6,8"
21/01/2014 21.00,"22,4","14,6","0,3","53,9",
21/01/2014 22.00,"12,7","10,1","0,3","53,2","11,7"
21/01/2014 23.00,"10,8","8,7","0,3","57,6",
22/01/2014 0.00,"8,0","7,3","0,3","57,5","9,8"
22/01/2014 1.00,"6,5","6,0","0,2","59,1",
22/01/2014 2.00,,,"0,2","60,9","7,3"
22/01/2014 3.00,"8,2","8,2",,"63,9",
22/01/2014 4.00,"12,1","10,6","0,2",,"4,9"
22/01/2014 5.00,"9,3","7,8","0,2","59,9",
22/01/2014 6.00,"43,3","23,1","0,2","46,5","9,3"
22/01/2014 7.00,"92,6","46,1","0,3","26,9",
22/01/2014 8.00,"46,7","26,7","0,4","39,9","8,3"
22/01/2014 9.00,"57,7","31,8","0,4","36,1",
22/01/2014 10.00,"75,5","35,7","0,4","35,2","5,9"
22/01/2014 11.00,"83,8","34,7","0,3","45,3",
