"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","","",""
"Stat","Torchiarolo","","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,PM10,O3,BENZENE
15/04/2011 12.00,"0,5","17,2","13,5","0,2","18,9","106,5","0,4"
15/04/2011 13.00,"0,6","9,2","7,3","0,2","18,9","110,3","0,4"
15/04/2011 14.00,"0,7","5,8","4,8","0,2","18,9","109,2","0,2"
15/04/2011 15.00,"0,7","7,6","6,3","0,3","18,9","112,1","0,2"
15/04/2011 16.00,"0,7","7,5","6,1","0,3","18,9","113,4","0,3"
15/04/2011 17.00,"0,6","9,9","8,2","0,2","18,9","113,2","0,3"
15/04/2011 18.00,"0,6","13,7","12,2","0,3","18,9","105,4","0,4"
15/04/2011 19.00,"0,6","19,2","16,4","0,4","18,9","101,9","0,5"
15/04/2011 20.00,"0,7","18,9","16,3","0,5","18,9","87,4","1,4"
15/04/2011 21.00,"0,7","20,4","17,8","0,4","18,9","80,1",1
15/04/2011 22.00,"0,8","33,5","30,8","0,5","18,9","54,2",1
15/04/2011 23.00,1,60,"55,2","0,5","18,9",33,"1,9"
16/04/2011 0.00,"0,9","41,1","37,9","0,4","18,9","45,3","0,8"
16/04/2011 1.00,,"23,5","21,2","0,3","11,8","56,1","0,6"
16/04/2011 2.00,"0,5",,,"0,3","11,8","56,1","0,6"
16/04/2011 3.00,"0,4",22,"19,8",,"11,8","63,2","0,5"
16/04/2011 4.00,"0,4","15,9","14,5","0,2","11,8",,"0,6"
16/04/2011 5.00,"0,4","21,5","18,9","0,3","11,8","61,4","0,6"
16/04/2011 6.00,"0,5","21,1","18,5","0,2","11,8","69,7","0,9"
16/04/2011 7.00,"0,4","19,4",17,"0,3","11,8","79,2","0,8"
16/04/2011 8.00,"0,4","38,3","31,5","0,4","11,8","45,5","1,3"
16/04/2011 9.00,"0,9","33,6","25,7","0,3","11,8","54,2",2
16/04/2011 10.00,1,12,"9,4","0,2","11,8","97,3",1
16/04/2011 11.00,"1,1","11,1",9,"0,2","11,8","107,5","0,4"
16/04/2011 12.00,"1,2","11,9","9,8","0,2","11,8","111,3","0,5"
16/04/2011 13.00,"1,2","12,1","9,8","0,2","11,8","99,3","0,3"
16/04/2011 14.00,"1,2","8,9","7,2","0,1","11,8","98,6","0,6"
16/04/2011 15.00,"1,2","8,9","7,3","0,2","11,8","93,9","0,5"
16/04/2011 16.00,"1,1","11,8","9,3","0,2","11,8","95,5","0,4"
16/04/2011 17.00,"1,2","11,9","9,6","0,2","11,8","96,8","0,4"
16/04/2011 18.00,"1,1",12,"9,7","0,2","11,8","90,9","0,5"
16/04/2011 19.00,1,"9,7",8,"0,1","11,8","82,5","0,4"
16/04/2011 20.00,1,"13,3","10,5","0,2","11,8","81,5","0,4"
16/04/2011 21.00,"1,2","10,9","8,9","0,2","11,8","80,3","0,5"
16/04/2011 22.00,"1,2","8,8","7,4","0,2","11,8","75,3","0,4"
16/04/2011 23.00,"1,2","7,6","5,7","0,1","11,8","65,1","0,4"
17/04/2011 0.00,"1,2","9,7",8,"0,2","11,8","44,8","0,5"
17/04/2011 1.00,1,"7,3","6,4","0,3","17,9","36,1","0,9"
17/04/2011 2.00,"1,1","16,2","14,8","0,2","17,9","24,9","0,5"
17/04/2011 3.00,"1,3","16,3","14,5","0,2","17,9","24,5","0,5"
17/04/2011 4.00,"1,1","7,3","5,9","0,1","17,9","41,1","0,5"
17/04/2011 5.00,1,"7,7","6,1","0,2","17,9",39,"0,4"
17/04/2011 6.00,"1,4","8,8","6,8","0,2","17,9","45,3","0,4"
17/04/2011 7.00,"1,5","7,8","6,3","0,2","17,9",53,"0,4"
17/04/2011 8.00,"1,7","7,7",6,"0,1","17,9","64,7","0,5"
17/04/2011 9.00,"1,7","25,6","19,7","0,4","17,9","47,4","0,7"
17/04/2011 10.00,"1,6","38,6",28,"0,6","17,9","42,9","1,9"
17/04/2011 11.00,"0,5","16,6","11,3","0,3","17,9","59,3","1,7"
17/04/2011 12.00,"0,5","17,4","12,8","0,2","17,9","69,3",1
17/04/2011 13.00,"0,8",9,"7,3","0,1","17,9","87,7","0,6"
17/04/2011 14.00,"0,6","5,7","4,3","0,1","17,9","94,7","0,3"
17/04/2011 15.00,"0,5","6,6","5,2","0,1","17,9","97,6","0,4"
17/04/2011 16.00,"0,5","8,4",7,"0,1","17,9",106,"0,3"
17/04/2011 17.00,"0,5","11,8","10,3","0,1","17,9","105,7","0,4"
17/04/2011 18.00,"0,6","16,5","14,6","0,1","17,9","102,8","0,5"
17/04/2011 19.00,"0,5","17,4","15,8","0,2","17,9","106,9","0,5"
17/04/2011 20.00,"0,5","10,6","9,2","0,1","17,9","113,3","0,5"
17/04/2011 21.00,"0,6","11,6","9,9","0,2","17,9","109,9","0,5"
17/04/2011 22.00,"0,8","12,2","10,9","0,1","17,9",108,"0,7"
17/04/2011 23.00,"1,3","8,7","7,6","0,1","17,9","111,6","0,7"
18/04/2011 0.00,"1,5","8,9","8,2","0,1","17,9","109,2","0,6"
18/04/2011 1.00,,12,"10,9","0,1",25,"99,5","0,7"
18/04/2011 2.00,"0,7",,,"0,1",25,83,"0,6"
18/04/2011 3.00,1,"14,1","12,6",,25,89,"0,5"
18/04/2011 4.00,"0,9","11,3","10,3","0,2",25,,"0,5"
18/04/2011 5.00,"0,9",15,"13,7","0,3",25,"76,1","0,5"
18/04/2011 6.00,1,"28,2","24,9","0,3",25,"59,2","0,8"
18/04/2011 7.00,"1,5","22,4","18,9","0,3",25,"75,6","0,9"
18/04/2011 8.00,1,"15,1","12,5","0,3",25,"92,3","0,7"
18/04/2011 9.00,"0,8","11,3","9,4","0,3",25,"99,4","0,5"
18/04/2011 10.00,1,"8,1","6,6","0,3",25,"106,9","0,4"
18/04/2011 11.00,"0,7","7,6","6,2","0,2",25,"109,2","0,5"
18/04/2011 12.00,"0,8","8,6","6,9","0,2",25,"109,8","0,4"
18/04/2011 13.00,"0,8","6,7","5,5","0,2",25,"111,8","0,3"
18/04/2011 14.00,"0,6","6,4","5,4","0,2",25,"112,9","0,3"
18/04/2011 15.00,"0,8","6,4","5,5","0,2",25,"116,6","0,3"
18/04/2011 16.00,1,"10,3","8,7","0,2",25,117,"0,4"
18/04/2011 17.00,"1,2","17,3","14,1","0,3",25,"118,6",1
18/04/2011 18.00,1,"11,5","9,8","0,2",25,"115,4","1,7"
18/04/2011 19.00,"0,9",16,14,"0,3",25,"109,9","0,6"
18/04/2011 20.00,"0,7","18,8","16,7","0,3",25,"105,2","0,5"
18/04/2011 21.00,"0,9","19,9","18,2","0,3",25,"101,2","0,6"
18/04/2011 22.00,"1,1","17,2","15,4","0,3",25,100,"0,5"
18/04/2011 23.00,"0,5","11,4","9,9","0,3",25,"104,4","0,5"
19/04/2011 0.00,"0,5","9,9","8,7","0,3",25,"104,3","0,5"
19/04/2011 1.00,"0,4","7,7","6,4","0,3","32,6",93,"0,5"
19/04/2011 2.00,"0,4","6,2","5,7","0,3","32,6","92,2","0,5"
19/04/2011 3.00,"0,5","6,3","5,6","0,3","32,6","88,9","0,5"
19/04/2011 4.00,"0,4","6,6",6,"0,3","32,6","89,3","0,5"
19/04/2011 5.00,"0,5","11,4","9,8","0,4","32,6",80,"0,5"
19/04/2011 6.00,"0,5","24,2","20,9","0,4","32,6","64,7","0,7"
19/04/2011 7.00,"0,5","31,2",27,"0,4","32,6","63,9","0,8"
19/04/2011 8.00,"0,5","34,6","28,7","0,4","32,6","72,9","0,8"
19/04/2011 9.00,"0,5",21,"17,3","0,3","32,6",96,"0,7"
19/04/2011 10.00,"0,4","14,5",12,"0,3","32,6","108,4","0,6"
19/04/2011 11.00,"0,6","12,9","10,4","0,3","32,6",113,"0,7"
19/04/2011 12.00,"0,7","14,2","11,3","0,2","32,6","117,2","0,6"
19/04/2011 13.00,"0,6","8,9","7,5","0,2","32,6","122,8","0,5"
19/04/2011 14.00,"0,7","11,2","9,7","0,2","32,6","123,7","0,5"
19/04/2011 15.00,"0,7","10,9","8,7","0,2","32,6","127,4","0,4"
19/04/2011 16.00,"0,9","11,9","10,1","0,3","32,6","129,7","0,4"
19/04/2011 17.00,"0,9","26,1","22,6","0,3","32,6","114,3","0,5"
19/04/2011 18.00,"1,1","14,9","12,7","0,3","32,6","121,6","0,5"
19/04/2011 19.00,"0,6",14,"12,3","0,3","32,6","118,7","0,5"
19/04/2011 20.00,"0,5",27,"24,8","0,4","32,6","83,8","0,8"
19/04/2011 21.00,"0,6","37,2","33,2","0,4","32,6",61,"0,9"
19/04/2011 22.00,"0,6","20,9","18,5","0,3","32,6","68,8","0,9"
19/04/2011 23.00,"0,6","15,3","13,4","0,3","32,6","75,4","0,8"
20/04/2011 0.00,"0,6","12,5","11,5","0,3","32,6","75,8","0,6"
20/04/2011 1.00,,"12,8","11,4","0,3","31,1","72,6","0,6"
20/04/2011 2.00,"0,6",,,"0,3","31,1","74,6","0,5"
20/04/2011 3.00,"0,8","17,9","16,2",,"31,1","92,2","0,4"
20/04/2011 4.00,"0,6","13,3","11,9","0,2","31,1",,"0,5"
20/04/2011 5.00,"0,6","15,9","14,3","0,2","31,1","83,5","0,5"
20/04/2011 6.00,"0,7","19,2","17,3","0,2","31,1",83,"0,8"
20/04/2011 7.00,"0,6","36,5","31,7","0,2","31,1","69,2","1,1"
20/04/2011 8.00,"0,7","31,6","26,6","0,2","31,1","76,6","0,8"
20/04/2011 9.00,"0,6","23,2","19,4","0,2","31,1","93,3","0,8"
20/04/2011 10.00,"0,8","16,2","13,9","0,2","31,1","108,8","0,6"
20/04/2011 11.00,"0,9","22,1",19,"0,2","31,1","107,7","0,5"
20/04/2011 12.00,"1,2","25,4","21,5","0,2","31,1","112,5","0,5"
20/04/2011 13.00,"1,3",9,"8,1","0,2","31,1","128,2","0,5"
20/04/2011 14.00,"1,7",10,"8,8","0,2","31,1","131,6","0,4"
20/04/2011 15.00,"2,3","15,8","13,9","0,2","31,1","128,1","0,5"
20/04/2011 16.00,"3,9","26,3",23,"0,1","31,1","120,6","0,4"
20/04/2011 17.00,"3,1",19,"16,5","0,1","31,1","128,4","0,4"
20/04/2011 18.00,"1,7",13,"11,6","0,1","31,1","130,2","0,6"
20/04/2011 19.00,"1,2","21,7","19,5","0,2","31,1","119,1","0,5"
20/04/2011 20.00,"0,8","30,7",28,"0,2","31,1","100,3","0,6"
20/04/2011 21.00,"0,8","28,7","26,2","0,2","31,1","97,7","0,5"
20/04/2011 22.00,"0,9","33,4","30,5","0,2","31,1","75,2","0,5"
20/04/2011 23.00,"1,1","33,4","30,8","0,2","31,1","69,4","0,5"
21/04/2011 0.00,"0,7","34,3","31,8","0,2","31,1","69,5","0,6"
21/04/2011 1.00,"0,4","20,2","18,2","0,2",31,"80,3","0,6"
21/04/2011 2.00,"0,5","17,9","16,3","0,2",31,"83,9","0,6"
21/04/2011 3.00,"0,6","16,3","14,9","0,2",31,"76,6","0,6"
21/04/2011 4.00,"0,6","17,5",16,"0,3",31,"74,3","0,7"
21/04/2011 5.00,"0,6",33,"30,9","0,3",31,61,"0,7"
21/04/2011 6.00,"0,5","73,2","65,9","0,4",31,"38,3","0,9"
21/04/2011 7.00,"0,7","78,1","66,6","0,3",31,"40,3","0,9"
21/04/2011 8.00,"1,5","52,9",43,"0,3",31,"53,5","0,6"
21/04/2011 9.00,2,"29,1","24,7","0,2",31,"90,6","0,7"
21/04/2011 10.00,"2,3","19,2","16,8","0,2",31,"104,2","0,5"
21/04/2011 11.00,"1,9","9,5","8,3","0,2",31,"124,6","0,5"
21/04/2011 12.00,"1,7","7,6","6,5","0,1",31,"124,2","0,4"
21/04/2011 13.00,"1,8","7,3","6,5","0,1",31,"128,7","0,3"
21/04/2011 14.00,"1,7",7,6,"0,1",31,"131,8","0,3"
21/04/2011 15.00,"1,6","6,9","5,8","0,1",31,"131,1","0,3"
21/04/2011 16.00,"1,8","8,7","7,4","0,2",31,"129,6","0,4"
21/04/2011 17.00,"1,3","11,7","9,9","0,2",31,"131,2","0,7"
21/04/2011 18.00,"1,1","15,7","14,3","0,2",31,"119,1","0,4"
21/04/2011 19.00,"0,7","21,3",20,"0,2",31,"105,5","0,5"
21/04/2011 20.00,"0,5","38,4","34,7","0,3",31,"72,7","0,5"
21/04/2011 21.00,"0,6","35,4","32,2","0,4",31,"80,8","0,9"
21/04/2011 22.00,"0,3","38,8","35,4","0,3",31,"79,8","0,8"
21/04/2011 23.00,"0,3","79,4","71,4","0,4",31,"38,1","0,9"
22/04/2011 0.00,"0,3","45,2","41,6","0,4",31,"52,4","1,3"
22/04/2011 1.00,,"26,6","24,3","0,4","31,9","57,3","1,2"
22/04/2011 2.00,"0,9",,,"0,3","31,9",51,"1,1"
22/04/2011 3.00,"1,5","19,6","17,4",,"31,9","59,3","0,9"
22/04/2011 4.00,"1,4","15,7","14,1","0,3","31,9",,"0,8"
22/04/2011 5.00,"1,5","24,4","22,3","0,4","31,9","56,7","0,9"
22/04/2011 6.00,"1,6","51,3","45,3","0,5","31,9","42,2","1,4"
22/04/2011 7.00,"1,9","74,3","59,2","0,6","31,9","36,4",3
22/04/2011 8.00,2,"70,5","52,9","0,7","31,9","39,4","2,3"
22/04/2011 9.00,"1,9","35,7","29,5","0,5","31,9","61,3",2
22/04/2011 10.00,"1,8","22,4","19,3","0,5","31,9","76,3","1,7"
22/04/2011 11.00,"0,7","15,1","13,3","0,3","31,9","105,3","1,1"
22/04/2011 12.00,"0,6","20,5","17,2","0,2","31,9","115,7","0,7"
22/04/2011 13.00,"0,8","12,3","10,6","0,2","31,9","129,2","0,5"
22/04/2011 14.00,1,"9,7","8,9","0,2","31,9","141,2","0,5"
22/04/2011 15.00,"1,3","8,9",8,"0,2","31,9","135,3","0,4"
22/04/2011 16.00,"1,2","9,8","8,7","0,2","31,9","109,4","0,3"
22/04/2011 17.00,"1,2","13,8",12,"0,2","31,9","114,9","0,4"
22/04/2011 18.00,"0,5","19,2","17,2","0,2","31,9",108,"0,5"
22/04/2011 19.00,"0,5","31,6","29,2","0,3","31,9","92,1","0,7"
22/04/2011 20.00,"0,4","52,1","47,3","0,4","31,9","68,6",1
22/04/2011 21.00,"0,5","47,8","43,4","0,3","31,9","69,4","1,2"
22/04/2011 22.00,"0,6","34,1","31,2","0,3","31,9","73,9","0,8"
22/04/2011 23.00,1,"30,7","28,2","0,3","31,9","70,1","0,8"
23/04/2011 0.00,1,"37,6","33,6","0,3","31,9",38,"0,8"
23/04/2011 1.00,"0,9","35,9","32,8","0,3","25,4","54,5","0,8"
23/04/2011 2.00,"0,8","24,4","21,8","0,3","25,4","60,2","0,8"
23/04/2011 3.00,"0,8","19,6","17,7","0,3","25,4","66,1","0,8"
23/04/2011 4.00,"0,9","15,7",14,"0,3","25,4","65,7","0,7"
23/04/2011 5.00,"0,8",21,"18,7","0,3","25,4","60,4","0,7"
23/04/2011 6.00,"0,9","24,3","20,7","0,3","25,4","69,9","0,9"
23/04/2011 7.00,"0,9",27,"22,4","0,4","25,4","68,2",1
23/04/2011 8.00,"0,9","25,5","21,5","0,5","25,4","79,4","1,6"
23/04/2011 9.00,1,26,"21,2","0,4","25,4","71,4","1,3"
23/04/2011 10.00,1,"20,2","16,9","0,4","25,4","84,8","0,9"
23/04/2011 11.00,"0,9","22,5","18,5","0,3","25,4","89,6","0,9"
23/04/2011 12.00,1,"17,6","14,8","0,3","25,4","98,4","0,6"
23/04/2011 13.00,1,"10,9","9,4","0,2","25,4",121,"0,6"
23/04/2011 14.00,"1,4","7,9","6,8","0,2","25,4","118,2","0,5"
23/04/2011 15.00,"1,5","9,2","7,9","0,2","25,4","104,7","0,4"
23/04/2011 16.00,"1,4","10,7","8,7","0,2","25,4","110,2","0,3"
23/04/2011 17.00,"0,9","15,3","13,2","0,3","25,4",111,"0,4"
23/04/2011 18.00,1,"22,3","19,6","0,3","25,4","107,4","0,6"
23/04/2011 19.00,1,"37,1","32,6","0,4","25,4","88,5","0,9"
23/04/2011 20.00,1,"42,5","38,6","0,4","25,4","78,7","1,2"
23/04/2011 21.00,1,"49,6",44,"0,4","25,4","74,3","1,3"
23/04/2011 22.00,1,"68,2","61,5","0,3","25,4","46,9",1
23/04/2011 23.00,1,"42,7","37,9","0,3","25,4","58,2","0,8"
24/04/2011 0.00,"1,1","25,9","22,9","0,3","25,4","73,4","0,7"
24/04/2011 1.00,,"19,1","16,9","0,2","17,5","86,3","0,5"
24/04/2011 2.00,"0,9",,,"0,2","17,5","81,5","0,4"
24/04/2011 3.00,1,"12,7","11,6",,"17,5","77,3","0,3"
24/04/2011 4.00,"0,9","8,2","7,2","0,2","17,5",,"0,3"
24/04/2011 5.00,"0,9","6,7","5,5","0,2","17,5","80,6","0,3"
24/04/2011 6.00,1,"7,1","6,4","0,2","17,5","66,4","0,4"
24/04/2011 7.00,"1,1","10,5","8,4","0,3","17,5","58,8","0,6"
24/04/2011 8.00,"0,9","11,4","8,7","0,2","17,5","83,9","0,5"
24/04/2011 9.00,"0,6","10,8","8,3","0,3","17,5","84,1","0,5"
24/04/2011 10.00,"0,4","12,8","10,3","0,3","17,5","95,8","0,5"
24/04/2011 11.00,"0,2","18,7",15,"0,3","17,5","93,5","0,5"
24/04/2011 12.00,"0,4","22,3","17,9","0,3","17,5","92,3","0,6"
24/04/2011 13.00,"0,3","13,3","11,1","0,3","17,5","98,6","0,6"
24/04/2011 14.00,"0,2","4,2","3,7","0,2","17,5","102,9","0,4"
24/04/2011 15.00,"0,1",8,"6,6","0,2","17,5","100,9","0,2"
24/04/2011 16.00,"0,1","10,2","8,6","0,2","17,5","103,8","0,2"
24/04/2011 17.00,"0,1","10,5","9,1","0,2","17,5","107,3","0,3"
24/04/2011 18.00,"0,2","12,5","11,1","0,1","17,5","103,8","0,3"
24/04/2011 19.00,"0,3","20,5","19,2","0,1","17,5","86,6","0,3"
24/04/2011 20.00,"0,2","29,9","27,5","0,1","17,5","69,8","0,6"
24/04/2011 21.00,"0,1","36,6","33,5","0,2","17,5","59,8","0,7"
24/04/2011 22.00,"0,1","33,2","30,2","0,2","17,5","58,5","0,6"
24/04/2011 23.00,"0,1","36,3","32,5","0,2","17,5","50,1","0,5"
25/04/2011 0.00,"0,1","39,2",34,"0,2","17,5","42,3","0,5"
25/04/2011 1.00,"0,2","46,5",41,"0,3","25,7","28,9","0,8"
25/04/2011 2.00,"0,1","45,5","41,1","0,3","25,7","16,8","0,7"
25/04/2011 3.00,"0,1",21,"17,7","0,2","25,7","24,2","0,7"
25/04/2011 4.00,"0,1","13,5","11,4","0,2","25,7","29,5","0,5"
25/04/2011 5.00,"0,1","19,1","16,9","0,3","25,7","28,2","0,6"
25/04/2011 6.00,"0,1","21,6","17,3","0,4","25,7","9,9","1,9"
25/04/2011 7.00,"0,1",37,"23,3","0,3","25,7","12,9","1,1"
25/04/2011 8.00,"0,1","27,3","18,1","0,4","25,7","35,4","1,1"
25/04/2011 9.00,"0,1",19,"14,2","0,4","25,7","66,2",1
25/04/2011 10.00,"0,1","24,9","20,1","0,3","25,7","89,8","0,7"
25/04/2011 11.00,"0,1","20,5",17,"0,3","25,7","87,6","0,7"
25/04/2011 12.00,"0,1","20,2","16,4","0,2","25,7","101,4","0,6"
25/04/2011 13.00,"0,2",7,"5,6","0,1","25,7","113,9","0,4"
25/04/2011 14.00,"0,2","6,3","5,1","0,1","25,7","116,3","0,3"
25/04/2011 15.00,"0,2","10,9","9,1","0,1","25,7","111,3","0,2"
25/04/2011 16.00,"0,1","14,2","11,3","0,2","25,7",98,"0,4"
25/04/2011 17.00,"0,1","13,5","11,2","0,1","25,7","87,2","0,4"
25/04/2011 18.00,"0,1",12,"9,3","0,2","25,7","70,6","0,4"
25/04/2011 19.00,"0,1","31,6","26,5","0,3","25,7","64,9","0,5"
25/04/2011 20.00,"0,2","33,7","28,7","0,3","25,7","64,3","0,7"
25/04/2011 21.00,"0,2","35,1","27,5","0,4","25,7",63,"0,8"
25/04/2011 22.00,"0,2","21,5","18,2","0,2","25,7",48,"0,5"
25/04/2011 23.00,"0,2","20,9","16,2","0,3","25,7","42,2","0,5"
26/04/2011 0.00,"0,2",41,"33,1","0,3","25,7",25,"0,8"
26/04/2011 1.00,,"25,2",21,"0,2","18,1","44,4","0,6"
26/04/2011 2.00,"0,3",,,"0,2","18,1","92,2","0,5"
26/04/2011 3.00,"0,3","12,3","10,2",,"18,1","97,3","0,2"
26/04/2011 4.00,"0,3","6,3","5,3","0,1","18,1",,"0,1"
26/04/2011 5.00,"0,3","5,3","4,5","0,1","18,1","64,5","0,1"
26/04/2011 6.00,"0,3","6,5","5,4","0,1","18,1","59,9","0,1"
26/04/2011 7.00,"0,3","13,2","11,2","0,2","18,1",49,"0,9"
26/04/2011 8.00,"0,3","28,5","24,4","0,1","18,1",49,"0,5"
26/04/2011 9.00,"0,3","10,2","7,9","0,1","18,1","77,3","0,3"
26/04/2011 10.00,"0,3","9,5","7,4","0,1","18,1","89,5","0,3"
26/04/2011 11.00,"0,3",7,"5,5","0,1","18,1","97,5","0,2"
26/04/2011 12.00,"0,3","6,6","5,4","0,1","18,1","103,3","0,2"
26/04/2011 13.00,"0,3","8,9","7,1","0,1","18,1","101,9","0,2"
26/04/2011 14.00,"0,3","5,5","4,5","0,1","18,1","99,2","0,2"
26/04/2011 15.00,"0,3","9,1","7,3","0,1","18,1","101,3","0,2"
26/04/2011 16.00,"0,3","7,9","6,5","0,1","18,1","95,5","0,2"
26/04/2011 17.00,"0,3",9,"7,2","0,1","18,1","93,2","0,3"
26/04/2011 18.00,"0,3","9,2","7,5","0,1","18,1","84,2","0,3"
26/04/2011 19.00,"0,3","13,9","11,5","0,1","18,1","70,4","0,4"
26/04/2011 20.00,"0,3","14,8","12,2","0,1","18,1","55,5","0,5"
26/04/2011 21.00,"0,3","15,2","12,5","0,1","18,1","56,4","0,7"
26/04/2011 22.00,"0,5","16,2","13,2","0,1","18,1","54,6","0,4"
26/04/2011 23.00,"0,9","11,8","9,8","0,1","18,1","56,8","0,3"
27/04/2011 0.00,"0,6","11,6","9,7","0,1","18,1","55,3","0,3"
27/04/2011 1.00,"0,9","14,2","12,3","0,1","21,5","46,7","0,5"
27/04/2011 2.00,"0,9","15,4","13,6","0,1","21,5","38,2","0,6"
27/04/2011 3.00,"0,5","10,7","9,1","0,1","21,5","34,5","0,3"
27/04/2011 4.00,"0,7","9,2","7,8","0,1","21,5","30,1","0,4"
27/04/2011 5.00,"0,6",11,"9,1","0,1","21,5","37,6","0,3"
27/04/2011 6.00,"0,8","18,6","15,4","0,1","21,5","33,1","0,4"
27/04/2011 7.00,"0,8","24,5","19,5","0,2","21,5","29,9","0,7"
27/04/2011 8.00,"0,9","21,8",16,"0,1","21,5","45,4","0,8"
27/04/2011 9.00,1,22,"15,6","0,1","21,5","59,5","0,5"
27/04/2011 10.00,"0,6","20,2","14,7","0,2","21,5","64,8","0,5"
27/04/2011 11.00,"0,8","16,7","12,5","0,1","21,5","73,6","0,5"
27/04/2011 12.00,"0,8","14,8","11,8","0,1","21,5","81,8","0,5"
27/04/2011 13.00,"1,2","11,2","8,9",0,"21,5","89,4","0,5"
27/04/2011 14.00,"1,6","12,6","9,9",0,"21,5",92,"0,3"
27/04/2011 15.00,"1,2","9,5","7,6",0,"21,5",96,"0,3"
27/04/2011 16.00,"1,5","12,3","9,9",0,"21,5","99,2","0,3"
27/04/2011 17.00,"1,3","6,3","4,9","0,1","21,5","103,5","0,3"
27/04/2011 18.00,"0,8","6,2","5,2","0,1","21,5","104,8","0,3"
27/04/2011 19.00,1,"13,1","10,9","0,1","21,5","94,5","0,4"
27/04/2011 20.00,1,"18,7","16,3","0,1","21,5","79,2","0,5"
27/04/2011 21.00,"0,7","10,9",9,"0,1","21,5","79,5","0,6"
27/04/2011 22.00,"0,8","8,4","7,1","0,1","21,5",72,"0,6"
27/04/2011 23.00,"0,7",10,"8,4","0,1","21,5","71,7","0,5"
28/04/2011 0.00,"1,1","12,4","10,9",0,"21,5","56,8","0,5"
28/04/2011 1.00,,"11,8","10,5","0,1","24,2","47,1","0,2"
28/04/2011 2.00,"0,3",,,"0,1","24,2","42,1","0,2"
28/04/2011 3.00,"0,4","11,5","10,3",,"24,2","49,3","0,2"
28/04/2011 4.00,"0,1","8,8","7,8","0,2","24,2",,"0,2"
28/04/2011 5.00,"0,2","10,9","9,5","0,2","24,2","50,2","0,2"
28/04/2011 6.00,"0,1","15,5",13,"0,2","24,2","50,4","0,4"
28/04/2011 7.00,"0,3","26,2",21,"0,2","24,2","39,1","0,5"
28/04/2011 8.00,"0,4","20,2","16,3","0,2","24,2","83,7","0,5"
28/04/2011 9.00,"0,4","13,2","10,5","0,2","24,2","92,2","0,4"
28/04/2011 10.00,"0,4","6,3","5,3","0,2","24,2","99,6","0,3"
28/04/2011 11.00,"0,4","7,7","6,3","0,2","24,2","96,9","0,2"
28/04/2011 12.00,"0,5","17,5","14,6","0,2","24,2","95,6","0,4"
28/04/2011 13.00,"0,3","19,1","16,4","0,2","24,2","98,2","0,4"
28/04/2011 14.00,"0,7","16,6","13,9","0,2","24,2","101,4","0,4"
28/04/2011 15.00,"0,6",13,"10,8","0,1","24,2","100,9","0,4"
28/04/2011 16.00,"0,8","11,3","9,6","0,2","24,2",105,"0,3"
28/04/2011 17.00,"0,8","17,9","16,1","0,2","24,2","100,1","0,4"
28/04/2011 18.00,"0,5","11,5","9,8","0,2","24,2","102,6","0,4"
28/04/2011 19.00,"0,4","16,7","14,4","0,3","24,2","87,2","0,5"
28/04/2011 20.00,"0,8","28,3","24,9","0,3","24,2","61,7","0,5"
28/04/2011 21.00,"0,5","27,1","22,6","0,2","24,2","57,7","0,4"
28/04/2011 22.00,"0,2","40,8","36,2","0,3","24,2","33,3","0,4"
28/04/2011 23.00,"0,5","27,6","24,6","0,3","24,2","37,9","0,6"
29/04/2011 0.00,"0,4","28,5","25,6","0,3","24,2","33,8","0,6"
29/04/2011 1.00,"0,6","20,2","17,7","0,3","33,5","36,1","0,6"
29/04/2011 2.00,"0,7","22,4","19,5","0,5","33,5","23,9","4,8"
29/04/2011 3.00,"0,5","21,6","19,1","0,2","33,5","20,1","0,9"
29/04/2011 4.00,"0,4","15,1","12,9","0,2","33,5","33,7","0,7"
29/04/2011 5.00,"0,6","14,3","12,1","0,4","33,5","28,1","0,7"
29/04/2011 6.00,"0,8","36,6","30,7","0,3","33,5","16,5",1
29/04/2011 7.00,"0,7","54,7",42,"0,4","33,5","9,6","1,2"
29/04/2011 8.00,"0,5","60,6","42,7","0,4","33,5","17,5","1,5"
29/04/2011 9.00,"0,8",29,21,"0,3","33,5","46,2","1,3"
29/04/2011 10.00,"0,6","17,7","13,9","0,3","33,5","63,4","0,7"
29/04/2011 11.00,"0,7","13,6","10,8","0,3","33,5","80,2","0,7"
29/04/2011 12.00,"0,6","40,6","28,6","0,3","33,5","92,6","0,6"
29/04/2011 13.00,"0,9","14,7","11,8","0,2","33,5","103,5","0,7"
29/04/2011 14.00,"0,8","9,7","8,5","0,2","33,5","97,2","0,4"
29/04/2011 15.00,"0,6","20,4","17,6","0,2","33,5","74,8","0,4"
29/04/2011 16.00,"0,6","13,8","10,7","0,2","33,5","100,7","0,5"
29/04/2011 17.00,"0,6","11,9","9,6","0,2","33,5","109,1","0,4"
29/04/2011 18.00,"0,6","6,9","5,7","0,2","33,5","111,7","0,3"
29/04/2011 19.00,"0,8","14,6","11,7","0,2","33,5",106,"0,4"
29/04/2011 20.00,"0,7","31,5","25,2","0,3","33,5","65,6","0,5"
29/04/2011 21.00,"0,6","29,5","23,1","0,4","33,5","47,7","0,7"
29/04/2011 22.00,"0,6","29,7","23,5","0,3","33,5","34,1","0,7"
