,Provincia di TARANTO,,,,,,
25/01/2008 16.00,"18,55921","0,858347",,,,,
25/01/2008 17.00,"1,482485",,,,,,
25/01/2008 18.00,"33,699631","1,516",,,,,
25/01/2008 19.00,"1,516746",,,,,,
25/01/2008 20.00,"34,18803","1,480363",,,,,
25/01/2008 21.00,"1,438795",,,,,,
25/01/2008 22.00,"36,630032","1,402923",,,,,
25/01/2008 23.00,"1,372513",,,,,,
26/01/2008 0.00,"31,25762","1,343674",,,,,
26/01/2008 1.00,"1,340963",,,,,,
26/01/2008 2.00,"26,86202","1,306309",,,,,
26/01/2008 3.00,"1,327723",,,,,,
26/01/2008 4.00,"25,39682","1,35609",,,,,
26/01/2008 5.00,"1,338646",,,,,,
26/01/2008 6.00,"31,25762","1,320493",,,,,
26/01/2008 7.00,"1,339037",,,,,,
26/01/2008 8.00,"26,86202","1,334009",,,,,
26/01/2008 9.00,"1,42363",,,,,,
26/01/2008 10.00,"20,02442","1,44406",,,,,
26/01/2008 11.00,"1,40477",,,,,,
26/01/2008 12.00,"11,72161","1,409839",,,,,
26/01/2008 13.00,"1,395969",,,,,,
26/01/2008 14.00,"12,21001","1,401547",,,,,
26/01/2008 15.00,"1,424297",,,,,,
26/01/2008 16.00,"10,25641","1,403395",,,,,
26/01/2008 17.00,"1,422057",,,,,,
26/01/2008 18.00,"36,630032","1,418876",,,,,
26/01/2008 19.00,"1,392314",,,,,,
26/01/2008 20.00,"37,606831","1,387208",,,,,
26/01/2008 21.00,"1,414552",,,,,,
26/01/2008 22.00,"38,58363","1,429287",,,,,
26/01/2008 23.00,"1,355382",,,,,,
27/01/2008 0.00,"33,699631","1,315543",,,,,
27/01/2008 1.00,"1,28195",,,,,,
27/01/2008 2.00,"24,908421","1,240107",,,,,
27/01/2008 3.00,"1,202466",,,,,,
27/01/2008 4.00,"19,0476","1,208674",,,,,
27/01/2008 5.00,"1,152686",,,,,,
27/01/2008 6.00,"19,53602","1,136657",,,,,
27/01/2008 7.00,"1,130763",,,,,,
27/01/2008 8.00,"21,001221","1,174924",,,,,
27/01/2008 9.00,"1,341003",,,,,,
27/01/2008 10.00,"70,818062","1,683218",,,,,
27/01/2008 11.00,"2,607747",,,,,,
27/01/2008 12.00,"110,378502","2,701295",,,,,
27/01/2008 13.00,"1,853577",,,,,,
27/01/2008 14.00,"55,67765","1,670408",,,,,
27/01/2008 15.00,"1,673631",,,,,,
27/01/2008 16.00,"32,722832","1,661568",,,,,
27/01/2008 17.00,"1,616071",,,,,,
27/01/2008 18.00,"29,79241","1,689818",,,,,
27/01/2008 19.00,"1,889371",,,,,,
27/01/2008 20.00,"58,119652","1,80144",,,,,
27/01/2008 21.00,"1,710877",,,,,,
27/01/2008 22.00,"55,189251","1,581613",,,,,
27/01/2008 23.00,"1,543581",,,,,,
28/01/2008 0.00,"41,514042","1,572262",,,,,
28/01/2008 1.00,"1,569473",,,,,,
28/01/2008 2.00,"26,86202","1,515214",,,,,
28/01/2008 3.00,"1,447714",,,,,,
28/01/2008 4.00,"25,88522","1,42194",,,,,
28/01/2008 5.00,"1,419385",,,,,,
28/01/2008 6.00,"26,86202","1,409131",,,,,
28/01/2008 7.00,"1,404063",,,,,,
28/01/2008 8.00,"30,28083","1,412471",,,,,
28/01/2008 9.00,"1,495962",,,,,,
28/01/2008 10.00,"17,094","1,617918",,,,,
28/01/2008 11.00,"1,619528",,,,,,
28/01/2008 12.00,"16,60561","1,546056",,,,,
28/01/2008 13.00,"1,514152",,,,,,
28/01/2008 14.00,"17,094","1,485",,,,,
28/01/2008 15.00,"1,476867",,,,,,
28/01/2008 16.00,"21,48962","1,47113",,,,,
28/01/2008 17.00,"1,427165",,,,,,
28/01/2008 18.00,"25,88522","1,397737",,,,,
28/01/2008 19.00,"1,381432",,,,,,
28/01/2008 20.00,"25,88522","1,372631",,,,,
28/01/2008 21.00,"1,365872",,,,,,
28/01/2008 22.00,"29,30402","1,385872",,,,,
28/01/2008 23.00,"1,34057",,,,,,
29/01/2008 0.00,"23,44322","1,334087",,,,,
29/01/2008 1.00,"1,31896",,,,,,
29/01/2008 2.00,"30,28083","1,275152",,,,,
29/01/2008 3.00,"1,188164",,,,,,
29/01/2008 4.00,"27,35042","1,151114",,,,,
29/01/2008 5.00,"1,117796",,,,,,
29/01/2008 6.00,"19,0476","1,117718",,,,,
29/01/2008 7.00,"1,116343",,,,,,
29/01/2008 8.00,"24,908421","1,138189",,,,,
29/01/2008 9.00,"1,281674",,,,,,
29/01/2008 10.00,"17,582411","1,356208",,,,,
29/01/2008 11.00,"1,520046",,,,,,
29/01/2008 12.00,"11,23321","1,525705",,,,,
29/01/2008 13.00,"1,405162",,,,,,
29/01/2008 14.00,"12,69841","1,307803",,,,,
29/01/2008 15.00,"1,312281",,,,,,
29/01/2008 16.00,"19,0476","1,29578",,,,,
29/01/2008 17.00,"1,309767",,,,,,
29/01/2008 18.00,"35,164822","1,433333",,,,,
29/01/2008 19.00,"1,378131",,,,,,
29/01/2008 20.00,"52,74725",,,,,,
29/01/2008 21.00,,,,,,,
29/01/2008 22.00,"60,073261","0,40947",,,,,
29/01/2008 23.00,"0,32423",,,,,,
30/01/2008 0.00,"58,119652","0,4114",,,,,
30/01/2008 1.00,"0,475655",,,,,,
30/01/2008 2.00,"47,37484","0,487665",,,,,
30/01/2008 3.00,,,,,,,
30/01/2008 4.00,"26,86202","0,15722",,,,,
30/01/2008 5.00,"0,139419",,,,,,
30/01/2008 6.00,"36,630032","0,169153",,,,,
30/01/2008 7.00,"0,452383",,,,,,
30/01/2008 8.00,"54,700851","0,515816",,,,,
30/01/2008 9.00,"0,475549",,,,,,
30/01/2008 10.00,"54,21244","0,43944",,,,,
30/01/2008 11.00,"0,518304",,,,,,
30/01/2008 12.00,"48,84005","0,147931",,,,,
30/01/2008 13.00,"0,077969",,,,,,
30/01/2008 14.00,"8,302809","0,003641",,,,,
30/01/2008 15.00,"0,054363",,,,,,
30/01/2008 16.00,"13,67521","0,094747",,,,,
30/01/2008 17.00,"0,093521",,,,,,
30/01/2008 18.00,"28,327221","0,626949",,,,,
30/01/2008 19.00,"0,654805",,,,,,
30/01/2008 20.00,"38,09523","0,746155",,,,,
30/01/2008 21.00,"0,856205",,,,,,
30/01/2008 22.00,"40,537231","0,988141",,,,,
30/01/2008 23.00,"1,002048",,,,,,
31/01/2008 0.00,"50,793652","0,906614",,,,,
31/01/2008 1.00,"0,817348",,,,,,
31/01/2008 2.00,"35,164822","0,687652",,,,,
31/01/2008 3.00,"0,618933",,,,,,
31/01/2008 4.00,"27,83882","0,608012",,,,,
31/01/2008 5.00,"0,653745",,,,,,
31/01/2008 6.00,"27,35042","0,796681",,,,,
31/01/2008 7.00,"0,790826",,,,,,
31/01/2008 8.00,"30,76923","0,809882",,,,,
31/01/2008 9.00,"0,694605",,,,,,
31/01/2008 10.00,"34,18803","1,630215",,,,,
31/01/2008 11.00,"1,448146",,,,,,
31/01/2008 12.00,"48,35165","1,313578",,,,,
31/01/2008 13.00,"0,794873",,,,,,
31/01/2008 14.00,"47,863232","0,74855",,,,,
31/01/2008 15.00,"0,666906",,,,,,
31/01/2008 16.00,"41,514042","0,625888",,,,,
31/01/2008 17.00,"0,661994",,,,,,
31/01/2008 18.00,"42,97924","0,686473",,,,,
31/01/2008 19.00,"0,655944",,,,,,
31/01/2008 20.00,"60,073261","0,947593",,,,,
31/01/2008 21.00,"1,068449",,,,,,
31/01/2008 22.00,"65,934052","0,993955",,,,,
31/01/2008 23.00,"0,7724",,,,,,
01/02/2008 0.00,"46,88644","0,853808",,,,,
01/02/2008 1.00,"0,783008",,,,,,
01/02/2008 2.00,"35,164822","0,706982",,,,,
01/02/2008 3.00,,,,,,,
01/02/2008 4.00,"33,699631","0,694959",,,,,
01/02/2008 5.00,"0,619208",,,,,,
01/02/2008 6.00,"36,630032","0,599602",,,,,
01/02/2008 7.00,"0,565185",,,,,,
01/02/2008 8.00,"39,072041","0,544439",,,,,
01/02/2008 9.00,"0,560509",,,,,,
01/02/2008 10.00,"24,908421","0,542437",,,,,
01/02/2008 11.00,"0,522397",,,,,,
01/02/2008 12.00,"21,97802","0,496506",,,,,
01/02/2008 13.00,"0,467156",,,,,,
01/02/2008 14.00,"11,72161","0,458866",,,,,
01/02/2008 15.00,"0,493677",,,,,,
01/02/2008 16.00,"18,07081","0,617322",,,,,
01/02/2008 17.00,"0,569624",,,,,,
01/02/2008 18.00,"40,537231","0,607422",,,,,
01/02/2008 19.00,"0,607422",,,,,,
01/02/2008 20.00,0,"0,72859",,,,,
01/02/2008 21.00,"0,95997",,,,,,
01/02/2008 22.00,"77,167259","0,893845",,,,,
01/02/2008 23.00,"0,917929",,,,,,
02/02/2008 0.00,"69,84127","0,862963",,,,,
02/02/2008 1.00,"0,330107","0,834162",,,,,
02/02/2008 2.00,"0,073958","60,561661","0,733817",,,,
02/02/2008 3.00,"0,722448","0,746193",,,,,
02/02/2008 4.00,"2,047388","47,37484","0,747842",,,,
02/02/2008 5.00,"0,999342","0,691462",,,,,
02/02/2008 6.00,"1,158983","35,164822","0,633509",,,,
02/02/2008 7.00,"0,674646","0,589505",,,,,
02/02/2008 8.00,"0,504181","38,09523","0,601685",,,,
02/02/2008 9.00,"0,720644","0,66726",,,,,
02/02/2008 10.00,"0,05141","30,28083","0,7436",,,,
02/02/2008 11.00,"0,850523","0,785876",,,,,
02/02/2008 12.00,"1,136435","41,025631","0,540589",,,,
02/02/2008 13.00,"2,255734","0,550372",,,,,
02/02/2008 14.00,"0,72335","25,39682","0,533832",,,,
02/02/2008 15.00,"0,549278","0,50849",,,,,
02/02/2008 16.00,"1,168905","24,42001","0,522673",,,,
02/02/2008 17.00,"3,423738","0,538036",,,,,
02/02/2008 18.00,"1,742534","37,118431","0,576696",,,,
02/02/2008 19.00,"0,443751","0,587816",,,,,
02/02/2008 20.00,"0,040587","43,956032","0,63905",,,,
02/02/2008 21.00,"0,043293","0,902684",,,,,
02/02/2008 22.00,"0,165054","56,654442","0,880329",,,,
02/02/2008 23.00,"0,05592","0,74309",,,,,
03/02/2008 0.00,"0,101919","46,398041","0,738021",,,,
03/02/2008 1.00,"0,774364",,,,,,
03/02/2008 2.00,"0,002706","41,514042","0,880053",,,,
03/02/2008 3.00,"0,004509",,,,,,
03/02/2008 4.00,"0,062233","44,444431","0,618618",,,,
03/02/2008 5.00,"0,078468","0,561177",,,,,
03/02/2008 6.00,0,"42,002441","0,569114",,,,
03/02/2008 7.00,"0,000902","0,549941",,,,,
03/02/2008 8.00,"0,000902","32,722832","0,562081",,,,
03/02/2008 9.00,0,"0,560823",,,,,
03/02/2008 10.00,0,"37,606831","0,813889",,,,
03/02/2008 11.00,"1,155376","0,774796",,,,,
03/02/2008 12.00,"2,106916","39,56044","0,558584",,,,
03/02/2008 13.00,"1,014674","0,514854",,,,,
03/02/2008 14.00,"3,741217","21,001221","0,525306",,,,
03/02/2008 15.00,"4,348219","0,533949",,,,,
03/02/2008 16.00,"0,119957","23,93162","0,517251",,,,
03/02/2008 17.00,"0,004509","0,531867",,,,,
03/02/2008 18.00,"0,363479","23,44322","0,806228",,,,
03/02/2008 19.00,"0,082978","0,729613",,,,,
03/02/2008 20.00,"0,02796","33,211231","0,579407",,,,
03/02/2008 21.00,"1,075104","0,546797",,,,,
03/02/2008 22.00,"0,048704","35,164822","0,813851",,,,
03/02/2008 23.00,"0,120859","0,936709",,,,,
04/02/2008 0.00,"1,633401","42,97924","0,649344",,,,
04/02/2008 1.00,"2,444238","0,558781",,,,,
04/02/2008 2.00,"3,340759","30,28083","0,540943",,,,
04/02/2008 3.00,"0,853228","0,539608",,,,,
04/02/2008 4.00,"0,224581","18,55921","0,540079",,,,
04/02/2008 5.00,"0,828876","0,538388",,,,,
04/02/2008 6.00,"1,12922","21,001221","0,585537",,,,
04/02/2008 7.00,"2,879871","0,633314",,,,,
04/02/2008 8.00,"1,98786","28,81562","0,597952",,,,
04/02/2008 9.00,"2,82305","0,579643",,,,,
04/02/2008 10.00,"3,75204","29,30402","0,539608",,,,
04/02/2008 11.00,"8,649536","0,539568",,,,,
04/02/2008 12.00,"9,776952","20,51281","0,549783",,,,
04/02/2008 13.00,"4,748677","0,541061",,,,,
04/02/2008 14.00,"17,053747","9,76801","0,554812",,,,
04/02/2008 15.00,"24,821186","0,56263",,,,,
04/02/2008 16.00,"11,795471","15,14041","0,568132",,,,
04/02/2008 17.00,"13,276446","0,577836",,,,,
04/02/2008 18.00,"5,822878","33,699631","0,607107",,,,
04/02/2008 19.00,"5,765155","1,156694",,,,,
04/02/2008 20.00,"5,900445","56,654442","1,105185",,,,
04/02/2008 21.00,"7,109035","1,015328",,,,,
04/02/2008 22.00,"7,359773","59,096451","0,570686",,,,
04/02/2008 23.00,"13,016695","0,562081",,,,,
05/02/2008 0.00,"12,154441","89,865692","0,586873",,,,
05/02/2008 1.00,"0,550412",,,,,,
05/02/2008 2.00,"6,7663","87,423691","0,531474",,,,
05/02/2008 3.00,"7,890108",,,,,,
05/02/2008 4.00,"8,790238","83,028084","0,624474",,,,
05/02/2008 5.00,"8,364525","0,924058",,,,,
05/02/2008 6.00,"8,066888","81,562881","0,598031",,,,
05/02/2008 7.00,"8,061476","0,571275",,,,,
05/02/2008 8.00,"7,911755","54,700851","0,585223",,,,
05/02/2008 9.00,"7,834189","0,561059",,,,,
05/02/2008 10.00,"7,220875","33,211231","0,554499",,,,
05/02/2008 11.00,"6,614775","0,561531",,,,,
05/02/2008 12.00,"7,029664","10,74481","0,570922",,,,
05/02/2008 13.00,"6,398312","0,545853",,,,,
05/02/2008 14.00,"14,16361","0,518784",,,,,
05/02/2008 15.00,"0,475172",,,,,,
05/02/2008 16.00,"0,057214","30,563204","4,607547","23,522629","16,11721","0,490613",
05/02/2008 17.00,"0,833392","9,646896","0,072746","10,018276","0,51953",,
05/02/2008 18.00,"0,072628","43,758624","6,67743","33,674583","14,65201","0,579211",
05/02/2008 19.00,"0,014526","61,148434","10,301206","45,385277","0,642468",,
05/02/2008 20.00,"69,153388","15,944952","44,736345","27,83882","0,541689",,
05/02/2008 21.00,"1,58031","84,255338","21,084562","51,9629","0,654177",,
05/02/2008 22.00,"1,04752","53,93597","8,98078","40,193795","21,001221","0,647183",
05/02/2008 23.00,"0,670051","53,264151","7,122368","42,37292","0,652762",,
06/02/2008 0.00,"0,419008","29,642346","2,206073","26,341604","19,53602","0,607146",
06/02/2008 1.00,"0,079467","43,653559","7,727175","31,993837","0,626477",,
06/02/2008 2.00,"0,146291","12,457442",0,"13,240888","21,97802","0,588955",
06/02/2008 3.00,"0,216728","49,391375","10,516906","33,294304","0,666081",,
06/02/2008 4.00,"0,308837","24,480386","3,939295","18,83731","11,23321","0,575518",
06/02/2008 5.00,"0,198668","15,802339","0,393337","15,880754","0,562238",,
06/02/2008 6.00,"0,095722","36,003991","10,174321","20,881448","18,07081","0,580704",
06/02/2008 7.00,"0,435263","117,203706","43,057314","51,220511","0,665885",,
06/02/2008 8.00,"0,184219","82,430505","22,495505","47,971926","17,094","0,623687",
06/02/2008 9.00,"0,016255","60,484397","15,779163","36,315742","0,591941",,
06/02/2008 10.00,"8,186503","0,823047","6,94751","13,67521","0,504678",,
06/02/2008 11.00,"8,88687","1,497219","6,599679","0,504835",,,
06/02/2008 12.00,"14,183715","2,406548","10,510167","9,76801","0,528487",,
06/02/2008 13.00,"0,137261","9,444571","0,893257","8,080554","0,555126",,
06/02/2008 14.00,"0,323286","19,970801","3,708368","14,299949","5,372406","0,572493",
06/02/2008 15.00,"5,407368","12,077429","1,581808","9,662657","0,551748",,
06/02/2008 16.00,"15,492362","1,953152","12,511485","11,23321","0,562474",,
06/02/2008 17.00,"0,061014","12,546932","0,220776","12,240222","0,597717",,
06/02/2008 18.00,"13,009951","0,098969","13,164314","29,30402","0,558191",,
06/02/2008 19.00,"16,047468","0,676709","15,468032","0,604789",,,
06/02/2008 20.00,"0,227565","73,93012","18,109582","46,217207","36,630032","0,609111",
06/02/2008 21.00,"0,659215","76,254309","12,72551","56,787085","0,668832",,
06/02/2008 22.00,"0,579748","16,906064","0,696165","16,405103","41,025631","0,614611",
06/02/2008 23.00,"0,875943","11,760966",0,"12,800905","0,625692",,
07/02/2008 0.00,"0,267298","9,792158",0,"10,502375","35,653221","0,600034",
07/02/2008 1.00,"10,423785",0,"11,074744","0,62459",,,
07/02/2008 2.00,"0,715203","22,46641","0,587462",,,,
07/02/2008 3.00,"1,220902","19,691955",0,"21,191651",,,
07/02/2008 4.00,"1,210066","18,100577","2,002214","16,08712","23,44322","0,580862",
07/02/2008 5.00,"1,499037","39,325557","7,786387","27,421425","0,573239",,
07/02/2008 6.00,"1,798844","69,737008","20,203993","38,78559","22,954821","0,601174",
07/02/2008 7.00,"2,393041","66,620387","17,207016","40,265171","0,646083",,
07/02/2008 8.00,"1,697704","86,418708","28,255136","43,125673","33,211231","0,654255",
07/02/2008 9.00,"2,017378","78,533087","23,342231","42,772662","0,609661",,
07/02/2008 10.00,"0,991531","37,69137","7,689111","25,919798","24,42001","0,535442",
07/02/2008 11.00,"1,983064","10,141045","0,186095","9,883296","0,495523",,
07/02/2008 12.00,"2,53572","22,650355","3,308262","17,608229","14,65201","0,520474",
07/02/2008 13.00,"2,436386","51,784281","11,00329","34,9374","0,546286",,
07/02/2008 14.00,"2,042663","32,152001","6,127603","22,775055","11,72161","0,498942",
07/02/2008 15.00,"2,692848","9,94131","0,435632","9,292765","0,470654",,
07/02/2008 16.00,"3,08657","9,553514","0,111658","9,49134","10,25641","0,448415",
07/02/2008 17.00,"2,922218","7,216368","0,433094","6,728169","0,507664",,
07/02/2008 18.00,"2,398459","5,312408",0,"5,967616","7,814408","0,518351",
07/02/2008 19.00,"1,161302","6,405758","0,041448","7,127913","0,473953",,
07/02/2008 20.00,"1,636298","5,870107","0,254611","6,306361","7,814408","0,483697",
07/02/2008 21.00,"0,866913","4,041373","0,070209","4,698298","0,495053",,
07/02/2008 22.00,"1,576698","4,138646",0,"5,536724","9,27961","0,466331",
07/02/2008 23.00,"1,238963","3,193151","0,071901","4,250531","0,453248",,
08/02/2008 0.00,"1,280503","3,955773",0,"5,183702","4,884005","0,465741",
08/02/2008 1.00,"1,471946","2,811841",0,"4,260913","0,478001",,
08/02/2008 2.00,"1,190199","3,363055","0,000845","4,311531","7,814408","0,45203",
08/02/2008 3.00,"1,885535","2,90263","0,000845","4,210298","0,45812",,
08/02/2008 4.00,"2,718133","4,141239",0,"5,057808","4,395605","0,459024",
08/02/2008 5.00,"3,117274","4,091955","0,072746","4,638596","0,463778",,
08/02/2008 6.00,"1,856638","5,216431","0,178482","5,853404","2,930403","0,459614",
08/02/2008 7.00,"1,909015","4,884406","0,333279","5,06819","0,430735",,
08/02/2008 8.00,"2,456253","6,012775","0,164948","6,149319","1,953602","0,448337",
08/02/2008 9.00,"2,253973","38,898835","11,130176","22,16245","0,487587",,
08/02/2008 10.00,"1,97042","7,170973","0,472004","6,620445","4,884005","0,479847",
08/02/2008 11.00,"1,173944","6,654777","0,642028","5,724914","0,453759",,
08/02/2008 12.00,"2,42555","7,320124","1,16817","5,545807","3,418803","0,474347",
08/02/2008 13.00,"4,229812","3,348788","0,076976","3,451041","0,504875",,
08/02/2008 14.00,"3,23828","3,077721",0,"3,113594","2,930403","0,47081",
08/02/2008 15.00,"4,072684","6,141175","0,801054","5,061703","0,450341",,
08/02/2008 16.00,"3,883047","3,101067","0,075284","3,512042","9,76801","0,450223",
08/02/2008 17.00,"3,155202","3,813105","0,241078","4,051956","0,445586",,
08/02/2008 18.00,"2,940279","11,688334","0,507533","11,138337","17,582411","0,479139",
08/02/2008 19.00,"2,537526","31,589106","4,338554","24,973645","0,523694",,
08/02/2008 20.00,"1,210066","11,631269","0,498228","11,4628","23,44322","0,521691",
08/02/2008 21.00,"2,089621","10,152718","0,29183","10,519248","0,56267",,
08/02/2008 22.00,"2,566423","8,901136","0,334972","9,19153","29,79241","0,557092",
08/02/2008 23.00,"2,669369","5,495281",0,"6,73985","0,561649",,
09/02/2008 0.00,"2,568229","4,021919",0,"5,444573","23,44322","0,540471",
09/02/2008 1.00,"3,095878",0,"4,587978","0,52059",,,
09/02/2008 2.00,"1,114344","18,07081","0,503579",,,,
09/02/2008 3.00,"1,840383","20,778813",0,"21,987235",,,
09/02/2008 4.00,"1,452079","10,741543","0,149722","11,461509","25,88522","0,459769",
09/02/2008 5.00,"1,753692","7,436852","0,018609","8,597105","0,468846",,
09/02/2008 6.00,"2,160058","5,692421","0,04737","6,925446","17,582411","0,470456",
09/02/2008 7.00,"1,607401","9,345999","0,364577","9,055255","0,452619",,
09/02/2008 8.00,"1,123374","14,401606","1,428703","12,588059","21,48962","0,455251",
09/02/2008 9.00,"1,858444","10,914042","0,675017","9,894978","0,458316",,
09/02/2008 10.00,"1,314818","6,848027","0,244461","6,491957","19,53602","0,45702",
09/02/2008 11.00,"1,090866","5,078953","0,107428","5,192787","0,452776",,
