"NetC","","","","","","",""
"Stat","SS7 Wind","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
02/01/2012 13.00,"0,714125","12,419978","17,649879","0,119873",,"0,222818"
02/01/2012 14.00,"0,825171","17,092974","23,470697","0,195349","14,40781","0,278825"
02/01/2012 15.00,"2,565796","31,080783","42,298199","0,341488",,"0,466652"
02/01/2012 16.00,"0,805309","29,023644","38,948148","0,352488","22,22221","0,447506"
02/01/2012 17.00,"0,799893","60,731315","81,026526","0,479453",,"0,289719"
02/01/2012 18.00,"0,650026","22,082624","27,042563","0,412995","26,12941","0,508356"
02/01/2012 19.00,"0,355709","20,164372","22,681483","0,557818",,"0,797194"
02/01/2012 20.00,"0,565161","19,970992","20,507748","0,573161","37,851021","1,467408"
02/01/2012 21.00,"0,650026","13,704875","14,17269","0,37288",,"0,648648"
02/01/2012 22.00,"0,650026","26,336404","36,240066","0,377418","24,908421","2,06687"
02/01/2012 23.00,"0,650026","17,561509","18,256214","0,345123",,"1,751735"
03/01/2012 0.00,"0,643706","10,358309","10,671507","0,350465","16,60561","1,793217"
03/01/2012 1.00,"0,650026","15,261025","15,620113","0,417239",,"0,323389"
03/01/2012 2.00,"0,568773","18,791885","19,137493","0,370465","14,89621","0,372684"
03/01/2012 3.00,"0,543494","17,754234","18,175802","0,35237",,"0,312496"
03/01/2012 4.00,"0,631067","12,95276","14,277745","0,286795","16,11721","1,810822"
03/01/2012 5.00,"0,650026","13,695793","14,393824","0,335771",,"0,338243"
03/01/2012 6.00,"0,707806","13,474504","24,820187","0,478669","18,07081","0,463792"
03/01/2012 7.00,"0,662665","12,497854","17,701757","0,404469",,"0,550498"
03/01/2012 8.00,"0,742113","18,738025","36,174561","0,426432","19,0476","0,300502"
03/01/2012 9.00,"0,854964","36,892652","74,23038","0,472913",,"0,560071"
03/01/2012 10.00,"0,650026","22,994399","32,221386","0,297522","26,37361","0,402723"
03/01/2012 11.00,"0,650026","16,732809","21,501892","0,280823",,"0,217867"
03/01/2012 12.00,"0,650026","15,711383","20,616694","0,430127","18,80341","0,319318"
03/01/2012 13.00,"0,76378","16,914508","23,454484","0,473463",,"0,351667"
03/01/2012 14.00,"1,034625","20,403831","30,574217","0,381505","17,3382","0,532672"
03/01/2012 15.00,"1,141156","20,561514","30,346593","0,188435",,"0,276514"
03/01/2012 16.00,"1,300051","25,630359","30,74997","0,18973","15,14041","0,19608"
03/01/2012 17.00,"0,817047","32,149573","36,228385","0,34522",,"0,19608"
03/01/2012 18.00,"0,650026","24,444117","26,942049","0,298426","24,908421","0,138752"
03/01/2012 19.00,"0,650026","24,347426","25,12368","0,37288",,"0,373564"
03/01/2012 20.00,"0,650026","11,196733","12,167568","0,412583","22,710621","0,678467"
03/01/2012 21.00,"0,650026","16,860648","17,681007","0,403743",,"0,560291"
03/01/2012 22.00,"0,650026","15,970308","16,732917","0,395178","24,17581","0,483377"
03/01/2012 23.00,"0,650026","18,07481","18,383967","0,69492",,"1,088672"
04/01/2012 0.00,"0,650026","6,430308","6,60614","0,324319","25,64102","0,895894"
04/01/2012 1.00,,"16,412884","21,65428","0,439024",,"0,317777"
04/01/2012 2.00,"0,513701",,,"0,338187","20,757021","0,287078"
04/01/2012 3.00,"0,55523","9,33754","11,334261",,,"0,221607"
04/01/2012 4.00,"0,650026","12,477734","13,804997","0,296207","18,55921","0,19608"
04/01/2012 5.00,"0,566967","4,631457","4,939528","0,269489",,"0,178255"
04/01/2012 6.00,"0,713223","19,381103","38,472785","0,229139","13,67521","0,139412"
04/01/2012 7.00,"1,936536","45,472236","122,339069","0,56438",,"0,223148"
04/01/2012 8.00,"2,424958","46,762316","134,569541","0,375709","20,51281","0,255608"
04/01/2012 9.00,"1,522144","42,623411","109,857629","0,36074",,"0,315797"
04/01/2012 10.00,"1,285607","46,052373","106,449815","0,320389","26,617821","0,486899"
04/01/2012 11.00,"0,687041","27,671266","50,813482","0,347422",,"2,16106"
04/01/2012 12.00,"0,650026","15,262968","24,681415","0,212381","21,97802","2,022858"
04/01/2012 13.00,"0,650026","15,498536","23,324143","0,164899",,"0,382917"
04/01/2012 14.00,"0,650026","16,312946","24,408399","0,163013","13,43101","0,236792"
04/01/2012 15.00,"0,888369","24,35909","36,947544","0,180046",,"1,743812"
04/01/2012 16.00,"0,74121","25,840622","36,452758","0,318209","14,65201","0,297091"
04/01/2012 17.00,"0,650026","31,457809","38,954628","0,295774",,"0,217646"
04/01/2012 18.00,"0,650026","21,004103","22,761901","0,318227","10,50061","0,255057"
04/01/2012 19.00,"0,650026","31,406549","33,575407","0,352273",,"0,339564"
04/01/2012 20.00,"0,650026","13,348607","14,183715","0,351192","21,73382","0,439254"
04/01/2012 21.00,"0,650026","29,260501","33,428873","0,364826",,"2,055207"
04/01/2012 22.00,"0,650026","25,469427","25,942722","0,247722","27,10622","0,225459"
04/01/2012 23.00,"0,650026","16,641965","16,725136","0,550628",,"1,948805"
05/01/2012 0.00,"0,650026","15,980692","16,529941","0,675334","28,08301","0,998995"
05/01/2012 1.00,"0,650026","11,187651","12,097529","0,497979",,"0,914929"
05/01/2012 2.00,"0,650026","10,543255","11,367983","0,308268","30,76923","0,505495"
05/01/2012 3.00,"0,650026","10,250589","10,366719","0,262849",,"0,285317"
05/01/2012 4.00,"0,650026","7,615264","10,282414","0,207785","17,826611","0,158558"
05/01/2012 5.00,"0,678014","12,055928","18,324955","0,205663",,"3,34106"
05/01/2012 6.00,"0,650026","29,530476","47,582737","0,206153","25,15262","0,121917"
05/01/2012 7.00,"1,096919","32,965289","67,071736","0,292946",,"0,204223"
05/01/2012 8.00,"0,720446","25,675138","44,392834","0,224856","17,094","0,152287"
05/01/2012 9.00,"3,368397","47,918733","170,901041","0,404391",,"0,780578"
05/01/2012 10.00,"0,708709","27,250109","52,660379","0,17258","24,42001","0,461481"
05/01/2012 11.00,"0,650026","21,461587","36,405396","0,117948",,"0,408444"
05/01/2012 12.00,"0,650026","13,921617","22,102375","0,130049","19,0476","0,208954"
05/01/2012 13.00,"0,650026","18,199403","30,485385","0,110346",,"0,304573"
05/01/2012 14.00,"0,650026","14,492032","24,396737","0,150343","16,60561","0,115866"
05/01/2012 15.00,"0,650026","14,048815","23,977818","0,164487",,"0,09903"
05/01/2012 16.00,"0,650026","14,807423","23,255387","0,208177","9,27961","0,079224"
05/01/2012 17.00,"0,715028","14,145499","20,919536","0,206861",,"0,079224"
05/01/2012 18.00,"0,650026","12,275275","17,933269","0,197038","4,639805","1,656996"
05/01/2012 19.00,"0,650026","4,462084","7,305859","0,110856",,"0,079224"
05/01/2012 20.00,"0,650026","5,14736","7,757854","0,206763","3,174603","0,079224"
05/01/2012 21.00,"0,650026","5,907263","8,207904","0,178298",,"1,657106"
05/01/2012 22.00,"0,650026","5,384222","7,58341","0,218019","2,686203","1,736"
05/01/2012 23.00,"0,650026","5,257033","7,881715","0,181225",,"0,079224"
06/01/2012 0.00,"0,650026","3,676223","4,944067","0,253007","1,953602","0,079224"
06/01/2012 1.00,,"2,898148","3,687948","0,196272",,"0,079224"
06/01/2012 2.00,"0,917259",,,"0,24067","1,709402","0,079224"
06/01/2012 3.00,"1,227827","6,520508","7,882363",,,"0,076363"
06/01/2012 4.00,"1,049972","5,916349","6,412892","0,196665","12,94261","1,681643"
06/01/2012 5.00,"1,15831","4,064287","4,455755","0,21743",,"0,079224"
06/01/2012 6.00,"1,160115","6,000712","6,233908","0,231123","7,081807","0,079224"
06/01/2012 7.00,"1,233244","7,325191","7,967315","0,23737",,"0,079224"
06/01/2012 8.00,"1,20977","3,722297","4,296877","0,136336","8,058608","0,079224"
06/01/2012 9.00,"0,896494","5,592531","6,351285","0,166786",,"1,657106"
06/01/2012 10.00,"1,172755","5,021466","5,918743","0,236702","6,837607","0,079224"
06/01/2012 11.00,"0,996707","3,577585","4,007003","0,166943",,"0,079224"
06/01/2012 12.00,"1,021985","2,625595","3,056969","0,161796","10,98901","3,234987"
06/01/2012 13.00,"0,938926","2,480233","3,080314","0,163937",,"1,657106"
06/01/2012 14.00,"0,856771","2,061021","2,570604","0,174506","6,349206","1,657106"
06/01/2012 15.00,"1,297343","2,523712","2,912356","0,173366",,"1,656996"
06/01/2012 16.00,"0,848645","2,874137","3,259947","0,188631","3,907204","1,736"
06/01/2012 17.00,"0,850451","4,107765","4,636684","0,150795",,"1,657106"
06/01/2012 18.00,"0,861284","3,286862","3,599753","0,174132","7,570208","0,079224"
06/01/2012 19.00,"0,797185","4,575649","4,995297","0,231044",,"1,659636"
06/01/2012 20.00,"0,650026","2,64117","3,180182","0,143074","5,372406","0,096499"
06/01/2012 21.00,"0,650026","2,256999","2,485003","0,212952",,"0,079224"
06/01/2012 22.00,"0,656345","2,386138","2,849454","0,208904","7,081807","0,09903"
06/01/2012 23.00,"0,650026","2,129159","2,468791","0,156099",,"0,079224"
07/01/2012 0.00,"0,668083","2,284903","2,523265","0,167276","10,01221","0,079224"
07/01/2012 1.00,"0,666276","2,521765","3,026489","0,157571",,"0,081755"
07/01/2012 2.00,"0,650026","2,419883","2,634805","0,219375","6,593407","0,096499"
07/01/2012 3.00,"0,650026","2,022085","2,308616","0,136552",,"0,079224"
07/01/2012 4.00,"0,650026","1,791064","2,208748","0,188789","11,72161","0,079224"
07/01/2012 5.00,"0,650026","1,709297","2,029766","0,151011",,"0,079224"
07/01/2012 6.00,"0,650026","2,22066","2,879285","0,097616","12,45421","0,09903"
07/01/2012 7.00,"0,650026","2,739808","3,423365","0,13001",,"0,09903"
07/01/2012 8.00,"0,650026","2,607425","2,972667","0,140795","10,25641","0,09903"
07/01/2012 9.00,"0,650026","2,87868","3,431795","0,113901",,"0,079224"
07/01/2012 10.00,"0,650026","3,35435","4,134107","0,140245","9,27961","0,101451"
07/01/2012 11.00,"0,650026","3,240786","3,78976","0,134941",,"0,09661"
07/01/2012 12.00,"0,650026","3,314117","4,034888","0,145293","10,01221","0,09903"
07/01/2012 13.00,"0,607593","3,106457","3,538795","0,130658",,"0,079224"
07/01/2012 14.00,"0,550717","2,413393","2,865665","0,111524","17,094","1,735449"
07/01/2012 15.00,"0,650026","1,772894","2,261925","0,138673",,"0,079224"
07/01/2012 16.00,"0,650026","1,967574","2,451281","0,153034","10,25641","0,079224"
07/01/2012 17.00,"0,650026","2,235585","2,685387","0,087262",,"0,09903"
07/01/2012 18.00,"0,650026","13,044254","17,692679","0,199357","6,105006","1,736"
07/01/2012 19.00,"0,650026","30,442883","39,808031","0,120875",,"1,692316"
07/01/2012 20.00,"0,650026","15,197431","15,845788","0,226663","6,593407","0,180895"
07/01/2012 21.00,"0,623844","14,31423","16,443693","0,111328",,"0,155917"
07/01/2012 22.00,"0,610302","29,119683","34,617542","0,191244","9,27961","0,202572"
07/01/2012 23.00,"0,650026","25,289679","31,13581","0,199357",,"0,217867"
08/01/2012 0.00,"0,640095","15,977448","21,837793","0,107321","18,07081","0,232611"
08/01/2012 1.00,,"13,531608","16,904118","0,137928",,"1,694296"
08/01/2012 2.00,"0,592246",,,"0,125885","12,45421","0,079224"
08/01/2012 3.00,"0,650026","16,131898","19,595974",,,"0,079224"
08/01/2012 4.00,"0,650026","13,986513","16,407375","0,132465","12,69841","0,079224"
08/01/2012 5.00,"0,650026","16,671809","20,620595","0,102625",,"3,313771"
08/01/2012 6.00,"0,650026","19,621861","21,018118","0,135942","9,27961","0,079224"
08/01/2012 7.00,"0,650026","17,327241","19,669259","0,176765",,"1,73589"
08/01/2012 8.00,"0,650026","26,991186","36,538357","0,089345","12,94261","0,079224"
08/01/2012 9.00,"0,706","25,894484","38,663449","0,179024",,"1,726536"
08/01/2012 10.00,"0,687041","23,021646","41,525866","0,269431","7,326007","0,275634"
08/01/2012 11.00,"0,650026","14,746422","23,497274","0,109913",,"1,901601"
08/01/2012 12.00,"0,650026","9,995563","14,652569","0,051844","5,128205","0,257479"
08/01/2012 13.00,"0,650026","4,532819","5,841575","0,092312",,"0,254288"
08/01/2012 14.00,"0,650026","4,829383","5,827307","0,105396","3,174603","0,178255"
08/01/2012 15.00,"0,650026","6,241467","7,808436","0,12895",,"0,152066"
08/01/2012 16.00,"0,650026","6,65484","7,764339","0,096672","6,837607","0,121917"
08/01/2012 17.00,"0,650026","7,863158","8,438765","0,12337",,"0,135561"
08/01/2012 18.00,"0,650026","19,764629","22,88511","0,145157","6,105006","0,124998"
08/01/2012 19.00,"0,594051","12,541329","12,906195","0,174152",,"0,175173"
08/01/2012 20.00,"0,650026","14,207802","17,178429","0,138733","13,18681","0,175173"
08/01/2012 21.00,"0,630164","15,523846","16,227097","0,191026",,"0,124998"
08/01/2012 22.00,"0,650026","14,388209","14,82442","0,206487","21,73382","0,118836"
08/01/2012 23.00,"0,650026","25,58753","28,696193","0,221713",,"0,345725"
09/01/2012 0.00,"0,650026","25,411664","32,424344","0,218216","16,60561","0,346936"
09/01/2012 1.00,"0,594954","9,74702","10,602768","0,126789",,"0,152396"
09/01/2012 2.00,"0,650026","4,928669","5,523166",,"9,523809","0,079224"
09/01/2012 3.00,"0,650026","6,502339","7,272785",,,"0,079224"
09/01/2012 4.00,"0,706903","15,00145","27,515954",,"7,570208","0,079224"
09/01/2012 5.00,"0,659054","14,190926","17,971528",,,"0,118836"
09/01/2012 6.00,"0,771003","30,726469","53,89836",,"5,128205","0,080765"
09/01/2012 7.00,"0,828783","19,558269","38,539591",,,"0,121147"
09/01/2012 8.00,"0,986776","42,389134","86,523752",,"4,151404","0,136771"
09/01/2012 9.00,"0,702389","28,285153","42,427929",,,"0,158118"
09/01/2012 10.00,"0,707806","25,736132","38,316517",,"3,418803","0,194539"
09/01/2012 11.00,"0,650026","19,102073","29,328473",,,"0,181445"
09/01/2012 12.00,"1,023791","16,32333","25,417457",,"2,930403","0,169011"
09/01/2012 13.00,"1,28651","7,212924","9,851171",,,"0,192778"
09/01/2012 14.00,"1,169144","3,554873","4,545248",,"2,442003","0,175394"
09/01/2012 15.00,"1,037333","2,778096","3,288479",,,"0,158449"
09/01/2012 16.00,"0,719543","4,088298","4,986867",,"2,197802","0,158449"
09/01/2012 17.00,"0,650026","21,195533","27,911527",,,"0,158449"
09/01/2012 18.00,"0,725862","42,459879","51,244733",,"13,67521","0,22953"
09/01/2012 19.00,"0,019862","16,185107","19,7153",,,"0,476116"
09/01/2012 20.00,"0,211258","29,961364","40,459735",,"13,18681","0,199271"
09/01/2012 21.00,"0,301539","39,648033","51,972976",,,"0,478206"
09/01/2012 22.00,"0,129102","14,013124","16,589603",,"14,89621","0,344405"
09/01/2012 23.00,"0,037918","8,342721","8,779869",,,"0,277285"
10/01/2012 0.00,"0,279872","4,545149","4,912939",,"10,01221","0,234922"
10/01/2012 1.00,,"9,497829","10,263608",,,"0,158889"
10/01/2012 2.00,"0,366542",,,,"14,40781","0,158449"
10/01/2012 3.00,"0,381891","12,512776","12,871177",,,"0,158889"
10/01/2012 4.00,"0,585926","11,169483","13,082582",,"10,50061","1,778143"
10/01/2012 5.00,"0,620233","7,675615","7,973801",,,"0,155588"
10/01/2012 6.00,"0,432448","8,064976","9,553514",,"10,01221","0,102332"
10/01/2012 7.00,"0,572384","11,682144","19,677692",,,"0,158449"
10/01/2012 8.00,"0,650026","9,033839","10,805096",,"7,814408","0,124228"
10/01/2012 9.00,"0,650026","10,114966","12,175349",,,"0,166041"
10/01/2012 10.00,"0,863992","10,488754","14,882784",,"5,128205","0,277395"
10/01/2012 11.00,"1,173658","17,409003","23,469397",,,"0,266171"
10/01/2012 12.00,"1,191715","15,410928","21,831962",,"3,174603","0,297091"
10/01/2012 13.00,"1,07796","6,28949","7,650204",,,"0,19531"
10/01/2012 14.00,"0,68343","11,778837","15,041015",,"1,709402","0,220618"
10/01/2012 15.00,"0,650026","10,347935","13,299826",,,"0,217867"
10/01/2012 16.00,"0,6094","12,959901","14,787455",,"1,465201","0,194869"
10/01/2012 17.00,"0,089379","17,429774","21,946108",,,"1,859788"
10/01/2012 18.00,"0,070419","9,864476","10,998346","0,877347","15,14041","0,215556"
10/01/2012 19.00,"0,341264","18,804211","24,693096","0,895683",,"0,160539"
10/01/2012 20.00,"0,650026","31,733616","37,932606","0,87844","8,547009","0,325149"
10/01/2012 21.00,"0,644609","30,77188","38,530489","0,94291",,"0,438593"
10/01/2012 22.00,"0,358417","29,110601","30,439976","1,169737","13,91941","0,613547"
10/01/2012 23.00,"0,242857","31,40005","46,15218","1,06804",,"0,860022"
11/01/2012 0.00,"0,070419","7,866401","8,216334","0,926991","17,3382","0,312386"
11/01/2012 1.00,"0,303346","8,582828","8,750689","1,072757",,"0,175723"
11/01/2012 2.00,"0,05146","8,062381","8,093121","1,088022","18,80341","0,141944"
11/01/2012 3.00,"0,250079","10,403087","11,133877","1,087011",,"0,158449"
11/01/2012 4.00,"0,328624","9,950788","10,748029","1,095328","10,50061","0,145905"
11/01/2012 5.00,"0,325916","6,047436","6,373983","1,074945",,"0,144254"
11/01/2012 6.00,"0,569676","5,705446","6,128853","1,087559","5,616606","0,176054"
11/01/2012 7.00,"0,600371","9,050062","10,816121","1,073957",,"0,144364"
11/01/2012 8.00,"0,451407","17,355794","29,679956","1,09339","10,01221","0,181006"
11/01/2012 9.00,"24,306045","42,667064","77,280919","0,7907",,"1,726757"
11/01/2012 10.00,"0,063197","21,181269","35,002103","0,024831","18,07081","0,167691"
11/01/2012 11.00,"0,155284","18,251323","27,835009","0,077853",,"0,139963"
11/01/2012 12.00,"0,248274","5,046127","6,584092","0,058385","15,14041","0,137321"
11/01/2012 13.00,"0,640095","3,28751","4,440842","0,058837",,"0,079224"
11/01/2012 14.00,"0,650026","3,778106","5,315651","0,057677","10,25641","0,202792"
11/01/2012 15.00,"0,650026","2,28101","3,284588","0,046872",,"0,079004"
11/01/2012 16.00,"0,60669","3,745009","5,130831","0,096535","6,105006","0,118836"
11/01/2012 17.00,"0,533563","3,417947","3,979119",,,"0,079224"
11/01/2012 18.00,"0,959691","49,573513","89,350513",,"7,570208","0,139743"
11/01/2012 19.00,"0,71864","47,55272","77,003313","0,295451",,"0,188707"
11/01/2012 20.00,"0,634678","28,942536","32,682447","0,367703","17,826611","0,365752"
11/01/2012 21.00,"0,62565","31,722563","35,810095","0,349247",,"1,77242"
11/01/2012 22.00,"0,631067","16,323983","17,84248","0,392735","18,80341","0,179685"
11/01/2012 23.00,"0,650026","16,190304","17,54223","0,37077",,"0,257479"
12/01/2012 0.00,"0,650026","20,363603","24,787759","0,321456","20,02442","0,268042"
12/01/2012 1.00,,"16,635473","19,714651","0,306098",,"0,216546"
12/01/2012 2.00,"0,647317",,,"0,33047","18,31501","0,138643"
12/01/2012 3.00,"0,650026","13,534852","15,764726",,,"0,108603"
12/01/2012 4.00,"0,640998","15,008589","16,039685","0,151267","14,65201","0,09914"
12/01/2012 5.00,"0,650026","10,484857","14,919748","0,194181",,"1,667999"
12/01/2012 6.00,"0,704195","26,422061","41,463592","0,105007","17,826611","0,107943"
12/01/2012 7.00,"0,806212","37,597395","62,560852","0,169755",,"0,109923"
12/01/2012 8.00,"0,698778","32,481819","51,607248","0,212981","12,45421","0,118836"
12/01/2012 9.00,"0,933509","25,101482","41,88255","0,104499",,"0,297091"
12/01/2012 10.00,"0,650026","21,081979","31,835506","0,13498","7,326007","0,208844"
12/01/2012 11.00,"0,650026","12,57508","18,664112","0,145326",,"0,1963"
12/01/2012 12.00,"0,387307","9,052658","12,066404","0,046324","8,547009","0,118836"
12/01/2012 13.00,"0,652734","6,914413","9,712393","0,006818",,"0,269802"
12/01/2012 14.00,"0,650026","6,423819","8,838883","0,015499","8,058608","1,718064"
12/01/2012 15.00,"0,650026","6,379042","8,018545","0,029435",,"0,096939"
12/01/2012 16.00,"0,650026","6,34984","7,44658","0,053438","7,814408","0,132481"
12/01/2012 17.00,"0,636483","9,979337","11,176678","0,064326",,"0,074053"
12/01/2012 18.00,"0,703292","25,73745","37,864501","0,115576","17,3382","0,22898"
12/01/2012 19.00,"0,797185","30,23522","50,593679","0,106401",,"1,870021"
12/01/2012 20.00,"0,715931","14,660755","21,87347","0,136765","21,001221","0,4266"
12/01/2012 21.00,"0,650026","6,701564","7,106772","0,089139",,"0,210604"
12/01/2012 22.00,"0,652734","18,663394","28,399203","0,197744","19,2918","0,263201"
12/01/2012 23.00,"0,650026","13,438161","13,709022","0,185143",,"0,371473"
13/01/2012 0.00,"0,599469","10,098742","10,445833","0,143849","18,55921","0,301822"
13/01/2012 1.00,"0,648221","6,396562","6,392139","0,135719",,"0,312936"
13/01/2012 2.00,"0,556133","5,05716","5,331214","0,103039","13,43101","0,159218"
13/01/2012 3.00,"0,650026","4,686616","4,973898","0,176992",,"0,118836"
13/01/2012 4.00,"0,649123","4,546445","4,70283","0,15166","14,89621","0,145024"
13/01/2012 5.00,"0,841422","12,045544","28,774662","0,150169",,"0,16439"
13/01/2012 6.00,"0,516409","5,703498","8,647578","0,156202","10,25641","0,160099"
13/01/2012 7.00,"0,60308","13,628301","27,058775","0,148554",,"0,1996"
13/01/2012 8.00,"0,707806","16,123464","25,908994","0,235448","14,89621","0,187607"
13/01/2012 9.00,"0,750238","19,009925","32,072212","0,216413",,"0,301162"
13/01/2012 10.00,"1,398458","40,571474","79,045404","0,319399","19,53602","0,489539"
13/01/2012 11.00,"1,224216","20,75038","29,395929","0,062086",,"0,535093"
13/01/2012 12.00,"0,832394","21,220848","32,78361",,"14,16361","0,32977"
13/01/2012 13.00,"1,300051","27,786789","44,339663","0,023268",,"0,315356"
13/01/2012 14.00,"0,945246","23,370777","34,915854","0,005952","13,43101","0,160759"
13/01/2012 15.00,"1,163727","28,059976","42,510278","0,008526",,"0,225569"
13/01/2012 16.00,"1,18088","33,106109","47,019864","0,055557","9,523809","0,158449"
13/01/2012 17.00,"0,940732","45,130252","57,789911","0,076683",,"0,190248"
13/01/2012 18.00,"0,723154","38,276194","44,960258","0,077448","23,44322","1,011758"
13/01/2012 19.00,"0,650026","44,009535","47,608014","0,211588",,"0,915809"
13/01/2012 20.00,"0,650026","32,570098","35,045544","0,31856","42,97924","0,939136"
13/01/2012 21.00,"0,650026","21,798405","23,510257","0,17085",,"0,745367"
13/01/2012 22.00,"0,655442","8,652912","9,141077","0,116045","28,327221","0,308425"
13/01/2012 23.00,"0,650026","7,130509","7,38627","0,086174",,"0,270463"
14/01/2012 0.00,"0,650026","5,05651","6,204727","0,120212","20,757021","0,145134"
14/01/2012 1.00,,"6,27002","7,479004","0,070005",,"0,048964"
14/01/2012 2.00,"0,713223",,,"0,071353","21,97802","0,104972"
14/01/2012 3.00,"0,650026","23,377258","26,211856",,,"0,09859"
14/01/2012 4.00,"0,650026","6,604222","6,748807","0,10559","21,48962","0,068331"
14/01/2012 5.00,"0,650026","23,017095","29,310959","0,171406",,"0,076693"
14/01/2012 6.00,"0,650026","20,876917","24,733286","0,125037","15,14041","0,075263"
14/01/2012 7.00,"0,650026","6,348542","7,715702","0,145391",,"0,072732"
14/01/2012 8.00,"0,650026","4,121392","5,47453","0,189555","10,74481","0,09716"
14/01/2012 9.00,"0,650026","8,931956","12,881553","0,099801",,"0,069761"
14/01/2012 10.00,"0,650026","14,582236","21,897466","0,177384","6,593407","0,050065"
14/01/2012 11.00,"0,650026","15,236368","23,823463","0,120685",,"1,63906"
14/01/2012 12.00,"0,650026","9,223329","12,677926","0,109832","4,151404","0,138202"
14/01/2012 13.00,"0,656345","11,209071","15,994938","0,099183",,"0,13072"
14/01/2012 14.00,"0,650026","5,754116","7,267598","0,085213","5,860806","0,192118"
14/01/2012 15.00,"0,650026","4,774872","5,903827","0,101085",,"0,114215"
14/01/2012 16.00,"0,650026","3,388745","4,098441","0,111043","3,907204","0,113885"
14/01/2012 17.00,"0,650026","4,721009","5,045881","0,168947",,"0,045114"
14/01/2012 18.00,"0,650026","16,327227","18,326899","0,127548","9,035409","0,198061"
14/01/2012 19.00,"1,068029","45,773334","63,091315","0,261087",,"0,572505"
14/01/2012 20.00,"0,593149","8,966999","9,701369","0,118349","17,094","0,468963"
14/01/2012 21.00,"0,650026","19,815891","26,575002","0,247614",,"1,901601"
14/01/2012 22.00,"0,650026","28,198863","36,5883","0,343816","25,15262","0,500103"
14/01/2012 23.00,"0,650929","29,822495","40,804756","0,278754",,"0,385008"
15/01/2012 0.00,"0,650026","14,393398","16,185594","0,261507","19,78022","0,258799"
15/01/2012 1.00,"0,650026","19,062496","21,128364","0,222456",,"0,277285"
15/01/2012 2.00,"0,650026","19,644575","21,308628","0,25232","14,40781","1,774952"
15/01/2012 3.00,"0,650026","5,153201","5,52576","0,180395",,"0,186397"
