"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","",""
"Stat","Via Taranto","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,O3,BENZENE,PM10
05/07/2011 12.00,,"37,8","30,1","0,3","104,1",,"26,1"
05/07/2011 13.00,,"31,4","25,9","0,3","107,2",,"26,1"
05/07/2011 14.00,,"29,3","23,5","0,3","113,2","0,2","26,1"
05/07/2011 15.00,"0,1",38,"31,5","0,3","105,6","0,4","26,1"
05/07/2011 16.00,"0,1","30,6","25,4","0,3","101,5","0,9","26,1"
05/07/2011 17.00,"0,1","27,2","23,8","0,3","93,4","0,7","26,1"
05/07/2011 18.00,"0,1","33,8","28,7","0,4","84,1","0,6","26,1"
05/07/2011 19.00,"0,1","27,9","23,6","0,4","79,4","0,9","26,1"
05/07/2011 20.00,"0,1","32,9","28,3","0,4","53,8","0,7","26,1"
05/07/2011 21.00,"0,1",53,"37,6","0,5","36,8","0,8","26,1"
05/07/2011 22.00,"0,1",39,33,"0,5","34,3","0,4","26,1"
05/07/2011 23.00,"0,1","28,6","24,3","0,4","61,5","0,4","26,1"
06/07/2011 0.00,"0,1",36,"29,9","0,3","95,5","0,5","26,1"
06/07/2011 1.00,"0,1","11,1","9,4","0,3","106,8","0,2","13,5"
06/07/2011 2.00,"0,1","11,4","10,1","0,3","99,3","0,2","13,5"
06/07/2011 3.00,"0,1","11,3","9,6","0,3","88,1","0,1","13,5"
06/07/2011 4.00,"0,1","11,2","9,7","0,3","75,9","0,1","13,5"
06/07/2011 5.00,"0,1","15,8","13,9","0,3","60,3","0,3","13,5"
06/07/2011 6.00,"0,1","25,6","21,5","0,4","51,3","0,5","13,5"
06/07/2011 7.00,"0,1","21,6","17,4","0,3","102,3","0,6","13,5"
06/07/2011 8.00,"0,2","23,6","19,2","0,3","106,1","0,6","13,5"
06/07/2011 9.00,"0,2","24,2","19,3","0,3","111,7","0,6","13,5"
06/07/2011 10.00,"0,2","22,7","17,8","0,3","117,3","0,6","13,5"
06/07/2011 11.00,"0,2","21,4","16,9","0,3","118,2","0,6","13,5"
06/07/2011 12.00,"0,2","14,3","11,7","0,3","116,2","0,6","13,5"
06/07/2011 13.00,"0,2","15,7","12,6","0,3","123,6","0,5","13,5"
06/07/2011 14.00,"0,2",14,"11,2","0,3","126,7","0,2","13,5"
06/07/2011 15.00,"0,2","10,8","8,8","0,3","129,3","0,2","13,5"
06/07/2011 16.00,"0,1","12,2",10,"0,3","122,5","0,2","13,5"
06/07/2011 17.00,"0,1","11,7","9,7","0,3","118,4","0,2","13,5"
06/07/2011 18.00,"0,1","13,5",11,"0,3","115,3","0,5","13,5"
06/07/2011 19.00,"0,1",20,"16,9","0,4","112,2","0,5","13,5"
06/07/2011 20.00,"0,1","27,6","22,6","0,4","91,4","0,8","13,5"
06/07/2011 21.00,"0,1","21,6","18,2","0,4","99,5","0,6","13,5"
06/07/2011 22.00,"0,1","35,1","29,1","0,3","88,1","0,4","13,5"
06/07/2011 23.00,"0,1","22,2","19,7","0,3","96,6","0,4","13,5"
07/07/2011 0.00,"0,1","22,7","19,9","0,3","77,4","0,3","13,5"
07/07/2011 1.00,,"23,1","20,4","0,4","64,9","0,5","26,1"
07/07/2011 2.00,"0,1",,,"0,3","75,9","0,3","26,1"
07/07/2011 3.00,"0,1","13,1","11,6",,"76,8","0,4","26,1"
07/07/2011 4.00,"0,1","11,5","9,9","0,3",,"0,4","26,1"
07/07/2011 5.00,"0,1","14,7","12,5","0,3",66,"0,3","26,1"
07/07/2011 6.00,"0,1","30,4","24,7","0,5","52,5","0,7","26,1"
07/07/2011 7.00,"0,1","45,2",32,"0,5","36,4","1,2","26,1"
07/07/2011 8.00,"0,1","32,4","25,3","0,4","76,1","1,2","26,1"
07/07/2011 9.00,"0,2","39,9","30,8","0,4","86,8","0,7","26,1"
07/07/2011 10.00,"0,2","28,8","22,7","0,4","94,5","0,6","26,1"
07/07/2011 11.00,"0,3","27,8","21,4","0,3","94,2","0,5","26,1"
07/07/2011 12.00,"0,3","26,3","20,4","0,4","102,2","0,5","26,1"
07/07/2011 13.00,"0,2","27,4",21,"0,3","99,7","0,2","26,1"
07/07/2011 14.00,"0,2","29,4",23,"0,3","99,3","0,3","26,1"
07/07/2011 15.00,"0,2","20,9","17,3","0,3","108,7","0,5","26,1"
07/07/2011 16.00,"0,2","27,5","22,3","0,4",,,"26,1"
07/07/2011 17.00,"0,1","30,1","24,4","0,4","87,3",,"26,1"
07/07/2011 18.00,"0,1","34,2","28,3","0,4","82,9",,"26,1"
07/07/2011 19.00,"0,1","49,2","36,9","0,4","75,3",,"26,1"
07/07/2011 20.00,"0,2",35,"28,4","0,5","73,2",,"26,1"
07/07/2011 21.00,"0,1",34,"27,9","0,5",69,,"26,1"
07/07/2011 22.00,"0,1",34,"28,4","0,5","64,8",,"26,1"
07/07/2011 23.00,"0,1",67,"49,6","0,6","33,7",,"26,1"
08/07/2011 0.00,"0,1","113,5","68,9","0,7","6,1",,"26,1"
08/07/2011 1.00,"0,1","100,8","64,9","0,6","3,7",,
08/07/2011 2.00,"0,1","81,6","52,2","0,5","4,2",,
08/07/2011 3.00,"0,2",42,"33,7","0,4","24,5",,
08/07/2011 4.00,"0,1","38,2","30,6","0,4","17,5",,
08/07/2011 5.00,"0,1","40,7","32,8","0,4","18,8",,
08/07/2011 6.00,"0,1","87,9","47,1","0,6","5,2",,
08/07/2011 7.00,"0,1","148,9","68,2","0,7","8,6",,
08/07/2011 8.00,"0,2","116,9","75,7","0,5","65,8",,
08/07/2011 9.00,"0,2","95,1","76,4","0,4","91,3",,
08/07/2011 10.00,"0,2","63,8","48,6","0,3","92,5",,
08/07/2011 11.00,"0,2",96,"71,5","0,3","70,9",,
08/07/2011 12.00,"0,3",87,"70,9","0,4","91,3",,
08/07/2011 13.00,"0,3","106,1","78,4","0,3","69,4",,
08/07/2011 14.00,"0,2","85,1","64,4","0,3","65,3",,
08/07/2011 15.00,"0,1","112,7","69,4","0,3","50,3",,
08/07/2011 16.00,"0,1","143,1","81,6","0,3","37,8",,
08/07/2011 17.00,"0,1","138,5","82,8","0,2","51,4",,
08/07/2011 18.00,"0,1","123,8","79,9","0,1","63,3",,
08/07/2011 19.00,"0,1","58,9","44,9",0,"82,2",,
08/07/2011 20.00,"0,1","49,8","42,9",0,75,,
08/07/2011 21.00,"0,1","47,2","42,1",0,"62,8",,
08/07/2011 22.00,"0,1","54,1","47,7",0,"53,5",,
08/07/2011 23.00,"0,1","81,3","68,8",0,"28,7",,
09/07/2011 0.00,"0,1","93,8","72,9",0,"22,9",,
09/07/2011 1.00,,"55,4","47,3",0,"38,3",,
09/07/2011 2.00,"0,1",,,0,"32,2",,
09/07/2011 3.00,"0,1","43,4","38,2",,"37,5",,
09/07/2011 4.00,"0,1","44,6","36,1","0,4",,,
09/07/2011 5.00,"0,1","58,6","45,4","0,7","11,1",,
09/07/2011 6.00,"0,1",114,63,"0,8",,,
09/07/2011 7.00,"0,1","93,5","60,3","0,8","9,8",,
09/07/2011 8.00,"0,1",105,"66,6",1,"16,6",,
09/07/2011 9.00,"0,2","93,1","63,1","0,5","39,3",,
09/07/2011 10.00,,,,,,,
09/07/2011 11.00,,,,,,,
09/07/2011 12.00,,,,,,,
09/07/2011 13.00,,,,,,,
09/07/2011 14.00,,,,,,,
09/07/2011 15.00,,,,,,,
09/07/2011 16.00,,,,,,,
09/07/2011 17.00,,,,,,,
09/07/2011 18.00,,,,,,,
09/07/2011 19.00,,,,,,,
09/07/2011 20.00,,,,,,,
09/07/2011 21.00,,,,,,,
09/07/2011 22.00,,,,,,,
09/07/2011 23.00,,,,,,,
10/07/2011 0.00,,,,,,,
10/07/2011 1.00,,,,,,,
10/07/2011 2.00,,,,,,,
10/07/2011 3.00,,,,,,,
10/07/2011 4.00,,,,,,,
10/07/2011 5.00,,,,,,,
10/07/2011 6.00,,,,,,,
10/07/2011 7.00,,,,,,,
10/07/2011 8.00,,,,,,,
10/07/2011 9.00,,,,,,,
10/07/2011 10.00,,,,,,,
10/07/2011 11.00,,,,,,,
10/07/2011 12.00,,,,,,,
10/07/2011 13.00,,,,,,,
10/07/2011 14.00,,,,,,,
10/07/2011 15.00,,,,,,,
10/07/2011 16.00,,,,,,,
10/07/2011 17.00,,,,,,,
10/07/2011 18.00,,,,,,,
10/07/2011 19.00,,,,,,,
10/07/2011 20.00,,,,,,,
10/07/2011 21.00,,,,,,,
10/07/2011 22.00,,,,,,,
10/07/2011 23.00,,,,,,,
11/07/2011 0.00,,,,,,,
11/07/2011 1.00,,,,,,,
11/07/2011 2.00,,,,,,,
11/07/2011 3.00,,,,,,,
11/07/2011 4.00,,,,,,,
11/07/2011 5.00,,,,,,,
11/07/2011 6.00,,,,,,,
11/07/2011 7.00,,,,,,,
11/07/2011 8.00,,,,,,,
11/07/2011 9.00,,,,,,,
11/07/2011 10.00,,,,,,,
11/07/2011 11.00,,,,,,,
11/07/2011 12.00,,,,,,,
11/07/2011 13.00,"1,7","34,6","29,4",,"116,3",,
11/07/2011 14.00,"1,6","45,9","38,6",,"120,1",,
11/07/2011 15.00,"1,2","29,1",25,,"134,9",,
11/07/2011 16.00,"0,5","32,9","27,8",,"123,3","0,5",
11/07/2011 17.00,"0,4","30,6","26,1",,"112,3","0,7",
11/07/2011 18.00,"0,2","32,3","27,3",,"108,8","0,6",
11/07/2011 19.00,"0,3","44,1","39,1",,"100,5","0,7",
11/07/2011 20.00,0,"47,7",41,,"95,8","0,8",
11/07/2011 21.00,0,"37,7","32,4",,"87,9","1,1",
11/07/2011 22.00,"0,1",31,"26,7",,"83,5","0,9",
11/07/2011 23.00,"0,1","24,7","21,9",,"85,1","0,5",
12/07/2011 0.00,"0,1","22,2","19,7",,"71,3","0,4",
12/07/2011 1.00,0,"17,2","15,2",,"73,8","0,4","33,6"
12/07/2011 2.00,"0,1","12,3","10,8",,72,"0,5","33,6"
12/07/2011 3.00,"0,1","12,4","10,7",,"72,4","0,6","33,6"
12/07/2011 4.00,"0,1","12,3","10,6",,74,"0,5","33,6"
12/07/2011 5.00,"0,1","15,6","13,8",,64,"0,5","33,6"
12/07/2011 6.00,"0,1","20,3","17,4",,"64,2","0,7","33,6"
12/07/2011 7.00,"0,1",27,"21,7",,67,"0,8","33,6"
12/07/2011 8.00,"0,1","29,6","23,5",,"78,6","0,8","33,6"
12/07/2011 9.00,"0,1","31,7","24,6",,"83,8","0,8","33,6"
12/07/2011 10.00,"0,1","29,4","23,3",,"92,4","0,5","33,6"
12/07/2011 11.00,"0,1","26,4","21,3",,"103,2","0,9","33,6"
12/07/2011 12.00,"0,1","21,9","17,6",,"110,9","0,8","33,6"
12/07/2011 13.00,"0,1","22,7","18,3",,"104,2","0,4","33,6"
12/07/2011 14.00,"0,1","17,5","14,1",,"101,3","0,9","33,6"
12/07/2011 15.00,"0,1","17,6","14,6",,106,"0,7","33,6"
12/07/2011 16.00,"0,1","15,6","12,9",,,,"33,6"
12/07/2011 17.00,,"17,9","15,1",,"115,7",,"33,6"
12/07/2011 18.00,,"19,9","16,7",,"104,9",,"33,6"
12/07/2011 19.00,,"18,1","15,7",,"98,4",,"33,6"
12/07/2011 20.00,,23,"19,9",,"98,5",,"33,6"
12/07/2011 21.00,,"22,5","19,5",,"87,6",,"33,6"
12/07/2011 22.00,,"23,9","19,1",,"135,2",,"33,6"
12/07/2011 23.00,,23,"19,4",,"81,8",,"33,6"
13/07/2011 0.00,,"16,8","14,7",,82,,"33,6"
13/07/2011 1.00,,"12,4","10,8",,"82,1",,"37,2"
13/07/2011 2.00,,,,,"75,5",,"37,2"
13/07/2011 3.00,,"11,3","9,8",,"76,2",,"37,2"
13/07/2011 4.00,,"10,9","9,6","0,4",,,"37,2"
13/07/2011 5.00,,"18,6",17,"0,4","66,7",,"37,2"
13/07/2011 6.00,,"26,7","23,8","0,5","64,6",,"37,2"
13/07/2011 7.00,,"28,7","24,5","0,5","71,9",,"37,2"
13/07/2011 8.00,,"28,1","22,4","0,5","79,1",,"37,2"
13/07/2011 9.00,,"24,4","19,7","0,5","87,8",,"37,2"
13/07/2011 10.00,,"20,8","17,1","0,5","99,8",,"37,2"
13/07/2011 11.00,,"15,9","13,2","0,4","113,8",,"37,2"
13/07/2011 12.00,,"17,1","13,9","0,5","112,2",,"37,2"
13/07/2011 13.00,,"21,2",17,"0,5","106,1",,"37,2"
13/07/2011 14.00,,18,"14,5","0,4","103,3","0,6","37,2"
13/07/2011 15.00,,"42,3","32,9","0,4","77,9","0,5","37,2"
13/07/2011 16.00,,"63,3","50,2","0,4","69,2","0,4","37,2"
13/07/2011 17.00,,"68,8","54,6","0,5","74,6","0,5","37,2"
13/07/2011 18.00,,"55,7","40,9","0,4","85,5","3,2","37,2"
13/07/2011 19.00,,"27,5","24,3","0,4","97,1","0,9","37,2"
13/07/2011 20.00,,"37,9","32,8","0,5","83,4","0,9","37,2"
13/07/2011 21.00,,"59,8","52,3","0,6","48,4","0,9","37,2"
13/07/2011 22.00,,"103,6","80,3","0,7","22,5","1,5","37,2"
13/07/2011 23.00,,"63,3","53,8","0,7","51,8","1,8","37,2"
14/07/2011 0.00,,"44,2","38,2","0,6","54,2","0,5","37,2"
14/07/2011 1.00,,26,23,"0,5","56,6","1,4","37,2"
14/07/2011 2.00,,"31,8","28,1","0,5","41,7","0,9","37,2"
14/07/2011 3.00,,24,"21,4","0,5","49,5","0,8","37,2"
14/07/2011 4.00,,"20,9","18,6","0,5","50,8","0,7","37,2"
14/07/2011 5.00,,"26,3","23,4","0,5","47,8","0,7","37,2"
14/07/2011 6.00,,"27,5","23,3","0,5","49,9","0,8","37,2"
14/07/2011 7.00,,"39,5","30,1","0,5","42,8","0,9","37,2"
14/07/2011 8.00,,"35,8",29,"0,5","76,9","1,2","37,2"
14/07/2011 9.00,,"30,6","25,3","0,5",88,1,"37,2"
14/07/2011 10.00,,"28,7","24,4","0,4","101,1","0,9","37,2"
14/07/2011 11.00,,"26,3",22,"0,4","103,2","0,8","37,2"
14/07/2011 12.00,,"23,3","19,7","0,1","102,6","0,7","37,2"
14/07/2011 13.00,,"25,7","21,4",,"106,7","0,7","37,2"
14/07/2011 14.00,,"29,6","23,1",,"111,1","0,2","37,2"
14/07/2011 15.00,,"42,6","33,3",,"108,8",,"37,2"
14/07/2011 16.00,,"33,9","28,2",,"108,5","0,2","37,2"
14/07/2011 17.00,,"21,9","18,9",,"100,5","0,2","37,2"
14/07/2011 18.00,,"26,6","23,7",,"109,2","0,6","37,2"
14/07/2011 19.00,,"30,3","26,8","0,3","98,9",1,"37,2"
14/07/2011 20.00,,"39,9","35,8","0,5","93,8",1,"37,2"
14/07/2011 21.00,,"37,3","33,4","0,5","96,6","1,6","37,2"
14/07/2011 22.00,,"29,4","25,8","0,4","87,5",1,"37,2"
14/07/2011 23.00,,"27,8","23,8","0,5","74,4","0,8","37,2"
15/07/2011 0.00,,"23,1","20,3","0,4","67,1","0,8","37,2"
15/07/2011 1.00,,17,"15,1","0,4","64,1","0,7","46,9"
15/07/2011 2.00,,,,"0,4","59,3","0,7","46,9"
15/07/2011 3.00,,"12,5","10,6",,"56,9","0,6","46,9"
15/07/2011 4.00,,"13,3","11,9","0,4",,"0,6","46,9"
15/07/2011 5.00,,16,"14,3","0,4","48,7","0,7","46,9"
15/07/2011 6.00,,"40,4","29,2","0,5","40,5","0,8","46,9"
15/07/2011 7.00,,"26,8","21,8","0,5","57,6",1,"46,9"
15/07/2011 8.00,,"46,2","28,9","0,5","46,3","0,7","46,9"
15/07/2011 9.00,,"49,5","32,7",,"44,1","0,3","46,9"
15/07/2011 10.00,,"21,4","16,9","0,4","73,5","0,8","46,9"
15/07/2011 11.00,"2,3","39,4","30,1","0,4","93,9","0,6","46,9"
15/07/2011 12.00,"2,5","35,1","27,9","0,3","103,9","0,8","46,9"
15/07/2011 13.00,2,"26,3","21,5","0,3","108,7","0,5","46,9"
15/07/2011 14.00,"1,7","37,9","28,5","0,3","101,8","0,5","46,9"
15/07/2011 15.00,"1,2","59,8","47,2","0,3",83,"0,4","46,9"
15/07/2011 16.00,1,"74,9","59,2","0,3","69,9","0,2","46,9"
15/07/2011 17.00,"1,4","72,8","58,8","0,3","71,4","0,4","46,9"
15/07/2011 18.00,2,"61,9","52,8","0,4","80,5","0,5","46,9"
15/07/2011 19.00,"1,2","51,2","43,6","0,4",88,"0,9","46,9"
15/07/2011 20.00,"0,3","78,2","65,7","0,5","52,2","1,9","46,9"
15/07/2011 21.00,"0,1","80,1","67,6","0,6","43,9","1,7","46,9"
15/07/2011 22.00,"0,5","114,9","91,6","0,8","21,1","1,8","46,9"
15/07/2011 23.00,"0,4","107,3","87,5","0,6",21,"2,5","46,9"
16/07/2011 0.00,"0,1","45,6","40,3","0,4","61,1","1,6","46,9"
16/07/2011 1.00,"0,1","32,5","28,5","0,4","62,2","1,4","24,8"
16/07/2011 2.00,"0,2","25,1","22,8","0,4","65,5","1,3","24,8"
16/07/2011 3.00,"0,2","19,7","17,5","0,3","72,9","1,2","24,8"
16/07/2011 4.00,"0,1","16,4","14,7","0,3","76,1","0,8","24,8"
16/07/2011 5.00,"0,2","12,9","11,4","0,3","84,6","0,6","24,8"
16/07/2011 6.00,"0,3","13,2","11,5","0,3","85,7","0,5","24,8"
16/07/2011 7.00,"0,1",14,"11,5","0,3","87,1","0,2","24,8"
16/07/2011 8.00,"0,1","18,5","15,3","0,3","89,2","0,5","24,8"
16/07/2011 9.00,"0,1","17,1","13,9","0,3",95,"0,5","24,8"
16/07/2011 10.00,"0,1","17,5","14,4","0,3","104,2","0,5","24,8"
16/07/2011 11.00,"0,2","15,9","13,2","0,3","115,8","0,6","24,8"
16/07/2011 12.00,"0,2","16,1","13,2","0,3","116,9","0,5","24,8"
16/07/2011 13.00,"0,2","17,5","14,1","0,3","117,3","0,5","24,8"
16/07/2011 14.00,"0,2","13,5","11,1","0,3","114,5","0,4","24,8"
16/07/2011 15.00,"0,8","10,1","8,1","0,4","118,4","0,4","24,8"
16/07/2011 16.00,"1,8","10,3","8,2","0,3","115,1","0,2","24,8"
16/07/2011 17.00,"1,7","11,9","9,6","0,4",113,"0,3","24,8"
16/07/2011 18.00,"1,4","44,6","33,7","0,4","91,2","0,4","24,8"
16/07/2011 19.00,"0,8","58,9","47,7","0,4","75,9","0,5","24,8"
16/07/2011 20.00,"0,2","94,7","77,5","0,4","46,7","0,5","24,8"
16/07/2011 21.00,"0,2","98,4","68,4","0,5","60,8","0,8","24,8"
16/07/2011 22.00,"0,1","54,3","39,9","0,5","74,6","0,9","24,8"
16/07/2011 23.00,"0,1","36,2",32,"0,4","68,8","1,2","24,8"
17/07/2011 0.00,"0,7",108,"70,2","0,6","27,3","0,7","24,8"
17/07/2011 1.00,,"40,3","34,7","0,4","57,9","1,2","23,6"
17/07/2011 2.00,"0,2",,,"0,5","37,2","0,9","23,6"
17/07/2011 3.00,"0,2","39,6","36,1",,"38,7",1,"23,6"
17/07/2011 4.00,"0,2","24,2","21,5","0,4",,"0,9","23,6"
17/07/2011 5.00,"0,2","18,9","15,9","0,4","69,6","0,7","23,6"
17/07/2011 6.00,"0,1","25,5","20,4","0,3","66,7","0,6","23,6"
17/07/2011 7.00,"0,1","35,9","28,7","0,3","57,9","0,7","23,6"
17/07/2011 8.00,"0,1","16,3","12,9","0,3","77,8","0,6","23,6"
17/07/2011 9.00,"0,1","12,9","10,2","0,3","83,2","0,5","23,6"
17/07/2011 10.00,"0,2",13,"10,3","0,3","90,2","0,6","23,6"
17/07/2011 11.00,"0,1","12,6","9,8","0,3","94,9","0,6","23,6"
17/07/2011 12.00,"0,2","11,2","8,7","0,3","100,9","0,5","23,6"
17/07/2011 13.00,"0,2","9,7","7,8","0,3","116,9","0,4","23,6"
17/07/2011 14.00,"0,2","6,8","5,5","0,3","122,1","0,3","23,6"
17/07/2011 15.00,"1,5","7,3",6,"0,3","119,1","0,4","23,6"
17/07/2011 16.00,"1,3","9,4","7,6","0,3","118,9","0,2","23,6"
17/07/2011 17.00,"1,3","9,2","7,7","0,3","127,9","0,1","23,6"
17/07/2011 18.00,"1,2","13,4",11,"0,3","116,4","0,3","23,6"
17/07/2011 19.00,"0,4","15,7","13,4","0,4","111,1","0,3","23,6"
17/07/2011 20.00,"0,1","29,1","25,5","0,4",95,"0,5","23,6"
17/07/2011 21.00,"0,1","30,4","26,5","0,4","93,5","0,5","23,6"
17/07/2011 22.00,"0,1","39,5","33,4","0,4","77,5","0,7","23,6"
17/07/2011 23.00,"0,2",56,"48,9","0,5","54,3",1,"23,6"
18/07/2011 0.00,"0,2","39,1","34,4","0,4","65,6",1,"23,6"
18/07/2011 1.00,"0,2","32,7","29,4","0,4","70,4","0,7","17,6"
18/07/2011 2.00,"0,2","20,2",18,"0,3","73,4","0,6","17,6"
18/07/2011 3.00,"0,2","18,3","16,4","0,3","66,2","0,6","17,6"
18/07/2011 4.00,"0,3","19,1","16,6","0,3","59,3","0,6","17,6"
18/07/2011 5.00,"0,3","27,9","25,1","0,4","52,3","0,6","17,6"
18/07/2011 6.00,"0,3","55,8","47,3","0,4","39,1","0,9","17,6"
18/07/2011 7.00,"0,3","89,7","61,6","0,5","28,5",1,"17,6"
18/07/2011 8.00,"0,1","61,7","46,5","0,4","53,4","1,2","17,6"
18/07/2011 9.00,"0,1","50,1","36,7","0,3",87,"0,7","17,6"
18/07/2011 10.00,"0,1","51,8","36,1","0,3",91,"0,6","17,6"
18/07/2011 11.00,"0,1","42,5","32,3","0,3","100,6","0,7","17,6"
18/07/2011 12.00,"0,2","44,1","35,6","0,3","107,9","0,5","17,6"
18/07/2011 13.00,"0,9","100,5","69,8","0,3","83,6","0,4","17,6"
18/07/2011 14.00,"0,3","66,2","51,9","0,3","103,8","0,5","17,6"
18/07/2011 15.00,"1,8","42,2","32,7","0,3","109,6","0,4","17,6"
18/07/2011 16.00,"1,6","18,7","15,4","0,3",108,"0,3","17,6"
18/07/2011 17.00,"1,2","21,5","17,2",,"102,9",,"17,6"
18/07/2011 18.00,"0,6","22,9","18,3",,"103,8",,"17,6"
18/07/2011 19.00,"0,1","18,7","15,8",,"103,7",,"17,6"
18/07/2011 20.00,,27,"23,1",,"82,7",,"17,6"
18/07/2011 21.00,,"39,9","33,7",,"59,4",,"17,6"
18/07/2011 22.00,,"36,1","29,8",,"55,3","0,3","17,6"
18/07/2011 23.00,,"34,3","28,2",,"49,5",,"17,6"
19/07/2011 0.00,,"33,5","26,8",,"46,5",,"17,6"
19/07/2011 1.00,,"25,6","20,7",,"50,5","0,5","26,1"
19/07/2011 2.00,,,,,"55,5","0,6","26,1"
19/07/2011 3.00,,"31,9","27,7",,"47,1","0,7","26,1"
19/07/2011 4.00,,"28,4","22,4",,,"0,3","26,1"
19/07/2011 5.00,,"38,5","31,1",,18,"0,8","26,1"
19/07/2011 6.00,,"47,8","36,7",,"21,8","0,3","26,1"
19/07/2011 7.00,"0,3","38,2","28,6",,32,"0,4","26,1"
19/07/2011 8.00,"0,7","38,7","26,8",,40,"0,4","26,1"
19/07/2011 9.00,"1,5","26,1","18,9",,"60,3","0,3","26,1"
19/07/2011 10.00,"1,6","24,2","18,5",,"71,5","1,9","26,1"
19/07/2011 11.00,1,"25,4","18,8",,"69,7","1,4","26,1"
19/07/2011 12.00,"0,2","20,5","15,4",,"75,3","1,1","26,1"
19/07/2011 13.00,"0,2","18,7","14,2",,"79,6","0,5","26,1"
19/07/2011 14.00,"0,1",18,"13,8",,"87,4","0,9","26,1"
19/07/2011 15.00,"0,1","13,1","10,4",,"88,8","0,9","26,1"
19/07/2011 16.00,"0,1","13,7","10,6",,"85,9","0,9","26,1"
19/07/2011 17.00,"0,1","15,5","12,1",,"87,6","0,9","26,1"
19/07/2011 18.00,"0,1","14,8","11,6",,"81,7","0,9","26,1"
19/07/2011 19.00,"0,1","16,1","12,8",,"75,3","0,9","26,1"
19/07/2011 20.00,"0,1","16,2","12,7",,68,"1,1","26,1"
19/07/2011 21.00,"0,1","16,5","12,2",,"49,6","0,9","26,1"
19/07/2011 22.00,"0,1","16,9","11,9",,"40,8",1,"26,1"
19/07/2011 23.00,"0,1","15,9",12,,"40,5","0,9","26,1"
20/07/2011 0.00,"0,1","12,5","9,4",,"43,7","0,9","26,1"
20/07/2011 1.00,"0,1","10,1","8,1",,42,"0,8","38,5"
20/07/2011 2.00,"0,1","9,3","7,5",,"40,4","0,8","38,5"
20/07/2011 3.00,"0,1","8,8","7,2",,"43,8","0,7","38,5"
20/07/2011 4.00,"0,1","10,2","8,8",,43,"0,7","38,5"
20/07/2011 5.00,"0,1","18,9","15,4",,"35,9","1,2","38,5"
20/07/2011 6.00,"0,1",35,"27,3",,"26,8",1,"38,5"
20/07/2011 7.00,"0,1","66,9","47,2",,"16,5","1,6","38,5"
20/07/2011 8.00,,"51,1","35,2",,"90,4",2,"38,5"
20/07/2011 9.00,"0,8","29,9","21,7","0,4","49,6",2,"38,5"
20/07/2011 10.00,"0,6","21,4","15,9","0,4","63,9","1,6","38,5"
20/07/2011 11.00,"0,7","20,6",15,"0,4","70,7","1,4","38,5"
20/07/2011 12.00,"0,7","18,9","14,3","0,3","69,9","1,2","38,5"
20/07/2011 13.00,"0,4",21,"15,8","0,3","71,8","1,1","38,5"
20/07/2011 14.00,"0,5","19,8","15,5","0,4","80,2","1,1","38,5"
20/07/2011 15.00,"0,4","12,2",9,"0,3",92,"1,7","38,5"
20/07/2011 16.00,"0,4","27,1","20,7","0,3","90,3","0,6","38,5"
20/07/2011 17.00,"0,8","59,9","41,7","0,4","70,3","0,7","38,5"
20/07/2011 18.00,"0,4","30,1","24,4","0,4","78,3",1,"38,5"
20/07/2011 19.00,"0,3","16,5","13,2","0,3","87,4","1,3","38,5"
20/07/2011 20.00,"0,4","17,9","14,9","0,3","83,6","0,9","38,5"
20/07/2011 21.00,"0,2","24,4",20,"0,4","76,4","0,8","38,5"
20/07/2011 22.00,"0,2","15,1","12,9","0,4","82,1","1,2","38,5"
20/07/2011 23.00,"0,2","20,5","16,7","0,4","72,8",1,"38,5"
21/07/2011 0.00,"0,4","17,8","15,1","0,3","69,4","0,9","38,5"
21/07/2011 1.00,,"14,7","12,8","0,3","62,7","0,9","21,1"
21/07/2011 2.00,"0,2",,,"0,3","81,6","0,8","21,1"
21/07/2011 3.00,"0,2","8,1","7,1",,"73,7","0,6","21,1"
21/07/2011 4.00,"0,2",7,"6,3","0,3",,"0,5","21,1"
21/07/2011 5.00,"0,3","10,8","9,1","0,3","52,9","0,7","21,1"
21/07/2011 6.00,"0,9","20,4","16,7","0,3","47,3","0,8","21,1"
21/07/2011 7.00,"0,5","33,7","25,7","0,3","40,5",1,"21,1"
21/07/2011 8.00,"0,6","26,2","19,6","0,3","54,8","1,6","21,1"
21/07/2011 9.00,"0,5","18,1","13,1","0,3","70,7","1,5","21,1"
21/07/2011 10.00,"0,6","20,1","14,4","0,3","78,4","1,1","21,1"
21/07/2011 11.00,"0,8",20,"14,4","0,4","84,5","1,5","21,1"
21/07/2011 12.00,"0,5","22,3","16,1","0,4","92,6","0,9","21,1"
21/07/2011 13.00,"0,6","24,9","17,1","0,3","94,1","0,9","21,1"
21/07/2011 14.00,"0,5","26,6","18,4","0,3","93,4","0,9","21,1"
21/07/2011 15.00,"0,9","59,2","34,2","0,3","77,4","0,8","21,1"
21/07/2011 16.00,"0,9","80,4","46,6","0,3","73,4","1,2","21,1"
21/07/2011 17.00,"1,1","93,5","41,7","0,3","73,2","1,5","21,1"
21/07/2011 18.00,"0,3","23,3","16,3","0,3","95,9","1,3","21,1"
21/07/2011 19.00,"0,2","13,7","10,5","0,3","102,5","0,8","21,1"
