"NetC","Comune Bari","","","","","","","","","","","","","",""
"Stat","Carbonara","","","","","","","","","","","","","",""
,SO2,NO2,NOx,PM10,NMHC,CH4,BENZENE,CO
16/10/2011 0.00,"4,79783886","18,70233125","24,94469768","18,07081032","224,35924","549,25423","0,80975981","0,17806559"
16/10/2011 1.00,"4,93916525","21,0073352","29,83299336",,"222,31104","529,0677","0,61948623","0,15950947"
16/10/2011 2.00,"4,40738002","19,44989648","25,15740768","13,67521","212,965564","541,71852","0,49961142","0,1396404"
16/10/2011 3.00,"3,8755958","15,9274858","19,37290024",,"218,083124","627,71646","0,5146976","0,11949755"
16/10/2011 4.00,"3,73064585","16,01573607","18,6790297","8,30280876","220,0786","637,77469","0,54292138","0,14016581"
16/10/2011 5.00,"4,28870324","18,4336723","21,90589872",,"222,830244","644,02317","0,59126143","0,17164295"
16/10/2011 6.00,"4,6003456","16,04818271","21,10955072",,"224,49252","627,49057","0,66896023","0,19882473"
16/10/2011 7.00,"4,50884509","13,16950228","18,55062743",,"242,82636","575,12966","0,61478159","0,18220018"
16/10/2011 8.00,"3,5920379","15,04493528","22,0083628","13,67521","236,511044","614,80349","0,81186907","0,18673436"
16/10/2011 9.00,"3,14631731","15,16043538","23,2469564",,"254,819404","615,66736","0,74341581","0,19298924"
16/10/2011 10.00,"4,06946651","14,74771488","21,6970892","11,23320961","239,24936","618,3163","0,78948286","0,23395414"
16/10/2011 11.00,"3,90096182","17,12411865","24,30010512",,"256,693164","615,51448","0,94001615","0,24221049"
16/10/2011 12.00,"4,12563441","19,8872856","29,45688384","6,83760691","254,007964","616,69097","0,90189594","0,25329547"
16/10/2011 13.00,"4,02054576","20,94116088","29,30382824",,"262,58316","614,87013","0,98105515","0,22088517"
16/10/2011 14.00,"4,14556456","14,83338204","19,29768216","5,37240601","221,593484","512,30921","0,70821541","0,18760461"
16/10/2011 15.00,"4,2153216","13,11369865","17,83599449",,"222,59132","613,43051","0,62272944","0,21248668"
16/10/2011 16.00,"3,74876472","12,27786785","16,68687675","5,37240601","216,593524","574,31528","0,57341816","0,21968988"
16/10/2011 17.00,"3,48332568","18,41030958","26,34932936",,"206,31744","615,64727","0,6530635","0,28730764"
16/10/2011 18.00,"2,73502217","21,10727544","29,96918512","18,55920982","211,236844","617,99094","0,96126535","0,28593993"
16/10/2011 19.00,"3,0212975","25,12289608","35,73812888",,"236,75036","620,0411","0,92849863","0,2273416"
16/10/2011 20.00,"3,01314421","23,86525896","33,14417584","10,7448101","216,993364","622,2755","1,49834813","0,25652834"
16/10/2011 21.00,"3,09739656","17,74970019","24,26119592",,"208,12456","625,36348","1,10011839","0,13631083"
16/10/2011 22.00,"2,4442161","14,54265097","19,91502872","18,55920982","198,36572","624,98422","0,72995175","0,11649767"
16/10/2011 23.00,"1,81821396","13,24737804","18,71404798",,"180,418","623,27265","0,77796635","0,13066407"
17/10/2011 0.00,"1,86532343","11,46799627","16,07989323","10,25640965","214,747204","624,1767","0,66636484","0,12843659"
17/10/2011 1.00,"2,01027237","9,09289266","12,2992115",,"181,30784","622,80372","0,47965991","0,10852791"
17/10/2011 2.00,"1,81006067","8,09093392","10,35115501","11,72161007","173,3718","622,31127","0,43764663","0,1035254"
17/10/2011 3.00,"2,04288655",,,,"182,71708","623,88417","0,40893468",
17/10/2011 4.00,"2,27027656","36,35597256","42,60043072","12,21000957","179,8201804","624,66523","0,58412412","0,11899543"
17/10/2011 5.00,"2,55292832","36,9309492","46,11134072",,"206,078124","624,9509","0,55184352","0,22051004"
17/10/2011 6.00,"2,52484488","48,14066104","71,78753136","12,21000957","254,819404","625,18365","1,42389255",
17/10/2011 7.00,"2,30107844","59,42824864","89,09954416",,"361,778564","638,98793","1,62227772","0,43727693"
17/10/2011 8.00,"2,85822968","62,0811104","110,6851064","17,58241081","433,508684","655,66312","2,18239352","0,49775441"
17/10/2011 9.00,"3,74604729","57,54504336","98,65306248",,"343,617204","659,14359","2,33503403","0,46676424"
17/10/2011 10.00,"3,71977513","48,03293896","84,82471368","14,16361046","336,04004","639,07074","1,96292187","0,43278469"
17/10/2011 11.00,"4,1962976","34,47926808","49,29541344",,"344,017044","626,05438","2,13016142","0,36638901"
17/10/2011 12.00,"3,81399205","32,4610756","45,83767616","9,27960968","332,809764","622,11184","1,33224356","0,29254781"
17/10/2011 13.00,"4,21985132","35,12039992","51,41595528",,"486,117044","620,64331","2,30681025","0,40950682"
17/10/2011 14.00,"3,32841014","25,08784912","31,28429696","6,34920597","248,70244","596,56814","2,01661337","0,23087621"
17/10/2011 15.00,"4,49706823","28,02492968","38,77434664",,"275,65244","618,29033","0,97553996","0,32191047"
17/10/2011 16.00,"4,09755097","29,60963352","39,68352176","8,79120922","261,571604","618,04043","1,58334696","0,3186077"
17/10/2011 17.00,"4,66919548","37,84073616","56,78414384",,"264,603724","622,80029","1,51100063","0,44261379"
17/10/2011 18.00,"5,22906517","54,04338744","77,84830368","21,97801971","360,516324","625,62514","1,90436301","0,49640068"
17/10/2011 19.00,"4,8358889","57,00383264","82,28783384",,"508,6004","626,85896","2,65150918","0,48832024"
17/10/2011 20.00,"3,93357599","48,35092368","67,00946248","17,58241081","355,451684","626,68942","2,03851141","0,44658644"
17/10/2011 21.00,"3,28764268","39,70967792","45,5341844",,"275,1742","631,28562","1,38350239","0,20998776"
17/10/2011 22.00,"4,17002544","29,81211432","33,50472168","25,39682007","242,373404","632,65174","1,16727395","0,18080917"
17/10/2011 23.00,"4,68278464","30,1067344","35,54488304",,"248,185","649,26764","1,07838205","0,16123134"
18/10/2011 0.00,"4,08396182","22,27925496","25,51537232","31,74603081","218,7752","630,21203","1,29720587","0,14214631"
18/10/2011 1.00,"3,58841433","16,3687601","18,30939039",,"211,38208","629,12913","0,8546929","0,11097674"
18/10/2011 2.00,"4,07490136","15,69646075","17,68035769","20,51280975","200,0278","622,41466","0,66766253","0,09363921"
18/10/2011 3.00,"4,52968241","15,5978245","18,5169074",,"200,986044","616,57484","0,64349353","0,12572447"
18/10/2011 4.00,"4,07309009","14,45309671","16,51956528","12,21000957","198,126404","617,64794","0,56141349","0,15005666"
18/10/2011 5.00,"3,01133293","17,10595465","20,33266688",,"206,27824","624,06008","1,92463894","0,22431143"
18/10/2011 6.00,"3,13816402","22,75169104","25,7138188","7,81440783","238,251524","629,71762","2,65832206","0,34163625"
18/10/2011 7.00,"4,63658233","37,3099076","45,22939248",,"263,047484","623,63133","1,72576866","0,26139105"
18/10/2011 8.00,"3,98883774","40,70646088","54,19405304","11,72161007","321,44196","626,20089","1,8604042","0,37176082"
18/10/2011 9.00,"3,11279699","40,18599536","52,57804976",,"295,43668","635,2213","1,49104811","0,3137578"
18/10/2011 10.00,"3,01767393","23,62775032","29,96918512","16,60560989","259,605724","622,99335","1,05453645","0,22271189"
18/10/2011 11.00,"3,44889922","28,6401348","39,96236784",,"374,11696","622,98649","1,13256069","0,34708962"
18/10/2011 12.00,"3,60067223","28,04571312","38,6407552","8,30280876","407,036924","619,62901","1,62000676","0,39762033"
18/10/2011 13.00,"4,46751523","40,00559816","62,76705952",,"485,013564","618,22663","2,37931828","0,53924705"
18/10/2011 14.00,"4,31995565","27,97171872","36,23486648","5,86080599","310,97752","615,99027","1,42437867","0,33408356"
18/10/2011 15.00,"4,66214869","31,7809772","45,21122848",,"332,955","620,54335","1,12217916","0,54915188"
18/10/2011 16.00,"4,74724413","32,25081296","44,54199024","10,7448101","393,1172","620,10186","1,99195722","0,50769652"
18/10/2011 17.00,"4,97718275","39,02829848","59,15500472",,"581,525924","626,171","2,29675314","0,59502259"
18/10/2011 18.00,"4,75086465","54,12386352","70,70975608","26,86202049","612,84888","626,67227","3,10375484","0,65171149"
18/10/2011 19.00,"4,67572767","60,7520792","73,38670904",,"577,48264","641,82601","2,26998773","0,43020421"
18/10/2011 20.00,"4,48833627","52,2808676","60,28855304","26,37360954","509,796","643,67086","2,27225869","0,37697536"
18/10/2011 21.00,"4,53269476","54,02522344","63,40778984",,"518,798084","652,16011","2,23997911","0,36384465"
18/10/2011 22.00,"4,21313302","36,29497976","40,49413328","35,16482162","315,763644","652,96371","1,79568131","0,24058299"
18/10/2011 23.00,"3,60569621","28,95941968","33,22069408",,"320,749884","674,6957","4,80275809","0,76711522"
19/10/2011 0.00,"4,95545657","27,06581312","31,62153552","31,25761986","281,14436","652,14002","8,434998","0,55476252"
19/10/2011 1.00,"6,39031238","19,85093848","21,80213448",,"257,1324","634,35057",,"0,28868351"
19/10/2011 2.00,"6,18934199","20,4505608","24,2741784","28,32722092","302,58872","640,88521",,"0,50618668"
19/10/2011 3.00,"5,56470365",,,,"297,19088","630,99358",,"0,32393641"
19/10/2011 4.00,"4,51096859","45,3165032","48,569102","34,18803024","356,1418","638,54546",,"0,55010601"
19/10/2011 5.00,"4,53178963","41,207424","45,07375568",,"498,641444","650,58084",,"0,82110365"
19/10/2011 6.00,"4,03388982","37,44879528","41,82870928","30,28083038","368,905124","646,1042",,
19/10/2011 7.00,"3,88814152","45,22304464","54,81143784",,"437,377724","644,00308","4,53218931","0,57126474"
19/10/2011 8.00,"4,35435567","52,52357688","73,16749824","26,86202049","596,13596","647,13124","3,30214001","0,60999167"
19/10/2011 9.00,"4,74362259","54,41588328","79,54342552",,"675,12396","643,30875","2,54428789","0,74705159"
19/10/2011 10.00,"3,96237336","39,49553392","53,58968896","15,14041042","540,01724","625,23657","3,80061545","0,57065079"
19/10/2011 11.00,"3,57582285","25,9522452","31,77197168",,"345,998604","620,14106","1,30547815","0,41980542"
19/10/2011 12.00,"3,48710587","21,35128488","26,6294756","8,79120922","298,1356","617,48918","1,05096882","0,32219939"
19/10/2011 13.00,"3,72519269","20,01837232","25,4142084",,"283,57672","595,99043","0,82079019","0,28448135"
19/10/2011 14.00,"4,24753406","20,0586008","25,16648968",,"266,252084","531,2482","0,66766253","0,29596592"
19/10/2011 15.00,"3,77136144","18,70104065","23,27290224",,"253,47504","591,99203","0,95883167","0,25204076"
19/10/2011 16.00,"3,85283534","20,09624808","24,558206",,"271,052124","593,99613","0,74455079","0,26988507"
19/10/2011 17.00,"4,0112575","23,39672336","28,32851704",,"266,810684","615,76389","0,97099804","0,32104488"
19/10/2011 18.00,"4,51639937","25,89643392","30,08461256","21,0012207","313,31776","599,76588","1,11666397","0,34095007"
19/10/2011 19.00,"4,76172824","25,79389336","30,1585496",,"293,893964","619,36686","1,13596764","0,41082444"
19/10/2011 20.00,"5,27411217","25,82243952","30,54374112","40,04883957","302,65536","620,43996","1,12071976","0,39488724"
19/10/2011 21.00,"4,49557833","24,80103","28,661836",,"299,703404","622,93014","0,96921422","0,33859444"
19/10/2011 22.00,"4,40957776","20,1598412","23,42465768","26,86202049","279,9468","619,56923","0,9252544","0,32661125"
19/10/2011 23.00,"4,60511635","19,43821416","23,03556568",,"336,5712","636,39779",,"0,68629218"
20/10/2011 0.00,"4,40505109","16,26233245","19,58561024","27,35042","325,283364","639,29026",,"0,70430075"
20/10/2011 1.00,"4,51549424","14,37003178","17,60513387",,"458,01084","653,34689",,"0,87709821"
20/10/2011 2.00,"4,57886351","16,07414385","20,97465912","15,14041042","608,39576","647,20768",,"0,79056085"
20/10/2011 3.00,"4,91200322","12,72563339","15,9138781",,"494,652844","637,25921",,"0,48575141"
20/10/2011 4.00,"4,67210614","12,56210194","15,80233966","7,81440783","515,460204","635,71963",,"0,38042726"
20/10/2011 5.00,"4,5173045","13,1578257","16,00207483",,"361,88656","623,09919",,"0,33226965"
20/10/2011 6.00,"4,28646075","19,62121168","23,81374968",,"341,304404","630,29533",,"0,37429936"
20/10/2011 7.00,"4,63951637","32,3260884","41,69643712",,"424,74572","634,07519","1,27530681","0,44041544"
20/10/2011 8.00,"5,12474233","36,5934812","49,67412328",,"492,57936","632,81834","2,3244908","0,45285298"
20/10/2011 9.00,"4,74633798","26,60507848","34,56565224",,"362,01984","622,87673","1,67191342","0,36075157"
20/10/2011 10.00,"4,74362259","17,41094542","23,14709264",,"326,625964","504,52164","1,10741842","0,25065791"
20/10/2011 11.00,"4,93372939","16,53878088","21,66724288",,"322,984284","560,81774","0,9127636","0,28849594"
20/10/2011 12.00,"5,00162532","16,51801082","21,64389736",,"314,754244","567,72086","0,99500534","0,28998947"
20/10/2011 13.00,"5,31484912","16,97615853","22,61144584",,"321,6948","565,39091","0,99192383","0,30751573"
20/10/2011 14.00,"5,09034128","15,2136559","19,14462656",,"276,902724","565,87993","0,77228946","0,24669574"
20/10/2011 15.00,"5,11206847","15,36939594","20,5803856",,"284,093964","524,81744","0,64852158","0,27574269"
20/10/2011 16.00,"5,2053111","16,50243567","20,98634144",,"291,273444","544,52769","0,86718268","0,29279945"
20/10/2011 17.00,"5,88607565","20,11311192","24,40516952",,"335,94596","565,77017","0,87561768","0,30767534"
20/10/2011 18.00,"5,7647689","22,88665912","26,23260176","44,4444313","368,20168","527,54625","1,05972824","0,35369983"
20/10/2011 19.00,"5,65523088","22,9580532","26,63335696",,"339,031","566,09259","1,0071707","0,31118082"
20/10/2011 20.00,"6,13955171","21,97297168","25,46608096","55,18925095","410,94536","546,2961","0,89054114","0,32185921"
20/10/2011 21.00,"5,85620127","18,04819972","20,7749316",,"349,615","508,1349","0,84025557","0,28102596"
20/10/2011 22.00,"6,08251937","16,85935636","18,76203536","81,56288147","366,033724","528,68599","0,74503793","0,29303012"
20/10/2011 23.00,"6,49532373","16,79964842","18,46243452",,"357,01988","571,82951","0,97213403","0,34569162"
21/10/2011 0.00,"6,70444131","21,07742912","23,21972952","62,51525116","463,555484","602,67746","2,50843864","0,48269212"
21/10/2011 1.00,"6,17395173","17,36681837","19,7542104",,"413,618604","594,22888","2,20867178","0,33918509"
21/10/2011 2.00,"6,80040034","16,99952508","20,22630232","65,93405151","512,614284","617,78514","2,77170739","0,48868255"
21/10/2011 3.00,"6,34142723",,,,"570,755724","599,17788","2,59408631","0,42754685"
21/10/2011 4.00,"6,27986822","27,36691488","30,9367336","34,18803024","600,77724","621,85606","4,92798537","0,57505099"
21/10/2011 5.00,"6,78682034","37,94847736","66,97575392",,"585,43436","612,19081","4,6390872","0,46644969"
21/10/2011 6.00,"7,06111846","48,8428048","102,35333696","19,04759979","772,965004","638,41855","3,48900665",
21/10/2011 7.00,"7,46486848","55,72413104","101,04858816",,"1029,883764","650,61759","6,10077452","1,54042242"
21/10/2011 8.00,"7,21501395","54,47817624","81,70421496","9,76801014","816,800404","620,71975","4,10395095","0,66585575"
21/10/2011 9.00,"8,12209659","60,56778152","115,85742968",,"884,473324","651,83377","2,97804144","0,66729802"
21/10/2011 10.00,"7,16975033","50,0615136","89,88682928",,"737,784964","676,68657","3,26904887","0,47688693"
21/10/2011 11.00,"6,35047954","37,05553512","54,49498272",,"619,40312","635,11546","1,44352065","0,44027098"
21/10/2011 12.00,"6,45096524","32,17163704","46,3538588",,"635,02628","623,24913","2,17282355","0,43983993"
21/10/2011 13.00,"6,31336311","36,48835944","55,42230272",,"674,51244","618,01103","2,30502542","0,54218867"
21/10/2011 14.00,"6,15856249","31,61484352","45,54194712",,"484,4826","528,91874","1,73079671","0,41424138"
21/10/2011 15.00,"6,09066655","26,18065272","36,03253864",,"483,020244","568,47252","1,34603103","0,44690682"
21/10/2011 16.00,"5,75752685","27,03984816","36,89630376",,"501,07596","584,47004","1,4555243","0,40893947"
21/10/2011 17.00,"6,21106817","36,17557536","54,98133816",,"508,613924","585,47748","1,79730342","0,50371105"
21/10/2011 18.00,"6,43195446","37,92121224","58,30286456",,"617,103844","551,54351","2,16503638","0,67838882"
21/10/2011 19.00,"6,19929944","35,86537248","54,05011768",,"656,311684","554,27624","2,18320509","0,55929786"
21/10/2011 20.00,"5,77291609","32,67912008","37,02729488",,"350,46564","629,29524","1,57474924","0,3310266"
21/10/2011 21.00,"5,7004945","27,6420708","32,65261976",,"354,826444","619,45653","1,17165316","0,31106083"
21/10/2011 22.00,"5,78015815","25,78741168","30,13260376","38,58362961","310,03476","619,89557","1,16630069","0,33283235"
21/10/2011 23.00,"5,23790087","16,55305205","19,38458256",,"281,808604","561,56548","0,87464441","0,26106252"
22/10/2011 0.00,"5,33295477","14,48425275","16,83862072","21,48962021","267,82224","616,78064","0,956399","0,21675641"
22/10/2011 1.00,"5,39632302","13,46152395","17,62458847",,"254,672404","575,30557","0,89086556","0,20187353"
22/10/2011 2.00,"5,12474233","10,67759459","12,43279912","11,72161007","261,134524","610,43906","0,71859695","0,15702103"
22/10/2011 3.00,"5,28859628","9,88718909","11,9360577",,"254,405844","613,78625","0,68875003","0,17056998"
22/10/2011 4.00,"5,51581951","10,53871838","12,77390374","5,37240601","238,504364","531,47507","0,64657504","0,17026592"
22/10/2011 5.00,"5,17996339","11,13444214","13,23043772",,"248,29084","512,90456","1,38106871","0,20470099"
22/10/2011 6.00,"5,19354339","16,17408026","18,87098303",,"253,421924","574,26922","1,12655938","0,24259844"
22/10/2011 7.00,"5,78015815","34,51949656","49,17866672",,"309,289764","643,13235","0,88470152","0,35909028"
22/10/2011 8.00,"6,75061006","31,04768696","49,54701352",,"400,363124","640,83229","2,1439499","0,43094515"
22/10/2011 9.00,"6,11239374","25,21375432","37,51756992",,"344,62876","621,85606","1,66818307","0,36057216"
22/10/2011 10.00,"5,43072407","22,22086248","32,01320872",,"356,03596","625,64866","1,87905802","0,33488275"
22/10/2011 11.00,"5,24514292","23,98206304","36,9015044",,"354,613","623,78078","1,5502548","0,33391813"
22/10/2011 12.00,"5,75209505","27,70826424","42,2567296",,"420,133644","616,66745","1,95253932","0,3610603"
22/10/2011 13.00,"6,87825373","58,9091024","121,9752752",,"681,25288","621,16859","3,08542443","0,9283454"
22/10/2011 14.00,"5,75209505","31,41886352","45,64831168",,"410,85324","614,47421","3,39119362","0,37835705"
22/10/2011 15.00,"5,98384494","26,44542648","36,58634944",,"370,714204","599,21463","1,4485487","0,31987638"
22/10/2011 16.00,"5,71316836","27,77573872","44,59256264",,"558,842844","625,80889","2,27323196","0,45938979"
22/10/2011 17.00,"6,06350858","33,29818744","55,23425752",,"587,4806","620,79913","2,70714823","0,5583612"
22/10/2011 18.00,"6,20744663","46,20034432","66,77732656","19,53602028","685,78636","630,68439","2,51865847","0,55185002"
22/10/2011 19.00,"6,14679377","49,1581892","68,65275",,"800,43264","638,94383","3,15842063","0,77033179"
22/10/2011 20.00,"5,86796999","57,35296384","72,87308848","32,23442078","688,498804","650,73029","2,85086762","0,55092967"
22/10/2011 21.00,"6,58584995","58,38347448","91,2862412",,"689,2046","645,379","2,56196843","0,56426426"
22/10/2011 22.00,"5,72131554","41,43845096","55,30299392","35,65322113","605,3362","643,0025","2,38986254","0,43655696"
22/10/2011 23.00,"5,77925403","36,04838912","47,65862672",,"503,521844","639,36621","1,92285512","0,38205709"
23/10/2011 0.00,"5,41080815","32,22096664","41,42665392","51,77045059","504,25312","636,8432","1,87484052","0,35435339"
23/10/2011 1.00,"5,61811547","25,19817152","30,25193168",,"467,10524","633,22406","1,796979","0,36291498"
23/10/2011 2.00,"5,72222169","23,61996848","29,39592928","38,0952301","303,86468","627,81887","1,49980753","0,32303353"
23/10/2011 3.00,"5,28859628",,,,"357,93716","648,68944","1,36501028","0,28585489"
23/10/2011 4.00,"5,75028479","34,56750688","37,19723344","21,48962021","267,980804","646,55549","0,99273438","0,24483291"
23/10/2011 5.00,"5,81817971","32,08339824","36,80554112",,"278,53756","642,43067","0,97570166","0,24317511"
23/10/2011 6.00,"5,92138182","28,29748528","32,26350864","34,67642975","286,88716","629,15216","1,14553761",
23/10/2011 7.00,"5,89784437","27,18909888","31,37119736",,"292,00668","623,76461","1,10368705","0,20438411"
23/10/2011 8.00,"6,44462832","27,97041856","33,88215048","18,07081032","304,942484","629,46086","1,2568147","0,22504305"
23/10/2011 9.00,"6,42109087","33,4773036","44,57441776",,"369,53056","646,28697","1,68407979","0,2658332"
23/10/2011 10.00,"6,28258462","28,59082432","42,52779384","8,79120922","408,03476","634,81264","1,32429469","0,31342345"
23/10/2011 11.00,"5,73580067","30,55448656","44,3669084",,"456,10964","623,87094","2,21597181","0,32989422"
23/10/2011 12.00,"6,12416145","31,3643524","44,46677216",,"443,106804","596,33637","2,08506662","0,3749436"
23/10/2011 13.00,"6,52067144","33,53311488","50,20977008",,"450,447004","573,398","2,01515397","0,41095026"
23/10/2011 14.00,"5,99561366","21,43824264","29,0716732",,"358,1508","469,797741","1,57929116","0,24310754"
23/10/2011 15.00,"6,15494095","15,90282674","21,28723288",,"315,871444","567,35581","1,32964817","0,20998077"
23/10/2011 16.00,"6,49532373","17,38499575","25,22614408",,"310,57964","582,06365","0,93969173","0,25173553"
23/10/2011 17.00,"6,7994942","25,30201224","40,00905888",,"455,56476","505,7486","1,61497769","0,36650201"
23/10/2011 18.00,"6,84837935","38,93095856","61,00578248","25,88521957","458,238004","537,56724","1,91474455","0,50781884"
23/10/2011 19.00,"7,43771153","50,45865512","78,74191512",,"686,17248","614,50704","2,65864649","0,70441842"
23/10/2011 20.00,"7,21863549","55,64625528","90,83621376","31,74603081","670,696124","617,6548","3,09094064","0,47400472"
23/10/2011 21.00,"6,93256966","50,76755784","64,36625632",,"679,95144","625,49235","2,61695864","0,45567694"
23/10/2011 22.00,"6,61210279","40,2677716","48,5003656","58,6080513","519,901564","615,29888","2,25879565","0,32252443"
23/10/2011 23.00,"6,743368","34,14700072","42,7677116",,"490,34496","636,69767","3,92486945","0,61374181"
24/10/2011 0.00,"6,27986822","16,64650105","20,82680416","42,97924042","301,298844","590,40639","3,83176005","0,17234311"
24/10/2011 1.00,"6,53787095","15,83014014","24,04200424",,"309,462244","566,39149","0,88097015","0,15573254"
24/10/2011 2.00,"6,67456693","15,28503086","18,98511605","44,93283081","457,758","623,23247","2,49724655","0,39545343"
24/10/2011 3.00,"6,27172103","11,1565047","13,16040116",,"346,927644","527,34927","5,3091824","0,20400548"
24/10/2011 4.00,"6,41203855","12,19609734","14,70250564","28,81562042","326,74572","563,00167","1,6912171","0,25763626"
24/10/2011 5.00,"6,4527755","13,36678435","14,96189903",,"353,50952","603,88433","3,89956446","0,41562657"
24/10/2011 6.00,"6,75694698","21,834084","25,0912716","17,09399986","329,525","626,61298","5,10155168","0,32302072"
24/10/2011 7.00,"6,81850498","39,22947912","64,92264832",,"511,37968","618,48927","3,34236745","0,50792136"
24/10/2011 8.00,"8,10127555","47,10755008","109,76424896","8,79120922","704,66704","621,90653","3,20935504","0,66433077"
24/10/2011 9.00,"7,47754335","39,75250672","66,56591672",,"597,705724","614,57025","2,87017028","0,43238859"
24/10/2011 10.00,"7,13354005","22,7620732","32,13901832",,"350,30492","525,5348","1,85229261","0,24618547"
24/10/2011 11.00,"10,99852956","29,96656568","47,13850536",,"518,798084","551,58026","1,58496908","0,39643319"
24/10/2011 12.00,"6,03418949",,,,,,"2,27809831",
24/10/2011 13.00,"5,29415317","35,90431992","53,29267888",,"743,488564","621,91241","2,56878131","0,48216088"
24/10/2011 14.00,"4,41918434","20,49468976","26,98355888",,"470,960364","589,28625","1,5079181","0,24021135"
24/10/2011 15.00,"4,81007032","20,59202968","27,50492304",,"375,43408","582,11706","1,0579434","0,24498902"
24/10/2011 16.00,"5,01456156","26,12486056","36,46830256",,"431,832884","600,04567","1,10774284","0,37919119"
24/10/2011 17.00,"5,1720013","32,97892168","46,5626492",,"443,79888","552,91649","1,86251244","0,35159467"
24/10/2011 18.00,"5,23443493","37,4267308","50,34982408","97,68009186","668,15812","583,91487","2,39278235","0,4232713"
24/10/2011 19.00,"5,67237242","46,50274624","66,01856848",,"1491,085484","628,99977","2,27955872","0,56002715"
24/10/2011 20.00,"5,92753365","54,66117376","99,2898732","70,32967377","908,989004","621,13478","2,73585916","0,73626486"
24/10/2011 21.00,"6,46681214","59,57231784","128,93354032",,"826,679","621,01571","2,99247775","0,61035049"
24/10/2011 22.00,"5,87052978","44,58839448","86,48486504","37,11843109","757,35576","621,47778","3,46564819","0,53216618"
24/10/2011 23.00,"5,78909554","38,75056136","86,170972",,"751,732324","615,95009","2,2060764","0,34572191"
25/10/2011 0.00,"5,53393329","22,62838616","39,14137416","35,65322113","507,788764","551,00892","1,98092684","0,2646915"
25/10/2011 1.00,"4,87612244","15,49270082","22,9331016",,"360,196844","561,39202","0,99046342","0,15237734"
25/10/2011 2.00,"4,81549907","12,5958411","16,4910325","29,7924099","317,200324","550,97903",,"0,13008041"
25/10/2011 3.00,"5,00008355",,,,"323,54308","600,21129",,"0,15048305"
25/10/2011 4.00,"5,3421098","25,41361568","29,86283968","39,07204056","343,40572","598,99168",,"0,16167171"
25/10/2011 5.00,"5,2805813","29,70957376","48,9192848",,"461,468084","607,14822",,"0,28359595"
25/10/2011 6.00,"5,51131318","36,98284088","55,86458656","21,0012207","630,265244","656,41086",,
25/10/2011 7.00,"5,81804953","48,49887424","90,80506728",,"806,68112","814,57894",,"0,91896598"
25/10/2011 8.00,"6,94546624","54,99732248","130,1215424","10,7448101","1254,376284","693,60774",,"1,32751051"
25/10/2011 9.00,"5,59636692","37,17884","65,16128504",,"782,2458","627,72283",,"0,58757591"
25/10/2011 10.00,"5,71851879","25,58623104","35,86523864","5,37240601","680,827364","514,08791",,"0,37403607"
25/10/2011 11.00,"5,49050129","20,05990096","25,20279856",,"488,8828","603,4987",,"0,26686539"
25/10/2011 12.00,"5,31044042","18,27014086","24,49595128",,"356,03596","600,26519",,"0,26469849"
25/10/2011 13.00,"5,83433679","21,28769176","29,801866",,"409,882844","598,9515",,"0,35576537"
25/10/2011 14.00,"5,49864543","19,34737504","26,01341008",,"290,68956","596,43584",,"0,22688958"
25/10/2011 15.00,"5,48778692","16,65039579","20,89425952",,"289,280124","594,51406",,"0,20861655"
25/10/2011 16.00,"5,36563505","17,38888285","22,7476376",,"313,54512","595,17605",,"0,25286558"
25/10/2011 17.00,"5,77552266","19,91973224","25,72808232",,"391,38848","562,16328",,"0,31193691"
25/10/2011 18.00,"6,00896891","26,65048848","34,50989832","106,47119904","443,984884","543,87207",,"0,36167425"
25/10/2011 19.00,"6,19988727","37,48252296","62,76967896",,"743,56912","568,11629",,"0,5797541"
25/10/2011 20.00,"6,17002815","35,825144","58,14596584","114,77410126","780,542364","531,57454",,"0,79551792"
25/10/2011 21.00,"5,70946953","24,32601272","33,84322216",,"618,91116","528,54928",,"0,33706479"
25/10/2011 22.00,"5,5628883","16,57123134","24,90060696","78,14408112","491,011164","605,15098",,"0,2234738"
25/10/2011 23.00,"5,10323481","17,88597226","29,36868328",,"526,32272","565,26841",,"0,24170022"
26/10/2011 0.00,"5,13671343","11,97935685","15,19535423","47,86323166","324,166164","583,22985",,"0,16504555"
26/10/2011 1.00,"4,7186827","9,16557352","10,20978555",,"314,3154","582,09305",,"0,16535311"
26/10/2011 2.00,"4,88969532","8,590616","11,17213913","25,88521957","346,118164","606,20399",,"0,24135538"
26/10/2011 3.00,"5,00913282","8,97089177","13,06701908",,"350,292964","547,30305",,"0,14365266"
26/10/2011 4.00,"5,19552756","10,27135195","13,48853669","23,93161964","332,47676","505,25615",,"0,14436797"
26/10/2011 5.00,"5,41540093","11,33171465","14,56632344",,"341,61036","504,61474",,"0,17367587"
26/10/2011 6.00,"5,50588342","19,3149284","25,38956272","14,65200996","420,82376","545,4484",,"0,35510482"
26/10/2011 7.00,"5,62351167","28,26503864","38,13491648",,"685,2944","532,1498",,"0,60826398"
26/10/2011 8.00,"6,10397603","40,68567744","62,86176088","7,32600689","800,393244","586,50403",,"0,70416794"
26/10/2011 9.00,"5,93205828","21,3292204","28,84081832",,"585,65976","526,29283",,"0,27315755"
26/10/2011 10.00,"5,47692841","16,21561082","20,16924824","7,32600689","445,47468","569,69164",,"0,25187533"
26/10/2011 11.00,"5,27243819","14,39470041","18,0370279",,"451,7898","601,38484","1,06654112","0,15448133"
